ts_code,name,start_date,end_date,change_reason
300385.SZ,ST雪浪,20260414,,ST
002647.SZ,仁东控股,20260414,,撤销*ST
600082.SH,ST海泰,20260414,,ST
601567.SH,三星电气,20260414,,其他
301265.SZ,华新科技,20260410,,改名
002598.SZ,ST章鼓,20260408,,ST
300081.SZ,ST恒信,20260408,,ST
000909.SZ,*ST数源,20260401,,*ST
300097.SZ,智云股份,20260331,,撤销ST
600581.SH,*ST八钢,20260331,,*ST
002538.SZ,ST司特,20260331,,ST
300344.SZ,立方退,20260331,,终止上市
300165.SZ,天瑞仪器,20260330,,撤销ST
688428.SH,诺诚健华,20260327,,其他
300277.SZ,汽轮科技,20260326,,改名
000908.SZ,ST景峰,20260326,,摘星
603196.SH,璞源材料,20260325,,改名
603429.SH,*ST集友,20260324,,*ST
