ts_code,trade_date,close,open,high,low,vol,amount,vwap
000026.SZ,20260811,19.1,19.09,19.14,19.0,334000.0,6374355.84,19.08
000428.SZ,20260811,4.21,4.21,4.24,4.15,1839700.0,7742645.12,4.21
000506.SZ,20260811,20.5,21.0,21.0,20.44,4215100.16,88308858.88,20.95
000603.SZ,20260811,37.7,37.8,37.8,37.3,2041900.0,77108352.0,37.76
000656.SZ,20260811,1.29,1.29,1.29,1.27,24764400.64,31885445.12,1.29
000710.SZ,20260811,9.68,9.74,9.74,9.66,1223000.0,11906046.72,9.73
000739.SZ,20260811,22.9,22.94,23.0,22.86,1012702.0,23231306.24,22.94
000831.SZ,20260811,57.6,57.66,57.71,57.5,660400.0,38075251.2,57.66
001223.SZ,20260811,38.86,38.95,39.0,38.48,80700.0,3142723.84,38.94
001267.SZ,20260811,42.42,42.52,42.97,42.33,1222500.0,52048670.72,42.58
001296.SZ,20260811,19.96,20.0,20.0,19.8,317500.0,6345944.32,19.99
001300.SZ,20260811,11.35,11.49,11.49,11.34,202900.0,2324184.0,11.46
002037.SZ,20260811,7.43,7.4,7.47,7.4,454700.0,3371064.96,7.41
002194.SZ,20260811,10.1,10.01,10.1,10.01,2772560.0,27777303.04,10.02
002281.SZ,20260811,175.84,175.84,176.88,175.26,495200.0,87076608.0,175.84
002329.SZ,20260811,3.77,3.7,3.77,3.64,7883100.16,29170856.96,3.7
002428.SZ,20260811,98.06,97.92,99.0,97.92,2821833.92,276507095.04,97.99
002437.SZ,20260811,3.38,3.36,3.4,3.36,26916899.84,90618480.64,3.37
002443.SZ,20260811,9.04,9.03,9.09,9.02,652900.0,5896302.72,9.03
002552.SZ,20260811,54.15,53.01,54.5,53.01,1726100.0,91694131.2,53.12
002589.SZ,20260811,3.27,3.32,3.32,3.23,14083800.32,46635054.08,3.31
002631.SZ,20260811,8.95,8.9,8.98,8.9,571100.0,5094562.88,8.92
002741.SZ,20260811,24.7,24.81,24.85,24.68,232900.0,5775228.16,24.8
002742.SZ,20260811,4.18,4.05,4.18,4.05,2688200.0,10914982.4,4.06
002748.SZ,20260811,12.26,12.26,12.26,12.11,355800.0,4359180.16,12.25
002762.SZ,20260811,9.02,9.03,9.13,9.02,1164000.0,10518520.32,9.04
002792.SZ,20260811,33.68,33.8,33.95,33.5,2723000.0,92067276.8,33.81
002821.SZ,20260811,174.56,174.79,175.24,174.01,271700.0,47492326.4,174.8
002827.SZ,20260811,59.25,59.58,59.58,58.37,765200.0,45558394.88,59.54
002885.SZ,20260811,31.0,31.96,32.0,31.0,1307600.0,41737203.2,31.92
002900.SZ,20260811,14.44,14.3,14.53,14.3,3014550.08,43174353.92,14.32
002913.SZ,20260811,55.11,54.85,55.17,54.8,44300.0,2431272.96,54.88
002943.SZ,20260811,35.49,35.78,35.78,35.49,296200.0,10589445.12,35.75
002951.SZ,20260811,15.47,15.46,15.5,15.28,521205.0,8053866.88,15.45
002971.SZ,20260811,43.92,43.83,44.31,43.8,582700.0,25577927.68,43.9
003043.SZ,20260811,73.01,73.0,73.49,73.0,123400.0,9014072.32,73.05
600110.SH,20260811,10.15,10.15,10.15,10.15,1689700.0,17150456.32,10.15
600183.SH,20260811,136.88,135.8,137.0,135.8,740887.04,100677939.2,135.89
600192.SH,20260811,7.76,7.76,7.76,7.76,646400.0,5016064.0,7.76
600206.SH,20260811,50.64,50.64,50.64,50.64,2375129.92,120276582.4,50.64
600267.SH,20260811,14.07,14.07,14.07,14.07,4764600.0,67037921.28,14.07
600272.SH,20260811,14.9,14.9,14.9,14.84,3546899.84,52848645.12,14.9
600356.SH,20260811,9.06,9.06,9.06,9.06,223300.0,2023097.92,9.06
600449.SH,20260811,12.56,12.56,12.56,12.56,7002800.0,87955169.28,12.56
600500.SH,20260811,5.3,5.3,5.3,5.3,1918800.0,10169639.68,5.3
600601.SH,20260811,12.96,12.96,12.96,12.96,1867000.0,24196321.28,12.96
600641.SH,20260811,33.68,33.73,33.73,33.5,2674100.0,90188544.0,33.73
600651.SH,20260811,6.31,6.31,6.31,6.31,283700.0,1790147.04,6.31
600664.SH,20260811,7.76,7.76,7.76,7.76,22653424.64,175790571.52,7.76
600721.SH,20260811,12.75,12.75,12.75,12.75,35239070.72,449298186.24,12.75
600744.SH,20260811,7.52,7.52,7.52,7.52,3491299.84,26254576.64,7.52
600815.SH,20260811,3.54,3.54,3.54,3.54,1223700.0,4331897.92,3.54
600936.SH,20260811,6.03,6.03,6.03,6.03,2452800.0,14790384.64,6.03
601208.SH,20260811,45.16,45.16,45.16,45.16,592900.0,26775365.12,45.16
601865.SH,20260811,11.07,11.07,11.07,11.07,216900.0,2401083.04,11.07
603011.SH,20260811,23.4,23.4,23.4,23.4,1362000.0,31870799.36,23.4
603020.SH,20260811,11.01,11.01,11.01,11.01,403300.0,4440333.12,11.01
603102.SH,20260811,37.5,37.5,37.5,37.5,151000.0,5662499.84,37.5
603124.SH,20260811,138.2,138.2,138.2,138.2,17700.0,2446140.0,138.2
603127.SH,20260811,52.48,52.47,52.6,52.47,870900.0,45697013.76,52.47
603137.SH,20260811,27.25,27.25,27.25,27.25,549936.0,14985756.16,27.25
603151.SH,20260811,14.4,14.4,14.4,14.4,187100.0,2694240.0,14.4
603161.SH,20260811,15.84,15.84,15.84,15.84,291300.0,4614192.0,15.84
603186.SH,20260811,147.9,147.9,147.9,147.9,236300.0,34948766.72,147.9
603228.SH,20260811,92.01,92.01,92.01,92.01,880539.04,81018393.6,92.01
603328.SH,20260811,11.0,11.0,11.0,11.0,2308400.0,25392399.36,11.0
603459.SH,20260811,101.96,101.64,101.96,101.64,143000.0,14534868.48,101.64
603567.SH,20260811,6.91,6.91,6.94,6.91,2177500.0,15046681.6,6.91
603580.SH,20260811,58.03,58.03,58.03,58.03,252700.0,14664180.48,58.03
603655.SH,20260811,30.7,30.7,30.7,30.7,72900.0,2238030.08,30.7
603660.SH,20260811,12.27,12.27,12.27,12.27,269000.0,3300630.08,12.27
603757.SH,20260811,62.04,62.04,62.04,62.04,34300.0,2127972.0,62.04
603758.SH,20260811,12.68,12.68,12.68,12.68,1663600.96,21094460.16,12.68
603773.SH,20260811,95.67,95.67,95.67,95.67,245900.0,23525253.12,95.67
603936.SH,20260811,15.29,15.29,15.29,15.29,487100.0,7447758.72,15.29
605128.SH,20260811,25.18,25.18,25.18,25.18,84300.0,2122673.92,25.18
605162.SH,20260811,9.43,9.43,9.43,9.43,861236.96,8121464.96,9.43
605286.SH,20260811,25.63,25.63,25.63,25.63,123700.0,3170431.04,25.63
605287.SH,20260811,38.74,38.74,38.74,38.74,38900.0,1506985.92,38.74
605289.SH,20260811,103.11,103.11,103.11,103.11,9200.0,948612.0,103.11
