trade_date,ts_code,name,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,limit_times,up_stat,industry,turnover_ratio,amount,float_mv,total_mv,seal_amount
20260810,600722.SH,金牛化工,U,12.52,12.52,10.24,1,53049744.0,130712,130848,1.0,1/1,化学原料,18.55,1496127952.0,8517602343.52,8517602393.6,53049744.0
20260810,600793.SH,宜宾纸业,U,15.66,15.66,12.82,1,66205782.0,101009,101930,1.0,1/1,造纸,7.58,203462178.0,2770316671.32,2770316671.32,66205782.0
20260810,600815.SH,厦工股份,U,3.61,3.61,2.95,1,34826753.0,135656,140517,1.0,1/1,工程机械,7.73,477831264.0,6404481072.8,6404481072.8,34826753.0
20260810,600833.SH,第一医药,U,11.01,11.01,9.01,1,23119899.0,94343,131607,1.0,1/1,医药商业,5.99,144364804.0,2456180680.47,2456180680.47,23119899.0
20260810,600936.SH,北投科技,U,6.16,6.16,5.04,1,53427614.0,140852,140946,1.0,1/1,IT服务Ⅱ,7.08,689349520.0,10293521632.24,10293521638.4,53427614.0
20260810,600984.SH,建设机械,U,4.49,4.49,3.67,2,39804703.0,94850,104044,1.0,1/1,工程机械,6.07,335609936.0,5644127223.25,5644127200.8,39804703.0
20260810,601020.SH,华钰矿业,U,23.27,23.27,19.04,0,78022750.0,133916,133916,1.0,1/1,工业金属,6.01,1113472944.0,19080578522.46,19080578662.08,78022750.0
20260810,601199.SH,江南水务,U,6.06,6.06,4.96,2,41507364.0,105548,105845,1.0,1/1,环境治理,4.47,245651161.0,5667374369.52,5667374345.28,41507364.0
20260810,601606.SH,长城军工,U,36.18,36.18,29.6,0,163734869.0,95414,95414,1.0,1/1,地面兵装,5.43,1367567488.0,26202583512.0,26202583512.0,163734869.0
20260810,601700.SH,风范股份,U,7.08,7.08,5.8,11,5239908.0,93639,145033,1.0,5/6,电网设备,23.82,1880022832.0,8062401684.0,8062401655.68,5239908.0
20260810,601886.SH,江河集团,U,9.1,9.1,7.44,1,5653830.0,95534,95613,1.0,1/1,装修装饰,0.98,99064571.0,10310318746.0,10310318782.4,5653830.0
20260810,603020.SH,爱普股份,U,11.01,11.01,9.01,1,42130866.0,130448,130530,1.0,1/1,化学制品,3.15,124453018.0,4135771891.74,4135771913.76,42130866.0
20260810,603038.SH,华立股份,U,15.06,15.06,12.32,0,27811798.0,95103,95103,1.0,1/1,装修建材,2.97,117061266.0,4046277216.36,4046277186.24,27811798.0
20260810,603065.SH,宿迁联盛,U,17.75,17.75,14.53,3,61262350.0,93345,103657,1.0,1/1,化学制品,10.44,758079088.0,7436674403.0,7436674332.0,61262350.0
20260810,603130.SH,云中马,U,44.33,44.33,36.27,2,5514652.0,100150,111414,1.0,1/1,纺织制造,2.52,150042367.0,6096004486.0,6096004486.0,5514652.0
