trade_date,target_trade_date,jq_code,target_weight,risk_budget,regime,reason
20260409,20260410,600743.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260409,20260410,600594.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260409,20260410,600337.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260409,20260410,000078.XSHE,0.1,1.0,RISK_ON,P0_EV_weight
20260409,20260410,000889.XSHE,0.1,1.0,RISK_ON,P0_EV_weight
20260409,20260410,603808.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260409,20260410,002107.XSHE,0.1,1.0,RISK_ON,P0_EV_weight
20260409,20260410,603777.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260409,20260410,605189.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260409,20260410,600707.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
