trade_date,target_trade_date,jq_code,target_weight,risk_budget,regime,reason
20260616,20260617,920083.BJ,0.1,1.0,RISK_ON,TopEVR_EV>3pct_Risk<1pct
20260616,20260617,002990.XSHE,0.1,1.0,RISK_ON,TopEVR_EV>3pct_Risk<1pct
20260616,20260617,301055.XSHE,0.1,1.0,RISK_ON,TopEVR_EV>3pct_Risk<1pct
20260616,20260617,001387.XSHE,0.1,1.0,RISK_ON,TopEVR_EV>3pct_Risk<1pct
20260616,20260617,001266.XSHE,0.1,1.0,RISK_ON,TopEVR_EV>3pct_Risk<1pct
20260616,20260617,002931.XSHE,0.1,1.0,RISK_ON,TopEVR_EV>3pct_Risk<1pct
20260616,20260617,002910.XSHE,0.1,1.0,RISK_ON,TopEVR_EV>3pct_Risk<1pct
20260616,20260617,603407.XSHG,0.1,1.0,RISK_ON,TopEVR_EV>3pct_Risk<1pct
20260616,20260617,002735.XSHE,0.1,1.0,RISK_ON,TopEVR_EV>3pct_Risk<1pct
20260616,20260617,000048.XSHE,0.1,1.0,RISK_ON,TopEVR_EV>3pct_Risk<1pct
