trade_date,target_trade_date,jq_code,target_weight,risk_budget,regime,reason
20260414,20260415,600664.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260414,20260415,000889.XSHE,0.1,1.0,RISK_ON,P0_EV_weight
20260414,20260415,600743.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260414,20260415,601778.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260414,20260415,002314.XSHE,0.1,1.0,RISK_ON,P0_EV_weight
20260414,20260415,002124.XSHE,0.1,1.0,RISK_ON,P0_EV_weight
20260414,20260415,601588.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260414,20260415,000620.XSHE,0.1,1.0,RISK_ON,P0_EV_weight
20260414,20260415,002692.XSHE,0.1,1.0,RISK_ON,P0_EV_weight
20260414,20260415,600396.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
