trade_date,target_trade_date,jq_code,target_weight,risk_budget,regime,reason
20260427,20260428,600433.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260427,20260428,600815.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260427,20260428,002210.XSHE,0.1,1.0,RISK_ON,P0_EV_weight
20260427,20260428,000952.XSHE,0.1,1.0,RISK_ON,P0_EV_weight
20260427,20260428,600246.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260427,20260428,600396.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260427,20260428,600400.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260427,20260428,600693.XSHG,0.1,1.0,RISK_ON,P0_EV_weight
20260427,20260428,002175.XSHE,0.1,1.0,RISK_ON,P0_EV_weight
20260427,20260428,002154.XSHE,0.1,1.0,RISK_ON,P0_EV_weight
