ts_code,name,start_date,end_date,change_reason
920023.BJ,*ST田野,20260430,,*ST
688622.SH,*ST禾信,20260430,,*ST
688496.SH,ST清越,20260430,,ST
603729.SH,ST龙韵,20260430,,ST
603922.SH,ST金鸿顺,20260430,,ST
000010.SZ,*ST美丽,20260430,,*ST
000016.SZ,*ST康佳A,20260430,,*ST
000632.SZ,ST三木,20260430,,ST
000639.SZ,ST西王,20260430,,ST
000826.SZ,*ST启环,20260430,,*ST
000911.SZ,*ST广糖,20260430,,*ST
600053.SH,*ST九鼎,20260430,,*ST
600080.SH,ST金花,20260430,,ST
600130.SH,波导股份,20260430,,撤销*ST
600180.SH,*ST瑞茂,20260430,,*ST
600239.SH,ST云城,20260430,,ST
600678.SH,ST金顶,20260430,,ST
600734.SH,*ST实达,20260430,,*ST
600370.SH,*ST三房,20260430,,*ST
002102.SZ,ST能特,20260430,,ST
601010.SH,ST文峰,20260430,,ST
300027.SZ,ST华谊,20260430,,ST
002323.SZ,*ST雅博,20260430,,*ST
002630.SZ,*ST华西,20260430,,*ST
300068.SZ,ST南都,20260430,,ST
300152.SZ,*ST动力,20260430,,*ST
002501.SZ,*ST利源,20260430,,*ST
002547.SZ,*ST春兴,20260430,,*ST
002528.SZ,*ST英飞,20260430,,*ST
300147.SZ,*ST香雪,20260430,,*ST
002581.SZ,*ST未名,20260430,,*ST
300212.SZ,*ST易录,20260430,,*ST
002620.SZ,*ST瑞和,20260430,,*ST
002717.SZ,*ST岭南,20260430,,*ST
603359.SH,*ST东珠,20260430,,*ST
002691.SZ,*ST冀凯,20260430,,*ST
002694.SZ,*ST顾地,20260430,,*ST
002175.SZ,*ST东智,20260430,,*ST
002726.SZ,ST龙大,20260430,,ST
002856.SZ,*ST美芝,20260430,,*ST
300594.SZ,ST朗进,20260430,,ST
600084.SH,*ST尼雅,20260429,,*ST
600759.SH,ST洲际,20260429,,ST
600818.SH,ST中路,20260429,,ST
600537.SH,*ST亿晶,20260429,,*ST
600476.SH,*ST湘邮,20260429,,*ST
688201.SH,ST信安,20260429,,ST
603272.SH,*ST联翔,20260429,,*ST
002207.SZ,*ST准油,20260429,,*ST
300245.SZ,ST天玑,20260429,,ST
300198.SZ,*ST纳川,20260429,,*ST
300338.SZ,*ST开元,20260429,,*ST
002719.SZ,ST麦趣,20260429,,ST
002360.SZ,ST同德,20260429,,ST
603828.SH,*ST利达,20260429,,*ST
002431.SZ,ST棕榈,20260428,,ST
002634.SZ,*ST棒杰,20260428,,*ST
600730.SH,*ST高科,20260428,,*ST
600423.SH,*ST柳化,20260428,,*ST
688280.SH,精进电动-W,20260428,,其他
688712.SH,北芯生命,20260428,,其他
603008.SH,ST喜临门,20260428,,ST
603959.SH,ST百利,20260428,,ST
000752.SZ,*ST西发,20260428,,*ST
600119.SH,*ST长投,20260428,,*ST
000056.SZ,*ST皇庭,20260427,,*ST
600265.SH,*ST景谷,20260427,,*ST
600543.SH,*ST莫高,20260427,,*ST
000610.SZ,*ST西旅,20260427,,*ST
000838.SZ,*ST发展,20260427,,*ST
600889.SH,*ST京化,20260424,,*ST
002977.SZ,*ST天箭,20260424,,*ST
920090.BJ,*ST同辉,20260424,,*ST
300295.SZ,*ST三六五,20260424,,*ST
000609.SZ,*ST中迪,20260423,,*ST
605336.SH,*ST帅电,20260423,,*ST
002227.SZ,*ST特迅,20260422,,*ST
300044.SZ,*ST赛为,20260422,,*ST
002932.SZ,*ST明德,20260422,,*ST
002960.SZ,青鸟智控,20260422,,改名
300123.SZ,ST亚光,20260421,,ST
002542.SZ,*ST中岩,20260421,,*ST
688511.SH,天微电子,20260421,,撤销*ST
688270.SH,ST臻镭,20260421,,ST
603007.SH,花王股份,20260421,,其他
688511.SH,天微电子,20260421,,撤销*ST
688270.SH,ST臻镭,20260421,,ST
688270.SH,ST臻镭,20260421,,ST
688322.SH,奥比中光-W,20260421,,其他
300668.SZ,杰恩股份,20260421,,其他
600358.SH,国旅联合,20260420,,撤销ST
603268.SH,松发股份,20260420,,撤销*ST
002180.SZ,奔图科技,20260420,,改名
002739.SZ,儒意电影,20260420,,改名
300052.SZ,中青宝,20260416,,撤销ST
688235.SH,百济神州,20260416,,其他
601567.SH,三星电气,20260414,,其他
600082.SH,ST海泰,20260414,,ST
002647.SZ,仁东控股,20260414,,撤销*ST
300385.SZ,ST雪浪,20260414,,ST
301265.SZ,华新科技,20260410,,改名
300081.SZ,ST恒信,20260408,,ST
002598.SZ,ST章鼓,20260408,,ST
000909.SZ,*ST数源,20260401,,*ST
600581.SH,*ST八钢,20260331,,*ST
300097.SZ,智云股份,20260331,,撤销ST
