ts_code,time,open,close,high,low,vol,amount
600641.SH,2026-09-24 09:30:00,47.99,47.99,47.99,47.99,1454700.0,69811053
600641.SH,2026-09-24 09:31:00,47.99,49.16,49.87,47.68,7376810.0,359440826
600641.SH,2026-09-24 09:32:00,49.14,50.77,50.86,49.14,5954146.0,297301148
600641.SH,2026-09-24 09:33:00,50.85,51.48,51.64,50.78,4791174.0,244656018
600641.SH,2026-09-24 09:34:00,51.48,51.91,52.18,51.48,4720235.0,244695261
600641.SH,2026-09-24 09:35:00,51.9,51.91,51.91,51.48,3889513.0,201181529
600641.SH,2026-09-24 09:36:00,51.92,52.03,52.23,51.92,3283409.0,170925149
600641.SH,2026-09-24 09:37:00,52.0,52.17,52.28,51.86,1826060.0,95040473
600641.SH,2026-09-24 09:38:00,51.97,51.49,51.99,51.4,3130000.0,161546197
600641.SH,2026-09-24 09:39:00,51.46,51.51,51.6,51.37,1583600.0,81533551
600641.SH,2026-09-24 09:40:00,51.5,51.35,51.57,51.32,1912720.0,98388245
600641.SH,2026-09-24 09:41:00,51.43,51.34,51.72,51.32,2901900.0,149562127
600641.SH,2026-09-24 09:42:00,51.36,51.64,51.68,51.36,1450100.0,74731362
600641.SH,2026-09-24 09:43:00,51.72,51.98,51.98,51.68,1327420.0,68862807
600641.SH,2026-09-24 09:44:00,51.96,51.83,52.1,51.65,1317641.0,68439348
600641.SH,2026-09-24 09:45:00,51.76,52.04,52.04,51.7,2648971.0,137529484
600641.SH,2026-09-24 09:46:00,52.16,52.15,52.26,52.02,1243254.0,64903450
600641.SH,2026-09-24 09:47:00,52.12,52.18,52.19,52.07,1549345.0,80751564
600641.SH,2026-09-24 09:48:00,52.2,52.14,52.26,52.13,926636.0,48383023
600641.SH,2026-09-24 09:49:00,52.14,52.52,52.58,52.14,14826222.0,779106190
600641.SH,2026-09-24 09:50:00,52.51,52.5,52.58,52.5,2612372.0,137270832
600641.SH,2026-09-24 09:51:00,52.49,52.35,52.49,52.35,1049900.0,55030104
600641.SH,2026-09-24 09:52:00,52.3,52.51,52.54,52.27,1550360.0,81366244
600641.SH,2026-09-24 09:53:00,52.51,52.58,52.58,52.51,1480562.0,77838391
600641.SH,2026-09-24 09:54:00,52.58,52.58,52.58,52.58,610480.0,32099039
600641.SH,2026-09-24 09:55:00,52.58,52.58,52.58,52.58,174400.0,9169952
600641.SH,2026-09-24 09:56:00,52.58,52.58,52.58,52.58,92684.0,4873324
600641.SH,2026-09-24 09:57:00,52.58,52.58,52.58,52.58,99800.0,5247484
600641.SH,2026-09-24 09:58:00,52.58,52.58,52.58,52.58,177500.0,9332950
600641.SH,2026-09-24 09:59:00,52.58,52.58,52.58,52.58,57880.0,3043331
600641.SH,2026-09-24 10:00:00,52.58,52.58,52.58,52.58,68700.0,3612246
600641.SH,2026-09-24 10:01:00,52.58,52.58,52.58,52.58,94300.0,4958294
600641.SH,2026-09-24 10:02:00,52.58,52.58,52.58,52.58,57100.0,3002318
600641.SH,2026-09-24 10:03:00,52.58,52.58,52.58,52.58,66200.0,3480796
600641.SH,2026-09-24 10:04:00,52.58,52.58,52.58,52.58,50600.0,2660548
600641.SH,2026-09-24 10:05:00,52.58,52.58,52.58,52.58,57700.0,3033866
600641.SH,2026-09-24 10:06:00,52.58,52.58,52.58,52.58,57800.0,3039124
600641.SH,2026-09-24 10:07:00,52.58,52.58,52.58,52.58,78460.0,4125427
600641.SH,2026-09-24 10:08:00,52.58,52.58,52.58,52.58,4602600.0,242004708
600641.SH,2026-09-24 10:09:00,52.57,52.58,52.58,52.49,1592300.0,83689505
600641.SH,2026-09-24 10:10:00,52.58,52.58,52.58,52.58,227300.0,11951434
600641.SH,2026-09-24 10:11:00,52.58,52.58,52.58,52.58,336300.0,17682654
600641.SH,2026-09-24 10:12:00,52.58,52.58,52.58,52.58,772400.0,40612792
600641.SH,2026-09-24 10:13:00,52.58,52.58,52.58,52.58,2483351.0,130572322
600641.SH,2026-09-24 10:14:00,52.58,52.58,52.58,52.57,1623512.0,85361212
600641.SH,2026-09-24 10:15:00,52.57,52.11,52.58,52.11,2192395.0,114638467
600641.SH,2026-09-24 10:16:00,52.11,52.0,52.11,51.95,1598160.0,83105993
600641.SH,2026-09-24 10:17:00,51.98,51.8,51.98,51.65,1690440.0,87629794
600641.SH,2026-09-24 10:18:00,51.74,51.8,51.85,51.74,867392.0,44917403
600641.SH,2026-09-24 10:19:00,51.78,51.9,51.9,51.75,1092836.0,56633192
600641.SH,2026-09-24 10:20:00,51.93,52.1,52.1,51.93,498600.0,25941711
600641.SH,2026-09-24 10:21:00,52.06,52.12,52.17,51.96,572600.0,29811580
600641.SH,2026-09-24 10:22:00,52.08,52.14,52.27,52.03,499500.0,26036076
600641.SH,2026-09-24 10:23:00,52.12,52.09,52.12,52.07,250400.0,13043380
600641.SH,2026-09-24 10:24:00,52.11,52.09,52.11,52.0,370500.0,19285130
600641.SH,2026-09-24 10:25:00,52.09,52.43,52.43,52.09,729780.0,38128125
600641.SH,2026-09-24 10:26:00,52.35,52.37,52.46,52.35,784400.0,41118638
600641.SH,2026-09-24 10:27:00,52.35,52.43,52.43,52.32,207900.0,10888976
600641.SH,2026-09-24 10:28:00,52.42,52.35,52.42,52.32,257700.0,13501790
600641.SH,2026-09-24 10:29:00,52.36,52.42,52.42,52.33,325100.0,17032186
600641.SH,2026-09-24 10:30:00,52.49,52.57,52.58,52.43,1023500.0,53791919
600641.SH,2026-09-24 10:31:00,52.57,52.57,52.58,52.55,695900.0,36582529
600641.SH,2026-09-24 10:32:00,52.56,52.58,52.58,52.54,484600.0,25474326
600641.SH,2026-09-24 10:33:00,52.57,52.43,52.58,52.42,372100.0,19541775
600641.SH,2026-09-24 10:34:00,52.46,52.32,52.54,52.31,251700.0,13197698
600641.SH,2026-09-24 10:35:00,52.32,52.27,52.33,52.17,230400.0,12038892
600641.SH,2026-09-24 10:36:00,52.31,52.37,52.42,52.24,368500.0,19277619
600641.SH,2026-09-24 10:37:00,52.35,52.42,52.48,52.35,297600.0,15600496
600641.SH,2026-09-24 10:38:00,52.44,52.48,52.48,52.38,156000.0,8175174
