ts_code,time,open,close,high,low,vol,amount
002490.SZ,2026-07-21 09:30:00,7.39,7.39,7.4,7.34,3137000.0,23179116.0
002490.SZ,2026-07-21 09:31:00,7.41,7.17,7.45,7.13,4167700.0,30285895.0
002490.SZ,2026-07-21 09:32:00,7.18,7.1,7.18,7.08,4154900.0,29607325.0
002490.SZ,2026-07-21 09:33:00,7.09,7.07,7.13,7.04,2829500.0,20059445.0
002490.SZ,2026-07-21 09:34:00,7.06,7.09,7.1,7.06,1531900.0,10836766.0
002490.SZ,2026-07-21 09:35:00,7.11,7.12,7.12,7.1,787500.0,5600113.0
002490.SZ,2026-07-21 09:36:00,7.11,7.15,7.15,7.08,1410700.0,10023162.0
002490.SZ,2026-07-21 09:37:00,7.17,7.23,7.24,7.17,1006600.0,7270689.0
002490.SZ,2026-07-21 09:38:00,7.2,7.16,7.2,7.15,893900.0,6416000.0
002490.SZ,2026-07-21 09:39:00,7.15,7.11,7.15,7.1,921400.0,6558080.0
002490.SZ,2026-07-21 09:40:00,7.12,7.13,7.14,7.1,699700.0,4977299.0
002490.SZ,2026-07-21 09:41:00,7.14,7.1,7.14,7.09,747600.0,5312759.0
002490.SZ,2026-07-21 09:42:00,7.09,7.06,7.09,7.06,1079400.0,7634908.0
002490.SZ,2026-07-21 09:43:00,7.06,7.08,7.08,7.06,674300.0,4768270.0
002490.SZ,2026-07-21 09:44:00,7.08,7.08,7.09,7.07,612500.0,4333474.0
002490.SZ,2026-07-21 09:45:00,7.08,7.06,7.08,7.06,712800.0,5035166.0
002490.SZ,2026-07-21 09:46:00,7.06,7.05,7.07,7.05,705200.0,4975024.0
002490.SZ,2026-07-21 09:47:00,7.05,7.06,7.07,7.05,335100.0,2366582.0
002490.SZ,2026-07-21 09:48:00,7.06,7.1,7.1,7.06,444900.0,3149256.0
002490.SZ,2026-07-21 09:49:00,7.1,7.1,7.1,7.08,492900.0,3495626.0
002490.SZ,2026-07-21 09:50:00,7.1,7.14,7.17,7.1,758800.0,5415195.0
002490.SZ,2026-07-21 09:51:00,7.17,7.14,7.17,7.08,451400.0,3212521.0
002490.SZ,2026-07-21 09:52:00,7.14,7.17,7.18,7.13,316000.0,2264055.0
