ts_code,trade_date,close,open,high,low,vol,amount,vwap
000628.SZ,20260904,54.05,53.89,54.18,53.84,194000.0,10463313.92,53.94
000635.SZ,20260904,7.22,7.19,7.43,7.19,3939100.16,28368675.84,7.2
000813.SZ,20260904,3.54,3.58,3.58,3.51,6650200.32,23768371.2,3.57
000852.SZ,20260904,5.58,5.58,5.61,5.58,1247000.0,6959441.28,5.58
000892.SZ,20260904,4.94,4.77,4.94,4.77,35743800.32,170584350.72,4.77
001278.SZ,20260904,16.6,16.5,16.65,16.42,665200.0,10981943.04,16.51
001299.SZ,20260904,12.19,12.22,12.22,12.09,2209030.08,26966497.28,12.21
001326.SZ,20260904,73.03,73.63,73.99,73.03,16600.0,1223138.0,73.68
001366.SZ,20260904,12.89,12.95,12.98,12.8,644500.0,8340723.2,12.94
002059.SZ,20260904,5.68,5.78,5.78,5.6,18668700.16,107815444.48,5.78
002104.SZ,20260904,13.94,13.93,14.14,13.93,8133955.84,113518796.8,13.96
002201.SZ,20260904,9.37,9.36,9.4,9.36,2595808.96,24310878.72,9.37
002265.SZ,20260904,20.72,20.82,20.88,20.7,1158500.0,24106027.52,20.81
002274.SZ,20260904,6.39,6.35,6.42,6.35,2105000.0,13390905.6,6.36
002297.SZ,20260904,22.22,22.01,22.22,22.01,6479409.28,142829445.12,22.04
002300.SZ,20260904,8.16,8.35,8.35,8.15,6151100.16,51274127.36,8.34
002328.SZ,20260904,10.44,10.4,10.58,10.37,7097799.68,73938391.04,10.42
002403.SZ,20260904,10.91,11.18,11.18,10.9,1939700.0,21635983.36,11.15
002536.SZ,20260904,63.25,63.07,63.79,63.07,2044344.0,129055426.56,63.13
002631.SZ,20260904,11.14,11.1,11.31,11.1,960900.0,10686184.96,11.12
002632.SZ,20260904,9.28,9.32,9.35,9.28,1235300.0,11512450.56,9.32
002639.SZ,20260904,13.95,13.99,14.0,13.81,4461100.16,62379345.92,13.98
002708.SZ,20260904,15.37,15.43,15.43,15.13,2483700.0,38268592.64,15.41
002787.SZ,20260904,25.01,25.0,25.29,24.67,849500.0,21241268.48,25.0
002886.SZ,20260904,27.47,27.01,27.5,27.01,2046300.0,55366492.16,27.06
002893.SZ,20260904,10.65,10.63,10.69,10.63,782400.0,8323304.96,10.64
002909.SZ,20260904,8.52,8.56,8.57,8.36,12092600.32,103220643.84,8.54
002969.SZ,20260904,13.75,13.73,13.88,13.73,2992179.84,41125711.36,13.74
002980.SZ,20260904,114.14,114.53,115.68,114.13,923400.0,105730795.52,114.5
002999.SZ,20260904,6.3,6.3,6.33,6.25,1718700.0,10825122.56,6.3
