ts_code,time,open,close,high,low,vol,amount
002718.SZ,2026-07-16 09:30:00,107.9,107.0,107.9,106.0,17000.0,1832924.0
002718.SZ,2026-07-16 09:31:00,106.82,106.05,106.9,104.51,45823.0,4852271.5
002718.SZ,2026-07-16 09:32:00,106.3,105.35,106.77,105.35,27300.0,2897997.0
002718.SZ,2026-07-16 09:33:00,105.89,105.35,106.25,105.35,18400.0,1947202.0
002718.SZ,2026-07-16 09:34:00,105.71,105.35,105.89,105.35,9700.0,1024764.0
002718.SZ,2026-07-16 09:35:00,105.34,105.22,105.7,104.97,40100.0,4212945.0
002718.SZ,2026-07-16 09:36:00,105.2,107.29,107.29,105.2,11200.0,1189156.0
002718.SZ,2026-07-16 09:37:00,107.19,106.41,107.19,106.41,4500.0,479887.0
002718.SZ,2026-07-16 09:38:00,106.1,107.39,107.39,106.1,10500.0,1123013.0
002718.SZ,2026-07-16 09:39:00,107.3,107.97,109.05,107.3,25000.0,2707566.0
002718.SZ,2026-07-16 09:40:00,108.1,108.13,108.55,107.63,25000.0,2707572.0
002718.SZ,2026-07-16 09:41:00,108.13,107.05,108.41,107.05,12800.0,1380428.0
002718.SZ,2026-07-16 09:42:00,107.6,107.45,107.82,107.45,8200.0,882174.0
002718.SZ,2026-07-16 09:43:00,107.55,107.6,107.96,107.55,4600.0,495504.0
002718.SZ,2026-07-16 09:44:00,107.6,108.3,108.33,107.6,6300.0,681510.0
002718.SZ,2026-07-16 09:45:00,108.3,108.95,108.95,108.13,15000.0,1629260.0
002718.SZ,2026-07-16 09:46:00,108.95,109.5,109.5,108.95,10600.0,1157106.0
002718.SZ,2026-07-16 09:47:00,109.57,109.16,109.99,108.98,12000.0,1313781.0
002718.SZ,2026-07-16 09:48:00,109.16,108.62,109.16,108.34,4800.0,522094.0
002718.SZ,2026-07-16 09:49:00,108.59,108.35,108.62,108.35,5500.0,596550.0
002718.SZ,2026-07-16 09:50:00,108.36,108.59,108.6,108.29,7000.0,758243.0
002718.SZ,2026-07-16 09:51:00,108.11,107.86,108.56,107.51,13500.0,1458361.0
002718.SZ,2026-07-16 09:52:00,107.85,107.99,108.24,107.85,2000.0,215862.0
002718.SZ,2026-07-16 09:53:00,107.99,107.81,107.99,107.81,2200.0,237512.0
002718.SZ,2026-07-16 09:54:00,107.9,107.5,107.9,107.5,1300.0,139864.0
002718.SZ,2026-07-16 09:55:00,107.5,108.3,108.3,107.5,10500.0,1130659.0
002718.SZ,2026-07-16 09:56:00,107.95,109.05,109.44,107.95,18600.0,2026630.0
002718.SZ,2026-07-16 09:57:00,109.4,109.05,109.4,109.05,7800.0,851825.0
002718.SZ,2026-07-16 09:58:00,109.41,109.81,109.85,109.08,10200.0,1117499.0
002718.SZ,2026-07-16 09:59:00,109.81,109.64,109.81,109.47,2600.0,285191.0
002718.SZ,2026-07-16 10:00:00,109.64,109.13,109.64,109.13,2300.0,251919.0
002718.SZ,2026-07-16 10:01:00,109.12,108.89,109.52,108.89,3300.0,360123.0
002718.SZ,2026-07-16 10:02:00,108.89,108.73,109.05,108.53,2000.0,217343.0
002718.SZ,2026-07-16 10:03:00,108.8,108.56,108.8,108.56,2500.0,271813.0
002718.SZ,2026-07-16 10:04:00,108.57,108.58,108.79,108.57,2200.0,239124.0
002718.SZ,2026-07-16 10:05:00,108.8,109.77,109.77,108.79,16500.0,1803327.0
002718.SZ,2026-07-16 10:06:00,109.74,109.69,109.75,109.4,4200.0,460391.0
002718.SZ,2026-07-16 10:07:00,109.22,109.4,109.7,109.22,2100.0,230071.0
002718.SZ,2026-07-16 10:08:00,109.68,109.42,109.68,109.17,900.0,98461.0
002718.SZ,2026-07-16 10:09:00,109.42,108.99,109.42,108.99,3600.0,393175.0
002718.SZ,2026-07-16 10:10:00,108.99,108.99,108.99,108.99,400.0,43599.0
002718.SZ,2026-07-16 10:11:00,109.67,109.15,109.67,109.1,2200.0,240585.0
002718.SZ,2026-07-16 10:12:00,109.35,108.6,109.35,108.6,8300.0,904927.0
002718.SZ,2026-07-16 10:13:00,108.52,108.52,108.86,108.5,1400.0,151978.0
002718.SZ,2026-07-16 10:14:00,108.53,108.74,108.74,108.5,3800.0,412805.0
002718.SZ,2026-07-16 10:15:00,108.53,109.2,109.2,108.53,2000.0,217693.0
002718.SZ,2026-07-16 10:16:00,109.2,108.94,109.21,108.94,1700.0,185484.0
002718.SZ,2026-07-16 10:17:00,108.94,109.57,109.57,108.94,1400.0,152958.0
002718.SZ,2026-07-16 10:18:00,109.58,109.18,109.58,109.18,500.0,54668.0
002718.SZ,2026-07-16 10:19:00,109.18,109.18,109.18,108.78,1300.0,141844.0
002718.SZ,2026-07-16 10:20:00,109.48,109.34,109.8,109.3,9600.0,1052460.0
002718.SZ,2026-07-16 10:21:00,109.3,108.87,109.44,108.86,11300.0,1235213.0
002718.SZ,2026-07-16 10:22:00,108.86,108.91,109.21,108.86,1300.0,141808.0
002718.SZ,2026-07-16 10:23:00,109.19,108.9,109.19,108.9,1000.0,108929.0
002718.SZ,2026-07-16 10:24:00,108.93,108.5,108.93,108.5,13400.0,1456824.0
002718.SZ,2026-07-16 10:25:00,108.51,108.1,108.51,108.1,2600.0,281518.0
002718.SZ,2026-07-16 10:26:00,108.36,108.17,108.36,108.17,1100.0,119051.0
002718.SZ,2026-07-16 10:27:00,108.45,108.21,108.46,108.08,7400.0,801036.0
002718.SZ,2026-07-16 10:28:00,108.21,108.44,108.56,108.21,6000.0,650247.0
002718.SZ,2026-07-16 10:29:00,108.44,108.2,108.67,108.2,14400.0,1561259.0
