ts_code,time,open,close,high,low,vol,amount
603296.SH,2026-07-10 09:30:00,81.66,81.66,81.66,81.66,394620.0,32224668.0
603296.SH,2026-07-10 09:31:00,81.66,81.28,81.7,80.8,762555.0,61948924.0
603296.SH,2026-07-10 09:32:00,81.39,81.56,81.64,81.28,627660.0,51182144.0
603296.SH,2026-07-10 09:33:00,81.47,80.66,81.47,80.56,863854.0,69860300.0
603296.SH,2026-07-10 09:34:00,80.66,81.58,81.58,80.66,548540.0,44398856.0
603296.SH,2026-07-10 09:35:00,81.58,81.8,81.83,81.5,457795.0,37354644.0
603296.SH,2026-07-10 09:36:00,81.83,81.7,82.05,81.7,526380.0,43098844.0
603296.SH,2026-07-10 09:37:00,81.66,81.53,81.66,81.42,458200.0,37364840.0
603296.SH,2026-07-10 09:38:00,81.5,82.05,82.05,81.34,419283.0,34201264.0
603296.SH,2026-07-10 09:39:00,81.98,81.69,82.06,81.69,451700.0,36962736.0
603296.SH,2026-07-10 09:40:00,81.69,82.13,82.13,81.58,351500.0,28738082.0
603296.SH,2026-07-10 09:41:00,82.13,82.27,82.4,81.91,485100.0,39876560.0
603296.SH,2026-07-10 09:42:00,82.25,82.57,82.57,82.0,358080.0,29437834.0
603296.SH,2026-07-10 09:43:00,82.5,82.37,82.6,81.93,447100.0,36765064.0
603296.SH,2026-07-10 09:44:00,82.38,82.65,82.85,82.35,584040.0,48295210.0
603296.SH,2026-07-10 09:45:00,82.76,82.21,82.96,82.21,474980.0,39273110.0
603296.SH,2026-07-10 09:46:00,82.35,82.03,82.35,82.03,306100.0,25142454.0
603296.SH,2026-07-10 09:47:00,81.93,81.96,82.2,81.9,467140.0,38307176.0
603296.SH,2026-07-10 09:48:00,81.92,82.07,82.27,81.92,281524.0,23107822.0
603296.SH,2026-07-10 09:49:00,82.02,81.9,82.02,81.86,250596.0,20529978.0
603296.SH,2026-07-10 09:50:00,81.88,82.18,82.18,81.8,302907.0,24813788.0
603296.SH,2026-07-10 09:51:00,82.19,82.94,82.98,82.19,294120.0,24323772.0
603296.SH,2026-07-10 09:52:00,82.84,83.15,83.21,82.6,403280.0,33418076.0
603296.SH,2026-07-10 09:53:00,83.18,83.5,83.5,83.04,325280.0,27068004.0
603296.SH,2026-07-10 09:54:00,83.5,83.18,83.58,83.1,374100.0,31151084.0
603296.SH,2026-07-10 09:55:00,83.18,83.66,83.66,83.02,233960.0,19500652.0
603296.SH,2026-07-10 09:56:00,83.54,83.2,83.68,83.2,231600.0,19327852.0
603296.SH,2026-07-10 09:57:00,83.15,82.9,83.18,82.76,233280.0,19361420.0
603296.SH,2026-07-10 09:58:00,82.9,82.96,83.27,82.89,305240.0,25321724.0
603296.SH,2026-07-10 09:59:00,82.89,83.2,83.31,82.89,412880.0,34322184.0
603296.SH,2026-07-10 10:00:00,83.03,83.1,83.2,82.94,322840.0,26811224.0
603296.SH,2026-07-10 10:01:00,83.15,83.25,83.52,83.13,320080.0,26660452.0
603296.SH,2026-07-10 10:02:00,83.15,82.71,83.15,82.4,379680.0,31456630.0
603296.SH,2026-07-10 10:03:00,82.71,83.05,83.14,82.68,264160.0,21909268.0
603296.SH,2026-07-10 10:04:00,83.16,83.17,83.41,82.98,274853.0,22861308.0
603296.SH,2026-07-10 10:05:00,83.16,82.3,83.16,82.3,175640.0,14527311.0
603296.SH,2026-07-10 10:06:00,82.32,82.49,82.51,82.13,291412.0,23965796.0
603296.SH,2026-07-10 10:07:00,82.61,82.94,83.1,82.61,155980.0,12928373.0
603296.SH,2026-07-10 10:08:00,82.94,82.49,82.94,82.42,132820.0,10972867.0
603296.SH,2026-07-10 10:09:00,82.49,82.6,82.72,82.4,175120.0,14459851.0
603296.SH,2026-07-10 10:10:00,82.51,82.6,82.9,82.51,134300.0,11108801.0
603296.SH,2026-07-10 10:11:00,82.52,82.14,82.81,82.03,213400.0,17554222.0
603296.SH,2026-07-10 10:12:00,82.07,82.21,82.29,82.07,165660.0,13609053.0
603296.SH,2026-07-10 10:13:00,82.3,82.39,82.51,82.25,176360.0,14525761.0
603296.SH,2026-07-10 10:14:00,82.47,82.18,82.47,82.18,95560.0,7866529.0
603296.SH,2026-07-10 10:15:00,82.34,82.45,82.54,82.27,215792.0,17772060.0
603296.SH,2026-07-10 10:16:00,82.48,82.83,82.83,82.48,145400.0,12010889.0
603296.SH,2026-07-10 10:17:00,82.86,82.94,82.98,82.86,154180.0,12789497.0
603296.SH,2026-07-10 10:18:00,82.93,82.86,82.96,82.84,93040.0,7714115.0
603296.SH,2026-07-10 10:19:00,82.81,83.25,83.25,82.73,177900.0,14767906.0
603296.SH,2026-07-10 10:20:00,83.27,83.13,83.3,83.1,190040.0,15814017.0
603296.SH,2026-07-10 10:21:00,83.15,83.0,83.18,82.94,149460.0,12418284.0
603296.SH,2026-07-10 10:22:00,83.0,83.04,83.04,82.94,142860.0,11858818.0
603296.SH,2026-07-10 10:23:00,83.19,83.11,83.2,83.05,132180.0,10989180.0
603296.SH,2026-07-10 10:24:00,83.05,83.47,83.49,82.94,236445.0,19694366.0
603296.SH,2026-07-10 10:25:00,83.22,83.53,83.6,83.22,255656.0,21339148.0
603296.SH,2026-07-10 10:26:00,83.6,83.49,83.6,83.45,160000.0,13364483.0
603296.SH,2026-07-10 10:27:00,83.54,84.14,84.19,83.54,552520.0,46339544.0
603296.SH,2026-07-10 10:28:00,84.14,84.26,84.26,83.99,446320.0,37543696.0
603296.SH,2026-07-10 10:29:00,84.29,84.27,84.41,84.21,401960.0,33860910.0
603296.SH,2026-07-10 10:30:00,84.38,84.6,84.69,84.38,581194.0,49110730.0
603296.SH,2026-07-10 10:31:00,84.62,85.02,85.15,84.62,885660.0,75237490.0
603296.SH,2026-07-10 10:32:00,85.1,84.8,85.1,84.5,494320.0,41927964.0
603296.SH,2026-07-10 10:33:00,84.8,84.88,85.3,84.55,689660.0,58582436.0
603296.SH,2026-07-10 10:34:00,85.02,85.13,85.36,84.9,701320.0,59690340.0
603296.SH,2026-07-10 10:35:00,85.14,85.25,85.25,84.97,497340.0,42326760.0
603296.SH,2026-07-10 10:36:00,85.28,85.34,85.55,85.28,492280.0,42057330.0
