ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
601012.SH,20260305,1.5763,2.0008,0.75,13458642.0885,
300472.SZ,20260305,1.1094,1.3034,0.62,210297.5864,
605069.SH,20260305,3.8715,10.0255,0.58,293201.4225,
603678.SH,20260305,2.6249,4.3983,0.55,1827126.9963,
300136.SZ,20260305,7.5743,8.0334,0.67,6765239.9169,
300449.SZ,20260305,8.2744,10.7617,0.9,336623.3824,
600383.SH,20260305,1.1684,1.8733,0.53,1404035.4909,
002636.SZ,20260305,4.7886,14.0052,0.88,1932840.0,
300303.SZ,20260305,19.1194,21.143,0.78,1775257.3253,
000863.SZ,20260305,1.5232,2.8585,0.62,676540.8479,
301589.SZ,20260305,2.6987,2.8924,1.19,1638271.008,
600683.SH,20260305,3.3558,7.5894,0.66,511136.5419,
603859.SH,20260305,2.4997,3.4127,0.51,1062722.1154,
000728.SZ,20260305,0.5591,0.9529,0.77,3434293.2002,
603375.SH,20260305,2.2442,3.685,0.93,378104.0013,
920642.BJ,20260305,3.7744,6.9783,0.91,155090.7359,
688244.SH,20260305,0.9082,2.0982,0.59,321246.1124,
002738.SZ,20260305,2.745,3.2161,0.68,5808009.6099,
688009.SH,20260305,0.6245,2.6829,1.02,6184454.296,
000420.SZ,20260305,2.3589,2.9678,0.67,1067148.8609,
920553.BJ,20260305,1.9441,3.1275,0.99,143977.8409,
688690.SH,20260305,0.8215,1.4104,0.59,1036188.687,
603284.SH,20260305,13.4725,13.4725,0.46,361991.04,
300995.SZ,20260305,1.8621,3.2946,0.8,314709.2564,
688533.SH,20260305,1.3767,4.9826,0.86,531421.0495,
301158.SZ,20260305,20.021,36.6054,1.25,451111.53,
002654.SZ,20260305,5.5372,7.2758,1.12,1185114.1667,
688573.SH,20260305,3.6035,3.6035,0.73,205186.4604,
603706.SH,20260305,3.4424,11.0456,1.27,398271.8475,
600513.SH,20260305,7.0264,11.6903,1.63,632571.0943,
300672.SZ,20260305,3.2145,4.5152,0.62,3034658.0741,
603979.SH,20260305,1.2695,2.2031,1.09,4466949.3482,
300603.SZ,20260305,6.3117,6.8569,1.09,481530.9673,
600885.SH,20260305,2.0845,2.8092,1.3,4902778.7836,
600071.SH,20260305,2.0243,3.9924,1.39,577226.4725,
601599.SH,20260305,3.3873,4.4035,0.73,474661.8633,
603043.SH,20260305,0.7273,2.2651,0.87,961791.4313,
301227.SZ,20260305,2.0282,2.0347,0.49,324831.2355,
603188.SH,20260305,3.4679,4.9289,0.58,306751.46,
300032.SZ,20260305,12.9489,15.5055,2.78,441743.2844,
688755.SH,20260305,1.5589,1.5589,0.74,343024.0,
603978.SH,20260305,2.1772,3.4359,0.57,502615.5259,
002272.SZ,20260305,48.2101,52.2133,1.43,1018727.2073,
601668.SH,20260305,0.6357,1.503,0.75,20660195.222,
002297.SZ,20260305,6.1308,7.9186,0.54,700907.1936,
601163.SH,20260305,0.6834,1.94,0.83,1183200.0,
688031.SH,20260305,10.929,16.147,1.7,2703874.781,
000417.SZ,20260305,1.8555,2.995,0.67,569315.466,
688143.SH,20260305,8.3304,10.7851,0.97,745640.8436,
003032.SZ,20260305,1.791,2.5343,1.18,268432.4825,
600020.SH,20260305,0.6089,1.9129,0.8,905690.8483,
300782.SZ,20260305,3.609,4.8671,1.2,4427724.8498,
000636.SZ,20260305,7.8834,12.2338,0.52,2747906.3761,
000826.SZ,20260305,10.4455,13.2206,0.65,352062.2523,
920392.BJ,20260305,1.4475,2.6917,0.72,180224.825,
688290.SH,20260305,0.7669,1.6848,0.67,534758.7734,
688288.SH,20260305,1.5176,3.209,0.71,273389.7353,
605599.SH,20260305,1.1486,3.083,0.79,1845666.7194,
603082.SH,20260305,7.8507,7.8507,1.09,622791.5376,
688758.SH,20260305,0.8105,1.3688,0.51,765044.5223,
920943.BJ,20260305,5.9835,9.4646,0.94,253498.8809,
603659.SH,20260305,1.8437,3.9463,1.14,5887915.8535,
300499.SZ,20260305,23.6323,24.616,0.94,1180090.9484,
688026.SH,20260305,1.256,2.256,0.81,240163.3943,
301181.SZ,20260305,2.9874,7.0196,1.22,501794.4457,
920679.BJ,20260305,1.1651,2.4548,0.97,112817.0,
300943.SZ,20260305,13.8252,16.7671,0.85,711127.98,
688179.SH,20260305,3.5045,6.5222,0.69,590044.7754,
300858.SZ,20260305,1.5143,1.8483,0.84,432395.4886,
002605.SZ,20260305,1.7851,2.8604,0.77,978974.7574,
300887.SZ,20260305,5.3074,9.0545,1.24,599219.4599,
600076.SH,20260305,1.7185,2.8245,0.78,486724.6989,
300277.SZ,20260305,11.3613,13.0995,1.15,3850659.4983,
002204.SZ,20260305,1.5162,3.4018,0.74,1371272.7227,
300366.SZ,20260305,1.3209,1.3976,0.62,376697.213,
601390.SH,20260305,1.401,3.1808,0.59,14638929.6039,
603225.SH,20260305,1.7884,4.0921,0.87,3098376.0087,
300551.SZ,20260305,4.6548,5.7377,0.92,658361.6563,
000890.SZ,20260305,34.8602,58.4843,1.19,383846.1307,
920433.BJ,20260305,0.7747,1.3741,0.96,147921.5756,
003015.SZ,20260305,7.4834,8.633,1.88,488493.8672,
301082.SZ,20260305,7.1506,13.968,2.14,447186.9278,
603307.SH,20260305,1.0858,4.2794,0.95,264479.145,
920729.BJ,20260305,2.6373,2.6933,0.86,247928.45,
688028.SH,20260305,7.0024,11.3843,0.89,1805350.04,
002319.SZ,20260305,2.7152,3.6691,0.75,290957.3164,
603032.SH,20260305,1.4048,2.7679,0.74,410518.8074,
600549.SH,20260305,6.0785,9.6534,0.92,11902130.9375,
600917.SH,20260305,3.2989,7.3248,1.08,900719.9415,
000683.SZ,20260305,2.7091,3.5893,1.12,3553290.9714,
600874.SH,20260305,1.169,2.7937,0.92,1005067.5744,
688372.SH,20260305,7.6936,11.0939,1.03,2140413.1855,
300825.SZ,20260305,1.3457,1.5205,0.7,470648.2545,
600067.SH,20260305,1.8464,2.9335,0.91,578934.1954,
002039.SZ,20260305,2.926,4.8527,1.04,805091.9513,
600468.SH,20260305,11.784,26.7344,2.52,930013.6995,
300217.SZ,20260305,8.4276,10.5826,1.41,820277.2017,
600864.SH,20260305,0.9686,1.7888,0.69,1306598.2866,
688056.SH,20260305,0.7647,1.7985,0.6,252339.6529,
600626.SH,20260305,1.198,2.2595,0.79,599618.0788,
002930.SZ,20260305,3.8041,7.8421,1.29,623558.6983,
688052.SH,20260305,2.0841,2.9508,0.76,2487975.9015,
000407.SZ,20260305,14.807,19.8171,1.58,476125.7989,
000668.SZ,20260305,1.2169,2.0593,0.7,209543.377,
603551.SH,20260305,1.1337,4.0462,1.11,470155.5183,
603617.SH,20260305,1.3388,2.3439,0.69,291682.0887,
603601.SH,20260305,8.5827,13.2825,0.49,1331969.5722,
600724.SH,20260305,1.0504,4.5609,0.96,939406.6962,
300993.SZ,20260305,1.077,2.0949,0.52,403651.872,
600232.SH,20260305,1.7029,3.423,0.7,294327.865,
603083.SH,20260305,11.4541,13.2792,1.04,3991296.9216,
002749.SZ,20260305,0.8352,1.8295,0.77,646839.3089,
001330.SZ,20260305,5.9772,8.234,0.51,1091368.0733,
603035.SH,20260305,1.0593,1.5633,0.71,537797.5134,
600649.SH,20260305,1.6212,3.4444,0.42,1192142.3656,
002571.SZ,20260305,4.2357,6.1254,1.46,498561.2904,
600184.SH,20260305,2.5394,5.1638,0.85,1104851.2793,
300212.SZ,20260305,2.4578,3.7895,0.86,830755.855,
000078.SZ,20260305,2.3613,4.3984,0.83,863008.4283,
603970.SH,20260305,1.5272,3.7895,1.07,363417.7812,
300882.SZ,20260305,9.8482,30.3671,2.51,708061.7391,
300128.SZ,20260305,1.9906,2.7471,0.73,905483.4422,
300491.SZ,20260305,5.6622,7.3221,0.93,482574.1403,
002677.SZ,20260305,2.1005,4.5713,0.89,567233.3461,
688702.SH,20260305,4.3474,8.5911,0.84,7954000.0,
603717.SH,20260305,1.7876,2.6122,0.6,211226.4627,
001202.SZ,20260305,2.5227,5.1942,0.83,293543.0447,
603351.SH,20260305,0.4426,1.0179,0.74,351599.9867,
600051.SH,20260305,2.0993,2.9602,1.07,246216.96,
601118.SH,20260305,1.8569,5.2095,0.76,3128261.7196,
603285.SH,20260305,3.531,3.531,0.63,549280.0,
000989.SZ,20260305,0.7206,1.0956,0.56,727550.7102,
601179.SH,20260305,6.3346,13.1621,1.1,9282972.9395,
300453.SZ,20260305,5.4998,6.3251,1.28,505377.5782,
300991.SZ,20260305,3.8288,5.1596,0.46,857232.0,
301008.SZ,20260305,1.2222,2.3833,0.63,423273.1723,
002194.SZ,20260305,2.9329,3.7689,0.89,827459.1111,
002322.SZ,20260305,1.8648,2.7215,0.83,504428.5986,
300056.SZ,20260305,7.1573,7.8637,1.08,394356.7232,
300567.SZ,20260305,5.0334,6.1117,0.92,4103027.8352,
688502.SH,20260305,6.1824,6.1824,1.38,1768272.0,
600795.SH,20260305,1.8241,4.1183,1.11,9042658.8746,
300965.SZ,20260305,1.9893,6.7231,0.68,348720.0,
300922.SZ,20260305,4.8316,5.7568,0.66,346260.7072,
300614.SZ,20260305,3.1377,5.4933,0.55,244190.7134,
001696.SZ,20260305,8.8759,11.2234,1.52,2658752.5082,
000712.SZ,20260305,1.5455,2.3029,0.76,1095808.0,
000679.SZ,20260305,1.5872,2.2062,1.12,250549.2,
603290.SH,20260305,1.5964,3.3954,0.7,2349713.6484,
603207.SH,20260305,1.43,1.43,0.77,450778.46,
603039.SH,20260305,2.1303,4.4966,0.8,1088017.113,
