trade_date,exec_date,target_date,ts_code,name,rank,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,dataset_split,sample_weight,is_cold_start,feature_coverage_score,label_version,buy_window_start,buy_window_end,open_t1,up_limit_t1,down_limit_t1,open_times_t1,symbol,board,area,market,list_date,open,high,low,close,pct_chg,pre_close_est,returns_1d,high_low_range,candle_body,gap_open,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,amihud_illiquidity,volatility_5d,volatility_10d,volatility_20d,atr,downside_vol,max_drawdown_20d,tail_risk_score,ret_2d,ret_5d,ret_10d,bid_ask_proxy,spread_proxy,total_mv,float_mv,pe_ttm,pb,north_money_market,south_money_market,hgt_market,sgt_market,market_regime,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,top_list_net_buy,top_net_rate,amount_rate,float_values,abnormal_volume,has_namechange_record,latest_change_reason,auction_vol,auction_price,auction_amount,auction_strength_score,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,intraday_available,intraday_status,intraday_missing_reason,minute_freq,minute_rows,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,reseal_score,intraday_quality_score,intraday_confidence_score,intraday_risk_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_tag,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_limit_up,break_count_proxy,limit_up_strength,prior_prob_prior,prior_strength_score,prior_theme_boost,prior_board,open_times_t1__is_missing,prior_prob_prior__is_missing,prior_strength_score__is_missing,prior_theme_boost__is_missing
20260710,20260713,20260714,000933.SZ,神火股份,1,PFILL_READY,1,0,1,strong_open_tradable,23.03,t1_open,raw_train_pool,1.75,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23.03,25.84,21.14,,933,工业金属,河南,主板,19990831,22.01,23.49,21.91,23.49,10.0234,21.350003726480004,10.0234,0.0740046709237972,0.0693208309919113,0.0309131690080885,1058202.09,2426165.54934,4.7085,6.9982,1.91,4.131375125133859e-06,0.0474428089395396,0.0388097174137195,0.0422032170088662,0.0512824206274057,0.0203698368047519,-0.2270230684730867,0.2895961222867048,0.0730927364093192,0.0648232094288303,0.0971508640822045,0.0672626649638143,0.0740046709237972,5282911.3356,,,,449280.34,54452.96,197704.64,251575.7,,,,0.0,,,0.0,51221402.65,2.11,41.88,52791897773.16,41.88,0.0,,1483528.0,22.01,32652451.28,0.970103279579634,U,17.0,23024710.0,23024710.0,104806.0,134912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.49,19.22,1.0,0.0,1.082321765614261,0.3011210407718312,51.736264,0.0164,工业金属,1,0,0,0
20260710,20260713,20260714,600410.SH,华胜天成,2,PFILL_READY,1,0,1,strong_open_tradable,16.59,t1_open,raw_train_pool,1.75,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,16.59,18.22,14.9,,600410,IT服务Ⅱ,北京,主板,20040427,15.05,16.56,14.91,16.56,10.0332,15.050003089976478,10.0332,0.1096345289855071,0.1003322053140095,-2.053140094976501e-07,1129457.38,1840304.25,10.3006,10.3006,2.07,5.451924593446981e-06,0.0507113572566266,0.0406449449507881,0.0408954681828876,0.0576930967683482,0.0140266675317499,-0.2554404145077721,0.3103625502224097,0.1288343558282207,0.0690768237572627,0.0454545454545454,0.0996376811594202,0.1096345289855071,1815795.2232,,,,449280.34,54452.96,197704.64,251575.7,,,,0.0,,,0.0,,,,,,0.0,,176500.0,15.05,2656325.0,0.7928972639971009,U,8.0,115259736.0,115259736.0,94736.0,134924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.56,13.55,1.0,0.0,1.245100477539046,0.2869991727676624,71.406593,0.01,IT服务Ⅱ,1,0,0,0
20260710,20260713,20260714,000547.SZ,航天发展,3,PFILL_READY,1,0,1,strong_open_tradable,17.98,t1_open,raw_train_pool,1.75,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,17.98,19.99,16.35,,547,军工电子,福建,主板,19931130,16.45,18.17,16.23,18.17,9.9879,16.519999018073808,9.9879,0.1174334210236654,0.1041162289488168,-0.0042372289488168,1333124.5,2343222.11216,8.3891,10.5397,1.05,4.2624640439198816e-06,0.0674336667222637,0.0547901775399481,0.0472668277079356,0.06804173442393,0.0216537284863099,-0.2232445520581113,0.2921651082523569,0.1327930174563591,-0.0629190304280556,-0.0365853658536584,0.1067694001100716,0.1174334210236654,2904416.9011,,,,449280.34,54452.96,197704.64,251575.7,,,,0.0,,,0.0,216846609.2,9.25,26.01,28874329696.54,26.01,0.0,,342800.0,16.45,5639060.0,0.8671860844355862,U,2.0,182510382.0,182510382.0,130106.0,130315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.17,14.87,1.0,0.0,1.5455015310003863,0.2651629654656404,57.065934,0.0164,军工电子,1,0,0,0
20260710,20260713,20260714,002202.SZ,金风科技,4,PFILL_READY,1,0,1,strong_open_tradable,21.73,t1_open,raw_train_pool,1.5,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,21.73,24.6,20.12,,2202,风电设备,新疆,主板,20071226,20.47,22.36,19.93,22.36,9.9852,20.33000803744504,9.9852,0.1195277441860465,0.0929660232558139,0.006885976744186,2676620.61,5809635.62358,7.9578,10.7628,1.65,1.7187308545603664e-06,0.0604635018540441,0.0629715258884194,0.0492968278894225,0.072174291885024,0.0219225736361989,-0.17558799675588,0.2468073982815014,0.0627376425855512,-0.0906872712484749,-0.0415773681954564,0.1086762075134168,0.1195277441860465,9444391.5332,,,,449280.34,54452.96,197704.64,251575.7,,,,0.0,,,0.0,762430093.35,13.12,24.79,75207973611.16,24.79,0.0,,733800.0,20.47,15020886.0,0.9354955607899982,U,19.0,47067017.0,47067017.0,131242.0,145512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.36,18.3,1.0,0.0,1.104715375952994,0.259413293166845,51.659341,0.0164,风电设备,1,0,0,0
20260710,20260713,20260714,002865.SZ,钧达股份,5,PFILL_READY,1,0,1,strong_open_tradable,54.0,t1_open,raw_train_pool,1.5,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,54.0,61.53,50.35,,2865,光伏设备,海南,主板,20170425,50.99,55.94,50.55,55.94,10.0098,50.85001518046574,10.0098,0.1059980017876296,0.0973451036825169,0.002752896317483,138778.67,752345.45403,6.2085,8.7723,1.33,1.330479229505766e-05,0.0606393873509213,0.0487560903444594,0.040052884381997,0.0622695001130948,0.0196238306591904,-0.2556490917146654,0.315325806755853,0.1099206349206349,-0.0517036785895915,-0.020829686679503,0.0963532356095817,0.1059980017876296,1741222.2949,,,,449280.34,54452.96,197704.64,251575.7,,,,0.0,,,0.0,,,,,,0.0,,17800.0,50.99,907622.0,0.6481246602645406,U,6.0,25038744.0,25038744.0,130333.0,131427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.94,45.77,1.0,0.0,1.1719646661010903,0.2555947075001031,51.648352,0.01,光伏设备,1,0,0,0
20260710,20260713,20260714,002115.SZ,三维通信,6,PFILL_READY,1,0,1,strong_open_tradable,11.49,t1_open,raw_train_pool,1.5,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,11.49,12.05,9.86,,2115,通信服务,浙江,主板,20070215,10.95,10.95,10.95,10.95,10.0503,9.949995592924326,10.0503,0.0,0.0,0.1005029999999999,96598.88,105775.7736,1.2944,1.4319,0.29,9.50151405935924e-05,0.0523712788111166,0.0404492170944652,0.033815198471198,0.0478678294370511,0.0150214829219844,-0.1831103678929766,0.231947049286159,0.1207778915046058,0.0243217960710944,0.0631067961165046,0.0,0.0,881515.8435,,,,449280.34,54452.96,197704.64,251575.7,,4.0,8.0,1.0,8.0,4.0,0.0,,,,,,0.0,,2351400.0,10.95,25747830.0,0.9605000905961224,U,0.0,246887591.0,246887591.0,92500.0,92500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95,8.96,1.0,0.0,2.5370066603051136,0.2505097499900601,56.142857,0.1115060031977598,通信服务,1,0,0,0
20260710,20260713,20260714,600118.SH,中国卫星,7,PFILL_READY,1,0,1,strong_open_tradable,93.5,t1_open,raw_train_pool,1.5,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,93.5,99.02,81.02,,600118,航天装备,北京,主板,19970908,81.19,90.02,78.6,90.02,9.9951,81.8400092367751,9.9951,0.139540551210842,0.1078934384581203,-0.0079424384581205,625600.95,5310186.109,5.2905,10.9,1.24,1.882250413607867e-06,0.0559795978421418,0.0482657481011842,0.0441044980869677,0.0775962987152152,0.0180176098904712,-0.0969872537659326,0.1591093617433716,0.1551392275118694,0.0431054461181923,0.1575157515751575,0.1268606976227505,0.139540551210842,10644766.8782,,,,449280.34,54452.96,197704.64,251575.7,,6.0,3.0,1.0,3.0,6.0,0.0,,,,,,0.0,,184300.0,81.19,14963317.0,0.9351331763000544,U,0.0,860215546.0,860215546.0,130029.0,130029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.02,73.66,1.0,0.0,3.25,0.2393734065928892,58.076923,0.5394931282264485,航天装备,1,0,0,0
20260710,20260713,20260714,300786.SZ,国林科技,8,PFILL_READY,1,0,1,strong_open_tradable,23.4,t1_open,raw_train_pool,1.5,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23.4,28.68,19.12,,300786,环保设备,山东,创业板,20190723,20.25,23.9,20.2,23.9,19.9799,19.92000326721392,19.9799,0.1857429414225941,0.1832329016736401,0.01656609832636,103451.79,237383.5445,7.0667,7.6347,0.93,8.41671651760175e-05,0.0913270301434857,0.0767431469483579,0.0571502489354822,0.0813409210453045,0.0258720730162891,-0.2198973549151203,0.3029196768668917,0.2095141700404856,0.0903284671532844,0.0075885328836424,0.1548117154811715,0.1857429414225941,439798.001,,,,449280.34,54452.96,197704.64,251575.7,,,,0.0,,,0.0,20509426.0,8.64,45.3,3498821834.1,45.3,0.0,,8600.0,20.25,174150.0,0.3612973364739989,U,0.0,93560875.0,93560875.0,93927.0,93927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,15.94,1.0,0.0,2.1087644549497595,0.2342082325826038,68.538462,0.0164,环保设备,1,0,0,0
20260710,20260713,20260714,002414.SZ,高德红外,9,PFILL_READY,1,0,1,strong_open_tradable,14.35,t1_open,raw_train_pool,1.5,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,14.35,16.1,13.18,,2414,军工电子,湖北,主板,20100716,14.64,14.64,14.21,14.64,9.9925,13.30999840898243,9.9925,0.0323065403005464,0.0,0.099925,2039915.46,2979367.02254,6.0022,12.6089,3.98,3.3539003165447854e-06,0.0619988719272149,0.0508609876912355,0.0418907786237675,0.0582097333963869,0.0117432701276787,-0.1294964028776979,0.1831304516291442,0.2099173553719009,0.1563981042654028,0.1116173120728929,0.0293715846994535,0.0323065403005464,6252357.6504,,,,449280.34,54452.96,197704.64,251575.7,,,,0.0,,,0.0,57108362.21,1.75,23.12,49755685989.84,23.12,0.0,,12180001.0,14.64,178315214.64,0.9951078093857584,U,5.0,106549963.0,106549963.0,92500.0,95142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.64,11.98,1.0,0.0,1.2905309277759398,0.2320760646761057,57.725275,0.0164,军工电子,1,0,0,0
20260710,20260713,20260714,002342.SZ,巨力索具,10,PFILL_READY,1,0,1,strong_open_tradable,11.51,t1_open,raw_train_pool,1.5,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,11.51,12.18,9.96,,2342,通用设备,河北,主板,20100126,10.26,11.07,10.1,11.07,10.0398,10.059996474003045,10.0398,0.096421504968383,0.0805169268292683,0.0198810731707316,1715127.73,1848465.03912,17.9653,24.7112,1.19,5.43142541921142e-06,0.0649689879650659,0.0610125103026188,0.0484293350935597,0.0914442431595069,0.0201176068817231,-0.1696969696969698,0.2382439116722526,0.1543274244004171,0.0100364963503649,0.1471502590673574,0.0876242095754291,0.096421504968383,1062720.0,,,,449280.34,54452.96,197704.64,251575.7,,5.0,4.0,1.0,4.0,5.0,0.0,,,,,,0.0,,837600.0,10.26,8593776.0,0.9021561877151658,U,1.0,208208213.0,208208213.0,103424.0,110903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.07,9.05,1.0,0.0,1.9920419091100685,0.2216605822681951,73.538462,0.4258611773793213,通用设备,1,0,0,0
