trade_date,exec_date,target_date,ts_code,name,rank,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,dataset_split,sample_weight,is_cold_start,feature_coverage_score,label_version,buy_window_start,buy_window_end,open_t1,up_limit_t1,down_limit_t1,symbol,board,area,market,list_date,open,high,low,close,pct_chg,pre_close_est,returns_1d,high_low_range,candle_body,gap_open,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,amihud_illiquidity,volatility_5d,volatility_10d,volatility_20d,atr,downside_vol,max_drawdown_20d,tail_risk_score,total_mv,float_mv,pe_ttm,pb,north_money_market,south_money_market,hgt_market,sgt_market,market_regime,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,top_list_net_buy,top_net_rate,amount_rate,float_values,abnormal_volume,has_namechange_record,latest_change_reason,ret_2d,ret_5d,ret_10d,bid_ask_proxy,spread_proxy,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_limit_up,break_count_proxy,limit_up_strength,prior_prob_prior,prior_strength_score,prior_theme_boost,prior_board,prior_prob_prior__is_missing,prior_strength_score__is_missing,prior_theme_boost__is_missing
20260407,20260408,,002408.SZ,齐翔腾达,11,PFILL_READY,1,0,1,strong_open_tradable,6.3,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,6.3,7.28,5.96,2408,化工原料,山东,主板,20100518,6.07,6.62,5.96,6.62,9.9668,0.6036400773242879,9.9668,1.0933667673716012,0.9111389728096672,9.055661027190332,909455.69,586749.872,3.3058,7.3395,1.28,1.6986454493849466e-05,,,,,,,,1881968.5582,,,,,,,,,23.0,1.0,1.0,1.0,23.0,0.0,,,,,,0.0,,,,,,,U,0.0,67385297.0,67385297.0,101227.0,101227.0,,,,,,6.62,5.42,1.0,0.0,2.4402594319988298,0.2304024940795535,61.860215,0.83,化工原料,0,0,0
20260407,20260408,,600654.SH,中安科,12,PFILL_READY,1,0,1,strong_open_tradable,4.0,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,4.0,4.4,3.6,600654,仓储物流,湖北,主板,19901219,3.85,4.0,3.75,4.0,9.8901,0.3673060853435689,9.8901,0.68063125,0.4083787499999998,9.48172125,2586297.62,1026629.25,11.1602,17.2715,4.79,9.63356537912786e-06,,,,,,,,1151037.5548,,,,,,,,,,,0.0,,,0.0,49489308.86,3.43,18.4,9269727292.0,18.4,0.0,,,,,,,U,4.0,74024416.0,74024416.0,93334.0,102934.0,,,,,,4.0,3.28,1.0,0.0,1.4090046934452944,0.3524621801081559,49.354839,0.0164,仓储物流,0,0,0
20260407,20260408,,600075.SH,新疆天业,13,PFILL_READY,1,0,1,strong_open_tradable,6.5,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,6.5,7.48,6.12,600075,化工原料,新疆,主板,19970617,6.19,6.8,5.98,6.8,10.0324,0.6163663391465138,10.0324,1.3303776470588229,0.9896711764705874,9.042728823529414,673994.96,440313.044,3.9466,6.9443,1.21,2.2784698606385144e-05,,,,,,,,1161300.9808,,,,,,,,,23.0,1.0,1.0,1.0,23.0,0.0,,,,,,0.0,,,,,,,U,0.0,53058455.0,53058455.0,143128.0,143128.0,,,,,,6.8,5.56,1.0,0.0,2.3998082216812886,0.2298090362490798,55.666667,0.83,化工原料,0,0,0
20260407,20260408,,600691.SH,潞化科技,14,PFILL_READY,1,0,1,strong_open_tradable,3.2,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,3.2,3.67,3.01,600691,农药化肥,山西,主板,19931119,3.09,3.34,3.04,3.34,9.8684,0.3073129439475912,9.8684,0.9762035928143707,0.813502994011976,9.054897005988025,747026.05,241551.34,3.1446,6.3328,0.79,4.085425483460369e-05,,,,,,,,793577.972,,,,,,,,,8.0,2.0,1.0,2.0,8.0,0.0,,,,,,0.0,,,,,,,U,0.0,62909227.0,62909227.0,103015.0,103015.0,,,,,,3.34,2.74,1.0,0.0,2.427621444578711,0.1518330414273582,74.892473,0.6729057079444091,农药化肥,0,0,0
20260407,20260408,,000766.SZ,通化金马,15,PFILL_READY,1,0,1,strong_open_tradable,22.07,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,22.07,23.12,18.92,766,化学制药,吉林,主板,19970430,19.5,21.02,19.41,21.02,9.9948,1.9118128569869397,9.9948,0.8421326355851567,0.7950568981921977,9.199743101807805,277130.03,564779.85,2.8688,3.5712,1.73,1.7696806994796293e-05,,,,,,,,2031571.8741,,,,,,,,,4.0,7.0,1.0,7.0,4.0,0.0,,,,,,0.0,,,,,,,U,0.0,99113461.0,99113461.0,104345.0,104345.0,,,,,,21.02,17.2,1.0,0.0,2.52984251213285,0.259772733078535,55.419355,0.1736599148755986,化学制药,0,0,0
20260407,20260408,,600370.SH,三房巷,16,PFILL_READY,1,0,1,strong_open_tradable,2.52,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,2.52,2.77,2.27,600370,化工原料,江苏,主板,20030306,2.32,2.52,2.3,2.52,10.0437,0.2281843947227831,10.0437,0.9641325396825404,0.8764841269841277,9.167215873015872,836958.68,204534.453,2.0829,9.8376,0.72,4.910517447151067e-05,,,,,,,,1012594.4826,,,,,,,,,23.0,1.0,1.0,1.0,23.0,0.0,,,,,,0.0,,,,,,,U,0.0,96627285.0,96627285.0,95911.0,95911.0,,,,,,2.52,2.06,1.0,0.0,2.522822903187458,0.1660663474023068,60.612903,0.83,化工原料,0,0,0
20260407,20260408,,600596.SH,新安股份,17,PFILL_READY,1,0,1,strong_open_tradable,11.77,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,11.77,12.65,10.35,600596,化工原料,浙江,主板,20010906,10.91,11.5,10.91,11.5,10.0478,1.0409312261264685,10.0478,0.5668001739130434,0.5668001739130434,9.480999826086958,269208.57,304631.44,1.9947,2.8543,1.51,3.2983463558456085e-05,,,,,,,,1552036.6064,,,,,,,,,23.0,1.0,1.0,1.0,23.0,0.0,,,,,,0.0,,,,,,,U,0.0,118214825.0,118214825.0,94633.0,94633.0,,,,,,11.5,9.41,1.0,0.0,2.583774376008777,0.1515520568630032,52.870968,0.83,化工原料,0,0,0
20260407,20260408,,000890.SZ,法尔胜,18,PFILL_READY,1,0,1,strong_open_tradable,15.85,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,15.85,19.37,15.85,890,环境保护,江苏,主板,19990119,17.61,17.61,16.9,17.61,9.9938,1.6018119303607488,9.9938,0.4432480408858608,0.0,9.993799999999998,472494.58,829287.305,11.2635,18.8966,0.53,1.205107076853178e-05,,,,,,,,738746.4876,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,3.0,169925757.0,169925757.0,93000.0,93330.0,,,,,,17.61,14.41,1.0,0.0,1.7297779255731591,0.2587383992119962,46.817204,0.01,环境保护,0,0,0
20260407,20260408,,002092.SZ,中泰化学,19,PFILL_READY,1,0,1,strong_open_tradable,6.7,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,6.7,7.65,6.26,2092,化工原料,新疆,主板,20061208,6.32,6.95,6.31,6.95,9.9684,0.6336384522810984,9.9684,1.0100397122302167,0.9942578417266186,8.974142158273382,1092738.37,736791.162,4.2427,6.0311,1.45,1.3529478248546094e-05,,,,,,,,1800063.5643,,,,,,,,,23.0,1.0,1.0,1.0,23.0,0.0,,,,,,0.0,,,,,,,U,0.0,57571715.0,57571715.0,143021.0,143021.0,,,,,,6.95,5.69,1.0,0.0,2.4125512134360485,0.1306607053493912,59.516129,0.83,化工原料,0,0,0
20260407,20260408,,002957.SZ,科瑞技术,20,PFILL_READY,1,0,1,strong_open_tradable,35.33,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,35.33,37.05,30.31,2957,专用机械,深圳,主板,20190726,30.61,33.68,30.0,33.68,9.9935,3.0636285077545824,9.9935,1.201190023752969,1.0020797209026129,8.991420279097387,279039.79,909435.88,6.6648,15.4708,1.22,1.098868014752178e-05,,,,,,,,1414500.9455,,,,,,,,,2.0,10.0,1.0,10.0,2.0,0.0,90206059.04,3.35,33.71,14101104072.16,33.71,0.0,,,,,,,U,0.0,110124068.0,110124068.0,133948.0,133948.0,,,,,,33.68,27.56,1.0,0.0,2.560930478307168,0.232120406524569,46.010753,0.0164,专用机械,0,0,0
