trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,realized_ret_t1_to_t2,premium_ret_t1_to_t2,entry_price_t1,entry_price_proxy_t1,entry_price_proxy_mode,exit_price_t2_close,close_t2,close_t2,dataset_split,sample_weight,is_cold_start,feature_coverage_score,eret_truth_version,return_holding_mode,buy_window_start,buy_window_end,open_t1,open_t2,high_t2,low_t2,vol_t2,amount_t2,pct_chg_t2,symbol,board,area,market,list_date,open,high,low,close,pct_chg,pre_close_est,returns_1d,high_low_range,candle_body,gap_open,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,amihud_illiquidity,volatility_5d,volatility_10d,volatility_20d,atr,downside_vol,max_drawdown_20d,tail_risk_score,total_mv,float_mv,pe_ttm,pb,north_money_market,south_money_market,hgt_market,sgt_market,market_regime,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,top_list_net_buy,top_net_rate,amount_rate,float_values,abnormal_volume,has_namechange_record,latest_change_reason,ret_2d,ret_5d,ret_10d,bid_ask_proxy,spread_proxy,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_limit_up,break_count_proxy,limit_up_strength,prior_prob_prior,prior_strength_score,prior_theme_boost,prior_board,prior_prob_prior__is_missing,prior_strength_score__is_missing,prior_theme_boost__is_missing,pct_chg_t2__is_missing,amount_t2__is_missing,ret_2d__is_missing,ret_5d__is_missing,ret_10d__is_missing,volatility_5d__is_missing,volatility_10d__is_missing,volatility_20d__is_missing,atr__is_missing,downside_vol__is_missing,max_drawdown_20d__is_missing,tail_risk_score__is_missing,bid_ask_proxy__is_missing,spread_proxy__is_missing
20260610,20260611,20260612,20260611,20260612,002830.SZ,名雕股份,13,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.0540880503144654,0.0540880503144654,15.9,15.9,t1_open,16.76,16.76,16.76,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,15.9,15.45,16.76,15.15,62135.17,101529.7959,9.9738,2830,装修装饰,深圳,主板,20161213,14.7,15.97,14.54,15.97,9.9862,1.453641841583077,9.9862,0.9837361302442088,0.8736677520350666,9.112532247964934,43642.8,69100.9234,4.7011,7.1375,1.03,0.0001445161585206,,,,,,,,296875.912,,,,349872.01,54103.34,166385.91,183486.1,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,0.0,20845321.0,20845321.0,93121.0,93121.0,,,,,,15.97,13.07,1.0,0.0,2.0578666470066524,0.2060221876824957,77.788732,0.01,装修装饰,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
20260610,20260611,20260612,20260611,20260612,600229.SH,城市传媒,14,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0111821086261979,-0.0111821086261979,6.26,6.26,t1_open,6.19,6.19,6.19,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,6.26,5.65,6.19,5.45,340711.26,200021.285,9.9467,600229,出版业,山东,主板,20000309,5.83,6.13,5.83,6.13,10.0539,0.5545554057843838,10.0539,0.5409738988580747,0.5409738988580747,9.512926101141923,186263.84,113803.197,2.8192,7.4067,2.91,8.834461829749828e-05,,,,,,,,405013.8716,,,,349872.01,54103.34,166385.91,183486.1,,,,0.0,,,0.0,-5509239.26,-4.84,65.45,4050138715.92,65.45,0.0,,,,,,,U,3.0,24749862.0,24749862.0,93102.0,93629.0,,,,,,6.13,5.01,1.0,0.0,1.3187056595490834,0.2212920752109923,67.43662,0.0164,出版业,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
20260610,20260611,20260612,20260611,20260612,002409.SZ,雅克科技,15,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.0536365076849945,0.0536365076849945,126.22,126.22,t1_open,132.99,132.99,132.99,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,126.22,140.01,144.5,131.81,663192.64,9133081.4388,-1.35,2409,半导体,江苏,主板,20100525,107.95,122.55,107.1,122.55,9.9991,11.141820694420453,9.9991,1.3866674418604654,1.3103782945736429,8.688721705426357,334547.21,3919264.51426,10.5031,12.4675,1.37,2.5512694954930693e-06,,,,,,,,5832493.6939,,,,349872.01,54103.34,166385.91,183486.1,,8.0,2.0,1.0,2.0,8.0,0.0,207701658.91,5.3,20.68,39034962644.85,20.68,0.0,,,,,,,U,4.0,150577185.0,150577185.0,110051.0,135100.0,,,,,,122.55,100.27,1.0,0.0,1.8680025249623349,0.2201253786562599,41.380282,0.679305707944409,半导体,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
20260610,20260611,20260612,20260611,20260612,603160.SH,汇顶科技,16,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0632424293123641,-0.0632424293123641,59.77,59.77,t1_open,55.99,55.99,55.99,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,59.77,57.7,58.77,55.59,88346.92,500114.724,-1.9611,603160,半导体,深圳,主板,20161017,53.11,59.98,53.06,59.98,9.9945,5.455455000227386,9.9945,1.2684551517172382,1.259290013337779,8.735209986662221,97759.64,575742.106,2.0984,3.7724,1.42,1.7359334840797627e-05,,,,,,,,2794388.9364,,,,349872.01,54103.34,166385.91,183486.1,,8.0,2.0,1.0,2.0,8.0,0.0,,,,,,0.0,,,,,,,U,3.0,76576466.0,76576466.0,93643.0,94113.0,,,,,,59.98,49.08,1.0,0.0,1.712576401535813,0.1464254100790997,66.690141,0.6729057079444091,半导体,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
20260610,20260611,20260612,20260611,20260612,600981.SH,苏豪汇鸿,17,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.0036496350364962,0.0036496350364962,2.74,2.74,t1_open,2.75,2.75,2.75,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,2.74,2.7,2.75,2.62,639305.01,171861.386,-1.0791,600981,商贸代理,江苏,主板,20040630,2.44,2.71,2.37,2.71,10.1626,0.2427749807392543,10.1626,1.4004738007380069,1.112140959409594,9.050459040590404,594311.08,154363.288,2.6503,8.1319,1.14,6.583560205066375e-05,,,,,,,,607699.395,,,,349872.01,54103.34,166385.91,183486.1,,2.0,8.0,1.0,8.0,2.0,0.0,43653340.5,28.28,48.12,6076993950.32,48.12,0.0,,,,,,,U,1.0,20265648.0,20265648.0,104806.0,104921.0,,,,,,2.71,2.21,1.0,0.0,1.806257473760038,0.1919819655731544,69.394366,0.1179060031977598,商贸代理,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
20260610,20260611,20260612,20260611,20260612,002971.SZ,和远气体,18,FULLY_READY,1,1,1,weak_intraday_break_without_minbar,1,strong_close_t2_over_entry_proxy_t1,0.1000947867298578,0.1000947867298578,52.75,52.75,t1_open_degrade_missing,58.03,58.03,58.03,raw_train_pool,0.95,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,52.75,55.0,58.03,54.4,577690.76,3325475.35002,10.0095,2971,化工原料,湖北,主板,20200113,47.95,47.95,47.94,47.95,10.0023,4.35817965334521,10.0023,0.0022945359749751,0.0,10.0023,74342.32,356470.9794,4.7533,6.374,0.33,2.8059226635603087e-05,,,,,,,,1015365.225,,,,349872.01,54103.34,166385.91,183486.1,,14.0,1.0,1.0,1.0,14.0,0.0,92823440.92,5.22,27.48,7499444732.5,27.48,0.0,,,,,,,U,0.0,288734185.0,288734185.0,93000.0,93000.0,,,,,,47.95,39.23,1.0,0.0,3.051526594968168,0.1505955726856759,53.985915,0.8363999999999999,化工原料,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
20260610,20260611,20260612,20260611,20260612,002165.SZ,红 宝 丽,19,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.0012953367875647,0.0012953367875647,7.72,7.72,t1_open,7.73,7.73,7.73,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,7.72,7.44,8.26,7.44,1702928.8,1313117.03338,-3.736,2165,化工原料,江苏,主板,20070913,6.58,7.3,6.53,7.3,9.9398,0.6672882502422348,9.9398,1.1539241095890405,1.078993972602739,8.86080602739726,431680.37,310255.8331,5.9331,7.405,1.01,3.2037431498656974e-05,,,,,,,,536746.981,,,,349872.01,54103.34,166385.91,183486.1,,14.0,1.0,1.0,1.0,14.0,0.0,,,,,,0.0,,,,,,,U,0.0,158646520.0,158646520.0,93509.0,93509.0,,,,,,7.3,5.98,1.0,0.0,2.6904030128235403,0.1224897877825031,59.0,0.83,化工原料,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
20260610,20260611,20260612,20260611,20260612,603938.SH,三孚股份,20,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.1556085918854415,-0.1556085918854415,62.85,62.85,t1_open,53.07,53.07,53.07,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,62.85,58.17,58.89,53.07,408843.31,2237313.08,-10.0051,603938,化工原料,河北,主板,20170628,52.2,59.98,52.19,59.98,9.9945,5.455455000227386,9.9945,1.42792855951984,1.426095531843947,8.568404468156054,348050.98,2029209.874,9.0964,26.4014,0.8,4.925316069105625e-06,,,,,,,,2294981.733,,,,349872.01,54103.34,166385.91,183486.1,,14.0,1.0,1.0,1.0,14.0,0.0,,,,,,0.0,,,,,,,U,3.0,77693473.0,77693473.0,94627.0,135151.0,,,,,,59.98,49.08,1.0,0.0,1.7156772148921031,0.1289729390316051,52.295775,0.83,化工原料,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
20260610,20260611,20260612,20260611,20260612,603636.SH,南威软件,21,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0643086816720256,-0.0643086816720256,9.33,9.33,t1_open,8.73,8.73,8.73,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,9.33,9.02,9.05,8.66,195731.74,172372.434,-1.2443,603636,软件服务,福建,主板,20141230,9.2,9.66,9.2,9.66,10.0228,0.8763653518162354,10.0228,0.5248952380952391,0.5248952380952391,9.497904761904762,224398.84,215479.132,3.8665,5.8023,1.68,4.6514016958263965e-05,,,,,,,,560628.2652,,,,349872.01,54103.34,166385.91,183486.1,,4.0,4.0,1.0,4.0,4.0,0.0,,,,,,0.0,,,,,,,U,1.0,93956260.0,93956260.0,93038.0,93605.0,,,,,,9.66,7.9,1.0,0.0,2.010822739620332,0.1482173726327192,56.943662,0.4258611773793213,软件服务,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
20260610,20260611,20260612,20260611,20260612,001210.SZ,金房能源,22,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0815859702630575,-0.0815859702630575,26.23,26.23,t1_open,24.09,24.09,24.09,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,26.23,24.21,26.26,23.8,165742.85,411242.06258,-3.1363,1210,供气供热,北京,主板,20210729,22.82,25.45,22.33,25.45,9.9827,2.317280814371694,9.9827,1.346405658153242,1.1349509233791744,8.847749076620826,150444.9,365298.76152,11.276,14.9879,0.91,2.7327494783891976e-05,,,,,,,,558723.5636,,,,349872.01,54103.34,166385.91,183486.1,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,2.0,41246178.0,41246178.0,102030.0,110121.0,,,,,,25.45,20.83,1.0,0.0,1.447832794516951,0.1676471473382979,64.788732,0.01,供气供热,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
