trade_date,exec_date,target_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,minute_open_t1,minute_open_available_t1,label_version,execution_contract,buy_window_start,buy_window_end,run_id,run_attempt,commit_sha,generated_at_utc,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,intraday_available,intraday_status,intraday_missing_reason,minute_freq,minute_rows,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,reseal_score,intraday_quality_score,intraday_confidence_score,intraday_risk_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_tag,auction_strength_score,auction_amount,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board,board_rank,board_limit_up_count,is_st_like,is_limit_up,break_count_proxy,limit_up_strength,decision_board,decision_limit_pct,decision_universe_eligible,decision_universe_reason,decision_universe_rule,open_t1,high_t1,low_t1,close_t1,vol_t1,amount_t1,pct_chg_t1,up_limit_t1,down_limit_t1,open_times_t1
20260616,20260617,20260618,600192.SH,长城电工,11,0.6755769328093348,71.012712,0.3364528539722045,电气设备,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,7.9,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,0.0,45474604.0,45474604.0,94035.0,94035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59,6.21,1.0,2.0,12.0,0.0,1.0,0.0,2.314391250598417,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,7.9,8.35,7.86,8.35,294413.89,243748.936,10.0132,8.35,6.83,3.0
20260616,20260617,20260618,002729.SZ,好利科技,12,0.6812957894229889,64.898305,0.415,元器件,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,19.48,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,0.0,39398265.0,39398265.0,131403.0,131403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.47,15.93,1.0,1.0,18.0,0.0,1.0,0.0,2.3057872599563014,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,19.48,20.0,19.28,19.99,119319.49,234709.57829,2.6708,21.42,17.52,
20260616,20260617,20260618,605166.SH,聚合顺,13,0.576952457292543,59.050847,0.01,化纤,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,10.99,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,0.0,40704004.0,40704004.0,100608.0,100608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.76,8.8,0.0,,,0.0,1.0,0.0,2.057636163734883,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,10.99,11.1,10.63,10.8,210216.0,228121.696,0.3717,11.84,9.68,
20260616,20260617,20260618,002927.SZ,泰永长征,14,0.6811420885623941,63.836865,0.3364528539722045,电气设备,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,22.27,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,0.0,20380691.0,20380691.0,102154.0,102154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.24,18.2,1.0,2.0,12.0,0.0,1.0,0.0,2.2788587049938887,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,22.27,22.6,21.67,21.82,234421.0,515296.741,-1.8885,24.46,20.02,
20260616,20260617,20260618,600353.SH,旭光电子,15,0.659776952303825,65.038135,0.415,元器件,FULLY_READY,1,1,0,strong_opening_auction_limit_up_unconfirmed,,,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,0.0,529435905.0,529435905.0,92500.0,92500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.72,28.4,1.0,1.0,18.0,0.0,1.0,0.0,2.9996720594786237,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,38.19,38.19,37.38,38.19,291707.02,1113021.726,9.9942,38.19,31.25,0.0
20260616,20260617,20260618,603169.SH,兰石重装,16,0.5650489807980487,59.20339,0.01,专用机械,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,8.39,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,0.0,133032168.0,133032168.0,93351.0,93351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.12,6.64,1.0,10.0,4.0,0.0,1.0,0.0,2.438371242712498,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,8.39,8.66,8.04,8.46,629732.77,525486.727,4.1872,8.93,7.31,
20260616,20260617,20260618,601020.SH,华钰矿业,17,0.5646530493573195,58.830508,0.0164,铅锌,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,25.32,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,1.0,56069981.0,56069981.0,103831.0,103901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.33,20.73,0.0,,,0.0,1.0,0.0,1.5793941206749045,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,25.32,25.53,24.58,24.85,525530.91,1313852.072,-1.895,27.86,22.8,
20260616,20260617,20260618,002449.SZ,国星光电,18,0.6565501529346757,74.934322,0.1227210461403112,半导体,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,7.98,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,0.0,66713775.0,66713775.0,92500.0,92500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29,6.79,1.0,6.0,5.0,0.0,1.0,0.0,2.3444655483836963,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,7.98,8.3,7.85,8.08,453773.14,367424.13653,-2.5332,9.12,7.46,
20260616,20260617,20260618,001283.SZ,豪鹏科技,19,0.6651574389419603,63.56356,0.3364528539722045,电气设备,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,53.0,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,0.0,34470953.0,34470953.0,102121.0,102121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.02,43.38,1.0,2.0,12.0,0.0,1.0,0.0,2.298810271618622,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,53.0,54.27,51.98,52.84,72294.65,382949.95779,-0.3395,58.32,47.72,
20260616,20260617,20260618,603516.SH,淳中科技,20,0.5497882856058387,61.991525,0.01,IT设备,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,138.64,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,2.0,53465813.0,53465813.0,93801.0,95952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.64,110.16,0.0,,,0.0,1.0,0.0,1.4090399972842964,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,138.64,143.5,132.69,135.63,143037.01,1950556.825,0.7353,148.1,121.18,
20260616,20260617,20260618,002782.SZ,可立克,21,0.6538257388777781,62.273305,0.415,元器件,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,25.83,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,0.0,107780660.0,107780660.0,95112.0,95112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,21.02,1.0,1.0,18.0,0.0,1.0,0.0,2.4026155453211384,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,25.83,26.18,24.55,24.69,333723.29,836705.74163,-3.93,28.27,23.13,
20260616,20260617,20260618,002346.SZ,柘中股份,22,0.6497478195436789,65.044492,0.3364528539722045,电气设备,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,18.56,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,0.0,65432131.0,65432131.0,104448.0,104448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.01,14.73,1.0,2.0,12.0,0.0,1.0,0.0,2.342650762707235,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,18.56,19.17,18.16,18.33,102567.0,190837.854,1.7768,19.81,16.21,
20260616,20260617,20260618,603256.SH,宏和科技,23,0.533652859400018,62.076271,0.0573942950693908,玻璃,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,256.0,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,3.0,31217355.0,31217355.0,112703.0,132815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.55,205.81,1.0,9.0,5.0,0.0,1.0,0.0,1.544203233277738,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,256.0,276.0,253.0,258.9,226129.72,5931313.676,2.9219,276.71,226.4,
20260616,20260617,20260618,002672.SZ,东江环保,24,0.646076004582278,77.394068,0.005,环境保护,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,3.82,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,0.0,13296409.0,13296409.0,131354.0,131354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89,3.19,0.0,,,0.0,1.0,0.0,2.0188274845445173,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,3.82,3.89,3.61,3.65,405833.21,149550.3999,-6.1697,4.28,3.5,
20260616,20260617,20260618,002741.SZ,光华科技,25,0.6417024710211074,66.385594,0.2729465641132242,化工原料,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,38.68,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,0.0,291150361.0,291150361.0,92500.0,92500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.85,29.33,1.0,3.0,6.0,0.0,1.0,0.0,2.6622638617583267,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,38.68,39.44,38.65,39.44,206054.36,806009.46479,10.0139,39.44,32.27,0.0
20260616,20260617,20260618,002993.SZ,奥海科技,26,0.6415447000300983,59.502119,0.415,元器件,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,70.5,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,1.0,73229843.0,73229843.0,130012.0,140221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.75,58.71,1.0,1.0,18.0,0.0,1.0,0.0,1.8536921876635968,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,70.5,73.38,70.19,72.6,113206.04,814642.19626,1.1847,78.93,64.58,
20260616,20260617,20260618,002058.SZ,威尔泰,27,0.6282565023815704,66.773305,0.3364528539722045,电气设备,FULLY_READY,1,1,1,strong_daily_open_auction_proxy,24.65,t_daily_open_proxy,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27673635603,1,4ab8f4ba896933e445918c416585c4d10a1bed8b,2026-06-17T07:42:43Z,U,2.0,6616827.0,6616827.0,104357.0,112230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.81,20.3,1.0,2.0,12.0,1.0,1.0,0.0,1.5927026456097717,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,24.65,24.86,23.01,23.54,54696.0,129451.02696,-5.1189,27.29,22.33,
