trade_date,exec_date,target_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,label_version,buy_window_start,buy_window_end,run_id,run_attempt,commit_sha,generated_at_utc,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board,board_rank,board_limit_up_count,is_st_like,is_limit_up,break_count_proxy,limit_up_strength,open_t1,high_t1,low_t1,close_t1,vol_t1,amount_t1,pct_chg_t1,up_limit_t1,down_limit_t1,limit_type_t1,open_times_t1,seal_amount_t1
20260305,20260306,,600703.SH,三安光电,11,0.7501774674056684,59.057971,0.7030854212758787,半导体,PFILL_READY,1,0,1,strong_open_tradable,17.08,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,492255098.0,492255098.0,93001.0,93001.0,,,,,,16.13,13.19,1.0,3.0,6.0,0.0,1.0,0.0,3.25,17.08,17.3,16.33,16.97,4818498.26,8105731.502,5.2077,17.74,14.52,,,
20260305,20260306,,300895.SZ,铜牛信息,12,0.6916099756730268,31.086957,0.4401210427490234,软件服务,PFILL_READY,1,0,1,strong_open_tradable,58.68,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,3.0,21070003.0,21070003.0,131451.0,142342.0,,,,,,61.54,41.02,1.0,5.0,4.0,0.0,1.0,0.0,1.5428030163336164,58.68,65.64,58.68,62.86,240022.89,1505164.782,2.1449,73.85,49.23,,,
20260305,20260306,,605268.SH,王力安防,13,0.6782167206403199,84.797101,0.08,家居用品,PFILL_READY,1,0,0,strong_dead_limit_up,,,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,449330590.0,449330590.0,92502.0,92502.0,,,,,,12.67,10.37,0.0,,,0.0,1.0,0.0,2.912800277387884,13.94,13.94,13.94,13.94,56492.4,78750.406,10.0237,13.94,11.4,U,0.0,565909076.0
20260305,20260306,,000509.SZ,华塑控股,14,0.616240231221874,67.768116,1.0,元器件,PFILL_READY,1,0,1,strong_open_tradable,3.65,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,2.0,140412030.0,140412030.0,93745.0,93939.0,,,,,,3.63,2.97,1.0,1.0,18.0,0.0,1.0,0.0,1.8685757423413556,3.65,3.99,3.5,3.99,1664844.16,631275.859,9.9174,3.99,3.27,U,8.0,10759434.0
20260305,20260306,,000920.SZ,沃顿科技,15,0.6097694354060755,68.594203,0.0,塑料,PFILL_READY,1,0,1,strong_open_tradable,13.5,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,143604303.0,143604303.0,102433.0,102433.0,,,,,,13.63,11.15,0.0,,,0.0,1.0,0.0,2.291727406345724,13.5,13.81,13.1,13.69,251870.02,339099.706,0.4402,14.99,12.27,,,
20260305,20260306,,002520.SZ,日发精机,16,0.5041382332051333,55.637681,0.1069133379015616,机床制造,PFILL_READY,1,0,1,strong_open_tradable,6.75,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,113127038.0,113127038.0,104915.0,104915.0,,,,,,6.77,5.54,1.0,8.0,2.0,0.0,1.0,0.0,2.479813847453541,6.75,6.85,6.6,6.8,757690.69,513393.506,0.4431,7.45,6.09,,,
20260305,20260306,,600744.SH,华银电力,17,0.4986446427186189,46.289855,0.0,火力发电,PFILL_READY,1,0,1,strong_open_tradable,9.04,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,1.0,154539984.0,154539984.0,102625.0,102707.0,,,,,,9.04,7.4,0.0,,,0.0,1.0,0.0,1.8139428817048024,9.04,9.47,8.58,9.08,4517476.78,4122293.196,0.4425,9.94,8.14,,,
20260305,20260306,,300269.SZ,联建光电,18,0.4966390706828272,41.130435,1.0,元器件,PFILL_READY,1,0,1,strong_open_tradable,8.32,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,139034784.0,139034784.0,93618.0,93618.0,,,,,,8.64,5.76,1.0,1.0,18.0,0.0,1.0,0.0,2.5324445791722408,8.32,8.55,8.2,8.37,1100044.0,919905.636,-3.125,10.37,6.91,,,
20260305,20260306,,600828.SH,茂业商业,19,0.3091440831701945,58.043478,0.0,百货,PFILL_READY,1,0,1,strong_open_tradable,6.45,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,130574996.0,130574996.0,103617.0,103617.0,,,,,,6.53,5.35,0.0,,,0.0,1.0,0.0,2.26525879880273,6.45,6.58,6.36,6.4,664489.19,429132.187,-1.9908,7.18,5.88,,,
20260305,20260306,,603773.SH,沃格光电,20,0.2650117382446532,68.362319,1.0,元器件,PFILL_READY,1,0,1,strong_open_tradable,39.68,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,122598944.0,122598944.0,93616.0,93616.0,,,,,,39.67,32.45,1.0,1.0,18.0,0.0,1.0,0.0,2.49905571216654,39.68,41.25,38.47,40.18,234081.12,930213.722,1.2856,43.64,35.7,,,
20260305,20260306,,300389.SZ,艾比森,21,0.2649146469354392,44.0,1.0,元器件,PFILL_READY,1,0,1,strong_open_tradable,19.81,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,122459122.0,122459122.0,94730.0,94730.0,,,,,,20.64,13.76,1.0,1.0,18.0,0.0,1.0,0.0,2.498771668384021,19.81,19.81,18.54,19.2,370672.65,707596.502,-6.9767,24.77,16.51,,,
20260305,20260306,,002456.SZ,欧菲光,22,0.2378789687496726,53.666667,1.0,元器件,PFILL_READY,1,0,1,strong_open_tradable,9.59,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,1.0,121338983.0,121338983.0,95809.0,100233.0,,,,,,9.78,8.0,1.0,1.0,18.0,0.0,1.0,0.0,1.9964961429409107,9.59,9.6,9.39,9.54,1402821.59,1332413.994,-2.454,10.76,8.8,,,
20260305,20260306,,002845.SZ,同兴达,23,0.2250089875583727,68.507246,1.0,元器件,PFILL_READY,1,0,1,strong_open_tradable,15.55,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,112024210.0,112024210.0,93742.0,93742.0,,,,,,15.7,12.84,1.0,1.0,18.0,0.0,1.0,0.0,2.4775734887361187,15.55,15.76,15.25,15.66,268540.7,418918.479,-0.2548,17.27,14.13,,,
20260305,20260306,,600844.SH,金煤科技,24,0.2212621597162275,65.405797,0.479801681970459,化工原料,PFILL_READY,1,0,1,strong_open_tradable,3.53,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,36656946.0,36656946.0,111219.0,111219.0,,,,,,3.65,2.99,1.0,4.0,5.0,0.0,1.0,0.0,2.3244673770752904,3.53,3.6,3.39,3.5,1230835.02,430684.515,-4.1096,4.02,3.29,,,
20260305,20260306,,600468.SH,百利电气,25,0.2143559136058405,37.144928,0.8746272018253463,电气设备,PFILL_READY,1,0,1,strong_open_tradable,8.5,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,115138993.0,115138993.0,103500.0,103500.0,,,,,,8.55,6.99,1.0,2.0,10.0,0.0,1.0,0.0,2.4839010676939703,8.5,9.1,8.36,8.73,1844675.83,1614377.65,2.1053,9.41,7.7,,,
20260305,20260306,,688031.SH,星环科技-U,26,0.1731349907909972,36.275362,0.4401210427490234,软件服务,PFILL_READY,1,0,1,strong_open_tradable,223.22,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,3.0,58391289.0,58391289.0,143901.0,144546.0,,,,,,223.21,148.81,1.0,5.0,4.0,0.0,1.0,0.0,1.6186199782130035,223.22,255.0,223.22,253.0,119520.42,2907073.422,13.3462,267.85,178.57,,,
20260305,20260306,,603688.SH,石英股份,27,0.1658369581287772,70.275362,0.0486585167657964,矿物制品,PFILL_READY,1,0,1,strong_open_tradable,52.04,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,1.0,125621898.0,125621898.0,93155.0,93234.0,,,,,,53.04,43.4,1.0,9.0,2.0,0.0,1.0,0.0,2.005196743538855,52.04,55.75,52.04,53.59,427343.33,2319445.851,1.037,58.34,47.74,,,
20260305,20260306,,300072.SZ,海新能科,28,0.1536175598068094,32.26087,0.559801681970459,化工原料,PFILL_READY,1,0,1,strong_open_tradable,5.55,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,3.0,26708994.0,26708994.0,135200.0,142851.0,,,,,,5.88,3.92,1.0,4.0,5.0,0.0,1.0,0.0,1.5542584406104007,5.55,5.7,5.47,5.54,2443576.11,1358993.904,-5.7823,7.06,4.7,,,
20260305,20260306,,600516.SH,方大炭素,29,0.1182718776363793,33.811594,0.1286585167657964,矿物制品,PFILL_READY,1,0,1,strong_open_tradable,6.77,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,7.0,20938585.0,20938585.0,110517.0,150000.0,,,,,,6.88,5.63,1.0,9.0,2.0,0.0,1.0,0.0,1.417536044999985,6.77,6.88,6.62,6.73,2608595.62,1747505.221,-2.1802,7.57,6.19,,,
20260305,20260306,,600800.SH,渤海化学,30,0.1171391495994511,42.623188,0.559801681970459,化工原料,PFILL_READY,1,0,1,strong_open_tradable,4.7,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,2.0,15775650.0,15775650.0,93927.0,131242.0,,,,,,4.81,3.93,1.0,4.0,5.0,0.0,1.0,0.0,1.615381046123095,4.7,5.29,4.66,5.09,1694509.12,841451.217,5.8212,5.29,4.33,,,
20260305,20260306,,002986.SZ,宇新股份,31,0.0986864667125312,51.028986,0.479801681970459,化工原料,PFILL_READY,1,0,1,strong_open_tradable,16.01,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,61482658.0,61482658.0,130412.0,130412.0,,,,,,16.01,13.1,1.0,4.0,5.0,0.0,1.0,0.0,2.374899992401907,16.01,16.74,15.86,16.56,336498.15,552004.433,3.4354,17.61,14.41,,,
