trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,entry_price_t1,entry_price_t_opening_auction,entry_price_proxy_t1,entry_price_proxy_mode,take_profit_price_tplus1,stop_loss_price_tplus1,latest_exit_time,exit_policy_version,exit_price_tplus1_timed,exit_price_tplus1_open,exit_price_source,exit_on_time,exit_reason,exit_price_t2_close,close_t2,realized_ret_open_to_tplus1_open_0930,realized_ret_t1_to_t2,premium_ret_t1_to_t2,eret_truth_version,return_holding_mode,execution_contract,run_id,run_attempt,commit_sha,generated_at_utc,buy_window_start,buy_window_end,open_t1,high_t1,low_t1,close_t1,market_target_date,open_t2,high_t2,low_t2,pre_close_t2,vol_t2,amount_t2,pct_chg_t2,auction_price_t2,auction_amount_t2,down_limit_t2
20260820,20260821,20260824,20260821,20260824,002030.SZ,达安基因,11,0.211816490639243,43.305085,0.5394931282264485,医疗器械,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,5.84,5.84,5.84,t_opening_auction,,,09:30,tplus1_open_0930_v1,5.65,5.65,tplus1_open_0930,1,fixed_open_0930,5.39,5.39,-0.03253424657534232,-0.03253424657534232,-0.07705479452054798,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,5.84,5.9,5.57,5.6,20260824,5.65,5.66,5.35,5.6,339223.66,184796.25933,-3.75,5.65,4547120.0,5.04
20260820,20260821,20260824,20260821,20260824,603882.SH,金域医学,12,0.2098271179764275,55.169492,0.4258611773793213,医疗服务,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,30.3,30.3,30.3,t_opening_auction,,,09:30,tplus1_open_0930_v1,31.41,31.41,tplus1_open_0930,1,fixed_open_0930,29.73,29.73,0.036633663366336666,0.036633663366336666,-0.01881188118811883,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,30.3,32.32,30.17,31.35,20260824,31.41,31.6,29.44,31.35,166426.5,501068.192,-5.1675,31.41,7579233.0,28.22
20260820,20260821,20260824,20260821,20260824,002579.SZ,中京电子,13,0.2058883484963226,58.949153,0.01,元件,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,15.62,15.62,15.62,t_opening_auction,,,09:30,tplus1_open_0930_v1,14.67,14.67,tplus1_open_0930,1,fixed_open_0930,13.87,13.87,-0.0608194622279129,-0.0608194622279129,-0.11203585147247119,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,15.62,15.66,14.23,14.86,20260824,14.67,14.67,13.4,14.86,885817.63,1239805.31419,-6.6622,14.67,17959615.47,13.37
20260820,20260821,20260824,20260821,20260824,603590.SH,康辰药业,14,0.2052126119354615,46.033898,0.83,生物制品,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,36.26,36.26,36.26,t_opening_auction,,,09:30,tplus1_open_0930_v1,31.61,31.61,tplus1_open_0930,1,fixed_open_0930,30.12,30.12,-0.12824048538334254,-0.12824048538334254,-0.16933259790402644,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,36.26,36.26,32.21,32.21,20260824,31.61,33.19,29.93,32.21,62630.55,194044.723,-6.4887,31.61,10431300.0,28.99
20260820,20260821,20260824,20260821,20260824,603376.SH,大明电子,15,0.2026662639227919,52.830508,0.01,汽车零部件,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,28.4,28.4,28.4,t_opening_auction,,,09:30,tplus1_open_0930_v1,27.18,27.18,tplus1_open_0930,1,fixed_open_0930,26.37,26.37,-0.04295774647887318,-0.04295774647887318,-0.07147887323943658,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,28.4,28.4,26.83,26.9,20260824,27.18,27.18,26.08,26.9,24986.21,66274.169,-1.9703,27.18,2111886.0,24.21
20260820,20260821,20260824,20260821,20260824,601118.SH,海南橡胶,16,0.2014092516326777,50.050847,0.01,种植业,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,6.02,6.02,6.02,t_opening_auction,,,09:30,tplus1_open_0930_v1,6.08,6.08,tplus1_open_0930,1,fixed_open_0930,6.28,6.28,0.00996677740863805,0.00996677740863805,0.04318936877076429,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,6.02,6.22,5.73,6.15,20260824,6.08,6.57,5.97,6.15,1767012.46,1108992.593,2.1138,6.08,11649888.0,5.54
20260820,20260821,20260824,20260821,20260824,000931.SZ,中 关 村,17,0.1983352914687868,43.237288,0.6729057079444091,化学制药,FULLY_READY,1,1,0,strong_opening_auction_limit_up_unconfirmed,0,not_filled_no_trade,,,,,,,09:30,tplus1_open_0930_v1,,5.6,,0,missing_entry_reference,5.6,5.6,,,,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,5.08,5.09,4.91,5.09,20260824,5.6,5.6,5.15,5.09,1125771.86,616654.40347,10.0196,5.6,35363059.2,4.58
20260820,20260821,20260824,20260821,20260824,002172.SZ,澳洋健康,18,0.1979933552442756,56.20339,0.4322611773793213,医疗服务,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,4.13,4.13,4.13,t_opening_auction,,,09:30,tplus1_open_0930_v1,4.06,4.06,tplus1_open_0930,1,fixed_open_0930,4.44,4.44,-0.016949152542372836,-0.016949152542372836,0.07506053268765145,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,4.13,4.26,4.0,4.04,20260824,4.06,4.44,3.88,4.04,1235078.46,519433.20794,9.901,4.06,13097966.0,3.64
20260820,20260821,20260824,20260821,20260824,000007.SZ,全新好,19,0.197844116563538,57.186441,0.1115060031977598,一般零售,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,12.44,12.44,12.44,t_opening_auction,,,09:30,tplus1_open_0930_v1,12.42,12.42,tplus1_open_0930,1,fixed_open_0930,12.74,12.74,-0.001607717041800738,-0.001607717041800738,0.024115755627009516,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,12.44,12.62,11.89,12.48,20260824,12.42,12.87,12.3,12.48,155179.0,194741.307,2.0833,12.42,2767176.0,11.23
20260820,20260821,20260824,20260821,20260824,600211.SH,西藏药业,20,0.1964019005659205,58.20339,0.83,生物制品,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,41.39,41.39,41.39,t_opening_auction,,,09:30,tplus1_open_0930_v1,38.7,38.7,tplus1_open_0930,1,fixed_open_0930,38.16,38.16,-0.06499154385117178,-0.06499154385117178,-0.07803817347185327,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,41.39,41.39,38.98,38.99,20260824,38.7,39.4,37.81,38.99,85941.72,329180.239,-2.1288,38.7,4090590.0,35.09
