trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,entry_price_t1,entry_price_proxy_t1,entry_price_proxy_mode,exit_price_t2_close,close_t2,realized_ret_t1_to_t2,premium_ret_t1_to_t2,eret_truth_version,return_holding_mode,run_id,run_attempt,commit_sha,generated_at_utc,target_date_x,buy_window_start,buy_window_end,open_t1,high_t1,low_t1,close_t1,target_date_y,open_t2,high_t2,low_t2,vol_t2,amount_t2,pct_chg_t2
20260305,20260306,20260309,20260306,20260309,600703.SH,三安光电,11,0.7501774674056684,59.057971,0.7030854212758787,半导体,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,17.08,17.08,open_t1,16.38,16.38,-0.040983606557376984,-0.040983606557376984,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,17.08,17.3,16.33,16.97,20260309,16.32,16.55,15.71,2627945.48,4241215.22,-3.4767
20260305,20260306,20260309,20260306,20260309,300895.SZ,铜牛信息,12,0.6916099756730268,31.086957,0.4401210427490234,软件服务,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,58.68,58.68,open_t1,64.27,64.27,0.09526244035446485,0.09526244035446485,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,58.68,65.64,58.68,62.86,20260309,61.04,65.13,60.01,208275.77,1299945.114,2.2431
20260305,20260306,20260309,20260306,20260309,605268.SH,王力安防,13,0.6782167206403199,84.797101,0.08,家居用品,PFILL_READY,1,1,0,strong_dead_limit_up,0,not_filled_no_trade,,,,15.33,15.33,,,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,13.94,13.94,13.94,13.94,20260309,15.33,15.33,15.33,49925.0,76535.025,9.9713
20260305,20260306,20260309,20260306,20260309,000509.SZ,华塑控股,14,0.616240231221874,67.768116,1.0,元器件,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,3.65,3.65,open_t1,3.87,3.87,0.0602739726027397,0.0602739726027397,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,3.65,3.99,3.5,3.99,20260309,3.84,4.11,3.83,1506897.19,591041.904,-3.0075
20260305,20260306,20260309,20260306,20260309,000920.SZ,沃顿科技,15,0.6097694354060755,68.594203,0.0,塑料,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,13.5,13.5,open_t1,14.39,14.39,0.06592592592592594,0.06592592592592594,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,13.5,13.81,13.1,13.69,20260309,13.99,14.93,13.92,382811.98,549917.352,5.1132
20260305,20260306,20260309,20260306,20260309,002520.SZ,日发精机,16,0.5041382332051333,55.637681,0.1069133379015616,机床制造,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,6.75,6.75,open_t1,6.85,6.85,0.014814814814814836,0.014814814814814836,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,6.75,6.85,6.6,6.8,20260309,6.72,6.87,6.66,520473.39,353763.047,0.7353
20260305,20260306,20260309,20260306,20260309,600744.SH,华银电力,17,0.4986446427186189,46.289855,0.0,火力发电,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,9.04,9.04,open_t1,9.32,9.32,0.030973451327433787,0.030973451327433787,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,9.04,9.47,8.58,9.08,20260309,8.89,9.77,8.89,3791873.99,3563716.517,2.6432
20260305,20260306,20260309,20260306,20260309,300269.SZ,联建光电,18,0.4966390706828272,41.130435,1.0,元器件,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,8.32,8.32,open_t1,8.4,8.4,0.009615384615384581,0.009615384615384581,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,8.32,8.55,8.2,8.37,20260309,8.19,8.43,8.14,578275.0,479454.461,0.3584
20260305,20260306,20260309,20260306,20260309,600828.SH,茂业商业,19,0.3091440831701945,58.043478,0.0,百货,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,6.45,6.45,open_t1,6.37,6.37,-0.012403100775193798,-0.012403100775193798,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,6.45,6.58,6.36,6.4,20260309,6.27,6.5,6.27,383267.21,243810.723,-0.4688
20260305,20260306,20260309,20260306,20260309,603773.SH,沃格光电,20,0.2650117382446532,68.362319,1.0,元器件,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,39.68,39.68,open_t1,38.38,38.38,-0.032762096774193505,-0.032762096774193505,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,39.68,41.25,38.47,40.18,20260309,38.18,38.67,36.52,166129.61,624862.04,-4.4798
