trade_date,exec_date,target_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,y_public_market_buyable,actual_order_fill_observed,actual_order_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,auction_price_t1,auction_amount_t1,minute_open_t1,minute_open_available_t1,label_version,execution_contract,buy_window_start,buy_window_end,run_id,run_attempt,commit_sha,generated_at_utc,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,intraday_available,intraday_status,intraday_missing_reason,minute_freq,minute_rows,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,reseal_score,intraday_quality_score,intraday_confidence_score,intraday_risk_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_tag,auction_strength_score,auction_amount,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board,board_rank,board_limit_up_count,is_st_like,is_limit_up,break_count_proxy,limit_up_strength,decision_board,decision_limit_pct,decision_universe_eligible,decision_universe_reason,decision_universe_rule,open_t1,high_t1,low_t1,close_t1,pre_close_t1,vol_t1,amount_t1,pct_chg_t1,auction_vol_t1,up_limit_t1,down_limit_t1,open_times_t1
20260807,20260810,20260811,603137.SH,恒尚节能,11,0.2048878193436962,53.661017,0.01,装修装饰,FULLY_READY,1,1,1,1,0,,strong_official_opening_auction,28.34,t_opening_auction,28.34,34954556.0,28.34,1,pfill_truth_v7_public_buyable_explicit,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,31178016948,1,299dd10ad3740976d9bd963f230328fe8cee08aa,2026-08-07T12:25:38Z,U,2.0,65894180.0,65894180.0,93601.0,94322.0,,,,,,,,,,,,,,,,,,,,,,,,0.9493975903614458,9564163.0,,,,,,27.5,22.5,0.0,,,0.0,1.0,0.0,1.4345246855655551,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,28.34,28.52,25.34,27.58,27.5,372125.09,994233.672,0.2909,1233400.0,30.25,24.75,
20260807,20260810,20260811,603936.SH,博敏电子,12,0.2042141283626772,56.474576,0.8363999999999999,元件,FULLY_READY,1,1,1,1,0,,strong_official_opening_auction,16.48,t_opening_auction,16.48,17257856.0,,0,pfill_truth_v7_public_buyable_explicit,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,31178016948,1,299dd10ad3740976d9bd963f230328fe8cee08aa,2026-08-07T12:25:38Z,U,0.0,55108242.0,55108242.0,101605.0,101605.0,,,,,,,,,,,,,,,,,,,,,,,,0.8469245402663285,2221317.0,,,,,,15.93,13.03,1.0,1.0,11.0,0.0,1.0,0.0,2.3346277702692486,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,16.48,16.57,15.01,15.36,15.93,804844.84,1241797.206,-3.5782,1047200.0,17.52,14.34,
20260807,20260810,20260811,603757.SH,大元泵业,13,0.2018619515194914,43.355932,0.01,通用设备,FULLY_READY,1,1,1,1,0,,strong_official_opening_auction,65.05,t_opening_auction,65.05,8144260.0,,0,pfill_truth_v7_public_buyable_explicit,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,31178016948,1,299dd10ad3740976d9bd963f230328fe8cee08aa,2026-08-07T12:25:38Z,U,1.0,80746385.0,80746385.0,93543.0,93701.0,,,,,,,,,,,,,,,,,,,,,,,,0.6941027266962587,620880.0,,,,,,65.01,53.19,0.0,,,0.0,1.0,0.0,1.6239993560283108,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,65.05,66.3,61.69,62.7,65.01,122087.15,769495.81,-3.5533,125200.0,71.51,58.51,
20260807,20260810,20260811,002281.SZ,光迅科技,14,0.1957636320112895,55.254237,0.2518420922806225,通信设备,FULLY_READY,1,1,1,1,0,,strong_official_opening_auction,190.93,t_opening_auction,190.93,158510086.0,,0,pfill_truth_v7_public_buyable_explicit,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,31178016948,1,299dd10ad3740976d9bd963f230328fe8cee08aa,2026-08-07T12:25:38Z,U,4.0,86211664.0,86211664.0,100727.0,145421.0,,,,,,,,,,,,,,,,,,,,,,,,0.9986049461001902,159381040.0,,,,,,193.04,157.94,1.0,6.0,4.0,0.0,1.0,0.0,1.5823921909089689,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,190.93,194.72,173.74,178.3,193.04,788226.57,14196466.171,-7.6357,830200.0,212.34,173.74,
20260807,20260810,20260811,603328.SH,依顿电子,15,0.1944278719847436,56.508475,0.8363999999999999,元件,FULLY_READY,1,1,0,0,0,,strong_opening_auction_limit_up_unconfirmed,,,11.94,30834178.0,,0,pfill_truth_v7_public_buyable_explicit,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,31178016948,1,299dd10ad3740976d9bd963f230328fe8cee08aa,2026-08-07T12:25:38Z,U,0.0,126633756.0,126633756.0,93050.0,93050.0,,,,,,,,,,,,,,,,,,,,,,,,0.9656309448319594,15006456.0,,,,,,10.85,8.87,1.0,1.0,11.0,0.0,1.0,0.0,2.444466962148785,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,11.94,11.94,11.21,11.42,10.85,812639.97,947443.061,5.2535,2582427.0,11.94,9.77,
20260807,20260810,20260811,002589.SZ,瑞康医药,16,0.1938670504429072,69.474576,0.01,医药商业,FULLY_READY,1,1,1,1,0,,strong_official_opening_auction,3.17,t_opening_auction,3.17,29466101.0,,0,pfill_truth_v7_public_buyable_explicit,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,31178016948,1,299dd10ad3740976d9bd963f230328fe8cee08aa,2026-08-07T12:25:38Z,U,2.0,64612032.0,64612032.0,95130.0,110503.0,,,,,,,,,,,,,,,,,,,,,,,,0.3996195307545973,107408.0,,,,,,3.04,2.48,1.0,10.0,2.0,0.0,1.0,0.0,1.68255573641281,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,3.17,3.34,3.14,3.34,3.04,1691764.12,556672.03968,9.8684,9295300.0,3.34,2.74,0.0
20260807,20260810,20260811,603186.SH,华正新材,17,0.1937605942806678,57.389831,0.83,元件,FULLY_READY,1,1,1,1,0,,strong_official_opening_auction,150.0,t_opening_auction,150.0,72360000.0,,0,pfill_truth_v7_public_buyable_explicit,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,31178016948,1,299dd10ad3740976d9bd963f230328fe8cee08aa,2026-08-07T12:25:38Z,U,1.0,88367422.0,88367422.0,101613.0,101734.0,,,,,,,,,,,,,,,,,,,,,,,,0.9902346227013316,47641230.0,,,,,,143.0,117.0,1.0,1.0,11.0,0.0,1.0,0.0,1.8857027119156105,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,150.0,154.8,141.08,152.0,143.0,303429.48,4468277.023,6.2937,482400.0,157.3,128.7,
20260807,20260810,20260811,002971.SZ,和远气体,18,0.1902471458938691,60.983051,0.4258611773793213,化学制品,FULLY_READY,1,1,1,1,0,,strong_official_opening_auction,44.93,t_opening_auction,44.93,28139659.0,44.93,1,pfill_truth_v7_public_buyable_explicit,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,31178016948,1,299dd10ad3740976d9bd963f230328fe8cee08aa,2026-08-07T12:25:38Z,U,1.0,87996358.0,87996358.0,93103.0,134306.0,,,,,,,,,,,,,,,,,,,,,,,,0.9860494610019024,36071800.0,,,,,,45.38,37.13,1.0,4.0,4.0,0.0,1.0,0.0,1.885132882107808,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,44.93,46.25,42.3,44.38,45.38,388253.64,1697816.87082,-2.2036,626300.0,49.92,40.84,
20260807,20260810,20260811,600601.SH,方正科技,19,0.1888966481091611,56.627119,0.83,元件,FULLY_READY,1,1,1,1,0,,strong_official_opening_auction,13.03,t_opening_auction,13.03,87991590.0,13.03,1,pfill_truth_v7_public_buyable_explicit,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,31178016948,1,299dd10ad3740976d9bd963f230328fe8cee08aa,2026-08-07T12:25:38Z,U,13.0,87007377.0,87007377.0,102022.0,142034.0,,,,,,,,,,,,,,,,,,,,,,,,0.994546607482562,75277107.0,,,,,,12.87,10.53,1.0,1.0,11.0,0.0,1.0,0.0,1.4550427105347674,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,13.03,13.36,12.78,13.22,12.87,4199925.65,5478311.945,2.7195,6753000.0,14.16,11.58,
20260807,20260810,20260811,000506.SZ,招金黄金,20,0.1797127304494711,60.016949,0.01,贵金属,FULLY_READY,1,1,1,1,0,,strong_official_opening_auction,18.27,t_opening_auction,18.27,31491999.0,,0,pfill_truth_v7_public_buyable_explicit,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,31178016948,1,299dd10ad3740976d9bd963f230328fe8cee08aa,2026-08-07T12:25:38Z,U,0.0,48199747.0,48199747.0,135045.0,135045.0,,,,,,,,,,,,,,,,,,,,,,,,0.9759036144578314,21571930.0,,,,,,18.13,14.83,0.0,,,0.0,1.0,0.0,2.074018639827994,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,18.27,19.94,17.8,19.94,18.13,1215131.43,2294767.51855,9.9835,1723700.0,19.94,16.32,0.0
