trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,realized_ret_t1_to_t2,premium_ret_t1_to_t2,entry_price_t1,entry_price_proxy_t1,entry_price_proxy_mode,exit_price_t2_close,close_t2,close_t2,dataset_split,sample_weight,is_cold_start,feature_coverage_score,eret_truth_version,return_holding_mode,buy_window_start,buy_window_end,open_t1,high_t1,low_t1,close_t1,open_t2,high_t2,low_t2,vol_t2,amount_t2,pct_chg_t2,symbol,board,area,market,list_date,open,high,low,close,pct_chg,pre_close_est,returns_1d,high_low_range,candle_body,gap_open,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,amihud_illiquidity,volatility_5d,volatility_10d,volatility_20d,atr,downside_vol,max_drawdown_20d,tail_risk_score,total_mv,float_mv,pe_ttm,pb,north_money_market,south_money_market,hgt_market,sgt_market,market_regime,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,top_list_net_buy,top_net_rate,amount_rate,float_values,abnormal_volume,has_namechange_record,latest_change_reason,ret_2d,ret_5d,ret_10d,bid_ask_proxy,spread_proxy,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_limit_up,break_count_proxy,limit_up_strength,pct_chg_t2__is_missing,amount_t2__is_missing
20260313,20260316.0,20260317,20260316.0,20260317,000533.SZ,顺钠股份,PFILL_READY,1,1,1.0,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.2227516378796903,0.2227516378796903,16.79,16.79,open_t1,20.53,20.53,20.53,raw_train_pool,1.25,1,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,16.79,18.66,16.03,18.66,18.46,20.53,17.66,2716425.48,5145440.084,10.0214,533,,广东,主板,19940103,18.05,18.56,16.96,16.96,-9.9788,-1.8888938388203325,-9.9788,-0.8470566037735837,0.5770573113207546,-10.555857311320755,1590976.64,2787825.427,23.2292,38.1046,0.94,3.5794206851532528e-06,,,,,,,,1171623.936,,,,295244.72,53065.26,138275.19,156969.53,,,,,,,,3599481.8,0.13,20.04,11615944704.0,20.04,0.0,,,,,,,,,,,,,,,,,,20.72,16.96,0.0,0.0,2.0,0,0
20260313,20260316.0,20260317,20260316.0,20260317,600683.SH,京投发展,PFILL_READY,1,1,1.0,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.1064718162839248,0.1064718162839248,9.58,9.58,open_t1,10.6,10.6,10.6,raw_train_pool,1.25,1,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,9.58,9.64,9.03,9.64,10.6,10.6,10.28,456800.34,481310.823,9.9585,600683,区域地产,浙江,主板,19931025,7.91,8.76,7.8,8.76,10.0503,0.7927386586789499,10.0503,1.2109917808219175,1.0722323059360723,8.978067694063927,433776.29,364276.303,5.8557,13.2429,1.06,2.7589771602573884e-05,,,,,,,,648921.175,,,,295244.72,53065.26,138275.19,156969.53,,,,0.0,,,0.0,8580950.7,0.69,32.35,6489211749.72,32.35,0.0,,,,,,,U,1.0,50816278.0,50816278.0,95822.0,100710.0,,,,,,8.76,7.16,1.0,0.0,1.5745458342340148,0,0
20260313,20260316.0,20260317,20260316.0,20260317,600370.SH,三房巷,PFILL_READY,1,1,1.0,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.1073825503355703,0.1073825503355703,2.98,2.98,open_t1,3.3,3.3,3.3,raw_train_pool,1.25,1,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,2.98,3.0,2.88,3.0,2.97,3.3,2.86,2539497.65,805141.837,10.0,600370,化工原料,江苏,主板,20030306,2.48,2.73,2.48,2.73,10.0806,0.2463765500063173,10.0806,1.0147069597069598,1.0147069597069598,9.06589304029304,2737150.5,709959.486,7.0243,37.5351,3.97,1.4198838382729912e-05,,,,,,,,1063793.8357,,,,295244.72,53065.26,138275.19,156969.53,,7.0,1.0,1.0,1.0,7.0,0.0,-7558852.0,-0.78,24.28,10637938357.41,24.28,0.0,,,,,,,U,0.0,21947207.0,21947207.0,143221.0,143221.0,,,,,,2.73,2.23,1.0,0.0,2.282195841948944,0,0
20260313,20260316.0,20260317,20260316.0,20260317,603778.SH,国晟科技,PFILL_READY,1,1,1.0,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.1861244019138757,0.1861244019138757,20.9,20.9,open_t1,24.79,24.79,24.79,raw_train_pool,1.25,1,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,20.9,22.54,20.01,22.54,23.2,24.79,23.0,1571052.56,3809967.225,9.9823,603778,,北京,主板,20151231,21.6,22.68,20.16,20.49,-6.8636,-3.494440275598608,-6.8636,-0.7211455344070278,0.317647437774525,-7.181247437774525,1135662.62,2415326.645,17.6659,24.2922,0.91,2.841686036217267e-06,,,,,,,,1345459.7039,,,,295244.72,53065.26,138275.19,156969.53,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,24.2,19.8,0.0,0.0,2.0,0,0
20260313,20260316.0,20260317,20260316.0,20260317,000020.SZ,深华发Ａ,PFILL_READY,1,1,1.0,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.2097998619737751,0.2097998619737751,14.49,14.49,open_t1,17.53,17.53,17.53,raw_train_pool,1.25,1,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,14.49,15.94,14.35,15.94,17.53,17.53,17.53,74185.02,130046.34,9.9749,20,,深圳,主板,19920428,14.43,14.76,14.37,14.49,0.0,14.49,0.0,0.0269151138716356,0.0041407867494824,-0.0041407867494824,21655.0,31514.277,1.1953,3.4998,0.87,0.0,,,,,,,,410300.6179,,,,295244.72,53065.26,138275.19,156969.53,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,15.94,13.04,0.0,0.0,2.0,0,0
20260313,20260316.0,20260317,20260316.0,20260317,603248.SH,锡华科技,PFILL_READY,1,1,1.0,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.1814404432132963,0.1814404432132963,28.88,28.88,open_t1,34.12,34.12,34.12,raw_train_pool,1.25,1,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,28.88,31.02,27.7,31.02,30.8,34.12,30.49,304292.46,999353.525,9.9936,603248,机械基件,江苏,主板,20251223,25.65,28.2,25.37,28.2,9.9844,2.5672772295255086,9.9844,1.102335177304964,0.9932702127659578,8.991129787234042,321571.86,884247.556,46.3969,46.3969,3.27,1.1291408081652648e-05,,,,,,,,1297200.0,,,,295244.72,53065.26,138275.19,156969.53,,3.0,7.0,1.0,7.0,3.0,0.0,42109976.02,2.36,12.4,1954511487.6,12.4,0.0,,,,,,,U,2.0,17474637.0,17474637.0,130024.0,150000.0,,,,,,28.2,23.08,1.0,0.0,1.608968059928256,0,0
20260313,20260316.0,20260317,20260316.0,20260317,600227.SH,赤天化,PFILL_READY,1,1,1.0,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.1755555555555554,0.1755555555555554,4.5,4.5,open_t1,5.29,5.29,5.29,raw_train_pool,1.25,1,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,4.5,4.81,4.42,4.81,4.6,5.29,4.6,4595402.98,2315337.474,9.9792,600227,农药化肥,贵州,主板,20000221,3.96,4.37,3.96,4.37,10.0756,0.3945610170103651,10.0756,1.0391295194508012,1.0391295194508012,9.036470480549198,3981515.44,1707365.839,31.164,37.7251,1.21,5.901254300543611e-06,,,,,,,,737973.9983,,,,295244.72,53065.26,138275.19,156969.53,,3.0,5.0,1.0,5.0,3.0,0.0,116227230.84,6.81,19.89,5583111139.11,19.89,0.0,,,,,,,U,3.0,28400166.0,28400166.0,94035.0,144914.0,,,,,,4.37,3.57,1.0,0.0,1.5416621238346992,0,0
20260313,20260316.0,20260317,20260316.0,20260317,600545.SH,卓郎智能,PFILL_READY,1,1,1.0,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.2216358839050132,0.2216358839050132,3.79,3.79,open_t1,4.63,4.63,4.63,raw_train_pool,1.25,1,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,3.79,4.21,3.62,4.21,4.43,4.63,4.35,1399647.88,642288.735,9.9762,600545,,新疆,主板,20031203,3.94,4.05,3.77,3.83,-5.198,-0.9123392091472128,-5.198,-0.3069033942558745,0.120569190600522,-5.318569190600523,1456642.16,566467.202,8.1472,15.0951,0.59,9.176171156331133e-06,,,,,,,,684770.381,,,,295244.72,53065.26,138275.19,156969.53,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4.44,3.64,0.0,0.0,2.0,0,0
20260313,20260316.0,20260317,20260316.0,20260317,603929.SH,亚翔集成,PFILL_READY,1,1,1.0,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.1121989426277658,0.1121989426277658,153.21,153.21,open_t1,170.4,170.4,170.4,raw_train_pool,1.25,1,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,153.21,154.91,145.2,154.91,161.8,170.4,153.03,108064.53,1794775.047,9.9994,603929,装修装饰,江苏,主板,20161230,138.75,140.83,138.75,140.83,9.9977,12.805404766451169,9.9977,0.1624314137612734,0.1624314137612734,9.835268586238726,22768.26,319935.418,1.0671,2.6811,0.73,3.12491191581671e-05,,,,,,,,3004748.88,,,,295244.72,53065.26,138275.19,156969.53,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,0.0,219353146.0,219353146.0,93000.0,93000.0,,,,,,140.83,115.23,1.0,0.0,2.321783961832577,0,0
20260313,20260316.0,20260317,20260316.0,20260317,000890.SZ,法尔胜,PFILL_READY,1,1,1.0,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.2068345323741007,0.2068345323741007,11.12,11.12,open_t1,13.42,13.42,13.42,raw_train_pool,1.25,1,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,11.12,12.2,10.66,12.2,12.55,13.42,12.21,963352.26,1242946.057,10.0,890,环境保护,江苏,主板,19990119,10.59,11.09,10.45,11.09,10.0198,1.00637035154903,10.0198,0.6359487826871061,0.4968349864743012,9.5229650135257,389990.97,424799.648,9.2968,15.597,0.44,2.3587119356558413e-05,,,,,,,,465229.9005,,,,295244.72,53065.26,138275.19,156969.53,,2.0,9.0,1.0,9.0,2.0,0.0,90565325.69,7.28,27.16,4652155700.14,27.16,0.0,,,,,,,U,2.0,55731929.0,55731929.0,93142.0,93315.0,,,,,,11.09,9.07,1.0,0.0,1.665090268400004,0,0
