trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,entry_price_t1,entry_price_t_opening_auction,entry_price_proxy_t1,entry_price_proxy_mode,take_profit_price_tplus1,stop_loss_price_tplus1,latest_exit_time,exit_policy_version,exit_price_tplus1_timed,exit_price_tplus1_open,exit_price_source,exit_on_time,exit_reason,exit_price_t2_close,close_t2,realized_ret_open_to_tplus1_timed_exit,realized_ret_t1_to_t2,premium_ret_t1_to_t2,eret_truth_version,return_holding_mode,execution_contract,run_id,run_attempt,commit_sha,generated_at_utc,buy_window_start,buy_window_end,open_t1,high_t1,low_t1,close_t1,market_target_date,open_t2,high_t2,low_t2,pre_close_t2,vol_t2,amount_t2,pct_chg_t2,auction_price_t2,auction_amount_t2,down_limit_t2,minute_open_t2,minute_open_available_t2
20260713,20260714,20260715,20260714,20260715,605090.SH,九丰能源,12,0.1450998121011381,63.341206,0.2518420922806225,燃气Ⅱ,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_stop_gap_at_open,41.0,41.0,41.0,t_opening_auction,42.23,39.98,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,38.52,38.52,daily_ohlc_conservative_proxy,1,stop_gap_at_open,41.6,41.6,-0.06048780487804872,-0.06048780487804872,0.014634146341463428,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,41.0,41.0,38.3,39.4,20260715,38.52,42.35,38.52,39.4,638995.63,2631460.126,5.5838,38.52,61246800.0,35.46,,0
20260713,20260714,20260715,20260714,20260715,600992.SH,贵绳股份,13,0.1432698267391902,64.045714,0.1800599148755985,通用设备,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_stop_gap_at_open,11.39,11.39,11.39,t_opening_auction,11.73,11.11,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,10.28,10.28,daily_ohlc_conservative_proxy,1,stop_gap_at_open,11.35,11.35,-0.09745390693590883,-0.09745390693590883,-0.00351185250219499,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,11.39,11.39,10.55,10.55,20260715,10.28,11.61,10.1,10.55,382381.7,426778.974,7.5829,10.28,14522556.0,9.5,,0
20260713,20260714,20260715,20260714,20260715,603318.SH,水发燃气,14,0.1417099651615236,62.96,0.2518420922806225,燃气Ⅱ,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_stop_gap_at_open,9.3,9.3,9.3,t_opening_auction,9.58,9.07,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,8.59,8.59,daily_ohlc_conservative_proxy,1,stop_gap_at_open,8.43,8.43,-0.07634408602150544,-0.07634408602150544,-0.09354838709677427,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,9.3,9.3,8.32,8.87,20260715,8.59,9.05,8.31,8.87,764830.37,658637.171,-4.9605,8.59,25313253.0,7.98,,0
20260713,20260714,20260715,20260714,20260715,601608.SH,中信重工,15,0.1413536635839395,51.364151,0.3351513965909831,专用设备,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_stop_gap_at_open,5.42,5.42,5.42,t_opening_auction,5.58,5.28,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,4.9,4.9,daily_ohlc_conservative_proxy,1,stop_gap_at_open,5.07,5.07,-0.09594095940959413,-0.09594095940959413,-0.06457564575645747,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,5.42,5.42,4.99,5.13,20260715,4.9,5.48,4.85,5.13,1669679.48,862977.211,-1.1696,4.9,10918670.0,4.62,,0
20260713,20260714,20260715,20260714,20260715,600513.SH,联环药业,16,0.1400521095223545,66.824306,0.8363999999999999,化学制药,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_take_profit_daily_proxy,17.03,17.03,17.03,t_opening_auction,17.54,16.6,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,17.54,16.99,daily_ohlc_conservative_proxy,1,take_profit_daily_proxy,19.15,19.15,0.02994715208455645,0.02994715208455645,0.1244862008220784,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,17.03,17.82,16.51,17.82,20260715,16.99,19.5,16.99,17.82,523554.55,972704.5,7.4635,16.99,12441777.0,16.04,,0
20260713,20260714,20260715,20260714,20260715,603933.SH,睿能科技,17,0.1383765630454952,52.152274,0.1115060031977598,其他电子,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_stop_gap_at_open,24.27,24.27,24.27,t_opening_auction,25.0,23.66,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,22.6,22.6,daily_ohlc_conservative_proxy,1,stop_gap_at_open,21.62,21.62,-0.06880922950144197,-0.06880922950144197,-0.10918829831067156,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,24.27,24.47,22.24,23.0,20260715,22.6,23.09,21.47,23.0,130573.64,287149.276,-6.0,22.6,5833060.0,20.7,,0
20260713,20260714,20260715,20260714,20260715,001388.SZ,信通电子,18,0.1323765755412993,59.985523,0.01,电网设备,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_take_profit_gap_conservative,30.1,30.1,30.1,t_opening_auction,31.0,29.35,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,31.0,34.0,daily_ohlc_conservative_proxy,1,take_profit_gap_conservative,35.68,35.68,0.029900332225913706,0.029900332225913706,0.18538205980066436,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,30.1,32.44,29.92,32.44,20260715,34.0,35.68,33.68,32.44,101813.28,358905.9248,9.9877,34.0,23218600.0,29.2,,0
20260713,20260714,20260715,20260714,20260715,003030.SZ,祖名股份,19,0.1151641436806641,56.119746,0.0573942950693908,农产品加,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_take_profit_gap_conservative,23.54,23.54,23.54,t_opening_auction,24.25,22.95,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,24.25,24.95,daily_ohlc_conservative_proxy,1,take_profit_gap_conservative,24.98,24.98,0.03016142735768912,0.03016142735768912,0.06117247238742585,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,23.54,26.14,23.54,25.97,20260715,24.95,26.15,24.86,25.97,86351.89,219389.49422,-3.8121,24.95,7901665.0,23.37,,0
20260713,20260714,20260715,20260714,20260715,001395.SZ,亚联机械,20,0.108027019258952,48.906117,0.3351513965909831,专用设备,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_stop_gap_at_open,30.0,30.0,30.0,t_opening_auction,30.9,29.25,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,28.84,28.84,daily_ohlc_conservative_proxy,1,stop_gap_at_open,30.1,30.1,-0.03866666666666674,-0.03866666666666674,0.0033333333333334103,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,30.0,31.47,28.56,30.19,20260715,28.84,30.3,28.7,30.19,58672.77,174530.48629,-0.2981,28.84,5969880.0,27.17,,0
20260713,20260714,20260715,20260714,20260715,603677.SH,奇精机械,21,0.1075288597577647,58.599606,0.01,家电零部,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_stop_gap_at_open,14.19,14.19,14.19,t_opening_auction,14.62,13.84,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,13.26,13.26,daily_ohlc_conservative_proxy,1,stop_gap_at_open,14.0,14.0,-0.06553911205074003,-0.06553911205074003,-0.013389711064129672,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,14.19,14.37,13.5,13.9,20260715,13.26,14.09,12.97,13.9,63911.0,86113.251,0.7194,13.26,3759210.0,12.51,,0
20260713,20260714,20260715,20260714,20260715,603120.SH,肯特催化,22,0.0995869858464153,53.655531,0.5394931282264485,化学制品,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_stop_gap_at_open,55.55,55.55,55.55,t_opening_auction,57.22,54.16,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,52.85,52.85,daily_ohlc_conservative_proxy,1,stop_gap_at_open,50.6,50.6,-0.04860486048604851,-0.04860486048604851,-0.08910891089108908,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,55.55,56.0,51.04,52.85,20260715,52.85,53.2,49.4,52.85,43026.55,218930.656,-4.2573,52.85,3773490.0,47.57,,0
20260713,20260714,20260715,20260714,20260715,603669.SH,灵康药业,24,0.0932439515704814,59.64722,0.83,化学制药,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_take_profit_gap_conservative,6.74,6.74,6.74,t_opening_auction,6.94,6.57,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,6.94,7.15,daily_ohlc_conservative_proxy,1,take_profit_gap_conservative,8.11,8.11,0.029673590504450953,0.029673590504450953,0.20326409495548936,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,6.74,7.48,6.46,7.4,20260715,7.15,8.13,7.01,7.4,1043714.9,785412.835,9.5946,7.15,12053470.0,6.66,,0
20260713,20260714,20260715,20260714,20260715,600881.SH,亚泰集团,25,0.0871122614744202,52.333217,0.01,综合Ⅱ,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_stop_gap_at_open,1.75,1.75,1.75,t_opening_auction,1.8,1.71,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,1.58,1.58,daily_ohlc_conservative_proxy,1,stop_gap_at_open,1.68,1.68,-0.09714285714285698,-0.09714285714285698,-0.040000000000000036,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,1.75,1.81,1.64,1.67,20260715,1.58,1.71,1.58,1.67,1352488.5,224309.519,0.5988,1.58,17348874.0,1.5,,0
20260713,20260714,20260715,20260714,20260715,600671.SH,天目药业,26,0.0869041010466207,50.219294,0.6729057079444091,中药Ⅱ,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_stop_gap_at_open,20.72,20.72,20.72,t_opening_auction,21.34,20.2,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,18.57,18.57,daily_ohlc_conservative_proxy,1,stop_gap_at_open,19.78,19.78,-0.1037644787644787,-0.1037644787644787,-0.04536679536679522,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,20.72,21.13,19.02,19.55,20260715,18.57,19.94,18.57,19.55,87139.0,169195.998,1.1765,18.57,4852341.0,17.6,,0
20260713,20260714,20260715,20260714,20260715,601002.SH,晋亿实业,28,0.07380384002596,46.723503,0.1736599148755986,通用设备,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_daily_ohlc_conservative_proxy_stop_loss_daily_proxy,4.89,4.89,4.89,t_opening_auction,5.04,4.77,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,4.77,4.87,daily_ohlc_conservative_proxy,1,stop_loss_daily_proxy,4.99,4.99,-0.024539877300613466,-0.024539877300613466,0.020449897750511425,eret_truth_v3_tplus1_first_touch_exit,manual_buy_t_0925_auction_to_tplus1_first_touch_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_timed_exit,29254419818,1,85ab6560d42cdf95077a03cb128053cb7899b901,2026-07-13T13:41:25Z,09:20:00,09:24:50,4.89,5.14,4.72,4.99,20260715,4.87,4.99,4.77,4.99,390502.49,190800.59,0.0,4.87,6894946.0,4.49,,0
