trade_date,exec_date,target_date,ts_code,name,rank,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,dataset_split,sample_weight,is_cold_start,feature_coverage_score,label_version,buy_window_start,buy_window_end,open_t1,up_limit_t1,down_limit_t1,open_times_t1,symbol,board,area,market,list_date,open,high,low,close,pct_chg,pre_close_est,returns_1d,high_low_range,candle_body,gap_open,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,amihud_illiquidity,volatility_5d,volatility_10d,volatility_20d,atr,downside_vol,max_drawdown_20d,tail_risk_score,total_mv,float_mv,pe_ttm,pb,north_money_market,south_money_market,hgt_market,sgt_market,market_regime,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,top_list_net_buy,top_net_rate,amount_rate,float_values,abnormal_volume,has_namechange_record,latest_change_reason,ret_2d,ret_5d,ret_10d,bid_ask_proxy,spread_proxy,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_limit_up,break_count_proxy,limit_up_strength,prior_prob_prior,prior_strength_score,prior_theme_boost,prior_board,open_times_t1__is_missing,prior_prob_prior__is_missing,prior_strength_score__is_missing,prior_theme_boost__is_missing
20260611,20260612,20260615,603065.SH,XD宿迁联,1,PFILL_READY,1,0,0,strong_dead_limit_up,,,raw_train_pool,1.75,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,13.6,13.6,11.12,0.0,603065,化工原料,江苏,主板,20230321,12.36,12.36,12.36,12.36,9.9644,1.12728466673963,9.9644,0.0,0.0,9.9644,128522.25,158853.501,3.0676,6.8952,0.59,6.272697760687063e-05,,,,,,,,517843.919,,,,339321.25,54075.8,159596.74,179724.51,,11.0,1.0,1.0,1.0,11.0,0.0,,,,,,0.0,,,,,,,U,0.0,170619281.0,170619281.0,92502.0,92502.0,,,,,,12.36,10.12,1.0,0.0,2.6588956890191726,0.7298149112562418,73.528571,0.83,化工原料,0,0,0,0
20260611,20260612,20260615,000631.SZ,顺发恒能,2,PFILL_READY,1,0,1,strong_open_tradable,3.64,t1_open,raw_train_pool,1.75,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,3.64,3.67,3.01,,631,综合类,浙江,主板,19961122,3.34,3.34,3.34,3.34,9.8684,0.3073129439475912,9.8684,0.0,0.0,9.8684,164146.4,54824.8976,0.7137,2.7228,0.61,0.0001799985122088,,,,,,,,768200.0284,,,,339321.25,54075.8,159596.74,179724.51,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,0.0,105121824.0,105121824.0,92500.0,92500.0,,,,,,3.34,2.74,1.0,0.0,2.251928506576183,0.6379942280291295,81.557143,0.01,综合类,1,0,0,0
20260611,20260612,20260615,002824.SZ,和胜股份,3,PFILL_READY,1,0,1,strong_open_tradable,30.0,t1_open,raw_train_pool,1.75,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,30.0,31.75,25.97,,2824,铝,广东,主板,20170112,26.91,28.86,26.8,28.86,9.9848,2.6272667686257374,9.9848,0.7840848232848228,0.7422162162162159,9.242583783783784,306706.29,862631.74428,13.5605,18.7367,1.17,1.1574811692483986e-05,,,,,,,,898062.1265,,,,339321.25,54075.8,159596.74,179724.51,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,1.0,65644349.0,65644349.0,93300.0,103321.0,,,,,,28.86,23.62,1.0,0.0,1.6573192147877474,0.6604418468976372,60.057143,0.01,铝,1,0,0,0
20260611,20260612,20260615,600500.SH,中化国际,4,PFILL_READY,1,0,1,strong_open_tradable,7.9,t1_open,raw_train_pool,1.5,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,7.9,7.93,6.49,51.0,600500,塑料,上海,主板,20000301,7.21,7.21,7.21,7.21,10.0763,0.6509393931186407,10.0763,0.0,0.0,10.0763,388870.09,280375.335,1.0837,2.3715,0.57,3.593861064847234e-05,,,,,,,,2587168.8445,,,,339321.25,54075.8,159596.74,179724.51,,,,0.0,,,0.0,-5718899.9,-2.04,76.8,25871688444.63,76.8,0.0,,,,,,,U,0.0,303417377.0,303417377.0,92501.0,92501.0,,,,,,7.21,5.9,1.0,0.0,2.727151449130799,0.6193505289203144,58.328571,0.0164,塑料,0,0,0,0
20260611,20260612,20260615,600141.SH,兴发集团,5,PFILL_READY,1,0,0,strong_dead_limit_up,,,raw_train_pool,1.5,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,36.0,36.0,29.46,,600141,农药化肥,湖北,主板,19990616,32.73,32.73,32.73,32.73,10.0168,2.9709171447244205,10.0168,0.0,0.0,10.0168,106369.61,348147.734,0.8851,1.3257,0.33,2.877169380054044e-05,,,,,,,,3933294.552,,,,339321.25,54075.8,159596.74,179724.51,,3.0,7.0,1.0,7.0,3.0,0.0,,,,,,0.0,,,,,,,U,0.0,341742439.0,341742439.0,92502.0,92502.0,,,,,,32.73,26.78,1.0,0.0,3.0689989387072703,0.4456802397712694,59.728571,0.1736599148755986,农药化肥,1,0,0,0
20260611,20260612,20260615,002378.SZ,章源钨业,6,PFILL_READY,1,0,1,strong_open_tradable,35.0,t1_open,raw_train_pool,1.5,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,35.0,36.99,30.27,,2378,小金属,江西,主板,20100331,30.9,33.63,30.8,33.63,10.0098,3.0545513996621194,10.0098,0.92648629200119,0.893748260481714,9.116051739518284,1243382.08,4101364.29223,10.4038,24.2098,1.77,2.440602513403523e-06,,,,,,,,4040367.6108,,,,339321.25,54075.8,159596.74,179724.51,,8.0,3.0,1.0,3.0,8.0,0.0,332163831.68,8.1,23.08,40191931639.47,23.08,0.0,,,,,,,U,4.0,172354758.0,172354758.0,95012.0,103518.0,,,,,,33.63,27.51,1.0,0.0,1.8630548266004163,0.4576159573383414,40.471429,0.5458931282264484,小金属,1,0,0,0
20260611,20260612,20260615,600108.SH,亚盛集团,7,PFILL_READY,1,0,1,strong_open_tradable,3.76,t1_open,raw_train_pool,1.5,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,3.76,3.98,3.26,,600108,种植业,甘肃,主板,19970818,3.28,3.62,3.26,3.62,10.0304,0.3281839280533797,10.0304,1.096945856353592,1.0360044198895038,8.994395580110497,771683.6,270645.528,3.9636,5.5114,1.25,3.7061022489904216e-05,,,,,,,,704783.2738,,,,339321.25,54075.8,159596.74,179724.51,,,,0.0,,,0.0,59176024.0,21.86,61.56,7047832738.02,61.56,0.0,,,,,,,U,1.0,84590317.0,84590317.0,94853.0,102847.0,,,,,,3.62,2.96,1.0,0.0,1.7027239579919764,0.4376778091636256,60.542857,0.0164,种植业,1,0,0,0
20260611,20260612,20260615,601958.SH,金钼股份,8,PFILL_READY,1,0,0,strong_dead_limit_up,,,raw_train_pool,1.5,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25.52,25.52,20.88,0.0,601958,小金属,陕西,主板,20080417,21.4,23.2,21.4,23.2,10.0047,2.108190136941489,10.0047,0.853812931034483,0.853812931034483,9.150887068965517,471147.55,1073300.389,1.4602,5.2822,0.76,9.321435175590903e-06,,,,,,,,7485722.208,,,,339321.25,54075.8,159596.74,179724.51,,8.0,3.0,1.0,3.0,8.0,0.0,,,,,,0.0,,,,,,,U,1.0,342819022.0,342819022.0,93718.0,93824.0,,,,,,23.2,18.98,1.0,0.0,2.5715790113988866,0.327057061999118,56.8,0.5394931282264485,小金属,0,0,0,0
20260611,20260612,20260615,000510.SZ,新金路,9,PFILL_READY,1,0,1,strong_open_tradable,18.21,t1_open,raw_train_pool,1.5,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,18.21,19.37,15.85,1.0,510,化工原料,四川,主板,19930507,15.93,17.61,15.68,17.61,9.9938,1.6018119303607488,9.9938,1.2048855195911412,1.0488122657580918,8.94498773424191,340416.86,583250.56226,5.6118,6.2566,0.71,1.713465986432258e-05,,,,,,,,1142085.2602,,,,339321.25,54075.8,159596.74,179724.51,,11.0,1.0,1.0,1.0,11.0,0.0,,,,,,0.0,,,,,,,U,1.0,92763668.0,92763668.0,94536.0,94751.0,,,,,,17.61,14.41,1.0,0.0,1.9723117089727145,0.2552370032821272,65.942857,0.83,化工原料,0,0,0,0
20260611,20260612,20260615,600178.SH,东安动力,10,PFILL_READY,1,0,1,strong_open_tradable,10.69,t1_open,raw_train_pool,1.5,0,0.8,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,10.69,11.63,9.51,,600178,汽车配件,黑龙江,主板,19981014,9.73,10.57,9.6,10.57,9.9896,0.961818446531266,9.9896,1.0085063386944186,0.8733456953642381,9.116254304635762,203201.77,207046.853,4.3561,8.878,3.48,4.824801659747999e-05,,,,,,,,493065.3022,,,,339321.25,54075.8,159596.74,179724.51,,2.0,9.0,1.0,9.0,2.0,0.0,37046440.0,10.7,37.9,4930653021.77,37.9,0.0,,,,,,,U,0.0,45998526.0,45998526.0,95054.0,95054.0,,,,,,10.57,8.65,1.0,0.0,2.3602372420772086,0.3253802989745111,66.871429,0.0637942950693908,汽车配件,1,0,0,0
