trade_date,exec_date,target_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,label_version,buy_window_start,buy_window_end,run_id,run_attempt,commit_sha,generated_at_utc,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board,board_rank,board_limit_up_count,is_st_like,is_limit_up,break_count_proxy,limit_up_strength,open_t1,up_limit_t1,down_limit_t1
20260407,20260408,20260409,000586.SZ,汇源通信,1,0.9228683363961409,66.978495,0.1115060031977598,通信设备,FULLY_READY,1,1,0,strong_dead_limit_up,,,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,24135730302,1,18c1c81aac3e60a368b1df2b8dcf931e405c72ff,2026-04-08T12:38:58Z,U,0.0,354175855.0,354175855.0,92500.0,92500.0,,,,,,20.76,16.98,1.0,8.0,4.0,0.0,1.0,0.0,3.25,22.84,22.84,18.68
20260407,20260408,20260409,002348.SZ,高乐股份,2,0.5339671224374443,76.569892,0.328751396590983,文教休闲,FULLY_READY,1,1,1,strong_open_tradable,8.6,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,24135730302,1,18c1c81aac3e60a368b1df2b8dcf931e405c72ff,2026-04-08T12:38:58Z,U,1.0,52642653.0,52642653.0,93136.0,93703.0,,,,,,8.05,6.59,1.0,5.0,5.0,0.0,1.0,0.0,1.8986342229624884,8.6,8.86,7.25
20260407,20260408,20260409,600623.SH,华谊集团,3,0.4299200442734651,60.204301,0.83,化工原料,FULLY_READY,1,1,1,strong_open_tradable,9.4,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,24135730302,1,18c1c81aac3e60a368b1df2b8dcf931e405c72ff,2026-04-08T12:38:58Z,U,0.0,75764936.0,75764936.0,141237.0,141237.0,,,,,,9.78,8.0,1.0,1.0,23.0,0.0,1.0,0.0,2.4639189753632413,9.4,10.76,8.8
20260407,20260408,20260409,002442.SZ,龙星科技,4,0.3477371337031518,60.483871,0.83,化工原料,FULLY_READY,1,1,1,strong_open_tradable,6.17,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,24135730302,1,18c1c81aac3e60a368b1df2b8dcf931e405c72ff,2026-04-08T12:38:58Z,U,0.0,65440410.0,65440410.0,94345.0,94345.0,,,,,,6.02,4.92,1.0,1.0,23.0,0.0,1.0,0.0,2.434768128815557,6.17,6.62,5.42
20260407,20260408,20260409,603778.SH,国晟科技,5,0.460173281609315,41.473118,0.2454420922806225,电气设备,FULLY_READY,1,1,1,strong_open_tradable,31.53,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,24135730302,1,18c1c81aac3e60a368b1df2b8dcf931e405c72ff,2026-04-08T12:38:58Z,U,5.0,77638240.0,77638240.0,100150.0,132808.0,,,,,,31.55,25.81,1.0,6.0,5.0,0.0,1.0,0.0,1.6358748337507838,31.53,34.71,28.4
20260407,20260408,20260409,002431.SZ,棕榈股份,6,0.3329390284962411,73.387097,0.4258611773793213,建筑工程,FULLY_READY,1,1,1,strong_open_tradable,2.85,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,24135730302,1,18c1c81aac3e60a368b1df2b8dcf931e405c72ff,2026-04-08T12:38:58Z,U,0.0,56461427.0,56461427.0,104121.0,104121.0,,,,,,2.77,2.27,1.0,4.0,5.0,0.0,1.0,0.0,2.4094163639415798,2.85,3.05,2.49
20260407,20260408,20260409,600955.SH,维远股份,7,0.2768712622900743,63.83871,0.83,化工原料,FULLY_READY,1,1,1,strong_open_tradable,17.83,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,24135730302,1,18c1c81aac3e60a368b1df2b8dcf931e405c72ff,2026-04-08T12:38:58Z,U,0.0,116429752.0,116429752.0,102515.0,102515.0,,,,,,18.1,14.81,1.0,1.0,23.0,0.0,1.0,0.0,2.578734300648473,17.83,19.91,16.29
20260407,20260408,20260409,002491.SZ,通鼎互联,8,0.4387603857259736,31.978495,0.1179060031977598,通信设备,FULLY_READY,1,1,1,strong_open_tradable,14.87,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,24135730302,1,18c1c81aac3e60a368b1df2b8dcf931e405c72ff,2026-04-08T12:38:58Z,U,3.0,170275681.0,170275681.0,93233.0,95612.0,,,,,,13.82,11.3,1.0,8.0,4.0,0.0,1.0,0.0,1.980765920646962,14.87,15.2,12.44
20260407,20260408,20260409,603327.SH,福蓉科技,9,0.3390932011155179,68.956989,0.0573942950693908,元器件,FULLY_READY,1,1,1,strong_open_tradable,10.13,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,24135730302,1,18c1c81aac3e60a368b1df2b8dcf931e405c72ff,2026-04-08T12:38:58Z,U,0.0,90849276.0,90849276.0,92502.0,92502.0,,,,,,9.77,7.99,1.0,9.0,3.0,0.0,1.0,0.0,2.5065089480760907,10.13,10.75,8.79
20260407,20260408,20260409,002181.SZ,粤 传 媒,10,0.3458412152338386,58.731183,0.01,出版业,FULLY_READY,1,1,1,strong_open_tradable,12.4,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,24135730302,1,18c1c81aac3e60a368b1df2b8dcf931e405c72ff,2026-04-08T12:38:58Z,U,8.0,41473389.0,41473389.0,94654.0,103133.0,,,,,,11.81,9.67,0.0,,,0.0,1.0,0.0,1.2282094068150913,12.4,12.99,10.63
