trade_date,exec_date,target_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,label_version,buy_window_start,buy_window_end,run_id,run_attempt,commit_sha,generated_at_utc,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board,board_rank,board_limit_up_count,is_st_like,is_limit_up,break_count_proxy,limit_up_strength,open_t1,up_limit_t1,down_limit_t1,open_times_t1
20260511,20260512,20260513,605255.SH,天普股份,1,0.8506755432369013,80.421053,0.01,汽车配件,PFILL_READY,1,0,1,strong_open_tradable,116.0,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25675085092,1,1d8e783a1727c1232f02e7dde454f0e5bc5f46c0,2026-05-11T14:04:53Z,U,2.0,23796252.0,23796252.0,94216.0,94337.0,,,,,,113.43,92.81,0.0,,,0.0,1.0,0.0,1.3686643638183669,116.0,124.77,102.09,
20260511,20260512,20260513,603045.SH,福达合金,2,0.8272790817796822,75.694737,0.01,小金属,PFILL_READY,1,0,0,strong_dead_limit_up,,,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25675085092,1,1d8e783a1727c1232f02e7dde454f0e5bc5f46c0,2026-05-11T14:04:53Z,U,0.0,141375140.0,141375140.0,92502.0,92502.0,,,,,,68.35,55.93,0.0,,,0.0,1.0,0.0,2.209904037878146,75.19,75.19,61.52,
20260511,20260512,20260513,601991.SH,大唐发电,3,0.6968317195482695,61.694737,0.01,火力发电,PFILL_READY,1,0,1,strong_open_tradable,6.68,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25675085092,1,1d8e783a1727c1232f02e7dde454f0e5bc5f46c0,2026-05-11T14:04:53Z,U,0.0,673522727.0,673522727.0,93125.0,93125.0,,,,,,6.09,4.99,0.0,,,0.0,1.0,0.0,3.0,6.68,6.7,5.48,3.0
20260511,20260512,20260513,300449.SZ,汉邦高科,4,0.6965580771404568,61.0,0.01,IT设备,PFILL_READY,1,0,0,strong_dead_limit_up,,,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25675085092,1,1d8e783a1727c1232f02e7dde454f0e5bc5f46c0,2026-05-11T14:04:53Z,U,0.0,373216358.0,373216358.0,92500.0,92500.0,,,,,,9.56,6.38,0.0,,,0.0,1.0,0.0,2.554125856542923,11.47,11.47,7.65,0.0
20260511,20260512,20260513,600545.SH,卓郎智能,5,0.5146727749687265,69.652632,0.0164,纺织机械,PFILL_READY,1,0,1,strong_open_tradable,6.09,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25675085092,1,1d8e783a1727c1232f02e7dde454f0e5bc5f46c0,2026-05-11T14:04:53Z,U,0.0,156919700.0,156919700.0,93111.0,93111.0,,,,,,6.06,4.96,0.0,,,0.0,1.0,0.0,2.232983526330211,6.09,6.67,5.45,
20260511,20260512,20260513,603303.SH,得邦照明,6,0.4052667231390092,77.421053,0.1736599148755986,家用电器,PFILL_READY,1,0,1,strong_open_tradable,20.81,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25675085092,1,1d8e783a1727c1232f02e7dde454f0e5bc5f46c0,2026-05-11T14:04:53Z,U,0.0,23918275.0,23918275.0,105233.0,105233.0,,,,,,20.61,16.87,1.0,7.0,4.0,0.0,1.0,0.0,2.285512201802806,20.81,22.67,18.55,
20260511,20260512,20260513,600172.SH,黄河旋风,7,0.485364737060055,51.294737,0.01,矿物制品,PFILL_READY,1,0,1,strong_open_tradable,10.33,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25675085092,1,1d8e783a1727c1232f02e7dde454f0e5bc5f46c0,2026-05-11T14:04:53Z,U,0.0,223075149.0,223075149.0,92501.0,92501.0,,,,,,9.78,8.0,0.0,,,0.0,1.0,0.0,2.3312065652091944,10.33,10.76,8.8,0.0
20260511,20260512,20260513,603459.SH,红板科技,8,0.3290284169800851,63.663158,0.83,元器件,PFILL_READY,1,0,0,strong_dead_limit_up,,,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25675085092,1,1d8e783a1727c1232f02e7dde454f0e5bc5f46c0,2026-05-11T14:04:53Z,U,0.0,313655964.0,313655964.0,92501.0,92501.0,,,,,,89.16,72.95,1.0,1.0,12.0,0.0,1.0,0.0,2.7156946995643105,98.08,98.08,80.24,
20260511,20260512,20260513,000672.SZ,上峰水泥,9,0.3702177877153861,61.463158,0.01,水泥,PFILL_READY,1,0,1,strong_open_tradable,16.05,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25675085092,1,1d8e783a1727c1232f02e7dde454f0e5bc5f46c0,2026-05-11T14:04:53Z,U,1.0,70665332.0,70665332.0,104842.0,130142.0,,,,,,15.62,12.78,0.0,,,0.0,1.0,0.0,1.6049190014934716,16.05,17.18,14.06,3.0
20260511,20260512,20260513,603738.SH,泰晶科技,10,0.2808257970280354,58.147368,0.83,元器件,PFILL_READY,1,0,1,strong_open_tradable,51.0,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25675085092,1,1d8e783a1727c1232f02e7dde454f0e5bc5f46c0,2026-05-11T14:04:53Z,U,5.0,87449314.0,87449314.0,93312.0,94230.0,,,,,,51.71,42.31,1.0,1.0,12.0,0.0,1.0,0.0,1.5465053647452245,51.0,56.88,46.54,
