trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,entry_price_t1,entry_price_proxy_t1,entry_price_proxy_mode,exit_price_t2_close,close_t2,realized_ret_t1_to_t2,premium_ret_t1_to_t2,eret_truth_version,return_holding_mode,run_id,run_attempt,commit_sha,generated_at_utc,target_date_x,buy_window_start,buy_window_end,open_t1,target_date_y,open_t2,high_t2,low_t2,vol_t2,amount_t2,pct_chg_t2
20260227,20260302,20260303,20260302,20260303,002843.SZ,泰嘉股份,1,64.68,0.0164,钢加工,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,26.85,26.85,t1_open,28.99,28.99,0.07970204841713202,0.07970204841713202,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,20260303,09:30:00,10:30:00,26.85,20260303,29.0,30.58,27.21,1007666.58,2916724.145,4.2806
20260227,20260302,20260303,20260302,20260303,603232.SH,格尔软件,2,62.093333,0.5394931282264485,软件服务,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,25.77,25.77,t1_open,24.28,24.28,-0.057819169577027485,-0.057819169577027485,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,20260303,09:30:00,10:30:00,25.77,20260303,25.68,26.4,24.2,351313.4,891152.009,-3.4592
20260227,20260302,20260303,20260302,20260303,002470.SZ,金正大,3,49.653333,0.3351513965909831,农药化肥,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,3.35,3.35,t1_open,2.79,2.79,-0.16716417910447767,-0.16716417910447767,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,20260303,09:30:00,10:30:00,3.35,20260303,2.94,3.09,2.7,7914472.17,2317103.439,-4.1237
20260227,20260302,20260303,20260302,20260303,603226.SH,菲林格尔,4,76.12,0.01,家居用品,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,32.0,32.0,t1_open,29.47,29.47,-0.07906250000000004,-0.07906250000000004,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,20260303,09:30:00,10:30:00,32.0,20260303,31.09,31.1,28.68,72043.3,214165.161,-3.9439
20260227,20260302,20260303,20260302,20260303,603950.SH,长源东谷,5,75.066667,0.0164,汽车配件,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,47.5,47.5,t1_open,50.06,50.06,0.05389473684210522,0.05389473684210522,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,20260303,09:30:00,10:30:00,47.5,20260303,50.2,53.86,49.5,285959.97,1467637.854,2.2467
20260227,20260302,20260303,20260302,20260303,002182.SZ,宝武镁业,6,65.733333,0.83,小金属,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,21.79,21.79,t1_open,21.1,21.1,-0.03166590178981177,-0.03166590178981177,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,20260303,09:30:00,10:30:00,21.79,20260303,22.2,22.35,20.9,695146.68,1491830.273,-7.6586
20260227,20260302,20260303,20260302,20260303,002842.SZ,翔鹭钨业,7,44.346667,0.83,小金属,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,43.13,43.13,t1_open,43.68,43.68,0.012752144678877642,0.012752144678877642,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,20260303,09:30:00,10:30:00,43.13,20260303,45.72,48.5,43.22,858680.04,3897362.029,-4.4619
20260227,20260302,20260303,20260302,20260303,600725.SH,云维股份,8,77.613333,0.01,商贸代理,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,5.29,5.29,t1_open,5.09,5.09,-0.03780718336483935,-0.03780718336483935,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,20260303,09:30:00,10:30:00,5.29,20260303,5.34,5.47,5.0,553420.39,289047.957,-4.6816
20260227,20260302,20260303,20260302,20260303,600744.SH,华银电力,9,48.426667,0.0164,火力发电,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,7.96,7.96,t1_open,8.39,8.39,0.05402010050251271,0.05402010050251271,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,20260303,09:30:00,10:30:00,7.96,20260303,8.0,8.78,7.73,4090768.89,3387038.144,5.1378
20260227,20260302,20260303,20260302,20260303,001896.SZ,豫能控股,10,56.066667,0.0164,火力发电,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,13.35,13.35,t1_open,13.28,13.28,-0.00524344569288393,-0.00524344569288393,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,20260303,09:30:00,10:30:00,13.35,20260303,13.89,15.55,13.16,2652701.95,3862153.461,-6.082
