trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,realized_ret_t1_to_t2,premium_ret_t1_to_t2,entry_price_t1,entry_price_proxy_t1,entry_price_proxy_mode,exit_price_t2_close,close_t2,close_t2,dataset_split,sample_weight,is_cold_start,feature_coverage_score,eret_truth_version,return_holding_mode,buy_window_start,buy_window_end,open_t1,open_t2,high_t2,low_t2,vol_t2,amount_t2,pct_chg_t2,symbol,board,area,market,list_date,open,high,low,close,pct_chg,pre_close_est,returns_1d,high_low_range,candle_body,gap_open,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,amihud_illiquidity,volatility_5d,volatility_10d,volatility_20d,atr,downside_vol,max_drawdown_20d,tail_risk_score,total_mv,float_mv,pe_ttm,pb,north_money_market,south_money_market,hgt_market,sgt_market,market_regime,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,top_list_net_buy,top_net_rate,amount_rate,float_values,abnormal_volume,has_namechange_record,latest_change_reason,ret_2d,ret_5d,ret_10d,bid_ask_proxy,spread_proxy,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_limit_up,break_count_proxy,limit_up_strength,prior_prob_prior,prior_strength_score,prior_theme_boost,prior_board,prior_prob_prior__is_missing,prior_strength_score__is_missing,prior_theme_boost__is_missing,pct_chg_t2__is_missing,amount_t2__is_missing
20260519,20260520,20260521,20260520,20260521,600835.SH,上海机电,12,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.0130177514792899,0.0130177514792899,25.35,25.35,t1_open,25.68,25.68,25.68,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,25.35,26.02,26.67,25.48,206544.16,538967.441,-2.5057,600835,运输设备,上海,主板,19940224,23.6,25.99,23.02,25.99,9.9873,2.365458301857599,9.9873,1.2555706425548283,1.0103750288572515,8.976924971142747,288481.62,721089.913,3.5769,9.1456,2.64,1.3850283882697997e-05,,,,,,,,2658099.4615,,,,358681.44,53826.49,166423.87,192257.57,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,2.0,53882468.0,53882468.0,142336.0,143148.0,,,,,,25.99,21.27,1.0,0.0,1.4540665257818763,0.2758002911306697,68.866667,0.01,运输设备,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,603316.SH,诚邦股份,13,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.1122448979591836,0.1122448979591836,24.5,24.5,t1_open,27.25,27.25,27.25,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,24.5,25.4,27.25,23.84,814035.56,2130679.176,10.0121,603316,建筑工程,浙江,主板,20170619,20.09,22.52,19.85,22.52,10.0147,2.0445404777252216,10.0147,1.3059169182948482,1.188531127886323,8.826168872113678,303591.1,660883.14,11.4882,18.5861,1.29,1.5153511103339692e-05,,,,,,,,595122.528,,,,358681.44,53826.49,166423.87,192257.57,,,,0.0,,,0.0,18841349.04,1.43,27.68,5951225280.0,27.68,0.0,,,,,,,U,2.0,47287721.0,47287721.0,94911.0,95202.0,,,,,,22.52,18.42,1.0,0.0,1.4392898296086338,0.3113744387698645,53.266667,0.0164,建筑工程,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,002375.SZ,亚厦股份,14,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0957230142566191,-0.0957230142566191,4.91,4.91,t1_open,4.44,4.44,4.44,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,4.91,4.67,4.73,4.41,488161.6,223149.359,-4.721,2375,装修装饰,浙江,主板,20100323,4.45,4.87,4.45,4.87,9.9323,0.4454689315148688,9.9323,0.9428266940451744,0.9428266940451744,8.989473305954824,277556.94,131338.173,2.0853,4.4601,0.49,7.562386298764791e-05,,,,,,,,652578.2945,,,,358681.44,53826.49,166423.87,192257.57,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,0.0,90450052.0,90450052.0,93736.0,93736.0,,,,,,4.87,3.99,1.0,0.0,2.2026693271565945,0.2025475905556127,82.544444,0.01,装修装饰,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,002150.SZ,正泰电源,15,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.0296879733414117,0.0296879733414117,33.01,33.01,t1_open,33.99,33.99,33.99,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,33.01,33.28,35.19,33.07,406591.91,1383504.985,-1.1056,2150,机械基件,江苏,主板,20070810,29.95,32.7,29.86,32.7,9.9899,2.975459285343816,9.9899,0.9544744954128452,0.9242270642201846,9.065672935779816,184332.54,593848.28,5.1411,10.0574,0.88,1.682231023722086e-05,,,,,,,,1180040.9858,,,,358681.44,53826.49,166423.87,192257.57,,3.0,8.0,1.0,8.0,3.0,0.0,,,,,,0.0,,,,,,,U,0.0,75517380.0,75517380.0,93539.0,93539.0,,,,,,32.7,26.76,1.0,0.0,2.419210036421304,0.2152563015350252,67.366667,0.1115060031977598,机械基件,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,000636.SZ,风华高科,16,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.0208955223880598,0.0208955223880598,33.5,33.5,t1_open,34.2,34.2,34.2,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,33.5,34.87,36.19,34.01,1336046.6,4684287.875,0.5882,636,元器件,广东,主板,19961129,29.6,32.37,29.03,32.37,9.9898,2.945458516078545,9.9898,1.133949088662341,0.940430831016372,9.04936916898363,719349.65,2260920.066,6.2173,8.777,0.73,4.418466689834757e-06,,,,,,,,3745251.764,,,,358681.44,53826.49,166423.87,192257.57,,14.0,1.0,1.0,1.0,14.0,0.0,151351267.58,6.69,40.82,37452514403.07,40.82,0.0,,,,,,,U,1.0,176742012.0,176742012.0,94015.0,94815.0,,,,,,32.37,26.49,1.0,0.0,2.146021714308608,0.1753625745453376,52.688889,0.8363999999999999,元器件,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,603938.SH,三孚股份,17,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0074568288854003,-0.0074568288854003,50.96,50.96,t1_open,50.58,50.58,50.58,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,50.96,56.78,56.78,50.0,504077.12,2692786.827,-5.9152,603938,化工原料,河北,主板,20170628,45.53,48.87,44.64,48.87,9.9932,4.445475384783321,9.9932,0.951529281767955,0.7513257213014111,9.241874278698589,333956.52,1595090.896,8.728,26.0882,1.11,6.264972124823663e-06,,,,,,,,1869885.9168,,,,358681.44,53826.49,166423.87,192257.57,,4.0,6.0,1.0,6.0,4.0,0.0,32631222.32,1.51,25.47,18698859168.39,25.47,0.0,,,,,,,U,2.0,55915343.0,55915343.0,93922.0,103222.0,,,,,,48.87,39.99,1.0,0.0,1.7086215414986552,0.2242143191498252,57.688889,0.2518420922806225,化工原料,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,603999.SH,读者传媒,18,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0551816958277254,-0.0551816958277254,7.43,7.43,t1_open,7.02,7.02,7.02,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,7.43,7.26,7.4,7.02,225597.8,162810.527,-2.5,603999,出版业,甘肃,主板,20151210,6.72,7.45,6.71,7.45,10.0443,0.6745561058645636,10.0443,1.0970177181208056,1.0821931543624168,8.962106845637583,313478.8,225388.563,5.4423,12.9081,3.12,4.456437303786351e-05,,,,,,,,429120.0,,,,358681.44,53826.49,166423.87,192257.57,,,,0.0,,,0.0,17917731.0,7.95,26.35,4291200000.0,26.35,0.0,,,,,,,U,0.0,54064799.0,54064799.0,104830.0,104830.0,,,,,,7.45,6.09,1.0,0.0,2.121141737278233,0.2458688418884178,57.9,0.0164,出版业,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,000586.SZ,汇源通信,19,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.1036889332003987,-0.1036889332003987,20.06,20.06,t1_open,17.98,17.98,17.98,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,20.06,19.68,19.79,17.98,245614.95,453335.605,-10.01,586,通信设备,四川,主板,19951220,19.07,20.57,19.03,20.57,10.0,1.87,10.0,0.8235294117647054,0.8021390374331551,9.197860962566844,183002.89,373422.472,9.5718,14.3369,0.87,2.677932034042129e-05,,,,,,,,397906.08,,,,358681.44,53826.49,166423.87,192257.57,,5.0,5.0,1.0,5.0,5.0,0.0,,,,,,0.0,,,,,,,U,2.0,109572296.0,109572296.0,93203.0,93527.0,,,,,,20.57,16.83,1.0,0.0,1.8288494277334024,0.1894683643069396,59.988889,0.328751396590983,通信设备,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,600831.SH,广电网络,20,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0804597701149424,-0.0804597701149424,4.35,4.35,t1_open,4.0,4.0,4.0,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,4.35,4.22,4.38,3.99,430183.0,178984.3,-4.5346,600831,影视音像,陕西,主板,19940224,3.96,4.39,3.89,4.39,10.0251,0.398182329411978,10.0251,1.2557061503416846,1.079907289293849,8.945192710706152,734921.27,311254.603,10.3372,14.6004,3.64,3.2208680300223544e-05,,,,,,,,312105.7295,,,,358681.44,53826.49,166423.87,192257.57,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,3.0,26497601.0,26497601.0,95841.0,101511.0,,,,,,4.39,3.59,1.0,0.0,1.3093725580824862,0.2348248087815732,56.266667,0.01,影视音像,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,301120.SZ,新特电气,21,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0709677419354839,-0.0709677419354839,24.8,24.8,t1_open,23.04,23.04,23.04,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,24.8,24.19,24.54,22.9,372966.46,888139.627,-5.6511,301120,电气设备,北京,创业板,20220419,21.25,24.9,20.89,24.9,20.0,1.1857142857142855,20.0,3.381927710843372,3.078313253012047,16.92168674698795,570981.77,1323420.552,26.1302,34.7796,3.49,1.511235409619058e-05,,,,,,,,924888.227,,,,358681.44,53826.49,166423.87,192257.57,,5.0,4.0,1.0,4.0,5.0,0.0,113046142.48,8.54,32.79,5441002633.8,32.79,0.0,,,,,,,U,0.0,160930218.0,160930218.0,135903.0,135903.0,,,,,,24.9,16.6,1.0,0.0,2.610592595361073,0.2740378318056796,24.533333,0.4322611773793213,电气设备,0,0,0,0,0
