trade_date,exec_date,target_date,ts_code,name,rank,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,label_version,buy_window_start,buy_window_end,run_id,run_attempt,commit_sha,generated_at_utc,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board,board_rank,board_limit_up_count,is_st_like,is_limit_up,break_count_proxy,limit_up_strength,open_t1,up_limit_t1,down_limit_t1,open_times_t1
20260227,20260302,20260303,000035.SZ,中国天楹,63,55.52,0.01,环境保护,FULLY_READY,1,1,1,weak_intraday_break_without_minbar,7.71,t1_open_degrade_missing,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,1.0,160563327.0,160563327.0,92500.0,94312.0,,,,,,7.01,5.73,0.0,,,0.0,1.0,0.0,1.845942350414668,7.71,7.71,6.31,1.0
20260227,20260302,20260303,002261.SZ,拓维信息,64,39.826667,0.5458931282264484,软件服务,FULLY_READY,1,1,1,strong_open_tradable,36.49,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,464133191.0,464133191.0,93409.0,93409.0,,,,,,36.52,29.88,1.0,3.0,6.0,0.0,1.0,0.0,3.25,36.49,40.17,32.87,
20260227,20260302,20260303,600126.SH,杭钢股份,65,56.213333,0.01,普钢,FULLY_READY,1,1,1,strong_open_tradable,9.61,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,1.0,128376849.0,128376849.0,94758.0,95258.0,,,,,,9.94,8.14,0.0,,,0.0,1.0,0.0,1.776594847102844,9.61,10.93,8.95,
20260227,20260302,20260303,003018.SZ,金富科技,66,52.893333,0.01,塑料,FULLY_READY,1,1,1,strong_open_tradable,26.74,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,45880730.0,45880730.0,104103.0,104103.0,,,,,,26.57,21.74,0.0,,,0.0,1.0,0.0,2.0988525080508627,26.74,29.23,23.91,
20260227,20260302,20260303,000993.SZ,闽东电力,67,61.52,0.01,水力发电,FULLY_READY,1,1,1,strong_open_tradable,14.33,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,97510248.0,97510248.0,130957.0,130957.0,,,,,,14.43,11.81,0.0,,,0.0,1.0,0.0,2.2100910899948976,14.33,15.87,12.99,
20260227,20260302,20260303,688028.SH,沃尔德,68,50.453333,0.0637942950693908,机械基件,FULLY_READY,1,1,1,strong_open_tradable,115.0,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,13.0,38813444.0,38813444.0,130229.0,133050.0,,,,,,114.13,76.09,1.0,9.0,3.0,0.0,1.0,0.0,1.4050542305122804,115.0,136.96,91.3,
20260227,20260302,20260303,002655.SZ,共达电声,69,40.226667,0.4258611773793213,元器件,FULLY_READY,1,1,1,strong_open_tradable,16.75,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,138660016.0,138660016.0,110851.0,110851.0,,,,,,17.12,14.0,1.0,4.0,3.0,0.0,1.0,0.0,2.5487504851813108,16.75,18.83,15.41,
20260227,20260302,20260303,603093.SH,南华期货,70,57.613333,0.0164,多元金融,FULLY_READY,1,1,1,strong_open_tradable,20.03,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,97442430.0,97442430.0,103522.0,103522.0,,,,,,19.66,16.08,0.0,,,0.0,1.0,0.0,2.209944972455116,20.03,21.63,17.69,
20260227,20260302,20260303,300317.SZ,珈伟新能,71,32.52,0.679305707944409,电气设备,FULLY_READY,1,1,1,strong_open_tradable,5.36,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,89963515.0,89963515.0,130309.0,130309.0,,,,,,5.36,3.58,1.0,2.0,8.0,0.0,1.0,0.0,2.4438312466000736,5.36,6.43,4.29,
20260227,20260302,20260303,002155.SZ,湖南黄金,72,39.786667,0.0164,黄金,FULLY_READY,1,1,1,strong_open_tradable,40.0,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,2.0,111395356.0,111395356.0,135612.0,142745.0,,,,,,37.7,30.84,0.0,,,0.0,1.0,0.0,1.5733406376159524,40.0,41.47,33.93,0.0
20260227,20260302,20260303,600452.SH,涪陵电力,73,51.36,0.0164,水力发电,FULLY_READY,1,1,1,strong_open_tradable,14.04,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,7.0,26515073.0,26515073.0,130429.0,141808.0,,,,,,13.28,10.86,0.0,,,0.0,1.0,0.0,1.1821281552669651,14.04,14.61,11.95,4.0
20260227,20260302,20260303,600498.SH,烽火通信,74,46.92,0.0164,通信设备,FULLY_READY,1,1,1,strong_open_tradable,55.0,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,6.0,38804778.0,38804778.0,103016.0,133110.0,,,,,,51.55,42.17,0.0,,,0.0,1.0,0.0,1.226464130576321,55.0,56.71,46.4,0.0
20260227,20260302,20260303,600397.SH,江钨装备,75,43.666667,0.0164,煤炭开采,FULLY_READY,1,1,1,strong_open_tradable,22.58,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,3.0,127309043.0,127309043.0,102002.0,102936.0,,,,,,21.53,17.61,0.0,,,0.0,1.0,0.0,1.524294201467699,22.58,23.68,19.38,
