trade_date,exec_date,target_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,label_version,buy_window_start,buy_window_end,run_id,run_attempt,commit_sha,generated_at_utc,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,intraday_available,intraday_status,intraday_missing_reason,minute_freq,minute_rows,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,reseal_score,intraday_quality_score,intraday_confidence_score,intraday_risk_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_tag,auction_strength_score,auction_amount,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board,board_rank,board_limit_up_count,is_st_like,is_limit_up,break_count_proxy,limit_up_strength,open_t1,up_limit_t1,down_limit_t1,open_times_t1
20260629,20260630,20260701,000566.SZ,海南海药,1,0.7006631147466654,66.401886,0.415,化学制药,PFILL_READY,1,0,1,strong_open_tradable,4.64,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,0.0,39927297.0,39927297.0,101106.0,101106.0,1.0,ok,,1min,241.0,10:12:00,15:00:00,1.0,0.0,1.1013,0.0,,0.041504,0.0,31.0,0.0,58.3921,68.1676,57.0,10.2,10.2,0.0,neutral_limitup,0.8789473684210526,7496898.0,,,,,,4.54,3.72,1.0,1.0,10.0,0.0,1.0,0.0,2.316108357124474,4.64,4.99,4.09,0.0
20260629,20260630,20260701,002437.SZ,誉衡药业,2,0.6873228950447499,70.443396,0.415,化学制药,PFILL_READY,1,0,1,strong_open_tradable,2.75,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,1.0,36774978.0,36774978.0,105933.0,111506.0,1.0,ok,,1min,241.0,11:00:00,15:00:00,3.0,1.0,1.4981,1.0,15.0,0.0194,0.0,31.0,0.0,62.2112,69.4934,57.4,26.09,26.09,0.0,neutral_limitup,0.643557168784029,1050760.0,,,,,,2.67,2.19,1.0,1.0,10.0,0.0,1.0,0.0,1.810889004804625,2.75,2.94,2.4,
20260629,20260630,20260701,600867.SH,通化东宝,3,0.677279170562891,70.44717,0.3364528539722045,生物制药,PFILL_READY,1,0,1,strong_open_tradable,8.09,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,0.0,33824053.0,33824053.0,132118.0,132118.0,1.0,ok,,1min,241.0,13:22:00,15:00:00,1.0,0.0,0.4896,0.0,,0.015985,0.0,31.0,0.0,62.0624,63.8687,45.0,12.0,12.0,0.0,neutral_limitup,0.5341197822141561,563140.0,,,,,,8.17,6.69,1.0,2.0,9.0,0.0,1.0,0.0,2.3060031042201814,8.09,8.99,7.35,
20260629,20260630,20260701,603928.SH,兴业股份,4,0.6770809312730817,63.886792,0.4322611773793213,化工原料,PFILL_READY,1,0,1,strong_open_tradable,14.45,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,0.0,60156739.0,60156739.0,93740.0,93740.0,,,,,,,,,,,,,,,,,,,,,,,,0.8931034482758621,8799966.0,,,,,,13.45,11.01,1.0,4.0,7.0,0.0,1.0,0.0,2.349602614854088,14.45,14.8,12.11,0.0
20260629,20260630,20260701,920367.BJ,新赣江,5,0.6623216872973672,48.207547,0.8363999999999999,化学制药,PFILL_READY,1,0,1,strong_open_tradable,19.99,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,3.0,6444069.0,6444069.0,130507.0,141201.0,,,,,,,,,,,,,,,,,,,,,,,,0.3829401088929219,269128.64,,,,,,21.19,11.41,1.0,1.0,10.0,0.0,1.0,0.0,1.5106695631008218,19.99,27.54,14.84,
20260629,20260630,20260701,002370.SZ,亚太药业,6,0.6599348187796361,61.269811,0.415,化学制药,PFILL_READY,1,0,1,strong_open_tradable,5.4,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,0.0,77208786.0,77208786.0,101624.0,101624.0,1.0,ok,,1min,241.0,10:17:00,15:00:00,1.0,0.0,1.1173,0.0,,0.008951,0.0,31.0,0.0,58.2961,68.1388,57.0,10.2,10.2,0.0,neutral_limitup,0.4150635208711434,319130.0,,,,,,5.37,4.39,1.0,1.0,10.0,0.0,1.0,0.0,2.3778360014712514,5.4,5.91,4.83,
20260629,20260630,20260701,000756.SZ,新华制药,7,0.6596048355649757,65.59434,0.415,化学制药,PFILL_READY,1,0,1,strong_open_tradable,13.46,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,1.0,30617060.0,30617060.0,100803.0,100957.0,1.0,ok,,1min,241.0,10:09:00,15:00:00,1.0,0.0,1.3981,0.0,,0.010621,0.0,31.0,0.0,56.6115,67.6334,57.0,10.2,10.2,0.0,neutral_limitup,0.809437386569873,3637854.0,,,,,,13.59,11.12,1.0,1.0,10.0,0.0,1.0,0.0,1.800693227156886,13.46,14.95,12.23,
20260629,20260630,20260701,600488.SH,津药药业,8,0.6590398851722631,58.884906,0.415,化学制药,PFILL_READY,1,0,1,strong_open_tradable,4.89,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,1.0,74156544.0,74156544.0,102017.0,102256.0,1.0,ok,,1min,241.0,10:21:00,15:00:00,2.0,0.0,1.0331,0.0,,0.011752,0.0,31.0,0.0,58.8017,68.2905,57.0,10.2,10.2,0.0,neutral_limitup,0.7627949183303085,2468396.0,,,,,,4.84,3.96,1.0,1.0,10.0,0.0,1.0,0.0,1.8727823484737465,4.89,5.32,4.36,
20260629,20260630,20260701,605300.SH,佳禾食品,9,0.6517832328881354,79.320755,0.0164,乳制品,PFILL_READY,1,0,1,strong_open_tradable,11.04,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,0.0,31247146.0,31247146.0,93009.0,93009.0,,,,,,,,,,,,,,,,,,,,,,,,0.9054446460980036,10476035.0,,,,,,10.35,8.47,0.0,,,0.0,1.0,0.0,2.0517364720904743,11.04,11.39,9.32,
20260629,20260630,20260701,002038.SZ,双鹭药业,10,0.6503756466320024,62.673585,0.3364528539722045,生物制药,PFILL_READY,1,0,1,strong_open_tradable,5.68,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,0.0,67776688.0,67776688.0,101057.0,101057.0,1.0,ok,,1min,241.0,10:11:00,15:00:00,1.0,0.0,2.509,0.0,,0.013726,0.0,31.0,0.0,49.9462,65.6339,57.0,10.2,10.2,0.0,neutral_limitup,0.7849364791288567,2924480.0,,,,,,5.58,4.56,1.0,2.0,9.0,0.0,1.0,0.0,2.3622191040134286,5.68,6.14,5.02,
20260629,20260630,20260701,600468.SH,百利电气,11,0.6498327957953366,79.790566,0.005,电气设备,PFILL_READY,1,0,1,strong_open_tradable,6.31,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,0.0,65307960.0,65307960.0,93008.0,93008.0,1.0,ok,,1min,241.0,09:31:00,15:00:00,1.0,0.0,2.5685,0.0,,0.017041,0.0,31.0,0.0,49.589,71.3767,70.0,8.25,8.25,0.0,neutral_limitup,0.8715063520871144,6927780.0,,,,,,5.84,4.78,0.0,,,0.0,1.0,0.0,2.1081315858358973,6.31,6.42,5.26,
20260629,20260630,20260701,688796.SH,百奥赛图,12,0.6494791161443326,39.301887,0.6729057079444091,生物制药,PFILL_READY,1,0,1,strong_open_tradable,115.51,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,0.0,46784348.0,46784348.0,130618.0,130618.0,,,,,,,,,,,,,,,,,,,,,,,,0.4001814882032667,295128.0,,,,,,110.56,73.7,1.0,2.0,9.0,0.0,1.0,0.0,2.327461702088666,115.51,132.67,88.45,
20260629,20260630,20260701,002687.SZ,乔治白,13,0.6486051804567501,65.933962,0.005,服饰,PFILL_READY,1,0,1,strong_open_tradable,5.05,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,0.0,47029300.0,47029300.0,111012.0,111012.0,1.0,ok,,1min,241.0,11:11:00,15:00:00,1.0,0.0,0.4024,0.0,,0.014563,0.0,31.0,0.0,62.5855,64.0257,45.0,12.0,12.0,0.0,neutral_limitup,0.7286751361161524,1868796.0,,,,,,4.97,4.07,0.0,,,0.0,1.0,0.0,2.077867273602669,5.05,5.47,4.47,
20260629,20260630,20260701,002628.SZ,成都路桥,14,0.6480056138847564,77.466038,0.005,建筑工程,PFILL_READY,1,0,1,strong_open_tradable,4.96,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,0.0,46084464.0,46084464.0,93827.0,93827.0,1.0,ok,,1min,241.0,09:39:00,15:00:00,1.0,0.0,0.823,0.0,,0.01694,0.0,31.0,0.0,60.0617,74.5185,70.0,8.25,8.25,0.0,neutral_limitup,0.2098003629764065,109915.0,,,,,,4.86,3.98,1.0,10.0,4.0,0.0,1.0,0.0,2.3263028913277544,4.96,5.35,4.37,0.0
20260629,20260630,20260701,002521.SZ,齐峰新材,15,0.6444384680760088,81.59434,0.005,造纸,PFILL_READY,1,0,1,strong_open_tradable,7.07,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,28384089467,1,16687096a18f0377cad2977d835e77f3bb3b0aff,2026-06-29T15:40:07Z,U,1.0,26524879.0,26524879.0,130809.0,130845.0,1.0,ok,,1min,241.0,13:09:00,15:00:00,1.0,0.0,0.9901,0.0,,0.008728,0.0,31.0,0.0,59.0594,62.9678,45.0,12.0,12.0,0.0,neutral_limitup,0.0304900181488203,7728.0,,,,,,7.07,5.79,0.0,,,0.0,1.0,0.0,1.5439177281050471,7.07,7.78,6.36,
