trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,entry_price_t1,entry_price_t_opening_auction,entry_price_proxy_t1,entry_price_proxy_mode,take_profit_price_tplus1,stop_loss_price_tplus1,latest_exit_time,exit_policy_version,exit_price_tplus1_timed,exit_price_tplus1_open,exit_price_source,exit_on_time,exit_reason,exit_price_t2_close,close_t2,realized_ret_open_to_tplus1_timed_exit,realized_ret_t1_to_t2,premium_ret_t1_to_t2,eret_truth_version,return_holding_mode,execution_contract,run_id,run_attempt,commit_sha,generated_at_utc,buy_window_start,buy_window_end,open_t1,high_t1,low_t1,close_t1,market_target_date,open_t2,high_t2,low_t2,vol_t2,amount_t2,pct_chg_t2,auction_price_t2,auction_amount_t2,down_limit_t2,minute_open_t2,minute_open_available_t2
20260625,20260626,20260629,20260626,20260629,002387.SZ,维信诺,13,0.6561351092802351,62.063218,0.415,元器件,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_minute_1m_time_exit_time_exit,8.78,8.78,8.78,t_opening_auction,10.1,8.34,11:00,tplus1_first_touch_tp15_sl5_time1100_v2,8.63,8.78,minute_1m_time_exit,1,time_exit,8.66,8.66,-0.01708428246013649,-0.01708428246013649,-0.013667425968109215,eret_truth_v4_tplus1_tp15_sl5_time1100,manual_buy_t_0925_auction_to_tplus1_tp15_sl5_time1100_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_tp15_sl5_time1100_exit,28234029880,1,76925301d0a2a315c1b9c76d2751d265d78736cf,2026-06-26T11:04:41Z,09:20:00,09:24:50,8.78,9.19,8.66,8.84,20260629,8.78,9.15,8.53,473858.29,415182.63537,-2.0362,8.78,6014300.0,7.96,8.78,1
20260625,20260626,20260629,20260626,20260629,603989.SH,艾华集团,14,0.6538988768830309,70.191954,0.4181999999999999,元器件,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_minute_1m_time_exit_time_exit,53.84,53.84,53.84,t_opening_auction,61.92,51.15,11:00,tplus1_first_touch_tp15_sl5_time1100_v2,53.02,56.0,minute_1m_time_exit,1,time_exit,54.0,54.0,-0.015230312035661275,-0.015230312035661275,0.002971768202080227,eret_truth_v4_tplus1_tp15_sl5_time1100,manual_buy_t_0925_auction_to_tplus1_tp15_sl5_time1100_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_tp15_sl5_time1100_exit,28234029880,1,76925301d0a2a315c1b9c76d2751d265d78736cf,2026-06-26T11:04:41Z,09:20:00,09:24:50,53.84,58.0,53.84,56.0,20260629,56.0,56.68,51.6,279451.05,1506427.568,-3.5714,56.0,29411200.0,50.4,56.0,1
20260625,20260626,20260629,20260626,20260629,002484.SZ,江海股份,15,0.6493016853520076,60.794253,0.415,元器件,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_minute_1m_first_touch_stop_loss_first_touch,113.01,113.01,113.01,t_opening_auction,129.96,107.36,11:00,tplus1_first_touch_tp15_sl5_time1100_v2,107.36,110.35,minute_1m_first_touch,1,stop_loss_first_touch,106.0,106.0,-0.049995575612777676,-0.049995575612777676,-0.06202990885762327,eret_truth_v4_tplus1_tp15_sl5_time1100,manual_buy_t_0925_auction_to_tplus1_tp15_sl5_time1100_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_tp15_sl5_time1100_exit,28234029880,1,76925301d0a2a315c1b9c76d2751d265d78736cf,2026-06-26T11:04:41Z,09:20:00,09:24:50,113.01,115.44,107.66,109.0,20260629,110.35,114.5,103.1,533187.36,5767145.87661,-2.7523,110.35,51698975.0,98.1,110.35,1
20260625,20260626,20260629,20260626,20260629,603678.SH,火炬电子,16,0.6484703567526884,64.086207,0.4181999999999999,元器件,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_minute_1m_first_touch_take_profit_first_touch,74.6,74.6,74.6,t_opening_auction,85.79,70.87,11:00,tplus1_first_touch_tp15_sl5_time1100_v2,85.79,81.49,minute_1m_first_touch,1,take_profit_first_touch,80.43,80.43,0.15000000000000013,0.15000000000000013,0.07815013404825755,eret_truth_v4_tplus1_tp15_sl5_time1100,manual_buy_t_0925_auction_to_tplus1_tp15_sl5_time1100_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_tp15_sl5_time1100_exit,28234029880,1,76925301d0a2a315c1b9c76d2751d265d78736cf,2026-06-26T11:04:41Z,09:20:00,09:24:50,74.6,81.01,73.63,79.49,20260629,81.49,87.3,76.5,452075.04,3631148.038,1.1825,81.49,52903308.0,71.54,81.49,1
20260625,20260626,20260629,20260626,20260629,600152.SH,维科技术,19,0.6442683306653323,62.541379,0.1643756982954915,电气设备,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_minute_1m_first_touch_stop_gap_at_open,11.81,11.81,11.81,t_opening_auction,13.58,11.22,11:00,tplus1_first_touch_tp15_sl5_time1100_v2,10.39,10.39,minute_1m_first_touch,1,stop_gap_at_open,9.69,9.69,-0.12023708721422521,-0.12023708721422521,-0.17950889077053356,eret_truth_v4_tplus1_tp15_sl5_time1100,manual_buy_t_0925_auction_to_tplus1_tp15_sl5_time1100_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_tp15_sl5_time1100_exit,28234029880,1,76925301d0a2a315c1b9c76d2751d265d78736cf,2026-06-26T11:04:41Z,09:20:00,09:24:50,11.81,11.82,10.63,10.63,20260629,10.39,10.4,9.6,630561.55,618496.054,-8.8429,10.39,7734316.0,9.57,10.39,1
20260625,20260626,20260629,20260626,20260629,000818.SZ,航锦科技,20,0.6428942396692706,62.1,0.3364528539722045,化工原料,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_minute_1m_first_touch_stop_gap_at_open,15.55,15.55,15.55,t_opening_auction,17.88,14.77,11:00,tplus1_first_touch_tp15_sl5_time1100_v2,13.47,13.47,minute_1m_first_touch,1,stop_gap_at_open,13.2,13.2,-0.13376205787781348,-0.13376205787781348,-0.1511254019292605,eret_truth_v4_tplus1_tp15_sl5_time1100,manual_buy_t_0925_auction_to_tplus1_tp15_sl5_time1100_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_tp15_sl5_time1100_exit,28234029880,1,76925301d0a2a315c1b9c76d2751d265d78736cf,2026-06-26T11:04:41Z,09:20:00,09:24:50,15.55,15.75,13.71,13.97,20260629,13.47,14.19,13.02,529991.15,711473.75355,-5.5118,13.47,16554630.0,12.57,13.47,1
20260625,20260626,20260629,20260626,20260629,002674.SZ,兴业科技,21,0.6352229096853684,76.408046,0.005,纺织,FULLY_READY,1,1,0,strong_opening_auction_limit_up_unconfirmed,0,not_filled_no_trade,,,,,,,11:00,tplus1_first_touch_tp15_sl5_time1100_v2,,29.99,,0,missing_entry_reference,31.7,31.7,,,,eret_truth_v4_tplus1_tp15_sl5_time1100,manual_buy_t_0925_auction_to_tplus1_tp15_sl5_time1100_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_tp15_sl5_time1100_exit,28234029880,1,76925301d0a2a315c1b9c76d2751d265d78736cf,2026-06-26T11:04:41Z,09:20:00,09:24:50,28.83,28.83,28.83,28.83,20260629,29.99,31.71,27.33,623221.37,1853260.90001,9.9549,29.99,254441158.0,25.95,,0
20260625,20260626,20260629,20260626,20260629,002579.SZ,中京电子,22,0.6344002637184843,41.097701,0.415,元器件,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_minute_1m_time_exit_time_exit,21.03,21.03,21.03,t_opening_auction,24.18,19.98,11:00,tplus1_first_touch_tp15_sl5_time1100_v2,20.5,22.37,minute_1m_time_exit,1,time_exit,20.5,20.5,-0.025202092249167918,-0.025202092249167918,-0.025202092249167918,eret_truth_v4_tplus1_tp15_sl5_time1100,manual_buy_t_0925_auction_to_tplus1_tp15_sl5_time1100_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_tp15_sl5_time1100_exit,28234029880,1,76925301d0a2a315c1b9c76d2751d265d78736cf,2026-06-26T11:04:41Z,09:20:00,09:24:50,21.03,23.4,20.36,22.78,20260629,22.37,22.8,20.5,1254674.54,2666219.47267,-10.0088,22.37,57573669.0,20.5,22.37,1
20260625,20260626,20260629,20260626,20260629,603733.SH,仙鹤股份,23,0.6327974328713029,74.366666,0.005,造纸,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_minute_1m_time_exit_time_exit,26.95,26.95,26.95,t_opening_auction,30.99,25.6,11:00,tplus1_first_touch_tp15_sl5_time1100_v2,25.77,26.75,minute_1m_time_exit,1,time_exit,26.66,26.66,-0.04378478664192953,-0.04378478664192953,-0.010760667903525034,eret_truth_v4_tplus1_tp15_sl5_time1100,manual_buy_t_0925_auction_to_tplus1_tp15_sl5_time1100_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_tp15_sl5_time1100_exit,28234029880,1,76925301d0a2a315c1b9c76d2751d265d78736cf,2026-06-26T11:04:41Z,09:20:00,09:24:50,26.95,27.6,26.0,26.76,20260629,26.75,27.37,25.61,157948.98,418587.957,-0.3737,26.75,2030325.0,24.08,26.75,1
20260625,20260626,20260629,20260626,20260629,603690.SH,至纯科技,24,0.6278942504720406,55.725287,0.2697465641132242,半导体,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_minute_1m_time_exit_time_exit,34.0,34.0,34.0,t_opening_auction,39.1,32.3,11:00,tplus1_first_touch_tp15_sl5_time1100_v2,33.96,36.0,minute_1m_time_exit,1,time_exit,35.39,35.39,-0.0011764705882352233,-0.0011764705882352233,0.04088235294117659,eret_truth_v4_tplus1_tp15_sl5_time1100,manual_buy_t_0925_auction_to_tplus1_tp15_sl5_time1100_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_tp15_sl5_time1100_exit,28234029880,1,76925301d0a2a315c1b9c76d2751d265d78736cf,2026-06-26T11:04:41Z,09:20:00,09:24:50,34.0,36.18,33.8,35.49,20260629,36.0,37.22,33.61,725290.13,2567729.338,-0.2818,36.0,44660160.0,31.94,36.0,1
