trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,entry_price_t1,entry_price_proxy_t1,entry_price_proxy_mode,exit_price_t2_close,close_t2,realized_ret_t1_to_t2,premium_ret_t1_to_t2,eret_truth_version,return_holding_mode,run_id,run_attempt,commit_sha,generated_at_utc,target_date_x,buy_window_start,buy_window_end,open_t1,target_date_y,open_t2,high_t2,low_t2,vol_t2,amount_t2,pct_chg_t2
20260528,20260529,20260601,20260529,20260601,002579.SZ,中京电子,1,0.6868213511572079,33.617647,0.8363999999999999,元器件,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,19.3,19.3,t1_open,18.87,18.87,-0.022279792746114024,-0.022279792746114024,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,26582444552,1,d82dc215f9ff909adae62a6776f1382c5cd570f0,2026-05-28T14:53:37Z,20260601,09:30:00,10:30:00,19.3,20260601,17.36,18.87,17.35,2080731.89,3818034.50082,10.0292
20260528,20260529,20260601,20260529,20260601,000509.SZ,华塑控股,2,0.4581545448309363,62.696078,0.8363999999999999,元器件,FULLY_READY,1,1,0,strong_dead_limit_up,0,not_filled_no_trade,,,,4.92,4.92,,,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,26582444552,1,d82dc215f9ff909adae62a6776f1382c5cd570f0,2026-05-28T14:53:37Z,20260601,09:30:00,10:30:00,6.3,20260601,4.98,5.2,4.72,2436777.12,1208270.24566,-4.6512
20260528,20260529,20260601,20260529,20260601,002484.SZ,江海股份,3,0.4254048889190089,57.117647,0.8363999999999999,元器件,FULLY_READY,1,1,0,strong_dead_limit_up,0,not_filled_no_trade,,,,79.15,79.15,,,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,26582444552,1,d82dc215f9ff909adae62a6776f1382c5cd570f0,2026-05-28T14:53:37Z,20260601,09:30:00,10:30:00,81.48,20260601,77.85,82.5,75.1,844612.44,6643173.86985,1.6699
20260528,20260529,20260601,20260529,20260601,000063.SZ,中兴通讯,4,0.4476806974891207,40.205882,0.0164,通信设备,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,38.5,38.5,t1_open,35.1,35.1,-0.08831168831168823,-0.08831168831168823,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,26582444552,1,d82dc215f9ff909adae62a6776f1382c5cd570f0,2026-05-28T14:53:37Z,20260601,09:30:00,10:30:00,38.5,20260601,36.65,36.83,35.06,1615572.17,5788833.39478,-4.4118
20260528,20260529,20260601,20260529,20260601,002203.SZ,海亮股份,5,0.373886959541364,61.921569,0.01,铜,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,21.1,21.1,t1_open,20.06,20.06,-0.04928909952606653,-0.04928909952606653,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,26582444552,1,d82dc215f9ff909adae62a6776f1382c5cd570f0,2026-05-28T14:53:37Z,20260601,09:30:00,10:30:00,21.1,20260601,20.52,20.78,19.91,408742.34,827397.78047,-2.1941
20260528,20260529,20260601,20260529,20260601,000636.SZ,风华高科,6,0.3463814117509347,38.95098,0.8363999999999999,元器件,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,51.82,51.82,t1_open,55.05,55.05,0.06233114627556913,0.06233114627556913,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,26582444552,1,d82dc215f9ff909adae62a6776f1382c5cd570f0,2026-05-28T14:53:37Z,20260601,09:30:00,10:30:00,51.82,20260601,48.98,58.26,48.98,2583335.93,14108174.7816,3.8092
20260528,20260529,20260601,20260529,20260601,000920.SZ,沃顿科技,7,0.2889086372448479,73.637255,0.4258611773793213,塑料,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,13.07,13.07,t1_open,12.26,12.26,-0.0619739862280031,-0.0619739862280031,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,26582444552,1,d82dc215f9ff909adae62a6776f1382c5cd570f0,2026-05-28T14:53:37Z,20260601,09:30:00,10:30:00,13.07,20260601,12.78,13.1,12.26,243526.0,305733.90238,-4.5914
20260528,20260529,20260601,20260529,20260601,600162.SH,香江控股,8,0.3651560068416601,61.803922,0.01,全国地产,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,2.72,2.72,t1_open,2.92,2.92,0.07352941176470584,0.07352941176470584,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,26582444552,1,d82dc215f9ff909adae62a6776f1382c5cd570f0,2026-05-28T14:53:37Z,20260601,09:30:00,10:30:00,2.72,20260601,2.75,3.06,2.51,5033231.62,1418597.743,4.6595
20260528,20260529,20260601,20260529,20260601,000539.SZ,粤电力Ａ,9,0.3634023823649376,57.911765,0.0164,火力发电,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,8.77,8.77,t1_open,9.77,9.77,0.11402508551881407,0.11402508551881407,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,26582444552,1,d82dc215f9ff909adae62a6776f1382c5cd570f0,2026-05-28T14:53:37Z,20260601,09:30:00,10:30:00,8.77,20260601,9.77,9.77,8.5,4764888.84,4494654.37633,10.0225
20260528,20260529,20260601,20260529,20260601,002350.SZ,北京科锐,10,0.244296688728376,62.598039,0.6729057079444091,电气设备,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,17.18,17.18,t1_open,15.83,15.83,-0.07857974388824207,-0.07857974388824207,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,26582444552,1,d82dc215f9ff909adae62a6776f1382c5cd570f0,2026-05-28T14:53:37Z,20260601,09:30:00,10:30:00,17.18,20260601,16.24,16.85,15.46,314666.05,503977.25901,-6.7177
