trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,entry_price_t1,entry_price_proxy_t1,entry_price_proxy_mode,exit_price_t2_close,close_t2,realized_ret_t1_to_t2,premium_ret_t1_to_t2,eret_truth_version,return_holding_mode,run_id,run_attempt,commit_sha,generated_at_utc,target_date_x,buy_window_start,buy_window_end,open_t1,target_date_y,open_t2,high_t2,low_t2,vol_t2,amount_t2,pct_chg_t2
20260512,20260513,20260514,20260513,20260514,603070.SH,万控智造,12,0.2128253131029598,66.122807,0.83,电气设备,FULLY_READY,1,1,0,strong_dead_limit_up,0,not_filled_no_trade,,,,16.62,16.62,,,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,17.01,20260514,18.71,18.71,16.4,319107.32,561960.393,-2.2928
20260512,20260513,20260514,20260513,20260514,603211.SH,晋拓股份,13,0.2680310841691477,65.245614,0.328751396590983,汽车配件,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,30.93,30.93,t1_open,30.61,30.61,-0.01034594245069509,-0.01034594245069509,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,30.93,20260514,30.2,31.87,30.2,167024.26,518522.961,-0.3905
20260512,20260513,20260514,20260513,20260514,603186.SH,华正新材,14,0.2535255964320717,56.54386,0.4258611773793213,元器件,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,96.2,96.2,t1_open,106.32,106.32,0.10519750519750515,0.10519750519750515,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,96.2,20260514,105.77,110.98,100.88,179606.25,1903705.615,1.5861
20260512,20260513,20260514,20260513,20260514,002491.SZ,通鼎互联,15,0.3183094000178832,49.280702,0.0164,通信设备,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,25.01,25.01,t1_open,24.65,24.65,-0.014394242303078841,-0.014394242303078841,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,25.01,20260514,26.16,26.39,24.38,2297473.45,5730403.742,-8.5343
20260512,20260513,20260514,20260513,20260514,002606.SZ,大连电瓷,16,0.2123423439425467,51.070175,0.83,电气设备,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,17.0,17.0,t1_open,16.35,16.35,-0.03823529411764692,-0.03823529411764692,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,17.0,20260514,17.14,17.16,16.29,652324.35,1083504.664,-5.0523
20260512,20260513,20260514,20260513,20260514,002300.SZ,太阳电缆,17,0.2131479800923798,50.368421,0.83,电气设备,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,10.97,10.97,t1_open,10.5,10.5,-0.042844120328167756,-0.042844120328167756,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,10.97,20260514,11.03,11.18,10.48,1108568.69,1195726.376,-7.2438
20260512,20260513,20260514,20260513,20260514,000767.SZ,晋控电力,18,0.2173420572294176,59.315789,0.2454420922806225,火力发电,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,4.88,4.88,t1_open,4.7,4.7,-0.03688524590163933,-0.03688524590163933,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,4.88,20260514,5.62,5.62,4.68,6870484.27,3528579.671,-8.2031
20260512,20260513,20260514,20260513,20260514,001359.SZ,平安电工,19,0.2225650070839566,58.122807,0.1736599148755986,矿物制品,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,106.1,106.1,t1_open,103.3,103.3,-0.02639019792648445,-0.02639019792648445,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,106.1,20260514,112.0,113.5,103.27,41289.67,439422.918,-9.7028
20260512,20260513,20260514,20260513,20260514,002787.SZ,华源控股,20,0.2179092674728323,64.0,0.0573942950693908,广告包装,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,26.21,26.21,t1_open,26.71,26.71,0.019076688286913335,0.019076688286913335,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,26.21,20260514,27.73,28.24,26.16,318481.69,862935.45,-2.4114
20260512,20260513,20260514,20260513,20260514,605198.SH,安德利,21,0.214506400945116,63.684211,0.01,软饮料,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,56.2,56.2,t1_open,59.0,59.0,0.04982206405693934,0.04982206405693934,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,56.2,20260514,55.64,61.51,53.4,100100.26,570260.024,5.2632
20260512,20260513,20260514,20260513,20260514,002498.SZ,汉缆股份,22,0.1703071329952409,41.666667,0.8363999999999999,电气设备,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,10.52,10.52,t1_open,10.15,10.15,-0.03517110266159684,-0.03517110266159684,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,10.52,20260514,11.7,11.7,10.12,4908274.1,5361327.098,-7.8111
20260512,20260513,20260514,20260513,20260514,600076.SH,康欣新材,23,0.2148042684389222,55.77193,0.0637942950693908,广告包装,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,4.32,4.32,t1_open,4.4,4.4,0.0185185185185186,0.0185185185185186,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,4.32,20260514,4.25,4.66,4.25,1705498.86,757006.097,3.7736
20260512,20260513,20260514,20260513,20260514,000672.SZ,上峰水泥,24,0.1927911900026039,62.912281,0.0164,水泥,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,17.63,17.63,t1_open,16.79,16.79,-0.04764605785592735,-0.04764605785592735,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,17.63,20260514,17.12,17.35,16.68,392047.36,663338.064,-2.4971
20260512,20260513,20260514,20260513,20260514,603331.SH,百达精工,25,0.0991669004380194,67.315789,0.6729057079444091,专用机械,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,16.28,16.28,t1_open,15.45,15.45,-0.05098280098280106,-0.05098280098280106,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,16.28,20260514,15.78,16.24,15.43,230010.59,361124.292,-2.8913
20260512,20260513,20260514,20260513,20260514,002560.SZ,通达股份,26,0.1366516998022957,46.912281,0.8363999999999999,电气设备,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,12.12,12.12,t1_open,11.61,11.61,-0.04207920792079212,-0.04207920792079212,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,12.12,20260514,12.68,12.89,11.61,1824794.77,2195373.573,-10.0
20260512,20260513,20260514,20260513,20260514,603320.SH,迪贝电气,27,0.0312355231115486,81.45614,0.83,电气设备,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,26.75,26.75,t1_open,24.65,24.65,-0.07850467289719631,-0.07850467289719631,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,26.75,20260514,25.21,25.86,24.38,80161.0,200111.641,-2.9528
20260512,20260513,20260514,20260513,20260514,000601.SZ,韶能股份,28,0.2025539026489555,52.894737,0.01,水力发电,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,8.79,8.79,t1_open,8.23,8.23,-0.06370875995449365,-0.06370875995449365,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,8.79,20260514,9.79,9.79,8.15,3628496.04,3225281.349,-7.5281
20260512,20260513,20260514,20260513,20260514,301197.SZ,工大科雅,29,0.1919863062240183,53.350877,0.0164,软件服务,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,39.01,39.01,t1_open,40.28,40.28,0.03255575493463225,0.03255575493463225,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,39.01,20260514,35.23,41.65,33.41,194163.59,715496.391,11.8889
20260512,20260513,20260514,20260513,20260514,001211.SZ,双枪科技,30,0.129953763003289,67.245614,0.0164,家居用品,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,55.84,55.84,t1_open,56.37,56.37,0.009491404011461313,0.009491404011461313,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,55.84,20260514,51.98,57.97,48.0,115984.1,608930.507,6.9437
20260512,20260513,20260514,20260513,20260514,603037.SH,凯众股份,31,0.0716718501886731,72.017544,0.328751396590983,汽车配件,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,15.62,15.62,t1_open,14.58,14.58,-0.06658130601792567,-0.06658130601792567,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,15.62,20260514,14.98,15.04,14.41,164005.29,241351.329,-3.5714
20260512,20260513,20260514,20260513,20260514,000006.SZ,深振业Ａ,32,0.0582859122354572,63.54386,0.5394931282264485,区域地产,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,10.63,10.63,t1_open,9.94,9.94,-0.06491063029162758,-0.06491063029162758,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,25737276896,1,a8a8468cfb544b3d47e6e0d333bc07344423d78b,2026-05-12T13:23:01Z,20260514,09:30:00,10:30:00,10.63,20260514,10.38,10.45,9.93,630318.14,637023.898,-4.2389
