trade_date,exec_date,target_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,label_version,buy_window_start,buy_window_end,run_id,run_attempt,commit_sha,generated_at_utc,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board,board_rank,board_limit_up_count,is_st_like,is_limit_up,break_count_proxy,limit_up_strength,open_t1,up_limit_t1,down_limit_t1,open_times_t1
20260428,20260429,20260430,002821.SZ,凯莱英,32,0.1240819906015021,52.932203,0.01,生物制药,PFILL_READY,1,0,1,strong_open_tradable,128.97,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,203361714.0,203361714.0,93957.0,93957.0,,,,,,129.49,105.95,0.0,,,0.0,1.0,0.0,2.240672957386115,128.97,142.44,116.54,
20260428,20260429,20260430,603095.SH,越剑智能,33,0.0710286131589351,70.322034,0.0164,纺织机械,PFILL_READY,1,0,1,strong_open_tradable,20.75,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,26306309.0,26306309.0,93246.0,93246.0,,,,,,20.96,17.15,0.0,,,0.0,1.0,0.0,2.031132788273721,20.75,23.06,18.86,0.0
20260428,20260429,20260430,002412.SZ,汉森制药,34,0.0955552450899277,61.440678,0.01,中成药,PFILL_READY,1,0,1,strong_open_tradable,7.14,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,80025834.0,80025834.0,93651.0,93651.0,,,,,,7.14,5.84,0.0,,,0.0,1.0,0.0,2.094708358605152,7.14,7.85,6.43,
20260428,20260429,20260430,600320.SH,振华重工,35,0.009983221777733,64.0,0.6729057079444091,专用机械,PFILL_READY,1,0,1,strong_open_tradable,5.31,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,2.0,30345490.0,30345490.0,94608.0,135344.0,,,,,,5.41,4.43,1.0,2.0,3.0,0.0,1.0,0.0,1.6192463804746984,5.31,5.95,4.87,
20260428,20260429,20260430,603399.SH,永杉锂业,36,0.1248492408770603,48.966102,0.01,小金属,PFILL_READY,1,0,1,strong_open_tradable,15.92,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,3.0,82522440.0,82522440.0,93547.0,94044.0,,,,,,16.03,13.11,0.0,,,0.0,1.0,0.0,1.3476630226745543,15.92,17.63,14.43,2.0
20260428,20260429,20260430,000889.SZ,中嘉博创,37,0.1413884511770655,38.966102,0.1115060031977598,通信设备,PFILL_READY,1,0,1,strong_open_tradable,4.82,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,1.0,47403889.0,47403889.0,93142.0,142430.0,,,,,,4.91,4.01,1.0,8.0,3.0,0.0,1.0,0.0,1.806101190006852,4.82,5.4,4.42,
20260428,20260429,20260430,600156.SH,华升股份,38,0.0751745238743285,65.694915,0.01,纺织,PFILL_READY,1,0,1,strong_open_tradable,10.15,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,2.0,76370579.0,76370579.0,94445.0,95206.0,,,,,,10.15,8.31,0.0,,,0.0,1.0,0.0,1.423715798860841,10.15,11.17,9.14,0.0
20260428,20260429,20260430,603779.SH,威龙股份,39,0.0797633772484112,64.067797,0.01,红黄酒,PFILL_READY,1,0,1,strong_open_tradable,6.35,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,28019939.0,28019939.0,131425.0,131425.0,,,,,,7.04,5.76,0.0,,,0.0,1.0,0.0,2.03316082192791,6.35,7.74,6.34,
20260428,20260429,20260430,300905.SZ,宝丽迪,40,0.1147554800973253,50.864407,0.0164,染料涂料,PFILL_READY,1,0,1,strong_open_tradable,70.01,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,134083563.0,134083563.0,93000.0,93000.0,,,,,,67.02,44.68,0.0,,,0.0,1.0,0.0,2.158684184005636,70.01,80.42,53.62,
20260428,20260429,20260430,600248.SH,陕建股份,41,0.0441516228306999,57.0,0.4322611773793213,建筑工程,PFILL_READY,1,0,1,strong_open_tradable,3.61,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,40984885.0,40984885.0,134904.0,134904.0,,,,,,3.7,3.02,1.0,4.0,3.0,0.0,1.0,0.0,2.298504476516557,3.61,4.07,3.33,
20260428,20260429,20260430,002652.SZ,扬子新材,42,0.0415935958109114,70.694915,0.0164,其他建材,PFILL_READY,1,0,1,strong_open_tradable,5.7,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,29021455.0,29021455.0,130330.0,130330.0,,,,,,5.62,4.6,0.0,,,0.0,1.0,0.0,2.0343460883817004,5.7,6.18,5.06,1.0
20260428,20260429,20260430,603283.SH,赛腾股份,43,0.0237327607055675,51.355932,0.6729057079444091,专用机械,PFILL_READY,1,0,1,strong_open_tradable,53.18,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,159074173.0,159074173.0,94952.0,94952.0,,,,,,54.67,44.73,1.0,2.0,3.0,0.0,1.0,0.0,2.4382598789448657,53.18,60.14,49.2,
20260428,20260429,20260430,601828.SH,美凯龙,44,0.045683905282877,63.338983,0.0164,其他商业,PFILL_READY,1,0,1,strong_open_tradable,2.7,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,40230650.0,40230650.0,93322.0,93322.0,,,,,,2.7,2.21,0.0,,,0.0,1.0,0.0,2.047611860278999,2.7,2.97,2.43,
20260428,20260429,20260430,603215.SH,比依股份,45,0.0520428997776865,60.677966,0.01,家用电器,PFILL_READY,1,0,1,strong_open_tradable,20.0,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,3.0,13671966.0,13671966.0,130213.0,134146.0,,,,,,22.22,18.18,0.0,,,0.0,1.0,0.0,1.2661803931811,20.0,24.44,20.0,
20260428,20260429,20260430,001298.SZ,好上好,46,0.0993819759331418,43.881356,0.01,元器件,PFILL_READY,1,0,1,strong_open_tradable,22.94,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,153537529.0,153537529.0,95506.0,95506.0,,,,,,23.33,19.09,1.0,10.0,2.0,0.0,1.0,0.0,2.431707414081819,22.94,25.66,21.0,
20260428,20260429,20260430,000593.SZ,德龙汇能,47,0.0882371289419221,45.237288,0.0637942950693908,供气供热,PFILL_READY,1,0,1,strong_open_tradable,25.89,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,84396920.0,84396920.0,112051.0,112051.0,,,,,,25.44,20.82,1.0,9.0,2.0,0.0,1.0,0.0,2.34988141784977,25.89,27.98,22.9,
20260428,20260429,20260430,600152.SH,维科技术,48,0.0809555840531871,39.237288,0.2454420922806225,电气设备,PFILL_READY,1,0,1,strong_open_tradable,15.2,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,105780411.0,105780411.0,94037.0,94037.0,,,,,,15.69,12.83,1.0,6.0,3.0,0.0,1.0,0.0,2.375188187334459,15.2,17.26,14.12,
20260428,20260429,20260430,000967.SZ,盈峰环境,49,0.0476129015132735,45.0,0.3351513965909831,环境保护,PFILL_READY,1,0,1,strong_open_tradable,13.7,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,183802535.0,183802535.0,103736.0,103736.0,,,,,,14.18,11.6,1.0,5.0,3.0,0.0,1.0,0.0,2.4675252106378043,13.7,15.6,12.76,
20260428,20260429,20260430,300540.SZ,蜀道装备,50,0.0147981517074924,42.355932,0.679305707944409,专用机械,PFILL_READY,1,0,1,strong_open_tradable,35.65,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,1.0,25126733.0,25126733.0,131312.0,132048.0,,,,,,36.12,24.08,1.0,2.0,3.0,0.0,1.0,0.0,1.779736792740453,35.65,43.34,28.9,
20260428,20260429,20260430,605168.SH,三人行,51,0.0555441808775969,52.254237,0.01,互联网,PFILL_READY,1,0,1,strong_open_tradable,46.21,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,119238186.0,119238186.0,105835.0,105835.0,,,,,,44.09,36.07,0.0,,,0.0,1.0,0.0,2.1411150913980577,46.21,48.5,39.68,5.0
20260428,20260429,20260430,301261.SZ,恒工精密,52,0.1125309745994892,31.237288,0.0164,机械基件,PFILL_READY,1,0,1,strong_open_tradable,94.11,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,220220415.0,220220415.0,93000.0,93000.0,,,,,,89.76,59.84,0.0,,,0.0,1.0,0.0,2.260624763198286,94.11,107.71,71.81,
20260428,20260429,20260430,603338.SH,浙江鼎力,53,0.0094312584655814,64.762712,0.01,工程机械,PFILL_READY,1,0,1,strong_open_tradable,57.9,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,72232936.0,72232936.0,94115.0,94115.0,,,,,,57.02,46.66,0.0,,,0.0,1.0,0.0,2.0854856796092998,57.9,62.72,51.32,
20260428,20260429,20260430,601101.SH,昊华能源,54,0.0244776479714571,59.135593,0.01,煤炭开采,PFILL_READY,1,0,1,strong_open_tradable,10.78,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,44635417.0,44635417.0,141529.0,141529.0,,,,,,10.88,8.9,0.0,,,0.0,1.0,0.0,2.0528247800544817,10.78,11.97,9.79,
20260428,20260429,20260430,601177.SH,杭齿前进,55,0.0405481474230365,52.254237,0.01,机械基件,PFILL_READY,1,0,1,strong_open_tradable,16.22,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,117969767.0,117969767.0,111100.0,111100.0,,,,,,16.25,13.29,0.0,,,0.0,1.0,0.0,2.139613952634373,16.22,17.88,14.63,
20260428,20260429,20260430,002218.SZ,拓日新能,56,0.0189415962181091,58.101695,0.01,新型电力,PFILL_READY,1,0,1,strong_open_tradable,5.45,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,1.0,129917226.0,129917226.0,92500.0,93703.0,,,,,,5.71,4.67,0.0,,,0.0,1.0,0.0,1.6537534395329705,5.45,6.28,5.14,
20260428,20260429,20260430,600770.SH,综艺股份,57,0.0881202775756566,31.0,0.0164,综合类,PFILL_READY,1,0,1,strong_open_tradable,7.32,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,128867741.0,128867741.0,95727.0,95727.0,,,,,,7.66,6.26,0.0,,,0.0,1.0,0.0,2.1525114030959527,7.32,8.43,6.89,
20260428,20260429,20260430,002575.SZ,群兴玩具,58,0.0529008285748082,40.728814,0.01,文教休闲,PFILL_READY,1,0,1,strong_open_tradable,6.63,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,70443892.0,70443892.0,110024.0,110024.0,,,,,,6.8,5.56,0.0,,,0.0,1.0,0.0,2.0833683955743414,6.63,7.48,6.12,
20260428,20260429,20260430,002297.SZ,博云新材,59,0.0295832753723136,40.694915,0.0164,航空,PFILL_READY,1,0,1,strong_open_tradable,21.25,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,101376206.0,101376206.0,133712.0,133712.0,,,,,,22.58,18.48,0.0,,,0.0,1.0,0.0,2.119975932670414,21.25,24.84,20.32,
