trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,entry_price_t1,entry_price_t_opening_auction,entry_price_proxy_t1,entry_price_proxy_mode,take_profit_price_tplus1,stop_loss_price_tplus1,latest_exit_time,exit_policy_version,exit_price_tplus1_timed,exit_price_tplus1_open,exit_price_source,exit_on_time,exit_reason,exit_price_t2_close,close_t2,realized_ret_open_to_tplus1_open_0930,realized_ret_t1_to_t2,premium_ret_t1_to_t2,eret_truth_version,return_holding_mode,execution_contract,run_id,run_attempt,commit_sha,generated_at_utc,buy_window_start,buy_window_end,open_t1,high_t1,low_t1,close_t1,market_target_date,open_t2,high_t2,low_t2,vol_t2,amount_t2,pct_chg_t2,auction_price_t2,auction_amount_t2,down_limit_t2
20260623,20260624,20260625,20260624,20260625,002584.SZ,西陇科学,11,0.6759706479928234,53.464949,0.415,化工原料,FULLY_READY,1,1,0,strong_opening_auction_limit_up_unconfirmed,0,not_filled_no_trade,,,,,,,09:30,tplus1_open_0930_v1,,11.75,,0,missing_entry_reference,10.27,10.27,,,,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,28031918807,1,c866695577f743ab99efc16207afb0f25b813d1d,2026-06-23T14:02:16Z,09:20:00,09:24:50,11.02,11.02,11.02,11.02,20260625,11.75,11.75,9.92,2193941.47,2343296.52955,-6.8058,11.75,157331325.0,9.92
20260623,20260624,20260625,20260624,20260625,002976.SZ,瑞玛精密,12,0.6804718759085184,55.287629,0.2697465641132242,汽车配件,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,31.57,31.57,31.57,t_opening_auction,,,09:30,tplus1_open_0930_v1,33.65,33.65,tplus1_open_0930,1,fixed_open_0930,35.7,35.7,0.06588533417801701,0.06588533417801701,0.13082039911308208,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,28031918807,1,c866695577f743ab99efc16207afb0f25b813d1d,2026-06-23T14:02:16Z,09:20:00,09:24:50,31.57,34.13,31.12,34.06,20260625,33.65,36.45,33.5,128967.21,456912.93168,4.815,33.65,2254550.0,30.65
20260623,20260624,20260625,20260624,20260625,001225.SZ,和泰机电,13,0.6547441317614897,64.871134,0.2129305886896606,专用机械,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,45.8,45.8,45.8,t_opening_auction,,,09:30,tplus1_open_0930_v1,44.0,44.0,tplus1_open_0930,1,fixed_open_0930,41.61,41.61,-0.0393013100436681,-0.0393013100436681,-0.09148471615720521,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,28031918807,1,c866695577f743ab99efc16207afb0f25b813d1d,2026-06-23T14:02:16Z,09:20:00,09:24:50,45.8,46.0,42.08,43.2,20260625,44.0,44.28,40.81,22982.3,96516.3741,-3.6806,44.0,1095600.0,38.88
20260623,20260624,20260625,20260624,20260625,002921.SZ,联诚精密,14,0.6391904908027775,67.798969,0.2697465641132242,汽车配件,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,25.97,25.97,25.97,t_opening_auction,,,09:30,tplus1_open_0930_v1,26.5,26.5,tplus1_open_0930,1,fixed_open_0930,25.24,25.24,0.020408163265306145,0.020408163265306145,-0.028109356950327347,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,28031918807,1,c866695577f743ab99efc16207afb0f25b813d1d,2026-06-23T14:02:16Z,09:20:00,09:24:50,25.97,27.9,25.17,26.63,20260625,26.5,27.9,25.0,160668.04,419879.16459,-5.2197,26.5,10451600.0,23.97
20260623,20260624,20260625,20260624,20260625,600881.SH,亚泰集团,15,0.628231726245277,81.349485,0.005,综合类,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,1.66,1.66,1.66,t_opening_auction,,,09:30,tplus1_open_0930_v1,1.6,1.6,tplus1_open_0930,1,fixed_open_0930,1.59,1.59,-0.036144578313252906,-0.036144578313252906,-0.04216867469879504,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,28031918807,1,c866695577f743ab99efc16207afb0f25b813d1d,2026-06-23T14:02:16Z,09:20:00,09:24:50,1.66,1.75,1.59,1.61,20260625,1.6,1.63,1.53,843368.58,132882.777,-1.2422,1.6,5241600.0,1.45
20260623,20260624,20260625,20260624,20260625,605069.SH,正和生态,16,0.651724567966741,68.42268,0.3351513965909831,环境保护,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,14.2,14.2,14.2,t_opening_auction,,,09:30,tplus1_open_0930_v1,14.28,14.28,tplus1_open_0930,1,fixed_open_0930,14.7,14.7,0.005633802816901401,0.005633802816901401,0.035211267605633756,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,28031918807,1,c866695577f743ab99efc16207afb0f25b813d1d,2026-06-23T14:02:16Z,09:20:00,09:24:50,14.2,14.74,13.54,14.74,20260625,14.28,15.36,14.08,258453.2,378274.378,-0.2714,14.28,13638828.0,13.27
20260623,20260624,20260625,20260624,20260625,000813.SZ,德展健康,17,0.6417096485436088,66.236082,0.3364528539722045,化学制药,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,3.17,3.17,3.17,t_opening_auction,,,09:30,tplus1_open_0930_v1,3.03,3.03,tplus1_open_0930,1,fixed_open_0930,2.99,2.99,-0.04416403785488965,-0.04416403785488965,-0.05678233438485791,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,28031918807,1,c866695577f743ab99efc16207afb0f25b813d1d,2026-06-23T14:02:16Z,09:20:00,09:24:50,3.17,3.19,3.05,3.05,20260625,3.03,3.07,2.94,386462.85,115857.92328,-1.9672,3.03,3299973.0,2.75
20260623,20260624,20260625,20260624,20260625,002648.SZ,卫星化学,18,0.6341643172881085,58.768042,0.415,化工原料,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,26.37,26.37,26.37,t_opening_auction,,,09:30,tplus1_open_0930_v1,25.6,25.6,tplus1_open_0930,1,fixed_open_0930,25.68,25.68,-0.02919984831247624,-0.02919984831247624,-0.026166097838452806,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,28031918807,1,c866695577f743ab99efc16207afb0f25b813d1d,2026-06-23T14:02:16Z,09:20:00,09:24:50,26.37,26.66,24.9,25.66,20260625,25.6,26.91,24.59,2064277.24,5257287.48879,0.0779,25.6,127272960.0,23.09
20260623,20260624,20260625,20260624,20260625,603669.SH,灵康药业,19,0.6638198894430745,49.886598,0.679305707944409,化学制药,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,5.68,5.68,5.68,t_opening_auction,,,09:30,tplus1_open_0930_v1,5.43,5.43,tplus1_open_0930,1,fixed_open_0930,5.61,5.61,-0.04401408450704225,-0.04401408450704225,-0.012323943661971759,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,28031918807,1,c866695577f743ab99efc16207afb0f25b813d1d,2026-06-23T14:02:16Z,09:20:00,09:24:50,5.68,5.88,5.36,5.74,20260625,5.43,6.02,5.43,672797.22,382706.296,-2.2648,5.43,6813564.0,5.17
20260623,20260624,20260625,20260624,20260625,603938.SH,三孚股份,20,0.6672955563136539,40.43299,0.8363999999999999,化工原料,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,66.2,66.2,66.2,t_opening_auction,,,09:30,tplus1_open_0930_v1,74.24,74.24,tplus1_open_0930,1,fixed_open_0930,69.68,69.68,0.12145015105740176,0.12145015105740176,0.05256797583081574,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,28031918807,1,c866695577f743ab99efc16207afb0f25b813d1d,2026-06-23T14:02:16Z,09:20:00,09:24:50,66.2,71.63,64.08,71.63,20260625,74.24,75.0,68.5,475525.57,3356776.702,-2.7223,74.24,82197637.0,64.47
