trade_date,exec_date,target_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,auction_price_t1,auction_amount_t1,minute_open_t1,minute_open_available_t1,label_version,execution_contract,buy_window_start,buy_window_end,run_id,run_attempt,commit_sha,generated_at_utc,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,intraday_available,intraday_status,intraday_missing_reason,minute_freq,minute_rows,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,reseal_score,intraday_quality_score,intraday_confidence_score,intraday_risk_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_tag,auction_strength_score,auction_amount,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board,board_rank,board_limit_up_count,is_st_like,is_limit_up,break_count_proxy,limit_up_strength,decision_board,decision_limit_pct,decision_universe_eligible,decision_universe_reason,decision_universe_rule,open_t1,high_t1,low_t1,close_t1,vol_t1,amount_t1,pct_chg_t1,auction_vol_t1,up_limit_t1,down_limit_t1,open_times_t1
20260617,20260618,20260622,600552.SH,凯盛科技,13,0.663650175672256,62.372727,0.4181999999999999,元器件,FULLY_READY,1,1,1,strong_official_opening_auction,24.01,t_opening_auction,24.01,71391334.0,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27744890913,1,ebd494250fa301eab1dd853054efcf4a9985f563,2026-06-18T07:51:28Z,U,1.0,181141497.0,181141497.0,95109.0,95233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.13,19.75,1.0,1.0,22.0,0.0,1.0,0.0,1.87567627233292,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,24.01,24.61,22.4,23.32,1407080.3,3287943.899,-3.3568,2973400.0,26.54,21.72,
20260617,20260618,20260622,600876.SH,凯盛新能,14,0.6445416814125381,67.663636,0.3396528539722045,玻璃,FULLY_READY,1,1,1,strong_official_opening_auction,9.89,t_opening_auction,9.89,8099910.0,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27744890913,1,ebd494250fa301eab1dd853054efcf4a9985f563,2026-06-18T07:51:28Z,U,1.0,98053722.0,98053722.0,93232.0,93314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42,7.7,1.0,2.0,6.0,0.0,1.0,0.0,1.8180298356446087,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,9.89,10.36,9.49,9.93,351738.4,350184.599,5.414,819000.0,10.36,8.48,
20260617,20260618,20260622,603773.SH,沃格光电,15,0.6578817598751594,59.5,0.4181999999999999,元器件,FULLY_READY,1,1,1,strong_official_opening_auction,171.11,t_opening_auction,171.11,129615825.0,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27744890913,1,ebd494250fa301eab1dd853054efcf4a9985f563,2026-06-18T07:51:28Z,U,0.0,280786779.0,280786779.0,93914.0,93914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.13,135.93,1.0,1.0,22.0,0.0,1.0,0.0,2.444810334956476,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,171.11,172.99,150.0,164.7,339156.54,5560743.932,-0.8608,757500.0,182.74,149.52,
20260617,20260618,20260622,601636.SH,旗滨集团,16,0.6419807954120862,62.663636,0.3396528539722045,玻璃,FULLY_READY,1,1,1,strong_official_opening_auction,8.59,t_opening_auction,8.59,162216996.0,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27744890913,1,ebd494250fa301eab1dd853054efcf4a9985f563,2026-06-18T07:51:28Z,U,0.0,201098421.0,201098421.0,92503.0,92503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.67,7.09,1.0,2.0,6.0,0.0,1.0,0.0,2.389522419444928,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,8.59,8.59,7.8,8.04,4265516.31,3443569.193,-7.2664,18884400.0,9.54,7.8,
20260617,20260618,20260622,002404.SZ,嘉欣丝绸,17,0.6451516210909345,77.590909,0.005,纺织,FULLY_READY,1,1,1,strong_official_opening_auction,6.72,t_opening_auction,6.72,8663424.0,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27744890913,1,ebd494250fa301eab1dd853054efcf4a9985f563,2026-06-18T07:51:28Z,U,1.0,29195842.0,29195842.0,94442.0,94742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84,5.6,0.0,,,0.0,1.0,0.0,1.520256123809007,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,6.72,6.76,6.16,6.16,523410.0,329600.7031,-9.9415,1289200.0,7.52,6.16,
20260617,20260618,20260622,603115.SH,海星股份,18,0.6382928500054437,76.281818,0.0082,铝,FULLY_READY,1,1,1,strong_official_opening_auction,126.0,t_opening_auction,126.0,17980200.0,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27744890913,1,ebd494250fa301eab1dd853054efcf4a9985f563,2026-06-18T07:51:28Z,U,0.0,27466260.0,27466260.0,93650.0,93650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.94,98.14,0.0,,,0.0,1.0,0.0,2.019056136936567,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,126.0,128.4,114.0,114.7,147708.82,1750189.515,-4.3689,142700.0,131.93,107.95,
20260617,20260618,20260622,002579.SZ,中京电子,19,0.6649609889510952,49.818182,0.415,元器件,FULLY_READY,1,1,1,strong_official_opening_auction,19.01,t_opening_auction,19.01,73072158.8,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27744890913,1,ebd494250fa301eab1dd853054efcf4a9985f563,2026-06-18T07:51:28Z,U,1.0,125644169.0,125644169.0,100606.0,100721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.47,15.11,1.0,1.0,22.0,0.0,1.0,0.0,1.837172133728625,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,19.01,20.32,18.98,20.32,708702.11,1422120.96259,10.0162,3843880.0,20.32,16.62,2.0
20260617,20260618,20260622,603618.SH,杭电股份,20,0.6412062551912969,65.281818,0.2161305886896606,电气设备,FULLY_READY,1,1,1,strong_official_opening_auction,51.0,t_opening_auction,51.0,70645200.0,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27744890913,1,ebd494250fa301eab1dd853054efcf4a9985f563,2026-06-18T07:51:28Z,U,0.0,96126444.0,96126444.0,93637.0,93637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.73,42.33,1.0,4.0,5.0,0.0,1.0,0.0,2.316692686958081,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,51.0,53.28,49.86,51.77,887729.57,4597733.755,0.0773,1385200.0,56.9,46.56,
20260617,20260618,20260622,603139.SH,康惠股份,21,0.6333464660222851,75.481818,0.005,中成药,FULLY_READY,1,1,1,strong_official_opening_auction,46.0,t_opening_auction,46.0,8201800.0,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27744890913,1,ebd494250fa301eab1dd853054efcf4a9985f563,2026-06-18T07:51:28Z,U,1.0,41852892.0,41852892.0,112138.0,130335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.13,36.11,1.0,10.0,2.0,0.0,1.0,0.0,1.779037606180942,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,46.0,46.92,44.0,45.21,82840.0,375017.868,2.4473,178300.0,48.54,39.72,
20260617,20260618,20260622,603989.SH,艾华集团,22,0.6235636767138606,70.009091,0.4181999999999999,元器件,FULLY_READY,1,1,1,strong_official_opening_auction,40.06,t_opening_auction,40.06,43573262.0,,0,pfill_truth_v6_manual_0925_proxy,manual_guidance_0925_public_market_fillability_proxy,09:20:00,09:24:50,27744890913,1,ebd494250fa301eab1dd853054efcf4a9985f563,2026-06-18T07:51:28Z,U,4.0,66858956.0,66858956.0,93819.0,94346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.73,30.87,1.0,1.0,22.0,0.0,1.0,0.0,1.4963868550349382,MAIN,10.0,1,eligible_limit_le_10:10.00%:main_board_10pct,a_share_price_limit_le_10_v2,40.06,41.5,39.62,41.5,53717.23,220419.394,9.992,1087700.0,41.5,33.96,0.0
