trade_date,exec_date,target_date,ts_code,name,rank,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,dataset_split,sample_weight,is_cold_start,feature_coverage_score,label_version,buy_window_start,buy_window_end,open_t1,high_t1,low_t1,close_t1,up_limit_t1,down_limit_t1,limit_type_t1,open_times_t1,seal_amount_t1,symbol,board,area,market,list_date,open,high,low,close,pct_chg,pre_close_est,returns_1d,high_low_range,candle_body,gap_open,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,amihud_illiquidity,volatility_5d,volatility_10d,volatility_20d,atr,downside_vol,max_drawdown_20d,tail_risk_score,total_mv,float_mv,pe_ttm,pb,north_money_market,south_money_market,hgt_market,sgt_market,market_regime,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,top_list_net_buy,top_net_rate,amount_rate,float_values,abnormal_volume,has_namechange_record,latest_change_reason,ret_2d,ret_5d,ret_10d,bid_ask_proxy,spread_proxy,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_limit_up,break_count_proxy,limit_up_strength,prior_prob_prior,prior_strength_score,prior_theme_boost,prior_board,open_times_t1__is_missing,seal_amount_t1__is_missing,limit_type_t1__is_missing,prior_prob_prior__is_missing,prior_strength_score__is_missing,prior_theme_boost__is_missing
20260304,20260305,20260306,600871.SH,石化油服,27,FULLY_READY,1,1,1,strong_open_tradable,4.16,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,4.16,4.42,3.86,3.99,4.7,3.84,,,,600871,石油开采,北京,主板,19950411,4.27,4.27,3.58,4.27,10.0515,0.3863728905578427,10.0515,1.7858395784543315,0.0,10.0515,12506221.76,5116237.468,9.2317,44.3622,3.69,1.96462733852134e-06,,,,,,,,8094658.5707,,,,329782.01,52840.09,156625.09,173156.92,,3.0,3.0,1.0,3.0,3.0,0.0,5683041.03,0.11,18.87,57845742738.77,18.87,0.0,,,,,,,U,2.0,10787625.0,10787625.0,92501.0,150000.0,,,,,,4.27,3.49,1.0,0.0,1.5966681851389677,0.0282596928474834,27.5,0.7030854212758787,石油开采,1,1,1,0,0,0
20260304,20260305,20260306,002178.SZ,延华智能,28,FULLY_READY,1,1,1,strong_open_tradable,7.34,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,7.34,7.34,6.71,6.8,7.35,6.01,,,,2178,软件服务,上海,主板,20071101,5.94,6.68,5.94,6.68,10.0494,0.6045577135410067,10.0494,1.2240353293413162,1.2240353293413162,8.825364670658685,498444.79,323886.211,7.0028,9.5779,2.35,3.102756356614391e-05,,,,,,,,475718.2047,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,1.0,91442847.0,91442847.0,132539.0,132703.0,,,,,,6.68,5.46,1.0,0.0,1.6130347795210065,0.0280803491872656,66.545455,0.0,软件服务,1,1,1,0,0,0
20260304,20260305,20260306,300617.SZ,安靠智电,29,FULLY_READY,1,1,1,strong_open_tradable,68.47,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,68.47,70.47,64.0,65.1,77.77,51.85,,,,300617,电气设备,江苏,创业板,20170228,54.5,64.81,54.5,64.81,19.9963,3.0867343293818434,19.9963,3.340099567967907,3.340099567967907,16.656200432032094,278959.76,1754177.605,20.0801,31.4241,1.73,1.139924483302248e-05,,,,,,,,1073951.3704,,,,329782.01,52840.09,156625.09,173156.92,,8.0,1.0,1.0,1.0,8.0,0.0,-109357713.59,-6.23,29.94,9003646552.44,29.94,0.0,,,,,,,U,7.0,46523534.0,46523534.0,93954.0,133936.0,,,,,,64.81,43.21,1.0,0.0,1.4325088985169945,0.0276502751065376,36.545455,1.0,电气设备,1,1,1,0,0,0
20260304,20260305,20260306,600313.SH,农发种业,30,FULLY_READY,1,1,1,strong_open_tradable,8.8,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,8.8,9.02,8.47,8.48,10.16,8.32,,,,600313,种植业,北京,主板,20010119,8.6,9.24,8.5,9.24,10.0,0.84,10.0,0.8809523809523813,0.7619047619047626,9.23809523809524,2202363.39,1997836.604,20.3508,33.7959,1.75,5.005414346687984e-06,,,,,,,,1073109.5474,,,,329782.01,52840.09,156625.09,173156.92,,2.0,10.0,1.0,10.0,2.0,0.0,,,,,,0.0,,,,,,,U,3.0,75246864.0,75246864.0,95202.0,104756.0,,,,,,9.24,7.56,1.0,0.0,1.5930145217579144,0.0242144926060087,41.204545,0.0,种植业,1,1,1,0,0,0
20260304,20260305,20260306,600108.SH,亚盛集团,31,FULLY_READY,1,1,1,strong_open_tradable,5.66,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,5.66,5.66,4.9,5.02,5.82,4.76,,,,600108,种植业,甘肃,主板,19970818,4.82,5.29,4.45,5.29,9.9792,0.4818201690469251,9.9792,1.7433890359168238,0.9754676748582224,9.003732325141778,3635396.75,1797908.328,18.6726,25.9643,2.15,5.55044984473758e-06,,,,,,,,1029918.099,,,,329782.01,52840.09,156625.09,173156.92,,2.0,10.0,1.0,10.0,2.0,0.0,61871594.52,1.53,13.86,10299180990.09,13.86,0.0,,,,,,,U,1.0,96367501.0,96367501.0,95902.0,95932.0,,,,,,5.29,4.33,1.0,0.0,1.869122266922916,0.0239414992576165,51.181818,0.08,种植业,1,1,1,0,0,0
20260304,20260305,20260306,605268.SH,王力安防,32,FULLY_READY,1,1,0,strong_dead_limit_up,,,raw_train_pool,1.25,0,1.0,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,12.67,12.67,12.67,12.67,12.67,10.37,U,0.0,449330590.0,605268,家居用品,浙江,主板,20210224,10.37,11.52,10.25,11.52,10.0287,1.044547408126071,10.0287,1.215837586805555,1.1009552951388892,8.92774470486111,91804.16,103976.968,2.0974,12.0674,1.88,9.645116791634088e-05,,,,,,,,514140.48,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,27100685.32,26.06,108.97,5042260800.0,108.97,0.0,,,,,,,U,0.0,66132864.0,66132864.0,95406.0,95406.0,,,,,,11.52,9.42,1.0,0.0,2.08174847947738,0.0236006628672162,69.590909,0.08,家居用品,0,0,0,0,0,0
20260304,20260305,20260306,600236.SH,桂冠电力,33,FULLY_READY,1,1,1,strong_open_tradable,11.08,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,11.08,11.94,10.6,11.62,11.94,9.77,,,,600236,水力发电,广西,主板,20000323,9.73,10.85,9.62,10.85,10.0406,0.9827364454830354,10.0406,1.2516071889400926,1.1396748387096765,8.900925161290324,424644.21,441314.202,0.5387,4.1067,2.52,2.2751590486997287e-05,,,,,,,,8552379.9152,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,-36245569.75,-3.52,37.51,85523799151.7,37.51,0.0,,,,,,,U,1.0,17105784.0,17105784.0,141236.0,144739.0,,,,,,10.85,8.87,1.0,0.0,1.5211448854274403,0.0233876456268333,66.590909,0.08,水力发电,1,1,1,0,0,0
20260304,20260305,20260306,002357.SZ,富临运业,34,FULLY_READY,1,1,1,strong_open_tradable,15.84,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,15.84,16.46,15.5,16.09,17.64,14.44,,,,2357,公共交通,四川,主板,20100210,14.45,16.04,14.33,16.04,10.0137,1.4563679780636842,10.0137,1.174153802992518,1.0917570448877805,8.92194295511222,226246.37,353682.194,7.2173,10.2959,1.18,2.831270606741373e-05,,,,,,,,502836.4137,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,0.0,71210221.0,71210221.0,105357.0,105357.0,,,,,,16.04,13.12,1.0,0.0,2.0880247268589214,0.0213816176542104,71.681818,0.0,公共交通,1,1,1,0,0,0
20260304,20260305,20260306,600149.SH,廊坊发展,35,FULLY_READY,1,1,1,strong_open_tradable,6.91,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,6.91,7.66,6.7,6.87,7.67,6.27,,,,600149,综合类,河北,主板,19991014,6.23,6.97,6.23,6.97,9.9369,0.6372921028810723,9.9369,1.1611629842180764,1.1611629842180764,8.775737015781925,698264.76,452098.325,18.3677,28.39,2.17,2.1979510762398865e-05,,,,,,,,264971.52,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,0.0,71757544.0,71757544.0,144906.0,144906.0,,,,,,6.97,5.71,1.0,0.0,2.088701286444077,0.0213225984379672,63.863636,0.0,综合类,1,1,1,0,0,0
20260304,20260305,20260306,601096.SH,宏盛华源,36,FULLY_READY,1,1,1,strong_open_tradable,6.52,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,6.52,6.81,6.44,6.53,6.91,5.65,,,,601096,钢加工,山东,主板,20231222,5.6,6.28,5.56,6.28,9.9825,0.5718188026405646,9.9825,1.259140127388536,1.1891878980891728,8.793312101910827,1646252.42,1012872.527,10.0199,20.3995,1.26,9.855633096858597e-06,,,,,,,,1679997.3953,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,1.0,61816011.0,61816011.0,100806.0,134830.0,,,,,,6.28,5.14,1.0,0.0,1.576412310021943,0.0167973264688193,60.636364,0.0,钢加工,1,1,1,0,0,0
20260304,20260305,20260306,002272.SZ,川润股份,37,FULLY_READY,1,1,1,strong_open_tradable,22.38,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22.38,22.6,20.37,21.01,23.18,18.96,,,,2272,机械基件,四川,主板,20080919,18.59,21.07,18.59,21.07,10.0261,1.9109204523811685,10.0261,1.297803891789274,1.297803891789274,8.728296108210724,1450291.45,2999496.651,37.5244,40.6402,1.29,3.3425941638099194e-06,,,,,,,,1021636.4711,,,,329782.01,52840.09,156625.09,173156.92,,2.0,8.0,1.0,8.0,2.0,0.0,179380692.85,5.98,30.58,8143404307.36,30.58,0.0,,,,,,,U,3.0,83451000.0,83451000.0,93315.0,134742.0,,,,,,21.07,17.24,1.0,0.0,1.6031558584982322,0.0159225928809994,37.181818,0.1869133379015616,机械基件,1,1,1,0,0,0
20260304,20260305,20260306,000862.SZ,银星能源,38,FULLY_READY,1,1,1,strong_open_tradable,7.92,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,7.92,7.93,7.24,7.31,8.07,6.61,,,,862,新型电力,宁夏,主板,19980915,6.6,7.34,6.54,7.34,10.045,0.6645540968764146,10.045,1.2038147138964574,1.1135286103542237,8.931471389645777,681232.79,474214.79,10.8482,14.2653,1.36,2.1182384463377877e-05,,,,,,,,673778.7469,,,,329782.01,52840.09,156625.09,173156.92,,2.0,7.0,1.0,7.0,2.0,0.0,,,,,,0.0,,,,,,,U,0.0,91351731.0,91351731.0,133539.0,133539.0,,,,,,7.34,6.0,1.0,0.0,2.3629221487651986,0.0150721201789597,61.727273,0.1766570212508551,新型电力,1,1,1,0,0,0
20260304,20260305,20260306,688176.SH,亚虹医药-U,39,FULLY_READY,1,1,1,strong_open_tradable,14.49,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,14.49,14.86,13.73,13.98,16.4,10.94,,,,688176,化学制药,江苏,科创板,20220107,12.1,13.67,12.01,13.67,20.0176,0.6504072777101095,20.0176,2.552246964155085,2.4138721287490865,17.603727871250914,416768.19,542395.214,9.5658,11.0019,4.71,3.690593036833101e-05,,,,,,,,780790.0544,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,48543314.78,8.95,29.94,5955826922.83,29.94,0.0,,,,,,,U,1.0,32651697.0,32651697.0,133326.0,133730.0,,,,,,13.67,9.11,1.0,0.0,1.5403615754809308,0.0132188730093824,53.181818,0.08,化学制药,1,1,1,0,0,0
20260304,20260305,20260306,002885.SZ,京泉华,40,FULLY_READY,1,1,1,strong_open_tradable,32.56,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,32.56,32.86,31.7,32.3,35.11,28.73,,,,2885,元器件,深圳,主板,20170627,28.5,31.92,28.5,31.92,9.9931,2.903639555721316,9.9931,1.1778321428571434,1.1778321428571434,8.815267857142857,300487.54,932367.789,13.0133,18.7734,1.55,1.071798073453179e-05,,,,,,,,864766.9619,,,,329782.01,52840.09,156625.09,173156.92,,2.0,4.0,1.0,4.0,2.0,0.0,,,,,,0.0,,,,,,,U,0.0,96922334.0,96922334.0,132224.0,132224.0,,,,,,31.92,26.12,1.0,0.0,2.369808109806023,0.0121162658567599,60.045455,0.479801681970459,元器件,1,1,1,0,0,0
20260304,20260305,20260306,001282.SZ,三联锻造,41,FULLY_READY,1,1,1,strong_open_tradable,25.86,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,25.86,26.24,24.17,24.32,27.83,22.77,,,,1282,汽车配件,安徽,主板,20230524,22.51,25.3,22.51,25.3,10.0,2.3000000000000003,10.0,1.213043478260869,1.213043478260869,8.78695652173913,160487.42,392826.093,20.5319,28.3123,1.44,2.5456557439019205e-05,,,,,,,,562129.568,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,0.0,103045002.0,103045002.0,131357.0,131357.0,,,,,,25.3,20.7,1.0,0.0,2.127376492136248,0.0084870199596288,61.340909,0.0,汽车配件,1,1,1,0,0,0
20260304,20260305,20260306,301373.SZ,凌玮科技,42,FULLY_READY,1,1,1,strong_open_tradable,52.72,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,52.72,59.5,51.4,58.23,59.53,39.69,,,,301373,化工原料,广东,创业板,20230208,40.75,49.61,40.5,49.61,20.0048,2.3618411029859843,20.0048,3.857160411207418,3.751310784116105,16.253489215883892,112170.89,523642.724,29.156,30.8991,0.88,3.820314707552396e-05,,,,,,,,538130.0435,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,43082572.45,8.23,33.17,1908631788.03,33.17,0.0,,,,,,,U,0.0,99615342.0,99615342.0,100121.0,100121.0,,,,,,49.61,33.07,1.0,0.0,2.1231370040335644,0.0066506751481613,48.454545,0.08,化工原料,1,1,1,0,0,0
20260304,20260305,20260306,001396.SZ,誉帆科技,43,FULLY_READY,1,1,1,strong_open_tradable,56.01,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,56.01,56.4,50.5,50.82,60.29,49.33,,,,1396,建筑工程,上海,主板,20251230,49.2,54.81,49.09,54.81,9.994,4.985446607240314,9.994,1.1473395365809156,1.1252753147235903,8.868724685276408,25114.05,132510.899,11.309,11.309,0.46,7.542021128390352e-05,,,,,,,,585932.1421,,,,329782.01,52840.09,156625.09,173156.92,,3.0,2.0,1.0,2.0,3.0,0.0,,,,,,0.0,,,,,,,U,0.0,29125924.0,29125924.0,101642.0,101642.0,,,,,,54.81,44.85,1.0,0.0,2.286003279706346,0.0052918000063317,81.272727,0.7946272018253463,建筑工程,1,1,1,0,0,0
20260304,20260305,20260306,603618.SH,杭电股份,44,FULLY_READY,1,1,1,strong_open_tradable,21.3,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,21.3,22.2,20.44,20.82,22.65,18.53,,,,603618,电气设备,浙江,主板,20150217,16.98,20.59,16.98,20.59,9.9893,1.8736407232489785,9.9893,1.9267301117047109,1.9267301117047109,8.06256988829529,982239.56,1896796.794,14.207,30.2718,0.75,5.266404936785232e-06,,,,,,,,1423542.3933,,,,329782.01,52840.09,156625.09,173156.92,,8.0,1.0,1.0,1.0,8.0,0.0,44940533.31,2.37,32.25,14235423933.44,32.25,0.0,,,,,,,U,0.0,99480873.0,99480873.0,134024.0,134024.0,,,,,,20.59,16.85,1.0,0.0,2.3729707835552434,0.0030929366579399,51.636364,1.0,电气设备,1,1,1,0,0,0
