ts_code,trade_date,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,intraday_vwap,intraday_vwap_position,late_volume_ratio,late_price_change_pct,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag
002909.SZ,20260915,1min,241,1,,,0,0,,0,,0.0,0.0,6.3978,-1.0604,0.143697,-1.4019,,0,0.0,0.0,0.0,80.0,no_limit_touch
300227.SZ,20260915,1min,241,1,,,0,0,,0,,0.0,0.0,11.2744,-6.6029,0.121309,-0.0949,,0,0.0,0.0,0.0,80.0,no_limit_touch
300290.SZ,20260915,1min,241,1,,,0,0,,0,,0.0,0.0,7.9211,-6.9578,0.265684,-1.7333,,0,0.0,0.0,0.0,80.0,no_limit_touch
301132.SZ,20260915,1min,241,1,,,0,0,,0,,0.0,0.0,62.4519,-0.8837,0.07869,0.8472,,0,0.0,0.0,0.0,80.0,no_limit_touch
301520.SZ,20260915,1min,241,1,,,0,0,,0,,0.0,0.0,68.262,-0.6476,0.108558,0.1033,,0,0.0,0.0,0.0,80.0,no_limit_touch
301591.SZ,20260915,1min,241,1,,,0,0,,0,,0.0,0.0,45.9637,-1.6614,0.098593,0.1995,,0,0.0,0.0,0.0,80.0,no_limit_touch
600127.SH,20260915,1min,241,1,,,0,0,,0,,0.0,0.0,13.3552,-4.5314,0.004259,0.0,,0,0.0,0.0,0.0,80.0,no_limit_touch
600180.SH,20260915,1min,241,1,,,0,0,,0,,0.0,0.0,1.7514,-2.9327,0.016043,0.0,,0,0.0,0.0,0.0,80.0,no_limit_touch
600184.SH,20260915,1min,241,1,,,0,0,,0,,0.0,0.0,21.1646,4.5614,0.14816,1.5138,,0,0.0,0.0,0.0,80.0,no_limit_touch
600318.SH,20260915,1min,241,1,,,0,0,,0,,0.0,0.0,6.3687,-1.2358,0.144698,0.0,,0,0.0,0.0,0.0,80.0,no_limit_touch
600354.SH,20260915,1min,241,1,,,0,0,,0,,0.0,0.0,9.0132,-1.4779,0.011113,0.0,,0,0.0,0.0,0.0,80.0,no_limit_touch
