ts_code,trade_date,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
300721.SZ,20260424,怡达股份,21.0,18.7111,42.12,1097364057.0,222446779.18,164214614.92,386661394.1,-58232164.26,-5.31,35.24,2905385049.0,日换手率达到30%的前5只证券
300779.SZ,20260424,惠城环保,71.16,-17.886,12.49,1526243707.0,347185954.7,289197434.08,636383388.78,-57988520.62,-3.8,41.7,11450667707.76,日跌幅达到15%的前5只证券
300890.SZ,20260424,翔丰华,42.7,0.1407,36.41,1714699463.0,276789538.86,197845837.45,474635376.31,-78943701.41,-4.6,27.68,4648541776.9,日换手率达到30%的前5只证券
301003.SZ,20260424,江苏博云,72.3,11.7293,16.25,1934047945.0,291311138.73,371052285.87,662363424.6,79741147.14,4.12,34.25,5432647594.2,连续三个交易日内，涨幅偏离值累计达到30%的证券
301050.SZ,20260424,雷电微力,41.1,-15.6057,9.54,833033049.0,112170594.87,67835321.92,180005916.79,-44335272.95,-5.32,21.61,8651716455.0,日跌幅达到15%的前5只证券
301077.SZ,20260424,星华新材,38.59,19.9938,25.38,881374485.0,89123695.88,164671452.62,253795148.5,75547756.74,8.57,28.8,3681587453.11,日涨幅达到15%的前5只证券
301588.SZ,20260424,美新科技,29.3,9.5327,33.45,1407241327.0,304721819.23,318139070.41,622860889.64,13417251.18,0.95,44.26,2149424061.9,连续三个交易日内，涨幅偏离值累计达到30%的证券
301666.SZ,20260424,大普微,234.5,5.6354,41.3,2605584742.0,328708974.67,290836289.99,619545264.66,-37872684.68,-1.45,23.78,6218082433.5,日换手率达到30%的前5只证券
301667.SZ,20260424,纳百川,120.65,4.2873,43.42,1131969100.0,87031905.61,96437556.35,183469461.96,9405650.74,0.83,16.21,2713956478.35,日换手率达到30%的前5只证券
600110.SH,20260424,诺德股份,9.76,5.2859,15.32,2519053122.0,249043919.01,579503310.63,828547229.64,330459391.62,13.12,32.89,16935365896.32,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600193.SH,20260424,*ST创兴,2.28,-5.0,0.08,5423283.0,4072321.0,1853129.0,5925450.0,-2219192.0,-40.92,109.26,969850440.0,ST、*ST证券连续三个交易日内收盘价格跌幅偏离值累计达到12%的证券
