trade_date,ts_code,name,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,limit_times,up_stat,industry,turnover_ratio,amount,float_mv,total_mv,seal_amount
20260720,000037.SZ,深南电A,U,10.12,10.12,8.28,2,1771000.0,144548,145512,2.0,2/2,电力,22.61,746615024.0,3429750478.0,6099957431.04,1771000.0
20260720,000539.SZ,粤电力Ａ,U,5.84,5.84,4.78,3,86742104.0,101151,110042,1.0,1/1,电力,6.6,954978208.0,14923459490.16,30661658746.88,86742104.0
20260720,000596.SZ,古井贡酒,U,93.83,93.83,76.77,4,30654261.0,95445,140133,1.0,2/4,白酒Ⅱ,2.79,1044650864.0,38338938000.0,49598538000.0,30654261.0
20260720,000600.SZ,建投能源,U,8.98,8.98,7.34,2,3753137.0,132254,145136,1.0,1/1,电力,8.14,772038736.0,9788656866.48,16193044768.32,3753137.0
20260720,000722.SZ,湖南发展,U,15.21,15.21,12.45,6,3262545.0,144433,145621,2.0,3/4,电力,16.23,1100838176.0,7059847469.22,8690306264.64,3262545.0
20260720,000767.SZ,晋控电力,U,3.76,3.76,3.08,2,50597650.0,100230,140245,1.0,1/1,电力,11.36,1210434176.0,10950046599.36,11569302762.24,50597650.0
20260720,000815.SZ,美利云,U,13.33,13.33,10.91,0,179245470.0,92500,92500,1.0,1/1,IT服务Ⅱ,2.26,209590629.0,9267856256.55,9267856323.2,179245470.0
20260720,000889.SZ,中嘉博创,U,3.45,3.45,2.83,0,85141028.0,93527,93527,1.0,2/4,通信服务,4.88,143940609.0,3000965753.7,3230204364.0,85141028.0
20260720,001211.SZ,双枪科技,U,20.19,20.19,16.52,0,71540478.0,110106,110106,1.0,1/1,家居用品,5.53,99138307.0,1884537063.18,2019000000.0,71540478.0
20260720,001258.SZ,立新能源,U,9.1,9.1,7.44,2,132620670.0,93157,94915,3.0,3/3,电力,8.8,733892672.0,8493244614.4,8493333284.8,132620670.0
20260720,001288.SZ,运机集团,U,22.97,22.97,18.79,6,3174454.0,95754,144839,1.0,1/1,专用设备,4.81,165796814.0,3488522281.69,5369555703.41,3174454.0
20260720,002036.SZ,联创电子,U,6.55,6.55,5.36,0,65849586.0,100306,100306,1.0,1/1,光学光电,3.86,259699807.0,6913313926.25,6927267319.2,65849586.0
20260720,002440.SZ,闰土股份,U,11.78,11.78,9.64,2,41073856.0,111742,140303,1.0,1/1,化学制品,10.6,1142729600.0,11148114061.84,13240718869.12,41073856.0
20260720,002490.SZ,山东墨龙,U,7.8,7.8,6.38,3,48361560.0,93112,102121,1.0,1/1,专用设备,10.08,423925808.0,4225431600.0,6223217520.0,48361560.0
20260720,002857.SZ,三晖电气,U,15.82,15.82,12.94,0,9368762.0,111036,111036,1.0,1/1,电网设备,4.35,86544394.0,2034217073.0,2066629880.0,9368762.0
20260720,002866.SZ,传艺科技,U,14.85,14.85,12.15,0,57673123.0,93000,93000,1.0,1/1,消费电子,4.25,114020658.0,2691005714.1,4299405501.6,57673123.0
20260720,002992.SZ,宝明科技,U,35.86,35.86,29.34,0,64672111.0,93318,93318,1.0,1/1,光学光电,0.88,48402732.0,5602590757.72,6485949251.1,64672111.0
20260720,300368.SZ,汇金股份,U,9.41,9.41,6.27,0,72808934.0,93909,93909,1.0,1/1,计算机设,9.74,468053440.0,4977358099.75,4977358071.52,72808934.0
20260720,300515.SZ,三德科技,U,14.86,14.86,9.9,0,40604727.0,93000,93000,1.0,1/1,通用设备,2.96,88809352.0,2998120536.5,3057511870.0,40604727.0
20260720,300534.SZ,陇神戎发,U,12.04,12.04,8.02,1,7313312.0,105045,145009,1.0,1/1,中药Ⅱ,37.4,1246240704.0,3636699915.52,3652273896.32,7313312.0
20260720,301190.SZ,善水科技,U,17.42,17.42,11.62,0,42712098.0,131733,131733,1.0,1/1,化学原料,8.85,207782761.0,2492871680.0,3738967830.0,42712098.0
20260720,600032.SH,浙江新能,U,7.78,7.78,6.36,0,787336.0,145520,145520,1.0,1/1,电力,3.98,707828880.0,18708374020.72,18708374051.84,787336.0
20260720,600121.SH,郑州煤电,U,3.76,3.76,3.08,1,47302819.0,94848,95009,1.0,1/1,煤炭开采,5.01,224588214.0,4581229262.88,4581229240.32,47302819.0
20260720,600126.SH,杭钢股份,U,6.23,6.23,5.09,2,139750126.0,93851,141506,1.0,1/1,普钢,5.21,1086264240.0,21039887987.09,21039888018.24,139750126.0
20260720,600188.SH,兖矿能源,U,20.79,20.79,17.01,4,48652861.0,131018,141836,1.0,1/1,煤炭开采,1.24,1507896688.0,123936508495.8,208666152414.72,48652861.0
20260720,600227.SH,赤天化,U,3.37,3.37,2.75,3,,150000,,,3/5,农化制品,22.97,940221920.0,4305511336.11,5691012281.6,
20260720,600236.SH,桂冠电力,U,11.68,11.68,9.56,12,20561635.0,110056,141523,2.0,2/2,电力,0.94,848869984.0,92066172727.36,92066171863.04,20561635.0
20260720,600267.SH,海正药业,U,12.45,12.45,10.19,4,4089576.0,95352,145301,1.0,1/1,化学制药,8.52,1228162416.0,14694387595.2,14694387595.2,4089576.0
20260720,600396.SH,华电辽能,U,12.82,12.82,10.49,0,74588042.0,144238,144238,1.0,1/1,电力,19.15,3422560128.0,18880101393.94,18880101381.12,74588042.0
