trade_date,verify_date,rank,ts_code,name,晋阶,stage_bonus,stage_risk_penalty,stage_adjustment,prob,Probability,p_limit_up_calibrated,rank_score,probability_is_calibrated,probability_semantics,model_contract_status,model_contract_reason,model_schema_version,_prob_src,prob_lr,prob_hgb,prob_lgbm,prob_rule,StrengthScore,ThemeBoost,board,final_score,raw_final_score,final_score_v2,intraday_available,intraday_status,intraday_missing_reason,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,intraday_confidence_score,risk_level,risk_label,regime_score,regime_smooth,regime_weight,regime_state,regime_E1,regime_E2,regime_E3,run_id,run_attempt,commit_sha,generated_at_utc,limit_times,advance_stage,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,up_stat,final_score_pre_stage,stage_adjustment_applied,prob_final,rank_v2,target_trade_date,name_fs,symbol,board_fs,area,market,list_date,open,high,low,close,pct_chg,pre_close_est,returns_1d,high_low_range,candle_body,gap_open,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,amihud_illiquidity,volatility_5d,volatility_10d,volatility_20d,atr,downside_vol,max_drawdown_20d,tail_risk_score,ret_2d,ret_5d,ret_10d,bid_ask_proxy,spread_proxy,total_mv,float_mv,pe_ttm,pb,north_money_market,south_money_market,hgt_market,sgt_market,market_regime,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,top_list_net_buy,top_net_rate,amount_rate,float_values,abnormal_volume,has_namechange_record,latest_change_reason,auction_vol,auction_price,auction_amount,auction_strength_score_fs,name_limit,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,intraday_available_limit,intraday_status_limit,intraday_missing_reason_limit,minute_freq,minute_rows,first_limit_time,last_limit_time,limit_touch_count,open_board_count_limit,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score_limit,reseal_score_limit,intraday_quality_score_limit,intraday_confidence_score_limit,intraday_risk_score_limit,intraday_soft_risk_score_limit,intraday_hard_risk_flag_limit,intraday_tag,auction_strength_score_limit,auction_amount_limit,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board_limit,board_rank_limit,board_limit_up_count_limit,is_st_like_limit,is_limit_up,break_count_proxy,limit_up_strength,signal_date,exec_date,exit_date,regime_name,requested_trade_date,p_fill_pred_rule,p_fill_pred_model,p_fill_pred_final,p_fill_pred,p_fill_model_loaded,p_fill_model_kind,p_fill_model_path,p_fill_model_feature_mode,p_fill_model_meta_path,p_fill_model_expected_n_features,p_fill_expected_categorical_cols,p_fill_expected_numeric_feature_count,p_fill_model_category_like_cols_detected,p_fill_model_actual_n_features,p_fill_missing_feature_count,p_fill_missing_feature_sample,p_fill_unexpected_feature_count,p_fill_unexpected_feature_sample,p_fill_categorical_feature_count_online,p_fill_categorical_feature_sample_online,p_fill_numeric_feature_count_online,p_fill_online_dtypes_sample,p_fill_pred_src,p_fill_degrade_reason,eret_pred_rule,eret_pred_rule_raw,eret_pred_model_raw,eret_pred_model_clipped,eret_pred_model,eret_pred_raw,e_ret_pred_raw,eret_pred_final,eret_pred,e_ret_pred,eret_clip_hit,e_ret_clip_hit,eret_clip_direction,e_ret_clip_direction,eret_clip_lower_hit,eret_clip_upper_hit,eret_model_loaded,eret_model_kind,eret_model_path,eret_model_feature_mode,eret_model_meta_path,eret_model_expected_n_features,eret_expected_categorical_cols,eret_expected_numeric_feature_count,eret_model_category_like_cols_detected,eret_model_acceptance_path,eret_model_acceptance_pass,eret_model_acceptance_anchor_trade_date,eret_model_independent_dates,eret_model_actual_n_features,eret_missing_feature_count,eret_missing_feature_sample,eret_unexpected_feature_count,eret_unexpected_feature_sample,eret_categorical_feature_count_online,eret_categorical_feature_sample_online,eret_numeric_feature_count_online,eret_online_dtypes_sample,eret_feature_missing_cell_count,eret_feature_missing_cell_ratio,e_ret_feature_missing_ratio,eret_feature_rows_with_missing_count,eret_feature_row_missing_ratio_mean,eret_feature_column_missing_ratio_max,eret_raw_min,eret_raw_max,eret_raw_mean,eret_raw_std,eret_final_min,eret_final_max,eret_final_mean,eret_final_std,eret_clip_hit_count,eret_clip_hit_rate,eret_negative_count,eret_negative_rate,eret_positive_count,eret_positive_rate,eret_pred_src,eret_degrade_reason,eret_regime_used,cost_base_bp,cost_slippage_bp,cost_impact_bp,cost_open_bp,cost_seal_bp,cost_amount_bp,cost_price_bp,cost_total_bp,cost_est,risk_regime_penalty,risk_open_penalty,risk_open_times_penalty,risk_volatility_penalty,risk_liquidity_penalty,risk_liquidity_amount_penalty,risk_extreme_turnover_penalty,risk_theme_penalty,risk_board_penalty,risk_seal_penalty,risk_st_penalty,risk_tail_penalty,risk_intraday_hard_penalty,risk_intraday_soft_penalty,risk_intraday_confidence_penalty,risk_intraday_missing_penalty,risk_late_withdraw_penalty,risk_reseal_weakness_penalty,risk_auction_weakness_penalty,intraday_execution_raw,intraday_execution_penalty,execution_fragility_primary,execution_fragility_support,execution_fragility_overlap,execution_fragility_raw,execution_fragility_penalty,crowding_primary,crowding_secondary,crowding_raw,crowding_penalty,st_penalty_effective,risk_total_penalty,risk_penalty,ev_base,pfill_penalty_soft,pfill_penalty_hard,pfill_penalty_extra,intraday_penalty_extra,intraday_ev_bonus,risk_penalty_extra,ev_penalty_total_extra,ev_final,ev_formula_version,ev_pred,input_mode,fs_degrade_reason,p_fill_pred_raw,p_fill_cap_hit,p_fill_clip_hit,p_fill_clip_direction,p_fill_cap_hit_rate,weight_exec,regime,risk_budget,version,generated_at_bjt
20260715,20260716,5,002365.SZ,永安药业,1→2,-0.022,0.001925,-0.023925,0.220596538304093,0.220596538304093,0.220596538304093,0.220596538304093,True,calibrated_probability,valid,contract=valid; ordered feature contract validated; prediction=ok,step5_core_features_v1,hgb,0.1778572367035913,0.220596538304093,0.2581113883063135,0.8186802561165706,72.744718,0.83,化学制药,0.339828,0.363753166659019,0.339828,1,ok,,0.778081,0.087028,0,0.0870284,0.0,0.564858,0.0,0.6318181818181816,1.0,低,健康涨停,0.53,0.53,0.918,neutral,72,0.0,0,29417000544,1,de414ca6282b7f1d177dfd8aee2fc994b95ddc66,2026-07-15T12:55:01Z,1.0,1→2,0.78,0.035,0.16,limit_list_d,1/1,0.363753166659019,True,0.220596538304093,5,20260716,,2365,化学制药,湖北,主板,20100305,11.22,11.98,11.0,11.98,10.0092,10.88999829105202,10.0092,0.0899908313856427,0.0697888080133555,0.0303031919866445,244031.18,284314.06416,9.9487,11.016,2.27,3.520473047850085e-05,0.0471751899461782,0.0401842910000425,0.0390025445199914,0.0558263479521988,0.0118194609223957,-0.1103265666372462,0.1611485720796334,0.1631067961165049,0.1552555448408872,0.1280602636534842,0.0818030050083472,0.0899908313856427,353029.635,,,,361519.21,54786.95,166377.5,195141.71,,9.0,1.0,1.0,1.0,9.0,0.0,,,,,,0.0,,566400.0,11.22,6355008.0,0.8774438812454743,,U,0.0,114056572.0,114056572.0,95048.0,95048.0,1.0,ok,,1min,241.0,09:51:00,15:00:00,1.0,0.0,1.419,0.0,,0.0129,0.0,31.0,0.0,56.4858,73.4457,70.0,8.25,8.25,0.0,neutral_limitup,0.8774438812454743,6355008.0,,,,,,11.98,9.8,1.0,1.0,9.0,0.0,1.0,0.0,2.509094208590628,20260715,20260716,,CAUTION,,0.3792918035123357,0.98,0.8833660636395525,0.8833660636395525,True,lgbm,/home/runner/work/top10-decision/top10-decision/models/pfill_lgbm.joblib,meta_feature_contract,/home/runner/work/top10-decision/top10-decision/models/pfill_meta.json,94,,94,symbol|market_regime,94,5,prior_prob_prior|open_times_t1__is_missing|prior_prob_prior__is_missing|prior_strength_score__is_missing|prior_theme_boost__is_missing,88,trade_date|verify_date|ts_code|name|晋阶|stage_bonus|stage_risk_penalty|stage_adjustment,0,,94,rank:int64|symbol:int64|list_date:int64|open:float64|high:float64|low:float64|close:float64|pct_chg:float64,model:lgbm,,0.01564405901088641,0.01564405901088641,,,,0.01564405901088641,0.01564405901088641,0.01564405901088641,0.01564405901088641,0.01564405901088641,0,0,,,0,0,False,,,,/home/runner/work/top10-decision/top10-decision/models/eret_meta.json,0,,0,,/home/runner/work/top10-decision/top10-decision/outputs/learning/learning_acceptance_latest.json,False,20260713,8,0,0,,0,,0,,0,,0,0.0,0.0,0,0.0,0.0,-0.001703248480717191,0.01564405901088641,0.008467206809400071,0.0029076157597076498,-0.001703248480717191,0.01564405901088641,0.008467206809400071,0.0029076157597076498,0,0.0,1,0.014084507042253521,70,0.9859154929577465,rule,model_rejected_by_learning_acceptance:model_meta_not_trained,CAUTION,0.0002,0.0005,6.820450000000001e-05,0.0,0.0,0.0004,0.0,0.0011682045000000001,0.0011682045000000001,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.00378230358973969,0.0,0.0005221704,0.0,0.0,0.0,0.0016781763636363636,0.0008099173553719018,0.0030102641190082654,0.0030102641190082654,0.0,0.0049576980892562,0.0,0.0049576980892562,0.0049576980892562,0.0,0.0,0.0,0.0,0.0,0.00874000167899589,0.00874000167899589,0.003911224648795711,0.0015857502180925285,0.0,0.0015857502180925285,0.003311290530909092,0.003406215908342502,0.010183334662325013,0.011769084880417542,-0.004451644323279328,v1_2_intraday_weighted,-0.004451644323279328,pred_plus_fs,,,,,,,,,,1,2026-07-15 23:02:51+0800
20260715,20260716,10,002517.SZ,恺英网络,1→2,-0.022,0.001925,-0.023925,0.1884109566156624,0.1884109566156624,0.1884109566156624,0.1884109566156624,True,calibrated_probability,valid,contract=valid; ordered feature contract validated; prediction=ok,step5_core_features_v1,hgb,0.150109714846397,0.1884109566156624,0.1778798175250855,0.6016816924067089,61.908492,0.0164,游戏Ⅱ,0.233041,0.2569661920925022,0.233041,1,ok,,0.735988,0.07,0,0.09,0.0,0.65,0.0,0.4115877080665811,1.0,低,健康涨停,0.53,0.53,0.918,neutral,72,0.0,0,29417000544,1,de414ca6282b7f1d177dfd8aee2fc994b95ddc66,2026-07-15T12:55:01Z,1.0,1→2,0.78,0.035,0.16,limit_list_d,1/1,0.2569661920925022,True,0.1884109566156624,10,20260716,,2517,游戏Ⅱ,福建,主板,20101207,15.52,17.18,15.43,17.18,9.9872,15.619999418114109,9.9872,0.1120358556461001,0.1062740116414435,-0.0064020116414436,1192051.11,1990256.49016,6.3102,7.048,1.47,5.01804669366867e-06,0.0528460950243566,0.0424309782384544,0.035176106661239,0.063266279814933,0.0141692576467929,-0.0965876229034123,0.1459329872114444,0.0724094881398251,0.0526960784313725,0.0784682988072817,0.1018626309662398,0.1120358556461001,3670409.5894,,,,361519.21,54786.95,166377.5,195141.71,,,,0.0,,,0.0,281344258.91,14.14,33.4,32454509042.14,33.4,0.0,,141500.0,15.52,2196080.0,0.7547067342505431,,U,0.0,95565468.0,95565468.0,130000.0,130000.0,1.0,ok,,1min,241.0,13:01:00,15:00:00,1.0,0.0,0.0,0.0,,0.038993,0.0,31.0,0.0,65.0,64.75,45.0,12.0,12.0,0.0,neutral_limitup,0.7547067342505431,2196080.0,,,,,,17.18,14.06,0.0,,,0.0,1.0,0.0,2.2170892818000256,20260715,20260716,,CAUTION,,0.36936230413098586,0.98,0.8719568743913105,0.8719568743913105,True,lgbm,/home/runner/work/top10-decision/top10-decision/models/pfill_lgbm.joblib,meta_feature_contract,/home/runner/work/top10-decision/top10-decision/models/pfill_meta.json,94,,94,symbol|market_regime,94,5,prior_prob_prior|open_times_t1__is_missing|prior_prob_prior__is_missing|prior_strength_score__is_missing|prior_theme_boost__is_missing,88,trade_date|verify_date|ts_code|name|晋阶|stage_bonus|stage_risk_penalty|stage_adjustment,0,,94,rank:int64|symbol:int64|list_date:int64|open:float64|high:float64|low:float64|close:float64|pct_chg:float64,model:lgbm,,0.012241245718568463,0.012241245718568463,,,,0.012241245718568463,0.012241245718568463,0.012241245718568463,0.012241245718568463,0.012241245718568463,0,0,,,0,0,False,,,,/home/runner/work/top10-decision/top10-decision/models/eret_meta.json,0,,0,,/home/runner/work/top10-decision/top10-decision/outputs/learning/learning_acceptance_latest.json,False,20260713,8,0,0,,0,,0,,0,,0,0.0,0.0,0,0.0,0.0,-0.001703248480717191,0.01564405901088641,0.008467206809400071,0.0029076157597076498,-0.001703248480717191,0.01564405901088641,0.008467206809400071,0.0029076157597076498,0,0.0,1,0.014084507042253521,70,0.9859154929577465,rule,model_rejected_by_learning_acceptance:model_meta_not_trained,CAUTION,0.0002,0.0005,5.914299999999999e-05,0.0,0.0,0.0004,0.0,0.0011591429999999998,0.0011591429999999998,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0033543652653218745,0.0,0.00054,0.0,0.0,0.0,0.0011363636363636363,0.0018109649633337222,0.0034873285996973587,0.0034873285996973587,0.0,0.005315496449773019,0.0,0.005315496449773019,0.005315496449773019,0.0,0.0,0.0,0.0,0.0,0.008669861715094894,0.008669861715094894,0.0008448336403240747,0.0019052075170433037,0.0,0.0019052075170433037,0.0038360614596670947,0.003143342080647887,0.010980671213766863,0.012885878730810166,-0.008897703009838203,v1_2_intraday_weighted,-0.008897703009838203,pred_plus_fs,,,,,,,,,,1,2026-07-15 23:02:51+0800
20260715,20260716,37,002786.SZ,银宝山新,1→2,-0.022,0.001925,-0.023925,0.130453266338064,0.130453266338064,0.130453266338064,0.130453266338064,True,calibrated_probability,valid,contract=valid; ordered feature contract validated; prediction=ok,step5_core_features_v1,hgb,0.1267111914790995,0.130453266338064,0.1287556609795243,0.5754246681810916,58.544449,0.01,专用设备,0.18525,0.2091754152058756,0.18525,1,ok,,0.802152,0.07,0,0.0765,0.0,0.65,0.0,0.7446793997271486,1.0,低,健康涨停,0.53,0.53,0.918,neutral,72,0.0,0,29417000544,1,de414ca6282b7f1d177dfd8aee2fc994b95ddc66,2026-07-15T12:55:01Z,1.0,1→2,0.78,0.035,0.16,limit_list_d,1/1,0.2091754152058756,True,0.130453266338064,37,20260716,,2786,专用设备,深圳,主板,20151223,7.69,8.06,7.55,8.06,9.9591,7.329998153859027,9.9591,0.0695770980148884,0.0504775024813895,0.0491134975186103,217954.48,171726.34056,4.411,6.9925,2.85,5.7994015172764704e-05,0.048369564543105,0.040962299973812,0.0352415869122579,0.0506817528999597,0.0180010282484236,-0.145734597156398,0.1989772123170796,0.1178918169209433,0.0675496688741723,0.0333333333333334,0.0632754342431762,0.0695770980148884,399463.272,,,,361519.21,54786.95,166377.5,195141.71,,,,0.0,,,0.0,,,,,,0.0,,237200.0,7.69,1824068.0,0.7308110065170167,,U,0.0,61346272.0,61346272.0,102703.0,102703.0,1.0,ok,,1min,241.0,10:28:00,15:00:00,1.0,0.0,0.0,0.0,,0.01248,0.0,31.0,0.0,65.0,70.15,57.0,10.2,10.2,0.0,neutral_limitup,0.7308110065170167,1824068.0,,,,,,8.06,6.6,0.0,,,0.0,1.0,0.0,2.139355966211446,20260715,20260716,,CAUTION,,0.38297525452960435,0.98,0.8946062480498289,0.8946062480498289,True,lgbm,/home/runner/work/top10-decision/top10-decision/models/pfill_lgbm.joblib,meta_feature_contract,/home/runner/work/top10-decision/top10-decision/models/pfill_meta.json,94,,94,symbol|market_regime,94,5,prior_prob_prior|open_times_t1__is_missing|prior_prob_prior__is_missing|prior_strength_score__is_missing|prior_theme_boost__is_missing,88,trade_date|verify_date|ts_code|name|晋阶|stage_bonus|stage_risk_penalty|stage_adjustment,0,,94,rank:int64|symbol:int64|list_date:int64|open:float64|high:float64|low:float64|close:float64|pct_chg:float64,model:lgbm,,0.011032485921102356,0.011032485921102356,,,,0.011032485921102356,0.011032485921102356,0.011032485921102356,0.011032485921102356,0.011032485921102356,0,0,,,0,0,False,,,,/home/runner/work/top10-decision/top10-decision/models/eret_meta.json,0,,0,,/home/runner/work/top10-decision/top10-decision/outputs/learning/learning_acceptance_latest.json,False,20260713,8,0,0,,0,,0,,0,,0,0.0,0.0,0,0.0,0.0,-0.001703248480717191,0.01564405901088641,0.008467206809400071,0.0029076157597076498,-0.001703248480717191,0.01564405901088641,0.008467206809400071,0.0029076157597076498,0,0.0,1,0.014084507042253521,70,0.9859154929577465,rule,model_rejected_by_learning_acceptance:model_meta_not_trained,CAUTION,0.0002,0.0005,0.000125615,0.0,0.0,0.0004,0.0,0.001225615,0.001225615,0.0,0.0,0.0,0.0,0.004876625000000001,0.006,0.0,0.0,0.0,0.0,0.0,0.004846234096417865,0.0,0.000459,0.0,0.0,0.0,0.0011363636363636363,0.0,0.0015953636363636363,0.0015953636363636363,0.0,0.006578666477272728,0.0,0.006578666477272728,0.006578666477272728,0.0,0.0,0.0,0.0,0.0,0.011424900573690593,0.011424900573690593,-0.0027807847371506527,0.001271025054604789,0.0,0.001271025054604789,0.0017549,0.003798653173440654,0.012919790513842585,0.014190815568447375,-0.013172947132157373,v1_2_intraday_weighted,-0.013172947132157373,pred_plus_fs,,,,,,,,,,1,2026-07-15 23:02:51+0800
20260715,20260716,23,000908.SZ,石药景峰,1→2,-0.022,0.001925,-0.023925,0.1514957572247644,0.1514957572247644,0.1514957572247644,0.1514957572247644,True,calibrated_probability,valid,contract=valid; ordered feature contract validated; prediction=ok,step5_core_features_v1,hgb,0.1249010303068229,0.1514957572247644,0.134304867819331,0.7344851234590053,58.157043,0.83,化学制药,0.262282,0.286207269903489,0.262282,1,ok,,0.729824,0.0924,0,0.0924,0.0,0.5379999999999999,0.0,0.3620234604105566,1.0,低,健康涨停,0.53,0.53,0.918,neutral,72,0.0,0,29417000544,1,de414ca6282b7f1d177dfd8aee2fc994b95ddc66,2026-07-15T12:55:01Z,1.0,1→2,0.78,0.035,0.16,limit_list_d,1/1,0.286207269903489,True,0.1514957572247644,23,20260716,,908,化学制药,湖南,主板,19990203,6.72,7.5,6.64,7.5,9.9707,6.819998417760367,9.9707,0.126099736,0.114369528,-0.0146625279999999,584345.37,424601.24765,6.642,8.8963,1.2,2.348250283103001e-05,0.0457289267287159,0.0560604664697453,0.0568815238910665,0.0952782677006831,0.0216291422741641,-0.140495867768595,0.2190065339338257,0.1029411764705883,0.0760401721664276,0.3204225352112677,0.1146666666666667,0.126099736,1319661.6,,,,361519.21,54786.95,166377.5,195141.71,,9.0,1.0,1.0,1.0,9.0,0.0,,,,,,1.0,其他,241600.0,6.72,1623552.0,0.7108979000724113,,U,0.0,70838580.0,70838580.0,95500.0,95500.0,1.0,ok,,1min,241.0,09:55:00,15:00:00,1.0,0.0,1.8667,0.0,,0.010187,0.0,31.0,0.0,53.8,72.64,70.0,8.25,8.25,0.0,neutral_limitup,0.7108979000724113,1623552.0,,,,,,7.5,6.14,1.0,1.0,9.0,0.0,1.0,0.0,2.4109189676749523,20260715,20260716,,CAUTION,,0.3791915391083178,0.98,0.8728475819360523,0.8728475819360523,True,lgbm,/home/runner/work/top10-decision/top10-decision/models/pfill_lgbm.joblib,meta_feature_contract,/home/runner/work/top10-decision/top10-decision/models/pfill_meta.json,94,,94,symbol|market_regime,94,5,prior_prob_prior|open_times_t1__is_missing|prior_prob_prior__is_missing|prior_strength_score__is_missing|prior_theme_boost__is_missing,88,trade_date|verify_date|ts_code|name|晋阶|stage_bonus|stage_risk_penalty|stage_adjustment,0,,94,rank:int64|symbol:int64|list_date:int64|open:float64|high:float64|low:float64|close:float64|pct_chg:float64,model:lgbm,,0.013064979053789116,0.013064979053789116,,,,0.013064979053789116,0.013064979053789116,0.013064979053789116,0.013064979053789116,0.013064979053789116,0,0,,,0,0,False,,,,/home/runner/work/top10-decision/top10-decision/models/eret_meta.json,0,,0,,/home/runner/work/top10-decision/top10-decision/outputs/learning/learning_acceptance_latest.json,False,20260713,8,0,0,,0,,0,,0,,0,0.0,0.0,0,0.0,0.0,-0.001703248480717191,0.01564405901088641,0.008467206809400071,0.0029076157597076498,-0.001703248480717191,0.01564405901088641,0.008467206809400071,0.0029076157597076498,0,0.0,1,0.014084507042253521,70,0.9859154929577465,rule,model_rejected_by_learning_acceptance:model_meta_not_trained,CAUTION,0.0002,0.0005,4.752999999999998e-05,0.0,0.0,0.0004,0.0,0.0011475300000000001,0.0011475300000000001,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.005409558766888848,0.0,0.0005544,0.0,0.0,0.0,0.0018490909090909094,0.0020362569981338336,0.004439747907224743,0.004439747907224743,0.0,0.006029810930418557,0.0,0.006029810930418557,0.006029810930418557,0.0,0.0,0.0,0.0,0.0,0.011439369697307404,0.011439369697307404,-0.001183164322162403,0.0018802677057905349,0.0,0.0018802677057905349,0.004883722697947218,0.0028814122512908756,0.013881778352591325,0.01576204605838186,-0.014063798129253388,v1_2_intraday_weighted,-0.014063798129253388,pred_plus_fs,,,,,,,,,,1,2026-07-15 23:02:51+0800
20260715,20260716,32,001317.SZ,三羊马,1→2,-0.022,0.001925,-0.023925,0.136257444622738,0.136257444622738,0.136257444622738,0.136257444622738,True,calibrated_probability,valid,contract=valid; ordered feature contract validated; prediction=ok,step5_core_features_v1,hgb,0.1459610948856449,0.136257444622738,0.1292751932163715,0.6023664736767955,61.416041,0.01,铁路公路,0.195057,0.2189815240051474,0.195057,1,ok,,0.746295,0.081514,0,0.081514,0.0,0.5924320000000001,0.0,0.4835989661856555,1.0,低,健康涨停,0.53,0.53,0.918,neutral,72,0.0,0,29417000544,1,de414ca6282b7f1d177dfd8aee2fc994b95ddc66,2026-07-15T12:55:01Z,1.0,1→2,0.78,0.035,0.16,limit_list_d,1/1,0.2189815240051474,True,0.136257444622738,32,20260716,,1317,铁路公路,重庆,主板,20211130,46.69,51.07,45.75,51.07,9.9935,46.43001631914613,9.9935,0.1145810495398472,0.094335525748972,0.0055994742510279,59134.89,292120.53381,6.9179,16.7372,0.88,3.4210193544627495e-05,0.0398499255241776,0.0619028024972198,0.0515051967157395,0.0778716890397798,0.0268604173696606,-0.153612497287915,0.2319781113733153,0.1437849944008959,0.1691849816849817,0.2757931551336496,0.1041707460348541,0.1145810495398472,436984.5406,,,,361519.21,54786.95,166377.5,195141.71,,,,0.0,,,0.0,,,,,,0.0,,69900.0,46.69,3263631.0,0.809739319333816,,U,0.0,85839885.0,85839885.0,100227.0,100227.0,1.0,ok,,1min,241.0,10:03:00,15:00:00,1.0,0.0,0.9595,0.0,,0.007627,0.0,31.0,0.0,59.2432,68.423,57.0,10.2,10.2,0.0,neutral_limitup,0.809739319333816,3263631.0,,,,,,51.07,41.79,0.0,,,0.0,1.0,0.0,2.194996366097917,20260715,20260716,,CAUTION,,0.37644898930609566,0.98,0.8437426516797715,0.8437426516797715,True,lgbm,/home/runner/work/top10-decision/top10-decision/models/pfill_lgbm.joblib,meta_feature_contract,/home/runner/work/top10-decision/top10-decision/models/pfill_meta.json,94,,94,symbol|market_regime,94,5,prior_prob_prior|open_times_t1__is_missing|prior_prob_prior__is_missing|prior_strength_score__is_missing|prior_theme_boost__is_missing,88,trade_date|verify_date|ts_code|name|晋阶|stage_bonus|stage_risk_penalty|stage_adjustment,0,,94,rank:int64|symbol:int64|list_date:int64|open:float64|high:float64|low:float64|close:float64|pct_chg:float64,model:lgbm,,0.010520053098147162,0.010520053098147162,,,,0.010520053098147162,0.010520053098147162,0.010520053098147162,0.010520053098147162,0.010520053098147162,0,0,,,0,0,False,,,,/home/runner/work/top10-decision/top10-decision/models/eret_meta.json,0,,0,,/home/runner/work/top10-decision/top10-decision/outputs/learning/learning_acceptance_latest.json,False,20260713,8,0,0,,0,,0,,0,,0,0.0,0.0,0,0.0,0.0,-0.001703248480717191,0.01564405901088641,0.008467206809400071,0.0029076157597076498,-0.001703248480717191,0.01564405901088641,0.008467206809400071,0.0029076157597076498,0,0.0,1,0.014084507042253521,70,0.9859154929577465,rule,model_rejected_by_learning_acceptance:model_meta_not_trained,CAUTION,0.0002,0.0005,3.787349999999998e-05,0.0,0.0,0.0004,0.0,0.0011378735,0.0011378735,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.005774384382374494,0.0,0.000489084,0.0,0.0,0.0,0.001502705454545454,0.0014836410627924752,0.0034754305173379293,0.0034754305173379293,0.0,0.0053065728880034475,0.0,0.0053065728880034475,0.0053065728880034475,0.0,0.0,0.0,0.0,0.0,0.011080957270377941,0.011080957270377941,-0.003342613273535259,0.0026952057529663976,0.0,0.0026952057529663976,0.0038229735690717224,0.003162751243425719,0.012044991295544726,0.014740197048511122,-0.014920059078620661,v1_2_intraday_weighted,-0.014920059078620661,pred_plus_fs,,,,,,,,,,1,2026-07-15 23:02:51+0800
