trade_date,verify_date,rank,ts_code,name,prob,StrengthScore,ThemeBoost,board,run_id,run_attempt,commit_sha,generated_at_utc,target_trade_date,Probability,signal_date,exec_date,exit_date,p_fill_pred,e_ret_pred,cost_est,risk_penalty,ev_pred,weight_exec,regime,risk_budget,version,generated_at_bjt
20260305,20260306,1,002195.SZ,岩山科技,0.9596130943074548,46.681159,0.4401210427490234,软件服务,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.9596130943074548,20260305,20260306,,0.35,0.03410875595747072,0.0008,0.0,0.01113806458511475,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,2,300323.SZ,华灿光电,0.9259621251568328,49.753623,0.6230854212758787,半导体,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.9259621251568328,20260305,20260306,,0.35,0.033648120018532617,0.0008,0.0,0.010976842006486414,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,3,601179.SH,中国西电,0.8889574211127131,39.608696,0.8746272018253463,电气设备,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.8889574211127131,20260305,20260306,,0.35,0.03329260423885744,0.0008,0.0,0.010852411483600102,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,4,600875.SH,东方电气,0.876874160880969,52.884058,0.8746272018253463,电气设备,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.876874160880969,20260305,20260306,,0.35,0.03293010643190511,0.0008,0.0,0.010725537251166787,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,5,601727.SH,上海电气,0.8596614675492508,43.681159,0.7946272018253463,电气设备,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.8596614675492508,20260305,20260306,,0.35,0.03217372563195356,0.0008,0.0,0.010460803971183744,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,6,600545.SH,卓郎智能,0.8486736291457009,90.188406,0.3401553699246989,纺织机械,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.8486736291457009,20260305,20260306,,0.35,0.030480674984145126,0.0008,0.0,0.009868236244450794,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,7,300303.SZ,聚飞光电,0.8469602030622525,33.173913,0.7030854212758787,半导体,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.8469602030622525,20260305,20260306,,0.35,0.031518062355695216,0.0008,0.0,0.010231321824493324,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,8,002429.SZ,兆驰股份,0.8340829798034433,75.057971,0.0,家用电器,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.8340829798034433,20260305,20260306,,0.35,0.029022489394103297,0.0008,0.0,0.009357871287936153,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,9,000533.SZ,顺钠股份,0.8322075665294668,83.73913,0.8746272018253463,电气设备,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.8322075665294668,20260305,20260306,,0.35,0.031590108601360044,0.0008,0.0,0.010256538010476015,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,10,002498.SZ,汉缆股份,0.7997681982686866,71.724638,0.8746272018253463,电气设备,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.7997681982686866,20260305,20260306,,0.35,0.030616927553536635,0.0008,0.0,0.009915924643737821,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,11,600703.SH,三安光电,0.7501774674056684,59.057971,0.7030854212758787,半导体,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.7501774674056684,20260305,20260306,,0.35,0.028614580285997684,0.0008,0.0,0.009215103100099188,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,12,300895.SZ,铜牛信息,0.6916099756730268,31.086957,0.4401210427490234,软件服务,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.6916099756730268,20260305,20260306,,0.35,0.026068662398437876,0.0008,0.0,0.008324031839453256,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,13,605268.SH,王力安防,0.6782167206403199,84.797101,0.08,家居用品,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.6782167206403199,20260305,20260306,,0.35,0.024586501619209597,0.0008,0.0,0.007805275566723358,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,14,000509.SZ,华塑控股,0.616240231221874,67.768116,1.0,元器件,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.616240231221874,20260305,20260306,,0.35,0.02548720693665622,0.0008,0.0,0.008120522427829676,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,15,000920.SZ,沃顿科技,0.6097694354060755,68.594203,0.0,塑料,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.6097694354060755,20260305,20260306,,0.35,0.022293083062182265,0.0008,0.0,0.007002579071763792,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,16,002520.SZ,日发精机,0.5041382332051333,55.637681,0.1069133379015616,机床制造,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.5041382332051333,20260305,20260306,,0.35,0.01944488700985868,0.0008,0.0,0.006005710453450538,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,17,600744.SH,华银电力,0.4986446427186189,46.289855,0.0,火力发电,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.4986446427186189,20260305,20260306,,0.35,0.018959339281558567,0.0008,0.0,0.005835768748545498,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,18,300269.SZ,联建光电,0.4966390706828272,41.130435,1.0,元器件,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.4966390706828272,20260305,20260306,,0.35,0.021899172120484815,0.0008,0.0,0.006864710242169684,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,19,600828.SH,茂业商业,0.3091440831701945,58.043478,0.0,百货,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.3091440831701945,20260305,20260306,,0.35,0.013274322495105835,0.0008,0.0,0.0038460128732870423,,,,1,2026-03-05 22:06:45+0800
