ts_code,trade_date,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag
000004.SZ,20260703,1min,241,1,09:51:00,15:00:00,14,14,4.4444,14,3.7857,90.8571,0.0,0.058813,0.0,28,12.0,0.0,22.0,55.2857,high_open_board_risk
000506.SZ,20260703,1min,241,1,09:31:00,15:00:00,1,0,2.6676,0,,0.0,48.9942,0.02526,0.0,31,0.0,70.0,71.1983,8.25,neutral_limitup
000576.SZ,20260703,1min,241,1,09:42:00,15:00:00,1,0,2.8256,0,,0.0,48.0467,0.028861,0.0,31,0.0,70.0,70.914,8.25,neutral_limitup
000595.SZ,20260703,1min,241,1,09:30:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.007639,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
000656.SZ,20260703,1min,241,1,09:30:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.013866,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
000908.SZ,20260703,1min,241,1,09:35:00,15:00:00,4,2,6.8314,2,144.0,20.0,7.0116,0.020789,0.0,31,0.0,54.0,51.4035,42.3,weak_limitup
000975.SZ,20260703,1min,241,1,09:31:00,15:00:00,3,3,2.4698,3,2.6667,91.6667,46.2648,0.01462,0.0,31,0.0,58.3333,65.1294,31.4333,high_open_board_risk
001268.SZ,20260703,1min,241,1,11:13:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.007659,0.0,31,0.0,45.0,64.75,12.0,neutral_limitup
001270.SZ,20260703,1min,241,1,09:34:00,15:00:00,1,0,2.1185,0,,0.0,52.2888,0.028016,0.0,31,0.0,70.0,72.1866,8.25,neutral_limitup
001306.SZ,20260703,1min,241,1,09:37:00,15:00:00,2,0,4.8665,0,,0.0,35.8011,0.010512,0.0,31,0.0,70.0,67.2403,8.25,neutral_limitup
001317.SZ,20260703,1min,241,1,09:34:00,15:00:00,1,0,0.2891,0,,0.0,63.2655,0.016232,0.0,31,0.0,70.0,75.4797,8.25,healthy_limitup
001337.SZ,20260703,1min,241,1,09:34:00,15:00:00,1,0,0.9464,0,,0.0,59.3218,0.029412,0.0,31,0.0,70.0,74.2965,8.25,neutral_limitup
001400.SZ,20260703,1min,241,1,11:09:00,15:00:00,3,1,2.38,1,114.0,20.0,45.72,0.012223,0.0,31,0.0,39.0,56.266,36.85,neutral_limitup
002067.SZ,20260703,1min,241,1,09:34:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.013057,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
002072.SZ,20260703,1min,241,1,09:44:00,15:00:00,4,9,2.6971,9,1.5556,97.2222,0.0,0.04529,0.0,30,12.0,0.0,22.0,53.6944,high_open_board_risk
002090.SZ,20260703,1min,241,1,10:29:00,15:00:00,1,0,1.2513,0,,0.0,57.4922,0.013234,0.0,31,0.0,57.0,67.8977,10.2,neutral_limitup
002141.SZ,20260703,1min,241,1,11:08:00,15:00:00,5,6,1.3619,6,5.3333,84.6667,14.4621,0.025502,0.0,31,0.0,1.9333,30.2086,53.5433,high_open_board_risk
002148.SZ,20260703,1min,241,1,09:30:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.026205,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
002249.SZ,20260703,1min,241,1,09:46:00,15:00:00,1,0,1.9208,0,,0.0,53.4754,0.017814,0.0,31,0.0,70.0,72.5426,8.25,neutral_limitup
002270.SZ,20260703,1min,241,1,10:23:00,15:00:00,1,0,0.6455,0,,0.0,61.1271,0.017449,0.0,31,0.0,57.0,68.9881,10.2,neutral_limitup
002283.SZ,20260703,1min,241,1,13:03:00,15:00:00,1,0,0.7813,0,,0.0,60.3125,0.009378,0.0,31,0.0,45.0,63.3438,12.0,neutral_limitup
002292.SZ,20260703,1min,241,1,09:30:00,15:00:00,1,0,1.6818,0,,0.0,54.9094,0.014914,0.0,31,0.0,70.0,72.9728,8.25,neutral_limitup
002294.SZ,20260703,1min,241,1,14:35:00,15:00:00,1,0,0.0499,0,,0.0,64.7006,0.084423,0.0,26,12.0,17.0,49.0602,19.2,weak_limitup
002353.SZ,20260703,1min,241,1,10:45:00,15:00:00,2,2,0.9848,2,1.0,100.0,70.0914,0.015951,0.0,31,0.0,57.0,71.6774,21.85,neutral_limitup
002377.SZ,20260703,1min,241,1,13:16:00,15:00:00,3,2,4.5614,2,3.0,90.0,45.1316,0.016953,0.0,31,0.0,43.0,57.8895,26.45,neutral_limitup
002396.SZ,20260703,1min,241,1,09:30:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.042886,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
002434.SZ,20260703,1min,241,1,10:00:00,15:00:00,1,0,1.4993,0,,0.0,56.0045,0.010434,0.0,31,0.0,70.0,73.3013,8.25,neutral_limitup
002471.SZ,20260703,1min,241,1,09:34:00,15:00:00,2,1,0.9217,1,2.0,95.0,80.72,0.014997,0.0,31,0.0,79.0,84.766,12.1,healthy_limitup
002472.SZ,20260703,1min,241,1,10:30:00,15:00:00,2,1,2.1485,1,51.0,20.0,47.1091,0.013361,0.0,31,0.0,51.0,62.0827,35.05,neutral_limitup
002496.SZ,20260703,1min,241,1,14:07:00,15:00:00,2,3,0.8969,3,5.6667,83.3333,52.7855,0.070208,0.0,28,24.0,25.6667,46.3857,44.4167,high_open_board_risk
002520.SZ,20260703,1min,241,1,09:36:00,15:00:00,1,0,4.1451,0,,0.0,40.1295,0.025306,0.0,31,0.0,70.0,68.5389,8.25,neutral_limitup
002536.SZ,20260703,1min,241,1,09:42:00,15:00:00,2,0,3.368,0,,0.0,44.7921,0.013076,0.0,31,0.0,70.0,69.9376,8.25,neutral_limitup
002623.SZ,20260703,1min,241,1,10:58:00,15:00:00,1,0,3.4985,0,,0.0,44.0087,0.021453,0.0,31,0.0,57.0,63.8526,10.2,neutral_limitup
002635.SZ,20260703,1min,241,1,09:49:00,15:00:00,1,0,3.7671,0,,0.0,42.3973,0.028265,0.0,31,0.0,70.0,69.2192,8.25,neutral_limitup
002664.SZ,20260703,1min,241,1,11:19:00,15:00:00,1,0,1.6097,0,,0.0,55.3421,0.039515,0.0,31,0.0,45.0,61.8526,12.0,neutral_limitup
002677.SZ,20260703,1min,241,1,09:32:00,15:00:00,1,0,5.4575,0,,0.0,32.2552,0.033844,0.0,31,0.0,70.0,66.1766,8.25,neutral_limitup
002700.SZ,20260703,1min,241,1,09:53:00,15:00:00,1,0,1.0479,0,,0.0,58.7126,0.005471,0.0,31,0.0,70.0,74.1138,8.25,neutral_limitup
002715.SZ,20260703,1min,241,1,14:11:00,15:00:00,1,0,0.6789,0,,0.0,60.9267,0.125065,0.0,31,0.0,45.0,63.528,12.0,neutral_limitup
002747.SZ,20260703,1min,241,1,09:35:00,15:00:00,2,1,6.5446,1,27.0,38.0,27.0326,0.006199,0.0,31,0.0,67.6,63.5298,28.06,neutral_limitup
002765.SZ,20260703,1min,241,1,09:51:00,15:00:00,1,0,2.7813,0,,0.0,48.3123,0.011426,0.0,31,0.0,70.0,70.9937,8.25,neutral_limitup
002767.SZ,20260703,1min,241,1,13:51:00,15:00:00,1,0,0.4435,0,,0.0,62.3392,0.018285,0.0,31,0.0,45.0,63.9518,12.0,neutral_limitup
002771.SZ,20260703,1min,241,1,10:01:00,15:00:00,2,1,4.1817,1,34.0,31.0,38.7599,0.004503,0.0,31,0.0,53.2,60.568,31.97,neutral_limitup
002850.SZ,20260703,1min,241,1,10:18:00,15:00:00,1,0,0.4024,0,,0.0,62.5858,0.01097,0.0,31,0.0,57.0,69.4257,10.2,neutral_limitup
002868.SZ,20260703,1min,241,1,09:38:00,15:00:00,1,0,1.6362,0,,0.0,55.1826,0.013438,0.0,31,0.0,70.0,73.0548,8.25,neutral_limitup
