signal_date,buy_date,target_exit_date,actual_exit_date,exit_delay_days,ts_code,name,industry,stage,source_rank,d_close,buy_open,auction_vwap,auction_amount,auction_truth_source,exit_open,actual_buy_gap,gross_return,net_return,profit_hit,big_loss_hit,continuation_limit_up_hit,exit_on_time,market_fill,public_market_buyable,actual_order_fill_observed,actual_order_fill,mechanism_limit_pct,fill_reason,exit_reason,exit_policy_version,take_profit_pct,stop_loss_pct,latest_exit_time,history_source,history_contract_version,prior_probability,strength_score,theme_boost,final_score,intraday_quality,intraday_risk,intraday_hard_risk,auction_strength,intraday_confidence,stage_quality,stage_risk,stage_prior,limit_times,open_board_count,reseal_score,late_withdraw,d_return,d_range,d_turnover_proxy,d_amount_log,limit_open_times,limit_first_time_minutes,limit_last_time_minutes,limit_fd_amount_log,limit_seal_to_amount,limit_seal_to_float_mv,d_turnover_rate,d_volume_ratio,d_float_mv_log,order_to_d_amount,order_to_float_mv,is_hot_board,board_rank,board_limit_up_count,d_amount_percentile,market_median_return,market_up_ratio,market_return_dispersion,market_equal_weight_return,market_down_ratio,market_strong_up_ratio,market_strong_down_ratio,market_limit_up_count_log,market_limit_down_count_log,market_limit_up_down_log_ratio,market_failed_limit_up_rate,market_reseal_rate,market_prev_limit_up_mean_return,market_prev_limit_up_positive_rate,market_prev_limit_up_open_gap_mean,market_focus_promotion_rate,market_limit_up_industry_concentration,market_limit_up_amount_top3_share,market_amount_ratio_5d,market_sentiment_score,market_sentiment_delta,market_sentiment_coverage,market_sentiment_acceleration,market_sentiment_regime_code,market_sentiment_regime_label,market_sentiment_breadth_score,market_sentiment_limit_ecology_score,market_sentiment_promotion_score,market_sentiment_profit_effect_score,market_sentiment_liquidity_score,market_eligible_stock_count,market_limit_up_count,market_limit_down_count,market_touched_up_count,market_failed_limit_up_count,market_reseal_count,market_prev_limit_up_sample,market_2_to_3_promotion_rate,market_2_to_3_promotion_samples,market_3_to_4_promotion_rate,market_3_to_4_promotion_samples,market_focus_promotion_samples,market_max_streak,relative_d_return,minute_available,minute_realized_vol,minute_first_30m_return,minute_last_30m_return,minute_vwap_deviation,minute_opening_volume_share,minute_closing_volume_share,minute_close_location,limit_ratio,proposed_gap,path_days_observed,path_data_coverage,path_strength_latest,path_strength_delta,path_gap_slope,path_first_seal_slope,path_open_times_slope,path_turnover_slope,path_amount_log_slope,path_seal_ratio_slope,path_one_price_ratio,path_weak_to_strong,path_strong_to_weak,path_acceleration_consensus,path_divergence_reseal,path_label_code,path_label,path_explanation,five_year_pre_streak_1d_return,five_year_pre_streak_3d_return,five_year_pre_streak_volatility,five_year_pre_streak_limit_up_count,five_year_recent_limit_up_count,five_year_days_since_prior_limit_up,five_year_streak_runup,five_year_price_log,five_year_stock_prior_rate,five_year_stock_prior_samples_log,stage_pool_size,focus_pool_size,market_max_limit_times,same_industry_stage_count,stage_pool_share,stage_recent_promotion_rate,stage_recent_promotion_samples,five_year_stage_board_prior_rate,five_year_stage_prior_rate,five_year_recent_20d_rate,five_year_recent_60d_rate,five_year_prior_samples_log,five_year_recent_60d_samples_log,five_year_regime_delta,five_year_board_stage_delta,backfill_generated_at_utc
20260826,20260827,20260828,20260828,0,000017.SZ,深中华A,饰品,5→6,1.0,9.46,9.8,9.59,72111488.0,tushare_stk_auction_o,11.35,0.03594080338266381,0.15816326530612246,0.15366326530612245,1,0,1,1,0,0,0,,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,5.0,2.0,,,0.10000000000000009,0.11279069767441868,0.07209302325581407,13.776592244553182,2.0,600.4,602.4,17.930289051436247,0.06366900285917151,0.014684908273620439,0.241085,4.22,22.151223995961054,0.00010396866354537767,2.3979805225971826e-05,,,,0.9289706147467099,0.001577,0.5310978907517577,0.024062417738724248,0.0055004774294670844,0.35987460815047023,0.03605015673981191,0.006269592476489028,3.9889840465642745,1.3862943611198906,2.6026896854443837,0.38372093023255816,0.5714285714285714,0.02510483333333333,0.6212121212121212,0.016776525677257452,0.3333333333333333,0.04206580591420241,0.3337330965980972,0.9201808344871895,0.5599396301966801,0.022301293130192468,1.0,-0.05509634306348821,NEUTRAL,震荡,0.6134774694357367,0.7254808697877474,0.3333333333333333,0.6991138484848484,0.3403616689743789,3190.0,53.0,3.0,86.0,33.0,28.0,66.0,0.25,4.0,0.5,2.0,6.0,5.0,0.0984230000000001,0.0,,,,,,,,0.10000000000000009,0.03594080338266381,4.0,1.0,0.6530473685381023,-0.24695263146189772,-0.02423740610075124,11.799999999999992,0.3333333333333333,0.048928,0.3948787728414847,-0.023884633127210775,0.25,0.0,0.0,0.0,1.0,DIVERGENCE_RESEAL,分歧回封,路径强度0.90→0.65；竞价斜率-2.42pct/板；首封每板推迟12分钟；炸板变化+0.3/板,,,,,,,,,,,1.0,11.0,5.0,1.0,0.02040816326530612,0.0,1.0,,,,,,,,,2026-09-13T07:37:40+00:00
20260826,20260827,20260828,20260828,0,003040.SZ,楚天龙,通信设备,4→5,2.0,17.03,17.88,17.68,136227133.44,tushare_stk_auction_o,19.55,0.04991192014092771,0.09340044742729292,0.08890044742729292,1,0,1,1,0,0,0,,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,4.0,8.0,,,0.10012919896640837,0.14018087855297168,0.10012919896640832,14.38627039307623,8.0,626.25,664.45,17.364465771533418,0.01965233009286068,0.004469954792057926,0.238013,3.18,22.77484272694866,5.650962130551963e-05,1.2853206279277251e-05,,,,0.9650261402559942,0.001577,0.5310978907517577,0.024062417738724248,0.0055004774294670844,0.35987460815047023,0.03605015673981191,0.006269592476489028,3.9889840465642745,1.3862943611198906,2.6026896854443837,0.38372093023255816,0.5714285714285714,0.02510483333333333,0.6212121212121212,0.016776525677257452,0.3333333333333333,0.04206580591420241,0.3337330965980972,0.9201808344871895,0.5599396301966801,0.022301293130192468,1.0,-0.05509634306348821,NEUTRAL,震荡,0.6134774694357367,0.7254808697877474,0.3333333333333333,0.6991138484848484,0.3403616689743789,3190.0,53.0,3.0,86.0,33.0,28.0,66.0,0.25,4.0,0.5,2.0,6.0,5.0,0.09855219896640838,0.0,,,,,,,,0.10012919896640837,0.04991192014092771,4.0,1.0,0.4344097835606126,-0.5220196168262348,-0.02436228145600457,18.73333333333335,2.0,0.056607,0.49766101647453215,-0.06599478009266155,0.0,0.0,1.0,0.0,0.0,STRONG_TO_WEAK,强转弱,路径强度0.96→0.43；竞价斜率-2.44pct/板；首封每板推迟19分钟；炸板变化+2.0/板,,,,,,,,,,,1.0,11.0,5.0,1.0,0.02040816326530612,1.0,2.0,,,,,,,,,2026-09-13T07:37:40+00:00
20260826,20260827,20260828,20260828,0,002084.SZ,海鸥住工,家居用品,3→4,3.0,4.79,5.27,5.27,4293511.04,tushare_stk_auction_o,5.8,0.10020876826722325,0.10056925996204935,0.09606925996204935,1,0,1,1,0,0,0,,10.0,opening_auction_limit_up_unconfirmed,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,3.0,0.0,,,0.10114942528735638,0.0,0.0,9.67656068474702,0.0,565.0,565.0,19.606261449798456,20.532484479013533,0.10598444698588383,0.005162,0.16,21.850724369250354,0.006274084248779737,3.238552792427155e-05,,,,0.04813412655489454,0.001577,0.5310978907517577,0.024062417738724248,0.0055004774294670844,0.35987460815047023,0.03605015673981191,0.006269592476489028,3.9889840465642745,1.3862943611198906,2.6026896854443837,0.38372093023255816,0.5714285714285714,0.02510483333333333,0.6212121212121212,0.016776525677257452,0.3333333333333333,0.04206580591420241,0.3337330965980972,0.9201808344871895,0.5599396301966801,0.022301293130192468,1.0,-0.05509634306348821,NEUTRAL,震荡,0.6134774694357367,0.7254808697877474,0.3333333333333333,0.6991138484848484,0.3403616689743789,3190.0,53.0,3.0,86.0,33.0,28.0,66.0,0.25,4.0,0.5,2.0,6.0,5.0,0.09957242528735638,0.0,,,,,,,,0.10114942528735638,0.10020876826722325,3.0,1.0,1.0,0.0,0.0004354368776614548,0.0,0.0,-0.0012080000000000003,-0.09559792136786527,4.145021139722528,1.0,0.0,0.0,0.0,0.0,STABLE_STRONG,持续强势,路径强度1.00→1.00；竞价斜率+0.04pct/板；首封每板推迟0分钟；炸板变化+0.0/板,,,,0.0,3.0,6.0,,1.7561322915849038,,,1.0,11.0,5.0,1.0,0.02040816326530612,0.5,6.0,,,,,,,,,2026-09-13T07:37:40+00:00
20260826,20260827,20260828,20260828,0,600103.SH,青山纸业,造纸,2→3,4.0,3.47,3.72,3.71,92313149.44,tushare_stk_auction_o,4.2,0.07204610951008639,0.12903225806451624,0.12453225806451623,1,0,1,1,1,1,0,,10.0,market_proxy_buyable,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,1.0,,,0.10158730158730167,0.09523809523809533,0.08571428571428573,13.535360009581312,1.0,575.7333333333333,576.5333333333333,18.638041591617903,0.1644625503323561,0.016188977406113827,0.10177199999999999,2.63,22.761466259057492,0.00013233307595785168,1.3026291836249882e-05,,,,0.9062556336758608,0.001577,0.5310978907517577,0.024062417738724248,0.0055004774294670844,0.35987460815047023,0.03605015673981191,0.006269592476489028,3.9889840465642745,1.3862943611198906,2.6026896854443837,0.38372093023255816,0.5714285714285714,0.02510483333333333,0.6212121212121212,0.016776525677257452,0.3333333333333333,0.04206580591420241,0.3337330965980972,0.9201808344871895,0.5599396301966801,0.022301293130192468,1.0,-0.05509634306348821,NEUTRAL,震荡,0.6134774694357367,0.7254808697877474,0.3333333333333333,0.6991138484848484,0.3403616689743789,3190.0,53.0,3.0,86.0,33.0,28.0,66.0,0.25,4.0,0.5,2.0,6.0,5.0,0.10001030158730168,0.0,,,,,,,,0.10158730158730167,0.07204610951008639,2.0,1.0,0.7260378787878791,-0.021104585929285657,0.01587301587301604,-9.883333333333326,1.0,0.02667799999999998,0.3864282650577344,0.09854374517905419,0.0,0.0,0.0,0.0,1.0,DIVERGENCE_RESEAL,分歧回封,路径强度0.75→0.73；竞价斜率+1.59pct/板；首封每板提前10分钟；炸板变化+1.0/板,-0.00694444444444442,0.014184397163120588,0.01011360676115695,0.0,2.0,6.0,0.21328671328671334,1.4973884086254774,,,10.0,11.0,5.0,1.0,0.20408163265306123,0.3181818181818182,22.0,,,,,,,,,2026-09-13T07:37:40+00:00
20260826,20260827,20260828,20260828,0,002703.SZ,浙江世宝,汽车零部件,2→3,5.0,17.46,17.25,17.29,99547115.52,tushare_stk_auction_o,17.01,-0.012027491408934776,-0.013913043478260723,-0.018413043478260723,0,0,0,1,0,0,0,,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,3.0,,,0.10018903591682427,0.07624448645242601,0.04158790170132326,14.05405953324257,3.0,571.2,582.7,18.594270489196873,0.0937106394297145,0.011625498446146357,0.12542299999999998,1.55,23.04882493222824,7.877707229233277e-05,9.772878907878604e-06,,,,0.9480800432666306,0.001577,0.5310978907517577,0.024062417738724248,0.0055004774294670844,0.35987460815047023,0.03605015673981191,0.006269592476489028,3.9889840465642745,1.3862943611198906,2.6026896854443837,0.38372093023255816,0.5714285714285714,0.02510483333333333,0.6212121212121212,0.016776525677257452,0.3333333333333333,0.04206580591420241,0.3337330965980972,0.9201808344871895,0.5599396301966801,0.022301293130192468,1.0,-0.05509634306348821,NEUTRAL,震荡,0.6134774694357367,0.7254808697877474,0.3333333333333333,0.6991138484848484,0.3403616689743789,3190.0,53.0,3.0,86.0,33.0,28.0,66.0,0.25,4.0,0.5,2.0,6.0,5.0,0.09861203591682427,0.0,,,,,,,,0.10018903591682427,-0.012027491408934776,2.0,1.0,0.7597519589074561,0.25400541080040584,0.08147015708452399,-26.899999999999977,-2.0,-0.0034690000000000276,0.0902601543540591,0.03955212550553915,0.0,1.0,0.0,0.0,0.0,WEAK_TO_STRONG,弱转强,路径强度0.51→0.76；竞价斜率+8.15pct/板；首封每板提前27分钟；炸板变化-2.0/板,0.05714285714285716,0.03440860215053765,0.038336204436084764,0.0,2.0,6.0,0.20997920997921016,2.9156062290747062,,,10.0,11.0,5.0,1.0,0.20408163265306123,0.3181818181818182,22.0,,,,,,,,,2026-09-13T07:37:40+00:00
20260826,20260827,20260828,20260828,0,002418.SZ,康盛股份,家电零部,2→3,6.0,4.46,4.57,4.55,117749370.88,tushare_stk_auction_o,5.15,0.024663677130045025,0.12691466083150993,0.12241466083150992,1,0,1,1,0,0,0,,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.10123456790123453,0.009876543209876552,0.0,13.180271781988674,0.0,565.0,565.0,18.563140010493125,0.21764604718062677,0.022751141201149724,0.10453699999999999,1.86,22.346279974173584,0.00018874763318017898,1.9730310334105184e-05,,,,0.8626284478096268,0.001577,0.5310978907517577,0.024062417738724248,0.0055004774294670844,0.35987460815047023,0.03605015673981191,0.006269592476489028,3.9889840465642745,1.3862943611198906,2.6026896854443837,0.38372093023255816,0.5714285714285714,0.02510483333333333,0.6212121212121212,0.016776525677257452,0.3333333333333333,0.04206580591420241,0.3337330965980972,0.9201808344871895,0.5599396301966801,0.022301293130192468,1.0,-0.05509634306348821,NEUTRAL,震荡,0.6134774694357367,0.7254808697877474,0.3333333333333333,0.6991138484848484,0.3403616689743789,3190.0,53.0,3.0,86.0,33.0,28.0,66.0,0.25,4.0,0.5,2.0,6.0,5.0,0.09965756790123453,0.0,,,,,,,,0.10123456790123453,0.024663677130045025,2.0,1.0,1.0,0.3544361179361182,0.11482152442297378,-35.14999999999998,-1.0,0.02133099999999999,0.34615019795048596,0.08151109678863921,0.0,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.65→1.00；竞价斜率+11.48pct/板；首封每板提前35分钟；炸板变化-1.0/板,-0.0027100271002709064,0.0308123249299721,0.01851323731510982,0.0,2.0,6.0,0.21195652173913038,1.6974487897568138,,,10.0,11.0,5.0,1.0,0.20408163265306123,0.3181818181818182,22.0,,,,,,,,,2026-09-13T07:37:40+00:00
20260826,20260827,20260828,20260828,0,002742.SZ,冀衡医药,化学制药,2→3,7.0,5.15,5.67,5.67,24255127.04,tushare_stk_auction_o,6.24,0.10097087378640768,0.10052910052910069,0.09602910052910069,1,0,1,1,0,0,0,,10.0,opening_auction_limit_up_unconfirmed,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.10042735042735051,0.0,0.0,11.101757472284172,0.0,565.0,565.0,18.5625017736471,1.7384677218710836,0.04270895541559439,0.024567000000000002,0.28,21.715848417375053,0.0015086015330167402,3.706183025599321e-05,,,,0.37335496664863893,0.001577,0.5310978907517577,0.024062417738724248,0.0055004774294670844,0.35987460815047023,0.03605015673981191,0.006269592476489028,3.9889840465642745,1.3862943611198906,2.6026896854443837,0.38372093023255816,0.5714285714285714,0.02510483333333333,0.6212121212121212,0.016776525677257452,0.3333333333333333,0.04206580591420241,0.3337330965980972,0.9201808344871895,0.5599396301966801,0.022301293130192468,1.0,-0.05509634306348821,NEUTRAL,震荡,0.6134774694357367,0.7254808697877474,0.3333333333333333,0.6991138484848484,0.3403616689743789,3190.0,53.0,3.0,86.0,33.0,28.0,66.0,0.25,4.0,0.5,2.0,6.0,5.0,0.09885035042735052,0.0,,,,,,,,0.10042735042735051,0.10097087378640768,2.0,1.0,1.0,0.23051374207188158,0.10983911513323286,-18.100000000000023,0.0,-0.067695,-1.2054791920142485,1.5713262206066063,0.5,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.77→1.00；竞价斜率+10.98pct/板；首封每板提前18分钟；炸板变化+0.0/板,0.046798029556650356,-0.009324009324009341,0.04646135345423167,0.0,2.0,6.0,0.21176470588235308,1.8164520818184267,,,10.0,11.0,5.0,1.0,0.20408163265306123,0.3181818181818182,22.0,,,,,,,,,2026-09-13T07:37:40+00:00
20260826,20260827,20260828,20260828,0,000428.SZ,华天酒店,酒店餐饮,2→3,8.0,4.75,4.61,4.65,11402699.52,tushare_stk_auction_o,4.58,-0.029473684210526208,-0.006507592190889477,-0.011007592190889478,0,0,0,1,0,0,0,,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.09953703703703698,0.1180555555555555,0.057870370370370364,12.268402120317388,0.0,579.1,579.1,18.40819587125992,0.4639600455864301,0.020405236390804476,0.045498000000000004,1.71,22.30015958658729,0.00046978884259955025,2.0661590320540813e-05,,,,0.6967730304669191,0.001577,0.5310978907517577,0.024062417738724248,0.0055004774294670844,0.35987460815047023,0.03605015673981191,0.006269592476489028,3.9889840465642745,1.3862943611198906,2.6026896854443837,0.38372093023255816,0.5714285714285714,0.02510483333333333,0.6212121212121212,0.016776525677257452,0.3333333333333333,0.04206580591420241,0.3337330965980972,0.9201808344871895,0.5599396301966801,0.022301293130192468,1.0,-0.05509634306348821,NEUTRAL,震荡,0.6134774694357367,0.7254808697877474,0.3333333333333333,0.6991138484848484,0.3403616689743789,3190.0,53.0,3.0,86.0,33.0,28.0,66.0,0.25,4.0,0.5,2.0,6.0,5.0,0.09796003703703698,0.0,,,,,,,,0.09953703703703698,-0.029473684210526208,2.0,1.0,0.8754482029598305,0.036058925570553235,0.021310432569974447,7.300000000000068,0.0,0.027706000000000005,1.0196027418323723,-0.7483796235594222,0.0,0.0,0.0,0.0,0.0,STABLE_STRONG,持续强势,路径强度0.84→0.88；竞价斜率+2.13pct/板；首封每板推迟7分钟；炸板变化+0.0/板,-0.012562814070351758,-0.0025380710659898,0.016653674473692634,0.0,2.0,6.0,0.20865139949109412,1.749199854809259,,,10.0,11.0,5.0,1.0,0.20408163265306123,0.3181818181818182,22.0,,,,,,,,,2026-09-13T07:37:40+00:00
20260826,20260827,20260828,20260828,0,002855.SZ,捷荣技术,消费电子,2→3,9.0,12.1,13.31,13.31,7036997.12,tushare_stk_auction_o,14.64,0.10000000000000009,0.09992486851990989,0.09542486851990989,1,0,1,1,0,0,0,,10.0,opening_auction_limit_up_unconfirmed,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,0.0,,,0.09999999999999987,0.0,0.0,10.219895556216818,0.0,565.0,565.0,18.387532367189927,3.5251322751322753,0.032470007216748475,0.009211,0.73,21.814970827796976,0.0036439430378824317,3.3564373618582354e-05,,,,0.12601406165494863,0.001577,0.5310978907517577,0.024062417738724248,0.0055004774294670844,0.35987460815047023,0.03605015673981191,0.006269592476489028,3.9889840465642745,1.3862943611198906,2.6026896854443837,0.38372093023255816,0.5714285714285714,0.02510483333333333,0.6212121212121212,0.016776525677257452,0.3333333333333333,0.04206580591420241,0.3337330965980972,0.9201808344871895,0.5599396301966801,0.022301293130192468,1.0,-0.05509634306348821,NEUTRAL,震荡,0.6134774694357367,0.7254808697877474,0.3333333333333333,0.6991138484848484,0.3403616689743789,3190.0,53.0,3.0,86.0,33.0,28.0,66.0,0.25,4.0,0.5,2.0,6.0,5.0,0.09842299999999987,0.0,,,,,,,,0.09999999999999987,0.10000000000000009,2.0,1.0,1.0,0.3266363636363636,0.11599999999999988,-109.10000000000002,0.0,-0.010137,-0.6125143960915231,2.8032658597604714,0.5,0.0,0.0,1.0,0.0,ACCELERATION_CONSENSUS,加速一致,路径强度0.67→1.00；竞价斜率+11.60pct/板；首封每板提前109分钟；炸板变化+0.0/板,-0.014778325123152691,0.023541453428863823,0.01744646108304762,0.0,2.0,6.0,0.20999999999999996,2.5726122302071057,,,10.0,11.0,5.0,1.0,0.20408163265306123,0.3181818181818182,22.0,,,,,,,,,2026-09-13T07:37:40+00:00
20260826,20260827,20260828,20260828,0,002949.SZ,华阳国际,工程咨询,2→3,10.0,13.68,13.36,13.39,15534630.4,tushare_stk_auction_o,12.57,-0.023391812865497075,-0.05913173652694592,-0.06363173652694593,0,1,0,1,0,0,0,,10.0,auction_daily_open_conflict,fixed_open_0930,tplus1_open_0930_v1,,,09:30,tushare_compact_backfill,decision_v11_tplus1_open0930_strict_calendar_no_future,,,,,,,,,,,,,2.0,5.0,,,0.09967845659163999,0.11414790996784566,0.09726688102893884,12.579712292222707,5.0,576.6,592.8,17.812400860150568,0.18729632259269402,0.02618847651420987,0.14394,2.55,21.45483663492861,0.00034411361453306864,4.811526028739374e-05,,,,0.760050477735713,0.001577,0.5310978907517577,0.024062417738724248,0.0055004774294670844,0.35987460815047023,0.03605015673981191,0.006269592476489028,3.9889840465642745,1.3862943611198906,2.6026896854443837,0.38372093023255816,0.5714285714285714,0.02510483333333333,0.6212121212121212,0.016776525677257452,0.3333333333333333,0.04206580591420241,0.3337330965980972,0.9201808344871895,0.5599396301966801,0.022301293130192468,1.0,-0.05509634306348821,NEUTRAL,震荡,0.6134774694357367,0.7254808697877474,0.3333333333333333,0.6991138484848484,0.3403616689743789,3190.0,53.0,3.0,86.0,33.0,28.0,66.0,0.25,4.0,0.5,2.0,6.0,5.0,0.09810145659163999,0.0,,,,,,,,0.09967845659163999,-0.023391812865497075,2.0,1.0,0.6321720430107527,0.12623197635152084,0.0032957488606674135,3.3500000000000227,-5.0,0.0015400000000000136,0.0878621921633318,0.1580750402537675,0.0,1.0,0.0,0.0,0.0,WEAK_TO_STRONG,弱转强,路径强度0.51→0.63；竞价斜率+0.33pct/板；首封每板推迟3分钟；炸板变化-5.0/板,0.048192771084337505,0.08229665071770342,0.01778502493867838,0.0,2.0,6.0,0.20954907161803704,2.6864860231863696,,,10.0,11.0,5.0,1.0,0.20408163265306123,0.3181818181818182,22.0,,,,,,,,,2026-09-13T07:37:40+00:00
