rank,trade_date,target_date,ts_code,name,close_T,close_T2_actual,r_actual,r_p50,in_p10,in_p50,err_r_p50,err_close_p50,e_premium,actual_ret,hit_up
1,20260305,20260309,002195.SZ,岩山科技,,,,,,,,,,,
2,20260305,20260309,300323.SZ,华灿光电,,,,,,,,,,,
3,20260305,20260309,601179.SH,中国西电,,,,,,,,,,,
4,20260305,20260309,600875.SH,东方电气,,,,,,,,,,,
5,20260305,20260309,601727.SH,上海电气,,,,,,,,,,,
6,20260305,20260309,600545.SH,卓郎智能,,,,,,,,,,,
7,20260305,20260309,300303.SZ,聚飞光电,,,,,,,,,,,
8,20260305,20260309,002429.SZ,兆驰股份,,,,,,,,,,,
9,20260305,20260309,000533.SZ,顺钠股份,,,,,,,,,,,
10,20260305,20260309,002498.SZ,汉缆股份,,,,,,,,,,,
11,20260305,20260309,600703.SH,三安光电,,,,,,,,,,,
12,20260305,20260309,300895.SZ,铜牛信息,,,,,,,,,,,
13,20260305,20260309,605268.SH,王力安防,,,,,,,,,,,
14,20260305,20260309,000509.SZ,华塑控股,,,,,,,,,,,
15,20260305,20260309,000920.SZ,沃顿科技,,,,,,,,,,,
16,20260305,20260309,002520.SZ,日发精机,,,,,,,,,,,
17,20260305,20260309,600744.SH,华银电力,,,,,,,,,,,
18,20260305,20260309,300269.SZ,联建光电,,,,,,,,,,,
19,20260305,20260309,600828.SH,茂业商业,,,,,,,,,,,
20,20260305,20260309,603773.SH,沃格光电,,,,,,,,,,,
21,20260305,20260309,300389.SZ,艾比森,,,,,,,,,,,
22,20260305,20260309,002456.SZ,欧菲光,,,,,,,,,,,
23,20260305,20260309,002845.SZ,同兴达,,,,,,,,,,,
24,20260305,20260309,600844.SH,金煤科技,,,,,,,,,,,
25,20260305,20260309,600468.SH,百利电气,,,,,,,,,,,
26,20260305,20260309,688031.SH,星环科技-U,,,,,,,,,,,
27,20260305,20260309,603688.SH,石英股份,,,,,,,,,,,
28,20260305,20260309,300072.SZ,海新能科,,,,,,,,,,,
29,20260305,20260309,600516.SH,方大炭素,,,,,,,,,,,
30,20260305,20260309,600800.SH,渤海化学,,,,,,,,,,,
