rank,trade_date,base_date,buy_date,target_date,ts_code,name,sector,close_T,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_up_prob_model,t_high_profit_prob_model,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_accept_prob_model,t1_fail_prob_model,t1_big_drawdown_prob_model,t_close_ret_pred,t_intraday_ret_pred,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,model_can_rank,model_rank_mode,model_quality_flag,t_limitup_prob_raw_before_calibration,t_limitup_prob_calibrated,limitup_calibration_src,limitup_alpha_score,t1_alpha_score,strength_alpha_score,execution_alpha_score,premium_adaptive_score,自适应排序评分,rank_adaptive_score,adaptive_weight_limitup,adaptive_weight_t1,adaptive_weight_strength,adaptive_weight_execution,t_up_prob_model_blend,t_high_profit_prob_model_blend,t_touch_limitup_prob_blend,t1_accept_prob_blend,t1_fail_prob_blend,t1_big_drawdown_prob_blend,eret_plus_score,market_score,intraday_attack_edge,intraday_execution_edge,intraday_risk_penalty,intraday_hard_risk_flag,execution_safety_score,execution_score,risk_penalty_score,t1_close_ret_pred_score,t1_high_ret_pred_score,t_up_attack_score,t1_accept_score,premium_final_score,premium_final_score_raw,premium_eligible,premium_force_excluded,premium_bucket,premium_exclude_reason,premium_rank_mode,rank_premium_final,mkt_stock_count,mkt_up_ratio,mkt_avg_ret,mkt_median_ret,mkt_strong_count,mkt_strong_ratio,mkt_touch_strong_count,mkt_touch_strong_ratio,mkt_amount_sum,mkt_emotion_score,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260624,20260624,20260625,20260626,002303.SZ,美盈森,造纸,3.86,TOP10,1,1,TOP10,市价竞价,≤4.00,市价竞价,≤4.00,冲高至4.28附近优先兑现；强势放量再看4.46；弱于3.80止损,冲高至4.28附近优先兑现；强势放量再看4.46；弱于3.80止损,市价竞价,≤4.00,市价竞价,≤4.00,冲高至4.28附近优先兑现；强势放量再看4.46；弱于3.80止损,冲高至4.28附近优先兑现；强势放量再看4.46；弱于3.80止损,0.628154,0.628154,65.9288,65.9288,0.64553,0.64553,69.2319,69.2319,0.942247,60.4103,0.848215,80.4934,0.805059099951427,0.9644114956665261,0.7630626720057094,0.6960776951232207,0.6013671900665492,0.7430417609946366,0.5805415179534544,0.4285276904863603,0.6612474099604233,0.09021686803311996,0.10628407330067616,0.05584424648887125,0.08792672435957136,0.6979599069112569,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=15;samples=450;t1_accept_auc=0.439475507174666;t1_accept_brier=0.27934605271832147;t1_ret_spearman_ic=0.015258680193299972,degraded,0.816818,0.628154,historical_bin_blend_v1,64.3494,71.1352,79.1491,66.7377,68.6997,68.6997,2,0.5763330908734707,0.06689477512524146,0.24528084212588538,0.11149129187540245,0.690198,0.746759,0.696078,0.727504,0.299657,0.252227,96.0204,25.3688,60.65,74.65,0.292,0.0,76.8272,76.8272,0.178866,92.9546,99.3367,67.1337,77.5671,57.5572,0.575572,1,0,ELIGIBLE,ok,professional_score_rule_guarded,1,5511.0,0.25911812738160045,-0.011887766535768179,-0.020408163265306034,158.0,0.02866993286154963,257.0,0.04663400471783705,3297117946.5805902,0.2536884704994417,0.0,0.10768710364963016,0.10768710364963016,up,high,0.97822,ehx:model_v1,0.0017574817549638327,0.06105622006585996,0.10227415101529824,0.14349208196473653,0.20279082027563372,3.8667898443402606,4.103020474359788,4.275672220087572,4.455589010064862,4.727790666044774,0.952896662621143,0.952896662621143,2,7,7,0.6572953158383372,0.0,0.6125607244714515,,,,,,,,
2,20260624,20260624,20260625,20260626,603297.SH,永新光学,元器件,132.89,TOP10,1,1,TOP10,只观察不追,≤134.22,只观察不追,≤134.22,冲高至146.40附近优先兑现；强势放量再看153.58；弱于130.90止损,冲高至146.40附近优先兑现；强势放量再看153.58；弱于130.90止损,只观察不追,≤134.22,只观察不追,≤134.22,冲高至146.40附近优先兑现；强势放量再看153.58；弱于130.90止损,冲高至146.40附近优先兑现；强势放量再看153.58；弱于130.90止损,0.383583,0.383583,62.6611,62.6611,0.710978,0.710978,65.2329,65.2329,0.957846,76.4701,0.864998,85.5097,0.9294334436676916,0.9691275085007536,0.28830255376730446,0.5345502634276489,0.7166725301072534,0.5392392206904592,0.5752334704088944,0.333388426450445,0.6387097691123388,0.10790763023639752,0.1366538994748675,0.03836870530278945,0.08236265191545249,0.5955948608801818,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=15;samples=450;t1_accept_auc=0.439475507174666;t1_accept_brier=0.27934605271832147;t1_ret_spearman_ic=0.015258680193299972,degraded,0.489166,0.383583,historical_bin_blend_v1,43.506,78.0979,75.964,66.1482,56.3057,56.3057,19,0.5763330908734707,0.06689477512524146,0.24528084212588538,0.11149129187540245,0.772146,0.601884,0.53455,0.725776,0.26705,0.240693,90.7143,25.3688,60.65,74.65,0.292,0.0,76.3556,76.3556,0.169576,86.531,98.6735,57.44,77.5581,54.4666,0.544666,1,0,ELIGIBLE,ok,professional_score_rule_guarded,2,5511.0,0.25911812738160045,-0.011887766535768179,-0.020408163265306034,158.0,0.02866993286154963,257.0,0.04663400471783705,3297117946.5805902,0.2536884704994417,0.0,0.10169167706579081,0.10169167706579081,up,high,0.961378,ehx:model_v1,-0.01981730381630356,0.04900749265768027,0.09684688670685425,0.14468628075602824,0.21351107723001328,130.28240161916955,139.56482811740605,146.4038069652729,153.57791058857552,164.52010730182263,0.9139439471894151,0.9139439471894151,5,13,13,0.6814675575196468,0.0,0.6618850611868299,,,,,,,,
3,20260624,20260624,20260625,20260626,002427.SZ,尤夫股份,化纤,4.74,TOP10,1,1,TOP10,限价竞价,≤4.89,限价竞价,≤4.89,冲高至5.22附近优先兑现；强势放量再看5.48；弱于4.67止损,冲高至5.22附近优先兑现；强势放量再看5.48；弱于4.67止损,限价竞价,≤4.89,限价竞价,≤4.89,冲高至5.22附近优先兑现；强势放量再看5.48；弱于4.67止损,冲高至5.22附近优先兑现；强势放量再看5.48；弱于4.67止损,0.657622,0.657622,74.8093,74.8093,0.577521,0.577521,70.4647,70.4647,0.939992,64.6079,0.795503,80.0915,0.8904434990336809,0.9639459967680899,0.8287946975181971,0.816101940409433,0.503041267835146,0.6997356025686869,0.5669888603252667,0.4089351102985201,0.7104356531001933,0.09530232189852542,0.11202878107426842,0.04114654314993984,0.10000677925605644,0.7218257197664373,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=15;samples=450;t1_accept_auc=0.439475507174666;t1_accept_brier=0.27934605271832147;t1_ret_spearman_ic=0.015258680193299972,degraded,0.862154,0.657622,historical_bin_blend_v1,69.5195,64.4064,84.8856,66.1318,72.5688,72.5688,1,0.5763330908734707,0.06689477512524146,0.24528084212588538,0.11149129187540245,0.665139,0.800445,0.816102,0.678931,0.337682,0.276083,88.7245,25.3688,60.65,74.65,0.292,0.0,76.3425,76.3425,0.192196,88.0045,100.0,70.6769,73.259,54.2717,0.542717,1,0,ELIGIBLE,ok,professional_score_rule_guarded,3,5511.0,0.25911812738160045,-0.011887766535768179,-0.020408163265306034,158.0,0.02866993286154963,257.0,0.04663400471783705,3297117946.5805902,0.2536884704994417,0.0,0.10113721227287781,0.10113721227287781,up,high,0.96091,ehx:model_v1,-0.021974467364642758,0.04782594245697099,0.09634347510978827,0.14486100776260555,0.21466141758422058,4.63697710687692,4.972203381410604,5.2193903861734405,5.478865990302921,5.874955898073807,0.909774065650451,0.909774065650451,1,18,18,0.6490242880047002,0.0,0.6120934529879056,,,,,,,,
4,20260624,20260624,20260625,20260626,605366.SH,宏柏新材,化工原料,11.88,TOP10,1,1,TOP10,只观察不追,≤12.00,只观察不追,≤12.00,冲高至13.12附近优先兑现；强势放量再看13.95；弱于11.70止损,冲高至13.12附近优先兑现；强势放量再看13.95；弱于11.70止损,只观察不追,≤12.00,只观察不追,≤12.00,冲高至13.12附近优先兑现；强势放量再看13.95；弱于11.70止损,冲高至13.12附近优先兑现；强势放量再看13.95；弱于11.70止损,0.509696,0.509696,60.9436,60.9436,0.507049,0.507049,59.3383,59.3383,0.771827,58.3385,0.769679,71.0775,0.8635799598796363,0.9331895749676348,0.6868641702523351,0.6268028528929944,0.49433257470946235,0.6243842159291368,0.3249226245902291,0.3639401499906977,0.6835901212079222,0.08841353135625427,0.10228477917314623,0.03205122870721307,0.06016468517598289,0.6009732754940837,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=15;samples=450;t1_accept_auc=0.439475507174666;t1_accept_brier=0.27934605271832147;t1_ret_spearman_ic=0.015258680193299972,degraded,0.712353,0.509696,historical_bin_blend_v1,54.0749,58.9235,71.26,65.0891,59.8424,59.8424,8,0.5763330908734707,0.06689477512524146,0.24528084212588538,0.11149129187540245,0.606878,0.670433,0.626803,0.573481,0.368773,0.278499,94.0306,25.3688,47.18,48.98,0.0,0.0,70.8877,70.8877,0.140594,80.7088,75.6433,59.2557,62.3127,52.69,0.5269,1,0,ELIGIBLE,ok,professional_score_rule_guarded,4,5511.0,0.25911812738160045,-0.011887766535768179,-0.020408163265306034,158.0,0.02866993286154963,257.0,0.04663400471783705,3297117946.5805902,0.2536884704994417,0.0,0.10439285767233618,0.10439285767233618,up,high,0.931117,ehx:model_v1,-0.05086162553190075,0.0377221091632293,0.09929573389642733,0.16086935862962537,0.249453093324757,11.29087286636152,12.336698314794358,13.120187149147354,13.953434414637448,15.245881595345914,0.8616373748744117,0.8616373748744117,14,9,9,0.6601243913971139,0.0,0.6021808930723219,,,,,,,,
5,20260624,20260624,20260625,20260626,001359.SZ,平安电工,矿物制品,129.03,TOP10,1,1,TOP10,放弃,不建议买入,放弃,不建议买入,冲高至142.15附近优先兑现；强势放量再看149.03；弱于127.09止损,冲高至142.15附近优先兑现；强势放量再看149.03；弱于127.09止损,放弃,不建议买入,放弃,不建议买入,冲高至142.15附近优先兑现；强势放量再看149.03；弱于127.09止损,冲高至142.15附近优先兑现；强势放量再看149.03；弱于127.09止损,0.349966,0.349966,57.3854,57.3854,0.68037,0.68037,61.3438,61.3438,0.740603,53.4528,0.799785,69.4332,0.9219034493085225,0.9619812058937154,0.3075244687276145,0.600071378379184,0.6994279133690376,0.5710940918519017,0.5429094046452244,0.3195159165440101,0.6221271280740748,0.10742415352053425,0.1262598759525727,0.021571174242623795,0.07534626496139116,0.6037634074471505,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=15;samples=450;t1_accept_auc=0.439475507174666;t1_accept_brier=0.27934605271832147;t1_ret_spearman_ic=0.015258680193299972,degraded,0.437448,0.349966,historical_bin_blend_v1,41.7374,72.2868,71.5741,66.1174,53.8175,53.8175,20,0.5763330908734707,0.06689477512524146,0.24528084212588538,0.11149129187540245,0.747999,0.611368,0.600071,0.679523,0.286318,0.240306,90.7143,25.3688,60.65,74.65,0.292,0.0,76.3309,76.3309,0.173337,67.0399,95.9896,57.3997,72.7651,52.3984,0.523984,1,0,ELIGIBLE,ok,professional_score_rule_guarded,5,5511.0,0.25911812738160045,-0.011887766535768179,-0.020408163265306034,158.0,0.02866993286154963,257.0,0.04663400471783705,3297117946.5805902,0.2536884704994417,0.0,0.10169167706579081,0.10169167706579081,up,high,0.960498,ehx:model_v1,-0.01837859177302703,0.04959745185641089,0.09684688670685425,0.14409632155729762,0.21207236518673675,126.68026881781537,135.5909167062009,142.151277091799,149.02905054188855,159.51170428829784,0.9165905235174121,0.9165905235174121,8,14,14,0.6249221011528263,0.0,0.5715660360377477,,,,,,,,
6,20260624,20260624,20260625,20260626,603989.SH,艾华集团,元器件,48.86,TOP10,1,1,TOP10,限价竞价,≤50.44,限价竞价,≤50.44,冲高至52.30附近优先兑现；强势放量再看54.80；弱于48.13止损,冲高至52.30附近优先兑现；强势放量再看54.80；弱于48.13止损,限价竞价,≤50.44,限价竞价,≤50.44,冲高至52.30附近优先兑现；强势放量再看54.80；弱于48.13止损,冲高至52.30附近优先兑现；强势放量再看54.80；弱于48.13止损,0.49812,0.49812,69.0648,69.0648,0.734077,0.734077,66.3724,66.3724,0.887496,77.5024,0.727773,79.525,0.8277352520642256,0.9334276663470931,0.6118501342707617,0.6343975204758339,0.7891314102879695,0.4912126010513751,0.61799981992158,0.3021303796080514,0.5843690522508812,0.09103277043812555,0.1075378587161101,0.03768430841748579,0.05537015398314745,0.6634770983882554,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=15;samples=450;t1_accept_auc=0.439475507174666;t1_accept_brier=0.27934605271832147;t1_ret_spearman_ic=0.015258680193299972,degraded,0.694544,0.49812,historical_bin_blend_v1,54.1903,78.8289,80.2144,66.1731,63.5577,63.5577,5,0.5763330908734707,0.06689477512524146,0.24528084212588538,0.11149129187540245,0.760301,0.669066,0.634398,0.68218,0.319226,0.236671,55.7764,25.3688,47.18,48.98,0.0,0.0,71.7549,71.7549,0.120646,85.6681,60.9796,59.4531,68.8849,49.4802,0.494802,1,0,ELIGIBLE,ok,professional_score_rule_guarded,7,5511.0,0.25911812738160045,-0.011887766535768179,-0.020408163265306034,158.0,0.02866993286154963,257.0,0.04663400471783705,3297117946.5805902,0.2536884704994417,0.0,0.07050453250539788,0.07050453250539788,up,high,0.962088,ehx:model_v1,-0.045694541379780365,0.02145507152405391,0.06813006304648188,0.11480505456890985,0.18195466747274533,46.677606172410314,49.91962127299705,52.30485145821374,54.80405131890844,58.6104924909978,0.8375730311925822,0.8375730311925822,4,57,57,0.750914328944319,0.0,0.7194657761071772,,,,,,,,
7,20260624,20260624,20260625,20260626,002550.SZ,千红制药,生物制药,6.51,TOP10,1,1,TOP10,限价竞价,≤6.71,限价竞价,≤6.71,冲高至7.10附近优先兑现；强势放量再看7.56；弱于6.41止损,冲高至7.10附近优先兑现；强势放量再看7.56；弱于6.41止损,限价竞价,≤6.71,限价竞价,≤6.71,冲高至7.10附近优先兑现；强势放量再看7.56；弱于6.41止损,冲高至7.10附近优先兑现；强势放量再看7.56；弱于6.41止损,0.536755,0.536755,73.8493,73.8493,0.585107,0.585107,67.4952,67.4952,0.876375,68.3321,0.711533,76.3146,0.8698412965600577,0.9581809197535982,0.7015280530164335,0.7752750373464236,0.5690064903511773,0.7770717288805239,0.5193859476821678,0.3497279034411071,0.5983572971939741,0.07699730028707968,0.10632262251885853,0.02842163014658855,0.06968460792306917,0.699218629128068,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=15;samples=450;t1_accept_auc=0.439475507174666;t1_accept_brier=0.27934605271832147;t1_ret_spearman_ic=0.015258680193299972,degraded,0.753982,0.536755,historical_bin_blend_v1,59.9862,65.5576,83.4933,65.2357,66.71,66.71,3,0.5763330908734707,0.06689477512524146,0.24528084212588538,0.11149129187540245,0.664833,0.740621,0.775275,0.646033,0.343195,0.248657,79.4388,25.3688,56.13,71.13,0.334,0.0,74.992,74.992,0.195117,77.6604,92.3485,65.629,70.4131,49.477,0.49477,1,0,ELIGIBLE,ok,professional_score_rule_guarded,8,5511.0,0.25911812738160045,-0.011887766535768179,-0.020408163265306034,158.0,0.02866993286154963,257.0,0.04663400471783705,3297117946.5805902,0.2536884704994417,0.0,0.09006443139272666,0.09006443139272666,up,high,0.935307,ehx:model_v1,-0.06759631539199865,0.023155895838293125,0.08623680586351817,0.1493177158887432,0.24006992711903663,6.084491402812995,6.662503748102413,7.09631944836665,7.558382196424197,8.2764106939136,0.8217573866692829,0.8217573866692829,3,32,32,0.6215227340503502,0.0,0.5836831812198606,,,,,,,,
8,20260624,20260624,20260625,20260626,002897.SZ,意华股份,元器件,93.16,TOP10,1,1,TOP10,只观察不追,≤94.09,只观察不追,≤94.09,冲高至104.34附近优先兑现；强势放量再看109.12；弱于91.76止损,冲高至104.34附近优先兑现；强势放量再看109.12；弱于91.76止损,只观察不追,≤94.09,只观察不追,≤94.09,冲高至104.34附近优先兑现；强势放量再看109.12；弱于91.76止损,冲高至104.34附近优先兑现；强势放量再看109.12；弱于91.76止损,0.385963,0.385963,65.0396,65.0396,0.592771,0.592771,60.2,60.2,0.837984,54.0987,0.82978,74.2567,0.9319562230107179,0.9681769944426316,0.3449028465105946,0.7233357237627038,0.6014443042763283,0.46930089782826034,0.3840832743651351,0.43009779052612584,0.7367436679919697,0.10220025456028815,0.12381019488186304,0.010397741044240384,0.06235836653707151,0.5722893314835383,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=15;samples=450;t1_accept_auc=0.439475507174666;t1_accept_brier=0.27934605271832147;t1_ret_spearman_ic=0.015258680193299972,degraded,0.492827,0.385963,historical_bin_blend_v1,47.3133,54.6976,74.534,66.3543,56.6069,56.6069,17,0.5763330908734707,0.06689477512524146,0.24528084212588538,0.11149129187540245,0.687743,0.670437,0.723336,0.550321,0.372797,0.290348,99.0051,25.3688,60.65,74.65,0.292,0.0,76.5204,76.5204,0.202643,31.281,78.2729,61.4091,59.5079,47.7077,0.477077,1,0,ELIGIBLE,ok,professional_score_rule_guarded,9,5511.0,0.25911812738160045,-0.011887766535768179,-0.020408163265306034,158.0,0.02866993286154963,257.0,0.04663400471783705,3297117946.5805902,0.2536884704994417,0.0,0.12,0.12,up,high,0.967266,ehx:model_v1,0.003963684831052874,0.06848240188879745,0.11332868530700317,0.1581749687252089,0.22269368578295462,93.52998965565118,99.76334655851845,104.3392,109.1249344793599,116.39762494063558,0.9558531170729393,0.9558531170729393,12,1,1,0.6494215282937426,0.0,0.5904732487286968,,,,,,,,
9,20260624,20260624,20260625,20260626,002584.SZ,西陇科学,化工原料,11.02,TOP10,1,1,TOP10,只观察不追,≤11.13,只观察不追,≤11.13,冲高至12.04附近优先兑现；强势放量再看12.67；弱于10.85止损,冲高至12.04附近优先兑现；强势放量再看12.67；弱于10.85止损,只观察不追,≤11.13,只观察不追,≤11.13,冲高至12.04附近优先兑现；强势放量再看12.67；弱于10.85止损,冲高至12.04附近优先兑现；强势放量再看12.67；弱于10.85止损,0.564633,0.564633,68.2639,68.2639,0.556608,0.556608,63.5816,63.5816,0.942411,75.7723,0.845976,84.2374,0.8834253347451996,0.932392006642419,0.7344968702955028,0.6325827831492566,0.5569448535655406,0.5597078439827999,0.32437451414528357,0.36744052080420614,0.6318456053635513,0.08789859183076604,0.10232607531001225,0.03767686338501639,0.059996730703444655,0.613645522697032,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=15;samples=450;t1_accept_auc=0.439475507174666;t1_accept_brier=0.27934605271832147;t1_ret_spearman_ic=0.015258680193299972,degraded,0.796871,0.564633,historical_bin_blend_v1,58.8665,63.9563,78.9175,66.0792,64.9292,64.9292,4,0.5763330908734707,0.06689477512524146,0.24528084212588538,0.11149129187540245,0.648117,0.692067,0.632583,0.577712,0.376168,0.262553,81.7602,25.3688,60.65,74.65,0.292,0.0,76.3004,76.3004,0.196646,85.0027,74.931,62.9366,66.1079,47.6046,0.476046,1,0,ELIGIBLE,ok,professional_score_rule_guarded,10,5511.0,0.25911812738160045,-0.011887766535768179,-0.020408163265306034,158.0,0.02866993286154963,257.0,0.04663400471783705,3297117946.5805902,0.2536884704994417,0.0,0.09214161969250106,0.09214161969250106,up,high,0.959407,ehx:model_v1,-0.03628917553307698,0.037116819893307666,0.08814055727700076,0.13916429466069385,0.21257029008707984,10.62726244551928,11.436713047199726,12.035400649011361,12.665428273352525,13.630120600182977,0.8780192528604194,0.8780192528604194,6,28,28,0.6915692338957374,0.0,0.6578331292741875,,,,,,,,
10,20260624,20260624,20260625,20260626,603407.SH,长裕集团,化工原料,90.55,TOP10,1,1,TOP10,只观察不追,≤91.46,只观察不追,≤91.46,冲高至99.85附近优先兑现；强势放量再看105.13；弱于89.19止损,冲高至99.85附近优先兑现；强势放量再看105.13；弱于89.19止损,只观察不追,≤91.46,只观察不追,≤91.46,冲高至99.85附近优先兑现；强势放量再看105.13；弱于89.19止损,冲高至99.85附近优先兑现；强势放量再看105.13；弱于89.19止损,0.395988,0.395988,73.4321,73.4321,0.574123,0.574123,61.7008,61.7008,0.918555,75.9954,0.799963,82.1699,0.9333398699451145,0.9701604389281191,0.33240656415396685,0.7172330073945995,0.5650828448966956,0.40705473265042647,0.413340769401838,0.4402241049941606,0.7314859020028113,0.10333829372869692,0.12202919031609263,0.009541749675490093,0.06211867197356225,0.5613590540579353,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=15;samples=450;t1_accept_auc=0.439475507174666;t1_accept_brier=0.27934605271832147;t1_ret_spearman_ic=0.015258680193299972,degraded,0.508251,0.395988,historical_bin_blend_v1,48.7645,51.9746,81.6103,65.8165,58.9369,58.9369,11,0.5763330908734707,0.06689477512524146,0.24528084212588538,0.11149129187540245,0.674704,0.672404,0.717233,0.536448,0.394449,0.295212,92.7041,25.3688,60.65,74.65,0.292,0.0,76.0902,76.0902,0.208141,29.7048,77.5397,61.625,57.7186,45.2932,0.452932,1,0,ELIGIBLE,ok,professional_score_rule_guarded,12,5511.0,0.25911812738160045,-0.011887766535768179,-0.020408163265306034,158.0,0.02866993286154963,257.0,0.04663400471783705,3297117946.5805902,0.2536884704994417,0.0,0.10274990424139988,0.10274990424139988,up,high,0.951901,ehx:model_v1,-0.02780431476895126,0.04629872651767128,0.0978069731667259,0.14931521981578053,0.2234182611024044,88.06699833871856,94.84091517721103,99.85400382905877,105.13207366317708,113.21859798541621,0.8998613484875717,0.8998613484875717,7,12,12,0.6291175791969188,0.0,0.5829986029850144,,,,,,,,
