rank,trade_date,target_date,ts_code,name,close_T,close_T2_actual,r_actual,r_p50,in_p10,in_p50,err_r_p50,err_close_p50,e_premium,actual_ret,hit_up
1,20260304,20260306,600759.SH,洲际油气,8.26,8.24,-0.00242424361150628,0.0,True,True,-0.00242424361150628,-0.019999999999999574,0.0,-0.002421307506053183,否
2,20260304,20260306,001309.SZ,德明利,251.57,271.12,0.07484024646573559,0.0,True,False,0.07484024646573559,19.55000000000001,0.0,0.07771196883571174,是
3,20260304,20260306,000525.SZ,红太阳,6.83,7.16,0.04718530738985547,0.0,True,False,0.04718530738985547,0.33000000000000007,0.0,0.04831625183016097,是
4,20260304,20260306,688525.SH,佰维存储,175.99,209.33,0.17348477886430913,0.0,False,False,0.17348477886430913,33.34,0.0,0.1894425819648844,是
5,20260304,20260306,002389.SZ,航天彩虹,28.77,27.61,-0.04115515162139343,0.0,True,False,-0.04115515162139343,-1.1600000000000001,0.0,-0.04031977754605487,否
6,20260304,20260306,000533.SZ,顺钠股份,12.3,14.88,0.19041876702657395,0.0,False,False,0.19041876702657395,2.58,0.0,0.20975609756097557,是
7,20260304,20260306,603175.SH,超颖电子,79.64,80.27,0.007879472947489956,0.0,True,True,0.007879472947489956,0.6299999999999955,0.0,0.007910597689603227,是
8,20260304,20260306,300265.SZ,通光线缆,17.88,20.61,0.14209362515699966,0.0,False,False,0.14209362515699966,2.7300000000000004,0.0,0.15268456375838935,是
9,20260304,20260306,002490.SZ,山东墨龙,11.72,13.2,0.11892004544345851,0.0,False,False,0.11892004544345851,1.4799999999999986,0.0,0.12627986348122855,是
10,20260304,20260306,002498.SZ,汉缆股份,8.13,9.83,0.18987801059935583,0.0,False,False,0.18987801059935583,1.6999999999999993,0.0,0.20910209102091004,是
11,20260304,20260306,600821.SH,金开新能,7.87,8.6,0.08870414083015013,0.0,False,False,0.08870414083015013,0.7299999999999995,0.0,0.09275730622617528,是
12,20260304,20260306,603530.SH,神马电力,67.21,71.2,0.05767077243605576,0.0,True,False,0.05767077243605576,3.990000000000009,0.0,0.05936616574914466,是
13,20260304,20260306,603045.SH,福达合金,32.41,33.84,0.04317651758456672,0.0,True,False,0.04317651758456672,1.4300000000000068,0.0,0.04412218451095362,是
14,20260304,20260306,002162.SZ,悦心健康,6.08,5.86,-0.036855092389154305,0.0,True,False,-0.036855092389154305,-0.21999999999999975,0.0,-0.03618421052631571,否
15,20260304,20260306,603318.SH,水发燃气,10.67,10.13,-0.05193474705306993,0.0,True,False,-0.05193474705306993,-0.5399999999999991,0.0,-0.05060918462980313,否
16,20260304,20260306,000010.SZ,美丽生态,4.42,4.41,-0.002265006630852125,0.0,True,True,-0.002265006630852125,-0.009999999999999787,0.0,-0.002262443438914019,否
17,20260304,20260306,301129.SZ,瑞纳智能,29.23,28.97,-0.008934767341895624,0.0,True,True,-0.008934767341895624,-0.26000000000000156,0.0,-0.00889497092028746,否
18,20260304,20260306,603316.SH,诚邦股份,14.53,16.94,0.15346221164171697,0.0,False,False,0.15346221164171697,2.410000000000002,0.0,0.16586373021335188,是
19,20260304,20260306,002339.SZ,积成电子,11.54,13.09,0.12602931884185503,0.0,False,False,0.12602931884185503,1.5500000000000007,0.0,0.13431542461005197,是
20,20260304,20260306,000890.SZ,法尔胜,8.87,9.05,0.02008996139034676,0.0,True,True,0.02008996139034676,0.1800000000000015,0.0,0.020293122886133164,是
21,20260304,20260306,605196.SH,华通线缆,54.34,51.33,-0.05698522742599,0.0,True,False,-0.05698522742599,-3.010000000000005,0.0,-0.05539197644460814,否
22,20260304,20260306,600545.SH,卓郎智能,3.43,4.15,0.19054807306475838,0.0,False,False,0.19054807306475838,0.7200000000000002,0.0,0.20991253644314867,是
23,20260304,20260306,002167.SZ,东方锆业,16.07,15.14,-0.05961393174011854,0.0,True,False,-0.05961393174011854,-0.9299999999999997,0.0,-0.057871810827629155,否
24,20260304,20260306,002877.SZ,智能自控,9.9,10.9,0.09622803209455376,0.0,False,False,0.09622803209455376,1.0,0.0,0.101010101010101,是
25,20260304,20260306,300880.SZ,迦南智能,23.22,25.25,0.08381217945162342,0.0,False,False,0.08381217945162342,2.030000000000001,0.0,0.08742463393626188,是
26,20260304,20260306,002207.SZ,准油股份,15.03,13.13,-0.1351485154501782,0.0,False,False,-0.1351485154501782,-1.8999999999999986,0.0,-0.1264138389886892,否
27,20260304,20260306,600871.SH,石化油服,4.27,3.67,-0.1514221651740542,0.0,False,False,-0.1514221651740542,-0.5999999999999996,0.0,-0.14051522248243553,否
28,20260304,20260306,002178.SZ,延华智能,6.68,6.85,0.025130664725579517,0.0,True,True,0.025130664725579517,0.16999999999999993,0.0,0.025449101796407136,是
29,20260304,20260306,300617.SZ,安靠智电,64.81,71.97,0.10478945308008832,0.0,False,False,0.10478945308008832,7.159999999999997,0.0,0.11047677827495761,是
30,20260304,20260306,600313.SH,农发种业,9.24,8.65,-0.0659825647098048,0.0,True,False,-0.0659825647098048,-0.5899999999999999,0.0,-0.06385281385281383,否
