rank,trade_date,base_date,buy_date,target_date,ts_code,name,晋阶,sector,close_T,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_up_prob_model,t_high_profit_prob_model,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_accept_prob_model,t1_fail_prob_model,t1_big_drawdown_prob_model,t_close_ret_pred,t_intraday_ret_pred,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,model_can_rank,model_rank_mode,model_quality_flag,t_limitup_prob_raw_before_calibration,t_limitup_prob_calibrated,limitup_calibration_src,t1_continue_up_rate_raw_before_calibration,t1_continue_up_rate_calibrated,t1_calibration_src,limitup_alpha_score,t1_alpha_score,strength_alpha_score,execution_alpha_score,premium_adaptive_score,自适应排序评分,rank_adaptive_score,adaptive_weight_limitup,adaptive_weight_t1,adaptive_weight_strength,adaptive_weight_execution,t_up_prob_model_blend,t_high_profit_prob_model_blend,t_touch_limitup_prob_blend,t1_accept_prob_blend,t1_fail_prob_blend,t1_big_drawdown_prob_blend,eret_plus_score,market_score,intraday_attack_edge,intraday_execution_edge,intraday_risk_penalty,intraday_hard_risk_flag,execution_safety_score,execution_score,risk_penalty_score,t1_close_ret_pred_score,t1_high_ret_pred_score,t_up_attack_score,t1_accept_score,premium_final_score,premium_final_score_raw,premium_rank_score,premium_rank_score_raw,premium_eligible,premium_force_excluded,premium_bucket,premium_exclude_reason,premium_rank_mode,rank_premium_final,rank_premium_score,mkt_stock_count,mkt_up_ratio,mkt_avg_ret,mkt_median_ret,mkt_strong_count,mkt_strong_ratio,mkt_touch_strong_count,mkt_touch_strong_ratio,mkt_amount_sum,mkt_emotion_score,turnover_rate,turnover_rate_f,volume_ratio,circ_mv,float_mv,total_mv,pe_ttm,pb,returns_1d,volatility_5d,volatility_10d,volatility_20d,max_drawdown_20d,tail_risk_score,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,open_times,fd_amount,seal_amount,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,reseal_score,intraday_quality_score,intraday_confidence_score,intraday_risk_score,intraday_soft_risk_score,intraday_hard_risk_flag.1,auction_strength_score,auction_amount,up_limit,down_limit,is_limit_up,break_count_proxy,limit_up_strength,factor_intraday_available,factor_auction_available,factor_intraday_quality,factor_intraday_confidence,factor_intraday_soft_risk,factor_intraday_risk,factor_intraday_hard_risk,factor_late_withdraw,factor_reseal,factor_open_board_count,factor_auction_strength,factor_intraday_attack_edge,factor_intraday_execution_edge,factor_intraday_risk_penalty,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason,exec_p_fill,exec_p_fill_lcb,exec_p_profit_lcb,exec_p_limitup_lcb,exec_p_big_loss_ucb,exec_expected_net_return,exec_profit_edge,execution_profit_score,exec_trade_eligible,exec_model_ready,exec_model_reason,exec_model_version,exec_cost_bps,exec_fill_auc,exec_profit_rank_ic,exec_holdout_top_net,trade_action_raw,trade_action,final_trade_score,decision_support_score,risk_quality_score,t1_weight_mode,market_mode,final_action,final_reason,final_rank
39,20260716,20260716,20260717,20260720,300968.SZ,格林精密,1→2,消费电子,10.24,FULL,0,0,Outside TOP20,放弃,不建议买入,放弃,不建议买入,风控排除：intraday_hard_risk=1,风控排除：intraday_hard_risk=1,放弃,不建议买入,放弃,不建议买入,风控排除：intraday_hard_risk=1,风控排除：intraday_hard_risk=1,0.170147,0.170147,73.2403,73.2403,0.486443,0.486443,70.0838,70.0838,0.693376,73.2403,0.655807,70.0838,0.7151693529144352,0.9906618665453888,0.6934156723784891,0.6513228698932144,0.6526688283058601,0.5753235733014139,0.3912115188218523,0.3905138144596116,0.4041748673791205,0.0693798066472875,0.1101678332051259,0.037335125527529,0.0519842217087884,0.6079182037250295,limitup_probability_engine:shadow_gate_failed,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.693376,0.170147,validated_platt_v1,0.655807,0.486443,validated_base_rate_v1,22.6373,48.9832,76.1393,80.0172,43.3632,43.3632,8,0.5874175119852204,0.0651446033707546,0.2388635456927671,0.1085743389512578,0.170147,0.170147,0.170147,0.501756,0.493719,0.159283,54.352,31.7965,60.6984,80.5975,0.25149,1.0,84.7987,0.0,0.18318,50.0,50.0,32.8239,52.5664,30.8675,0.308675,33.9914,0.339914,0,1,EXCLUDED,intraday_hard_risk=1,professional_score_rule_guarded,12,12,5522.0,0.4500181093806591,-0.0064157186364792,-0.0019792225699925,77.0,0.0139442231075697,155.0,0.0280695400217312,2413484442.78276,0.3179648087116394,3.9347,8.2414,2.42,,,423301.12,,,20.0469,0.0875544900599313,0.0684401040773081,0.0518760616025817,-0.2287037037037037,0.2968474377599976,5.0,1.0,1.0,1.0,5.0,0.0,0.0,78504448.0,78504448.0,09:31:00,15:00:00,2.0,,9.2773,0.0,,0.031515,0.0,31.0,,,,,,,1.0,0.8157678780773752,1589180.0,10.24,6.82,1.0,0.0,2.53872060957626,1,1.0,0.668939,1.0,0.181328,0.1813282,1,0.0,0.093359,0.0,0.8157678780773752,0.606983536107855,0.8059751556154751,0.25148981,0.0,0.0171757048858037,0.0171757048858037,up,high,0.92555,ehx:coldstart_v1,-0.1449088092076514,-0.0493748104190711,0.0170298699764283,0.0834345503719279,0.1789685491605099,8.858636070664373,9.74668092584402,10.41587921803063,11.13102405937307,12.246867239966216,0.5686651896476274,0.5686651896476274,9,10,10,0.1564797683241669,0.0,0.2754,,,,11,,,0.7326605881735693,,,,,,,,,,0,0,execution_model_error:KeyError,premium_exec_profit_v1_walkforward_guarded,35.0,,,,放弃,REJECT,31.7924,50.0,37.55584410931463,FROZEN_NEGATIVE_IC,CAUTION,REJECT,premium_reject;premium_excluded;minute_hard_risk;execution_model_guard,1
40,20260716,20260716,20260717,20260720,300805.SZ,电声股份,1→2,广告营销,8.83,FULL,0,0,Outside TOP20,放弃,不建议买入,放弃,不建议买入,风控排除：intraday_hard_risk=1,风控排除：intraday_hard_risk=1,放弃,不建议买入,放弃,不建议买入,风控排除：intraday_hard_risk=1,风控排除：intraday_hard_risk=1,0.148018,0.148018,65.6947,65.6947,0.486443,0.486443,53.7608,53.7608,0.435351,65.6947,0.48193,53.7608,0.745529304046581,0.8041684851943068,0.0931396542228274,0.0888492923971442,0.5081760553467649,0.4180997819848722,0.4990570276360103,0.4925646042328293,0.4274445704253907,0.0361718734329442,0.0563761725177504,0.014200023491837,0.0406588054444078,0.3946663220256678,limitup_probability_engine:shadow_gate_failed,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.435351,0.148018,validated_platt_v1,0.48193,0.486443,validated_base_rate_v1,19.8911,48.9832,68.6851,82.7171,40.2627,40.2627,10,0.5874175119852204,0.0651446033707546,0.2388635456927671,0.1085743389512578,0.148018,0.148018,0.148018,0.484871,0.519891,0.168076,45.9096,31.7965,46.9333,70.4637,0.284905,1.0,84.4159,0.0,0.19584,50.0,50.0,28.2234,51.1794,26.0091,0.260091,29.5725,0.295725,0,1,EXCLUDED,intraday_hard_risk=1,professional_score_rule_guarded,27,27,5522.0,0.4500181093806591,-0.0064157186364792,-0.0019792225699925,77.0,0.0139442231075697,155.0,0.0280695400217312,2413484442.78276,0.3179648087116394,15.0384,21.0958,5.85,,,374782.4626,,,19.9728,0.0827616710703349,0.0646765569833707,0.0494775141702502,-0.1125,0.1759550583578545,2.0,7.0,1.0,7.0,2.0,0.0,2.0,22531511.0,22531511.0,09:47:00,15:00:00,4.0,,7.5878,1.0,154.0,0.018649,0.0,31.0,,,,,,,1.0,0.4826086956521734,381100.0,8.83,5.89,1.0,0.0,1.6661988493177806,1,1.0,0.595764,1.0,0.221053,0.24825,1,0.0,0.144734,1.0,0.4826086956521734,0.4693327304347824,0.7046373191304347,0.28490476,0.0,-0.0062018307314883,-0.0062018307314883,down,high,0.919276,ehx:coldstart_v1,-0.219265760192979,-0.0935823570559189,-0.0062211419684495,0.0811400731190199,0.2068234762560822,7.091445896815275,8.041154420797996,8.775237834640958,9.57633631003846,10.858829098463078,0.4808455404100022,0.4808455404100022,12,27,27,0.1244446214110926,0.0,0.208937,,,,29,,,0.7775763378650797,,,,,,,,,,0,0,execution_model_error:KeyError,premium_exec_profit_v1_walkforward_guarded,35.0,,,,放弃,REJECT,29.0885,50.0,34.789935232253654,FROZEN_NEGATIVE_IC,CAUTION,REJECT,premium_reject;premium_excluded;minute_hard_risk;execution_model_guard,2
41,20260716,20260716,20260717,20260720,600162.SH,香江控股,2→3,房地产开发,2.78,FULL,0,0,Outside TOP20,放弃,不建议买入,放弃,不建议买入,风控排除：intraday_hard_risk=1,风控排除：intraday_hard_risk=1,放弃,不建议买入,放弃,不建议买入,风控排除：intraday_hard_risk=1,风控排除：intraday_hard_risk=1,0.125101,0.125101,41.1902,41.1902,0.486443,0.486443,35.9001,35.9001,0.178698,41.1902,0.427727,35.9001,0.561423466062774,0.8005201993498381,0.2777322758011039,0.4282093108969361,0.4818698789330001,0.2778155135786271,0.5258634939349979,0.6175480782516595,0.5958478339724436,0.0243823644682777,0.0579608493420236,0.0051301622463688,0.0740779704609881,0.4310901770176352,limitup_probability_engine:shadow_gate_failed,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.178698,0.125101,validated_platt_v1,0.427727,0.486443,validated_base_rate_v1,15.3781,48.9832,45.2019,81.4215,31.8617,31.8617,22,0.5874175119852204,0.0651446033707546,0.2388635456927671,0.1085743389512578,0.125101,0.125101,0.125101,0.48569,0.518622,0.16646,46.3189,31.7965,54.477,76.8646,0.34562,1.0,84.9215,0.0,0.198185,50.0,50.0,25.8892,52.3847,25.6287,0.256287,27.1869,0.271869,0,1,EXCLUDED,intraday_hard_risk=1,professional_score_rule_guarded,33,33,5522.0,0.4500181093806591,-0.0064157186364792,-0.0019792225699925,77.0,0.0139442231075697,155.0,0.0280695400217312,2413484442.78276,0.3179648087116394,10.5613,32.8718,3.29,,,908625.7918,,,9.8814,0.0659558111044529,0.056765434592063,0.0628412853238535,-0.4365482233502538,0.5245968192418311,2.0,8.0,1.0,8.0,2.0,0.0,2.0,45399276.0,45399276.0,09:31:00,15:00:00,2.0,,11.5108,1.0,289.0,0.133188,0.0,22.0,,,,,,,1.0,0.8768774703557314,23064268.0,2.78,2.28,1.0,0.0,1.7503010272026145,1,1.0,0.575882,1.0,0.286,0.286,1,0.12,0.0,1.0,0.8768774703557314,0.5447699293280633,0.7686459340711463,0.34562,0.0,-0.0060234636003199,-0.0060234636003199,down,high,0.927512,ehx:coldstart_v1,-0.1844101298313923,-0.0791835615852105,-0.006041677835881,0.0671002059134484,0.172326774159632,2.3118331884231287,2.568359494544233,2.7632547711911104,2.972939320500148,3.302823477380121,0.4777846987086265,0.4777846987086265,21,26,26,0.1491650600622718,0.0,0.208476,,,,15,,,0.7532085071415626,,,,,,,,,,0,0,execution_model_error:KeyError,premium_exec_profit_v1_walkforward_guarded,35.0,,,,放弃,REJECT,23.8856,50.0,29.409700486500668,FROZEN_NEGATIVE_IC,CAUTION,REJECT,premium_reject;premium_excluded;minute_hard_risk;execution_model_guard,3
