rank,trade_date,target_date,ts_code,name,close_T,close_T2_actual,r_actual,r_p50,in_p10,in_p50,err_r_p50,err_close_p50,e_premium,actual_ret,hit_up
1,20260306,20260310,000533.SZ,顺钠股份,,,,,,,,,,,
2,20260306,20260310,601567.SH,三星医疗,,,,,,,,,,,
3,20260306,20260310,002498.SZ,汉缆股份,,,,,,,,,,,
4,20260306,20260310,000818.SZ,航锦科技,,,,,,,,,,,
5,20260306,20260310,002165.SZ,红 宝 丽,,,,,,,,,,,
6,20260306,20260310,002506.SZ,协鑫集成,,,,,,,,,,,
7,20260306,20260310,605399.SH,晨光新材,,,,,,,,,,,
8,20260306,20260310,603285.SH,键邦股份,,,,,,,,,,,
9,20260306,20260310,301205.SZ,联特科技,,,,,,,,,,,
10,20260306,20260310,002261.SZ,拓维信息,,,,,,,,,,,
11,20260306,20260310,600590.SH,泰豪科技,,,,,,,,,,,
12,20260306,20260310,002015.SZ,协鑫能科,,,,,,,,,,,
13,20260306,20260310,601868.SH,中国能建,,,,,,,,,,,
14,20260306,20260310,002809.SZ,红墙股份,,,,,,,,,,,
15,20260306,20260310,600482.SH,中国动力,,,,,,,,,,,
16,20260306,20260310,000815.SZ,美利云,,,,,,,,,,,
17,20260306,20260310,003023.SZ,彩虹集团,,,,,,,,,,,
18,20260306,20260310,301638.SZ,南网数字,,,,,,,,,,,
19,20260306,20260310,002648.SZ,卫星化学,,,,,,,,,,,
20,20260306,20260310,605268.SH,王力安防,,,,,,,,,,,
21,20260306,20260310,002470.SZ,金正大,,,,,,,,,,,
22,20260306,20260310,001696.SZ,宗申动力,,,,,,,,,,,
23,20260306,20260310,600397.SH,江钨装备,,,,,,,,,,,
24,20260306,20260310,002448.SZ,中原内配,,,,,,,,,,,
25,20260306,20260310,600470.SH,六国化工,,,,,,,,,,,
26,20260306,20260310,600075.SH,新疆天业,,,,,,,,,,,
27,20260306,20260310,600821.SH,金开新能,,,,,,,,,,,
28,20260306,20260310,600227.SH,赤天化,,,,,,,,,,,
29,20260306,20260310,600645.SH,中源协和,,,,,,,,,,,
30,20260306,20260310,002637.SZ,赞宇科技,,,,,,,,,,,
