rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,t1_up_rate,T+1上涨率,close_T2_actual,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up
11,20260605,20260605,20260608,20260609,603020.SH,爱普股份,10.67,限价竞价,≤11.17,冲高至11.95附近优先兑现；强势放量再看12.36；弱于10.51止损,冲高至11.95附近优先兑现；强势放量再看12.36；弱于10.51止损,限价竞价,≤11.17,冲高至11.95附近优先兑现；强势放量再看12.36；弱于10.51止损,冲高至11.95附近优先兑现；强势放量再看12.36；弱于10.51止损,0.58309,0.58309,52.4927,52.4927,0.876807,0.876807,64.9169,64.9169,0.58309,52.4927,0.876807,64.9169,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,11.64,0.0870113769896299,0.11332868530700317,0.0,0.12,0.12,up,high,True,True,-0.026317308317373278,-0.31040000000000134,0.09090909090909105,0.09090909090909105,0.029090909090908945,1,是
12,20260605,20260605,20260608,20260609,002251.SZ,步步高,4.86,限价竞价,≤5.08,冲高至5.40附近优先兑现；强势放量再看5.58；弱于4.79止损,冲高至5.40附近优先兑现；强势放量再看5.58；弱于4.79止损,限价竞价,≤5.08,冲高至5.40附近优先兑现；强势放量再看5.58；弱于4.79止损,冲高至5.40附近优先兑现；强势放量再看5.58；弱于4.79止损,0.582366,0.582366,52.471,52.471,0.858084,0.858084,64.4145,64.4145,0.582366,52.471,0.858084,64.4145,,,,,,,,rule_fallback:model_missing,0.98189275110578,0.98189275110578,4.53,-0.07031649841745971,0.10472554237217016,0.0,0.11040580918579791,0.11040580918579791,up,high,False,False,-0.17504204078962987,-0.8665722326429783,-0.0679012345679012,0.0679012345679012,0.1783070437536991,0,否
13,20260605,20260605,20260608,20260609,600063.SH,皖维高新,8.22,限价竞价,≤8.57,冲高至9.04附近优先兑现；强势放量再看9.36；弱于8.10止损,冲高至9.04附近优先兑现；强势放量再看9.36；弱于8.10止损,限价竞价,≤8.57,冲高至9.04附近优先兑现；强势放量再看9.36；弱于8.10止损,冲高至9.04附近优先兑现；强势放量再看9.36；弱于8.10止损,0.562797,0.562797,51.8839,51.8839,0.834046,0.834046,62.884,62.884,0.562797,51.8839,0.834046,62.884,,,,,,,,rule_fallback:model_missing,0.9721024025977141,0.9721024025977141,7.96,-0.03214120921179698,0.09563159424689473,0.0,0.10035361271189897,0.10035361271189897,up,high,False,False,-0.1277728034586917,-1.0849066964918093,-0.031630170316301776,0.031630170316301776,0.13198378302820074,0,否
14,20260605,20260605,20260608,20260609,600973.SH,宝胜股份,7.62,限价竞价,≤7.96,冲高至8.46附近优先兑现；强势放量再看8.75；弱于7.51止损,冲高至8.46附近优先兑现；强势放量再看8.75；弱于7.51止损,限价竞价,≤7.96,冲高至8.46附近优先兑现；强势放量再看8.75；弱于7.51止损,冲高至8.46附近优先兑现；强势放量再看8.75；弱于7.51止损,0.526988,0.526988,50.8096,50.8096,0.852158,0.852158,61.6359,61.6359,0.526988,50.8096,0.852158,61.6359,,,,,,,,rule_fallback:model_missing,0.9818836698002524,0.9818836698002524,7.12,-0.06786864427467046,0.10471533920314918,0.0,0.11039447958544393,0.11039447958544393,up,high,False,False,-0.17258398347781964,-1.3412059344410823,-0.06561679790026242,0.06561679790026242,0.17601127748570636,0,否
15,20260605,20260605,20260608,20260609,000517.SZ,荣安地产,2.12,限价竞价,≤2.22,冲高至2.37附近优先兑现；强势放量再看2.46；弱于2.09止损,冲高至2.37附近优先兑现；强势放量再看2.46；弱于2.09止损,限价竞价,≤2.22,冲高至2.37附近优先兑现；强势放量再看2.46；弱于2.09止损,冲高至2.37附近优先兑现；强势放量再看2.46；弱于2.09止损,0.501876,0.501876,50.0563,50.0563,0.876807,0.876807,61.0593,61.0593,0.501876,50.0563,0.876807,61.0593,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,2.1,-0.00947874395454377,0.11332868530700317,0.0,0.12,0.12,up,high,False,False,-0.12280742926154695,-0.2744000000000004,-0.009433962264150941,0.009433962264150941,0.12943396226415094,0,否
16,20260605,20260605,20260608,20260609,002471.SZ,中超控股,7.95,限价竞价,≤8.31,冲高至8.83附近优先兑现；强势放量再看9.13；弱于7.83止损,冲高至8.83附近优先兑现；强势放量再看9.13；弱于7.83止损,限价竞价,≤8.31,冲高至8.83附近优先兑现；强势放量再看9.13；弱于7.83止损,冲高至8.83附近优先兑现；强势放量再看9.13；弱于7.83止损,0.487427,0.487427,49.6228,49.6228,0.852158,0.852158,59.7567,59.7567,0.487427,49.6228,0.852158,59.7567,,,,,,,,rule_fallback:model_missing,0.9818836698002524,0.9818836698002524,7.77,-0.022901764286684567,0.10471533920314918,0.0,0.11039447958544393,0.11039447958544393,up,high,False,False,-0.12761710348983374,-1.0576361127042802,-0.02264150943396237,0.02264150943396237,0.1330359890194063,0,否
17,20260605,20260605,20260608,20260609,002892.SZ,科力尔,10.88,只观察不追,≤10.99,冲高至12.19附近优先兑现；强势放量再看12.60；弱于10.72止损,冲高至12.19附近优先兑现；强势放量再看12.60；弱于10.72止损,只观察不追,≤10.99,冲高至12.19附近优先兑现；强势放量再看12.60；弱于10.72止损,冲高至12.19附近优先兑现；强势放量再看12.60；弱于10.72止损,0.469145,0.469145,49.0744,49.0744,0.876807,0.876807,59.5046,59.5046,0.469145,49.0744,0.876807,59.5046,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,10.81,-0.006454609776679692,0.11332868530700317,0.0,0.12,0.12,up,high,False,False,-0.11978329508368286,-1.3756000000000022,-0.006433823529411797,0.006433823529411797,0.1264338235294118,0,否
18,20260605,20260605,20260608,20260609,600881.SH,亚泰集团,1.65,只观察不追,≤1.67,冲高至1.85附近优先兑现；强势放量再看1.91；弱于1.63止损,冲高至1.85附近优先兑现；强势放量再看1.91；弱于1.63止损,只观察不追,≤1.67,冲高至1.85附近优先兑现；强势放量再看1.91；弱于1.63止损,冲高至1.85附近优先兑现；强势放量再看1.91；弱于1.63止损,0.451411,0.451411,48.5423,48.5423,0.876807,0.876807,58.6622,58.6622,0.451411,48.5423,0.876807,58.6622,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,1.61,-0.024541108916117545,0.11332868530700317,0.0,0.12,0.12,up,high,False,False,-0.1378697942231207,-0.238,-0.024242424242424176,0.024242424242424176,0.14424242424242417,0,否
19,20260605,20260605,20260608,20260609,000608.SZ,阳光股份,5.52,限价竞价,≤5.71,冲高至5.91附近优先兑现；强势放量再看6.12；弱于5.44止损,冲高至5.91附近优先兑现；强势放量再看6.12；弱于5.44止损,限价竞价,≤5.71,冲高至5.91附近优先兑现；强势放量再看6.12；弱于5.44止损,冲高至5.91附近优先兑现；强势放量再看6.12；弱于5.44止损,0.51168,0.51168,50.3504,50.3504,0.738305,0.738305,58.0624,58.0624,0.51168,50.3504,0.738305,58.0624,,,,,,,,rule_fallback:model_missing,0.9155163148685066,0.9155163148685066,6.4,0.14792013007662247,0.06877647115918044,0.0,0.0711967390197404,0.0711967390197404,up,high,True,False,0.07914365891744203,0.48699400061103404,0.15942028985507273,0.15942028985507273,0.08822355083533233,1,是
20,20260605,20260605,20260608,20260609,300162.SZ,雷曼光电,10.52,只观察不追,≤10.63,冲高至11.78附近优先兑现；强势放量再看12.19；弱于10.36止损,冲高至11.78附近优先兑现；强势放量再看12.19；弱于10.36止损,只观察不追,≤10.63,冲高至11.78附近优先兑现；强势放量再看12.19；弱于10.36止损,冲高至11.78附近优先兑现；强势放量再看12.19；弱于10.36止损,0.429111,0.429111,47.8733,47.8733,0.876807,0.876807,57.6029,57.6029,0.429111,47.8733,0.876807,57.6029,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,10.97,0.04188606697757524,0.11332868530700317,0.0,0.12,0.12,up,high,True,False,-0.07144261832942793,-0.8124000000000002,0.042775665399239715,0.042775665399239715,0.07722433460076028,0,是
