rank,trade_date,target_date,ts_code,name,close_T,close_T2_actual,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up
1,20260331,20260402,002565.SZ,顺灏股份,17.01,16.2,-0.048790164169432174,0.020145966148915874,0.0,0.020350265756271517,0.020350265756271517,up,high,True,False,-0.06893613031834805,-1.1561580205141802,-0.04761904761904778,0.04761904761904778,0.0679693133753193,0,否
2,20260331,20260402,600495.SH,晋西车轴,4.93,5.03,0.020080996057049126,0.010456178715974351,0.0,0.01051103558366617,0.01051103558366617,up,high,True,True,0.009624817341074775,0.04818059457252666,0.020283975659229236,0.020283975659229236,0.009772940075563067,1,是
3,20260331,20260402,600158.SH,中体产业,11.99,11.59,-0.033930311687762525,0.009723730541397779,0.0,0.009771159613742631,0.009771159613742631,up,high,True,False,-0.043654042229160306,-0.5171562037687742,-0.03336113427856546,0.03336113427856546,0.04313229389230809,0,否
4,20260331,20260402,002454.SZ,松芝股份,9.24,9.26,0.0021621630044950956,0.008617905562094014,0.0,0.008655146613314044,0.008655146613314044,up,high,True,True,-0.006455742557598919,-0.05997355470702104,0.0021645021645020357,0.0021645021645020357,0.006490644448812009,0,是
5,20260331,20260402,000927.SZ,中国铁物,3.34,3.17,-0.052239219099419816,0.008366409703483953,0.0,0.008401505917304285,0.008401505917304285,up,high,True,False,-0.060605628802903766,-0.19806102976379636,-0.050898203592814384,0.050898203592814384,0.05929970951011867,0,否
6,20260331,20260402,601908.SH,京运通,5.01,4.9,-0.022200709980192416,0.00785220213550802,0.0,0.007883111523985764,0.007883111523985764,up,high,True,True,-0.030052912115700436,-0.1494943887351674,-0.02195608782435121,0.02195608782435121,0.029839199348336974,0,否
7,20260331,20260402,603039.SH,泛微网络,43.45,44.24,0.018018505502678212,0.0071626741201321125,0.0,0.007188387425755561,0.007188387425755561,up,high,True,True,0.010855831382546099,0.47766456635092425,0.018181818181818077,0.018181818181818077,0.010993430756062517,1,是
8,20260331,20260402,000070.SZ,特发信息,17.8,19.37,0.08452702012086513,0.004898246503394492,0.0,0.004910262523931129,0.004910262523931129,up,high,True,False,0.07962877361747064,1.482597327074025,0.08820224719101133,0.08820224719101133,0.0832919846670802,1,是
9,20260331,20260402,002542.SZ,中化岩土,3.28,3.1,-0.05644131090495173,0.00480595253209528,0.0,0.0048175196448736034,0.0048175196448736034,up,high,True,False,-0.06124726343704701,-0.1958014644351853,-0.05487804878048774,0.05487804878048774,0.05969556842536135,0,否
10,20260331,20260402,000008.SZ,神州高铁,3.27,3.12,-0.04695698308777098,0.004785258575048084,0.0,0.004796726209431775,0.004796726209431775,up,high,True,False,-0.051742241662819065,-0.16568529470484172,-0.04587155963302747,0.04587155963302747,0.05066828584245925,0,否
11,20260331,20260402,002560.SZ,通达股份,10.79,13.06,0.19093434457824188,0.004355038968755069,0.0,0.004364535932508969,0.004364535932508969,up,high,False,False,0.1865793056094868,2.222906657288231,0.21037998146431902,0.21037998146431902,0.20601544553181006,1,是
12,20260331,20260402,300834.SZ,星辉环材,30.2,43.49,0.3646891022287231,0.00391046547652903,0.0,0.003918121322705155,0.003918121322705155,up,high,False,False,0.36077863675219407,13.171672736054308,0.44006622516556293,0.44006622516556293,0.4361481038428578,1,是
13,20260331,20260402,605299.SH,舒华体育,21.33,22.94,0.07276757921796559,0.003862502878571421,0.0,0.003869971956163382,0.003869971956163382,up,high,True,False,0.06890507633939416,1.527453498175035,0.07548054383497438,0.07548054383497438,0.071610571878811,1,是
14,20260331,20260402,000913.SZ,钱江摩托,16.67,15.31,-0.08510448709311035,0.0036317885676014445,0.0,0.00363839150276967,0.00363839150276967,up,high,False,False,-0.0887362756607118,-1.420651986351169,-0.08158368326334742,0.08158368326334742,0.08522207476611708,0,否
15,20260331,20260402,600488.SH,津药药业,5.24,6.34,0.19055727011618373,0.0035407610509529753,0.0,0.0035470369503302103,0.0035470369503302103,up,high,False,False,0.18701650906523076,1.0814135263802696,0.20992366412213737,0.20992366412213737,0.20637662717180716,1,是
16,20260331,20260402,002580.SZ,圣阳股份,17.61,17.08,-0.030558734147690992,0.0034651835270740794,0.0,0.003471194216220627,0.003471194216220627,up,high,True,False,-0.03402391767476507,-0.5911277301476474,-0.030096536059057377,0.030096536059057377,0.033567730275278006,0,否
17,20260331,20260402,600894.SH,广日股份,9.59,9.7,0.011404996613990161,0.0033346475790199713,0.0,0.0033402137015574418,0.0033402137015574418,up,high,True,True,0.008070349034970191,0.07796735060206395,0.011470281543274119,0.011470281543274119,0.008130067841716677,1,是
18,20260331,20260402,002361.SZ,神剑股份,16.5,17.29,0.04676791878866418,0.0016125326711479196,0.0,0.0016138335010719618,0.0016138335010719618,flat,high,True,False,0.04515538611751626,0.7633717472323092,0.047878787878787854,0.047878787878787854,0.04626495437771589,1,是
19,20260331,20260402,600528.SH,中铁工业,9.17,8.66,-0.05722256369402964,0.0015811306057485807,0.0,0.0015823812518028573,0.0015823812518028573,flat,high,True,False,-0.05880369429977823,-0.5245104360790318,-0.055616139585605184,0.055616139585605184,0.05719852083740804,0,否
20,20260331,20260402,600502.SH,安徽建工,5.63,5.64,0.0017746233583684796,0.0002618906064269444,0.0,0.0002619249027657094,0.0002619249027657094,flat,high,True,True,0.0015127327519415352,0.008525362797428215,0.001776198934280604,0.001776198934280604,0.0015142740315148946,1,是
21,20260331,20260402,605162.SH,新中港,11.61,14.05,0.19075560006995473,7.386881266480434e-05,0.0,7.38715410327266e-05,7.38715410327266e-05,flat,high,False,False,0.19068173125728993,2.439142351408613,0.21016365202411724,0.21016365202411724,0.21008978048308452,1,是
22,20260331,20260402,301008.SZ,宏昌科技,42.29,40.96,-0.03195467075314488,-1.536459450767479e-05,0.0,-1.5364476472897115e-05,-1.5364476472897115e-05,flat,high,True,True,-0.0319393061586372,-1.3293502362899616,-0.031449515251832594,0.031449515251832594,0.031434150775359694,1,否
23,20260331,20260402,002821.SZ,凯莱英,110.77,126.65,0.1339713969188429,-0.000158767083548303,0.0,-0.00015875448072187392,-0.00015875448072187392,flat,high,False,False,0.13413016400239122,15.897585233829574,0.14336011555475325,0.14336011555475325,0.14351887003547512,0,是
24,20260331,20260402,002788.SZ,鹭燕医药,16.17,17.04,0.052405847812154134,-0.0007232951205977818,0.0,-0.0007230336057366493,-0.0007230336057366493,flat,high,True,False,0.053129142932751915,0.8816914534047591,0.05380333951762517,0.05380333951762517,0.05452637312336182,0,是
25,20260331,20260402,002995.SZ,天地在线,24.66,23.28,-0.057587874872961096,-0.0011085440691437636,0.0,-0.0011079298611469887,-0.0011079298611469887,flat,high,True,False,-0.05647933080381733,-1.3526784496241149,-0.05596107055961064,0.05596107055961064,0.05485314069846365,1,否
26,20260331,20260402,000863.SZ,三湘印象,5.71,5.34,-0.06699337069581539,-0.0015907681789610057,0.0,-0.0015895035779126601,-0.0015895035779126601,flat,high,True,False,-0.06540260251685438,-0.36092393457011873,-0.06479859894921192,0.06479859894921192,0.06320909537129926,1,否
27,20260331,20260402,002342.SZ,巨力索具,14.4,13.8,-0.04255961441879589,-0.0016119210441462074,0.0,-0.0016106225971782957,-0.0016106225971782957,flat,high,True,False,-0.04094769337464968,-0.5768070346006322,-0.04166666666666663,0.04166666666666663,0.04005604406948833,1,否
28,20260331,20260402,600066.SH,宇通客车,35.86,38.25,0.06452109209555808,-0.0016707333439909447,0.0,-0.001669338445979934,-0.001669338445979934,flat,high,True,False,0.06619182543954902,2.449862476672841,0.0666480758505299,0.0666480758505299,0.06831741429650984,0,是
29,20260331,20260402,001239.SZ,永达股份,15.86,15.13,-0.04712068840643734,-0.0018682062349536501,0.0,-0.0018664622239119848,-0.0018664622239119848,flat,high,True,False,-0.04525248217148369,-0.7003979091287551,-0.04602774274905419,0.04602774274905419,0.044161280525142205,1,否
30,20260331,20260402,603657.SH,春光科技,27.94,28.59,0.02299765250540456,-0.0019067313211795288,0.0,-0.0019049146638232125,-0.0019049146638232125,flat,high,True,True,0.024904383826584088,0.7032233157072199,0.023264137437365662,0.023264137437365662,0.025169052101188874,0,是
