rank,trade_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+2卖出计划,t1_buy_method,t1_max_buy_price,t2_sell_plan,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
12,20260609,20260611,600458.SH,时代新材,15.73,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.096570351120182,0.096570351120182,up,high,1.0,ehx:model_v1,0.009944765269304018,0.05846295901481697,0.09218744652598809,0.12591193403715922,0.17443012778267303,15.887211578145537,16.67703587969622,17.249051623120465,17.840687280604104,18.72762759113482,12,12,0.2213193026390004,0.0,0.0,,,,,,,,
13,20260609,20260611,000158.SZ,常山北明,15.3,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.09633885311462227,0.09633885311462227,up,high,1.0,ehx:model_v1,0.009733632034993514,0.058251825780506465,0.09197631329167759,0.1257008008028487,0.17421899454836254,15.44965171596045,16.21772296091986,16.77398445265372,17.349325493836762,18.21183801361683,13,13,0.1179963626770281,0.0,0.0,,,,,,,,
14,20260609,20260611,000920.SZ,沃顿科技,12.98,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.09631354924233013,0.09631354924233013,up,high,1.0,ehx:model_v1,0.009710551429726516,0.05822874517523947,0.09195323268641059,0.12567772019758172,0.17419591394309553,13.106656916552993,13.758247417117682,14.230149869165446,14.718238388922067,15.44994780806131,14,14,0.2143551396085397,0.0,0.0,,,,,,,,
15,20260609,20260611,002137.SZ,实益达,10.79,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.0925059488801978,0.0925059488801978,up,high,1.0,ehx:model_v1,0.006231411915364762,0.05474960566087771,0.08847409317204884,0.12219858068321995,0.1707167744287338,10.85744686090369,11.397219075892844,11.788139188417333,12.192467706392183,12.79860977499959,15,15,0.1210290920463579,0.0,0.0,,,,,,,,
16,20260609,20260611,603065.SH,宿迁联盛,10.4,市价竞价,≤10.83,冲高至11.36附近优先兑现；强势放量再看11.75；弱于10.24止损,市价竞价,≤10.83,冲高至11.36附近优先兑现；强势放量再看11.75；弱于10.24止损,0.0,0.0925059488801978,0.0925059488801978,up,high,1.0,ehx:model_v1,0.006231411915364762,0.05474960566087771,0.08847409317204884,0.12219858068321995,0.1707167744287338,10.465009022557775,10.985271398450935,11.362061868354058,11.751776102546684,12.336009421686354,16,16,0.8577420460746793,0.0,0.0,,,,,,,,
17,20260609,20260611,002057.SZ,中钢天源,10.74,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.0925059488801978,0.0925059488801978,up,high,1.0,ehx:model_v1,0.006231411915364762,0.05474960566087771,0.08847409317204884,0.12219858068321995,0.1707167744287338,10.807134317526009,11.3444052710926,11.733513890973324,12.135968782822248,12.73930203739533,17,17,0.0757597515500823,0.0,0.0,,,,,,,,
18,20260609,20260611,605318.SH,法狮龙,105.96,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.09181176885460139,0.09181176885460139,up,high,1.0,ehx:model_v1,0.005595808364351543,0.054114002109864494,0.08783848962103562,0.12156297713220673,0.17008117087772057,106.5545939195549,111.8518990700257,115.68837502783356,119.6564405956276,125.6050971081077,18,18,0.0934604399263412,0.0,0.0,,,,,,,,
19,20260609,20260611,600487.SH,亨通光电,105.02,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.09181176885460139,0.09181176885460139,up,high,1.0,ehx:model_v1,0.005595808364351543,0.054114002109864494,0.08783848962103562,0.12156297713220673,0.17008117087772057,105.60931911505905,110.85963042972912,114.66207196511023,118.59493574323152,124.49082010469489,19,19,0.1305567688930705,0.0,0.0,,,,,,,,
20,20260609,20260611,603163.SH,圣晖集成,106.54,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.09181176885460139,0.09181176885460139,up,high,1.0,ehx:model_v1,0.005595808364351543,0.054114002109864494,0.08783848962103562,0.12156297713220673,0.17008117087772057,107.13784858615875,112.46414993318741,116.32162585376923,120.31141167476562,126.29262972723477,20,20,0.1551450063561181,0.0,0.0,,,,,,,,
21,20260609,20260611,600330.SH,天通股份,29.46,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08990324427796482,0.08990324427796482,up,high,1.0,ehx:model_v1,0.00384624432690657,0.05236443807241952,0.08608892558359064,0.11981341309476176,0.1683316068402756,29.573528547178014,31.043760841515642,32.10854957642884,33.2098601443695,34.860870736385856,21,21,0.0801814470869436,0.0,0.0,,,,,,,,
