rank,trade_date,target_date,ts_code,name,close_T,close_T2_actual,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up
1,20260513,20260515,603779.SH,威龙股份,8.2,9.92,0.19041876702657415,0.027061670895883565,0.0,0.02743116341002158,0.02743116341002158,up,high,False,False,0.16335709613069058,1.495064460037824,0.2097560975609758,0.2097560975609758,0.18232493415095422,1,是
2,20260513,20260515,300965.SZ,恒宇信通,79.2,78.01,-0.015139275220158321,0.026524126150423554,0.0,0.026879021600568185,0.026879021600568185,up,high,True,False,-0.04166340137058187,-3.3188185107649844,-0.015025252525252442,0.015025252525252442,0.04190427412582062,0,否
3,20260513,20260515,300959.SZ,线上线下,133.79,166.0,0.2157163818710153,0.014984211345066837,0.0,0.015097037472347467,0.015097037472347467,up,high,False,False,0.20073217052594847,30.190167356574648,0.2407504297780103,0.2407504297780103,0.22565339230566284,1,是
4,20260513,20260515,600530.SH,交大昂立,7.93,7.46,-0.06109762143108714,0.013862551707695766,0.0,0.013959082415834833,0.013959082415834833,up,high,True,False,-0.0749601731387829,-0.5806955235575701,-0.059268600252206816,0.059268600252206816,0.07322768266804165,0,否
5,20260513,20260515,601016.SH,节能风电,5.63,5.03,-0.11268945803995116,0.012061150456888022,0.0,0.01213417944124481,0.01213417944124481,up,high,False,False,-0.12475060849683918,-0.668315430254208,-0.10657193605683835,0.10657193605683835,0.11870611549808316,0,否
6,20260513,20260515,001259.SZ,利仁科技,50.0,60.5,0.1906203596086497,0.011664135896938072,0.0,0.011732427191407014,0.011732427191407014,up,high,False,False,0.17895622371171163,9.913378640429649,0.20999999999999996,0.20999999999999996,0.19826757280859295,1,是
7,20260513,20260515,603070.SH,万控智造,17.01,16.55,-0.027415304584698524,0.00994720396536666,0.0,0.009996841848258158,0.009996841848258158,up,high,True,False,-0.037362508550065184,-0.6300462798388722,-0.027042915931804856,0.027042915931804856,0.037039757780063014,0,否
8,20260513,20260515,001210.SZ,金房能源,26.73,30.21,0.12238646524775305,0.009153542796320996,0.0,0.009195564587408478,0.009195564587408478,up,high,False,False,0.11323292245143206,3.2342025585785734,0.1301907968574636,0.1301907968574636,0.12099523227005513,1,是
9,20260513,20260515,000601.SZ,韶能股份,8.9,7.88,-0.12172337286830644,0.007774236910571598,0.0,0.0078045347536537645,0.0078045347536537645,up,high,False,False,-0.12949760977887803,-1.0894603593075187,-0.11460674157303374,0.11460674157303374,0.12241127632668751,0,否
10,20260513,20260515,601138.SH,工业富联,70.84,67.62,-0.04652001563489282,0.007263421431344587,0.0,0.007289864059336293,0.007289864059336293,up,high,True,False,-0.0537834370662374,-3.736413969963394,-0.045454545454545414,0.045454545454545414,0.05274440951388171,0,否
11,20260513,20260515,002842.SZ,翔鹭钨业,39.91,36.43,-0.09123430804016996,0.007078502710321442,0.0,0.00710361452701825,0.00710361452701825,up,high,False,False,-0.0983128107504914,-3.763505255773296,-0.087196191430719,0.087196191430719,0.09429980595773724,0,否
12,20260513,20260515,002183.SZ,怡 亚 通,7.62,7.17,-0.06087071508702592,0.006652884134827363,0.0,0.006675063727288149,0.006675063727288149,up,high,True,False,-0.06752359922185329,-0.5008639856019359,-0.05905511811023623,0.05905511811023623,0.06573018183752438,0,否
