rank,trade_date,target_date,ts_code,name,close_T,close_T2_actual,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up
1,20260319,20260323,603687.SH,大胜达,,,,,,,,,,,,,,,,,,
2,20260319,20260323,000601.SZ,韶能股份,,,,,,,,,,,,,,,,,,
3,20260319,20260323,000020.SZ,深华发Ａ,,,,,,,,,,,,,,,,,,
4,20260319,20260323,000617.SZ,中油资本,,,,,,,,,,,,,,,,,,
5,20260319,20260323,601218.SH,吉鑫科技,,,,,,,,,,,,,,,,,,
6,20260319,20260323,002310.SZ,东方新能,,,,,,,,,,,,,,,,,,
7,20260319,20260323,603366.SH,日出东方,,,,,,,,,,,,,,,,,,
8,20260319,20260323,001258.SZ,立新能源,,,,,,,,,,,,,,,,,,
9,20260319,20260323,000968.SZ,蓝焰控股,,,,,,,,,,,,,,,,,,
10,20260319,20260323,600726.SH,华电能源,,,,,,,,,,,,,,,,,,
11,20260319,20260323,002432.SZ,九安医疗,,,,,,,,,,,,,,,,,,
12,20260319,20260323,600979.SH,广安爱众,,,,,,,,,,,,,,,,,,
13,20260319,20260323,002902.SZ,铭普光磁,,,,,,,,,,,,,,,,,,
14,20260319,20260323,000539.SZ,粤电力Ａ,,,,,,,,,,,,,,,,,,
15,20260319,20260323,600666.SH,奥瑞德,,,,,,,,,,,,,,,,,,
16,20260319,20260323,601015.SH,陕西黑猫,,,,,,,,,,,,,,,,,,
17,20260319,20260323,600396.SH,华电辽能,,,,,,,,,,,,,,,,,,
18,20260319,20260323,000815.SZ,美利云,,,,,,,,,,,,,,,,,,
19,20260319,20260323,605389.SH,长龄液压,,,,,,,,,,,,,,,,,,
20,20260319,20260323,300895.SZ,铜牛信息,,,,,,,,,,,,,,,,,,
21,20260319,20260323,600617.SH,国新能源,,,,,,,,,,,,,,,,,,
22,20260319,20260323,600996.SH,贵广网络,,,,,,,,,,,,,,,,,,
23,20260319,20260323,300332.SZ,天壕能源,,,,,,,,,,,,,,,,,,
24,20260319,20260323,603629.SH,利通电子,,,,,,,,,,,,,,,,,,
25,20260319,20260323,002109.SZ,兴化股份,,,,,,,,,,,,,,,,,,
26,20260319,20260323,600186.SH,莲花控股,,,,,,,,,,,,,,,,,,
27,20260319,20260323,605169.SH,洪通燃气,,,,,,,,,,,,,,,,,,
28,20260319,20260323,603130.SH,云中马,,,,,,,,,,,,,,,,,,
