rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t1_up_rate,T+1上涨率,close_T2_actual,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up
11,20260609,20260609,20260610,20260611,002515.SZ,金字火腿,7.36,市价竞价,≤7.68,冲高至8.12附近优先兑现；强势放量再看8.40；弱于7.25止损,冲高至8.12附近优先兑现；强势放量再看8.40；弱于7.25止损,市价竞价,≤7.68,冲高至8.12附近优先兑现；强势放量再看8.40；弱于7.25止损,冲高至8.12附近优先兑现；强势放量再看8.40；弱于7.25止损,0.796276,0.796276,58.8883,58.8883,0.841749,0.841749,74.1669,74.1669,0.9751096851738668,0.9751096851738668,7.53,0.022835109071017358,0.09809220840778671,0.0,0.10306449223982485,0.10306449223982485,up,high,True,False,-0.07525709933676936,-0.5885546628851115,0.02309782608695654,0.02309782608695654,0.07996666615286831,0,是
12,20260609,20260609,20260610,20260611,000920.SZ,沃顿科技,12.98,市价竞价,≤13.58,冲高至14.47附近优先兑现；强势放量再看14.97；弱于12.79止损,冲高至14.47附近优先兑现；强势放量再看14.97；弱于12.79止损,市价竞价,≤13.58,冲高至14.47附近优先兑现；强势放量再看14.97；弱于12.79止损,冲高至14.47附近优先兑现；强势放量再看14.97；弱于12.79止损,0.783691,0.783691,58.5107,58.5107,0.864258,0.864258,74.1318,74.1318,0.9851112589721895,0.9851112589721895,13.58,0.04518841085460611,0.10865188360454432,0.0,0.11477421160634747,0.11477421160634747,up,high,True,False,-0.06346347274993822,-0.88976926665039,0.046224961479198745,0.046224961479198745,0.06854925012714873,0,是
13,20260609,20260609,20260610,20260611,600183.SH,生益科技,147.47,市价竞价,≤154.46,冲高至165.11附近优先兑现；强势放量再看170.78；弱于145.26止损,冲高至165.11附近优先兑现；强势放量再看170.78；弱于145.26止损,市价竞价,≤154.46,冲高至165.11附近优先兑现；强势放量再看170.78；弱于145.26止损,冲高至165.11附近优先兑现；强势放量再看170.78；弱于145.26止损,0.772679,0.772679,58.1804,58.1804,0.881042,0.881042,74.0283,74.0283,0.9880985173821161,0.9880985173821161,149.73,0.01520890688677807,0.11301473618524344,0.0,0.11964843217372191,0.11964843217372191,up,high,False,False,-0.09780582929846536,-15.384554292658777,0.015325150878144678,0.015325150878144678,0.10432328129557723,0,是
14,20260609,20260609,20260610,20260611,002263.SZ,大东南,4.03,市价竞价,≤4.22,冲高至4.51附近优先兑现；强势放量再看4.67；弱于3.97止损,冲高至4.51附近优先兑现；强势放量再看4.67；弱于3.97止损,市价竞价,≤4.22,冲高至4.51附近优先兑现；强势放量再看4.67；弱于3.97止损,冲高至4.51附近优先兑现；强势放量再看4.67；弱于3.97止损,0.739915,0.739915,57.1975,57.1975,0.883219,0.883219,72.5265,72.5265,0.98829186007614,0.98829186007614,3.84,-0.04829400935895624,0.11332868530700317,0.0,0.12,0.12,up,high,False,False,-0.1616226946659594,-0.6736000000000004,-0.047146401985111774,0.047146401985111774,0.16714640198511177,0,否
15,20260609,20260609,20260610,20260611,000037.SZ,深南电A,11.39,市价竞价,≤11.92,冲高至12.72附近优先兑现；强势放量再看13.15；弱于11.22止损,冲高至12.72附近优先兑现；强势放量再看13.15；弱于11.22止损,市价竞价,≤11.92,冲高至12.72附近优先兑现；强势放量再看13.15；弱于11.22止损,冲高至12.72附近优先兑现；强势放量再看13.15；弱于11.22止损,0.704129,0.704129,56.1239,56.1239,0.868291,0.868291,70.4534,70.4534,0.9862102238702412,0.9862102238702412,11.54,0.013083483620862679,0.11016078286734396,0.0,0.11645756327709117,0.11645756327709117,up,high,False,False,-0.09707729924648129,-1.17645164572607,0.013169446883230851,0.013169446883230851,0.10328811639386032,0,是
16,20260609,20260609,20260610,20260611,000509.SZ,华塑控股,4.8,市价竞价,≤5.03,冲高至5.37附近优先兑现；强势放量再看5.55；弱于4.73止损,冲高至5.37附近优先兑现；强势放量再看5.55；弱于4.73止损,市价竞价,≤5.03,冲高至5.37附近优先兑现；强势放量再看5.55；弱于4.73止损,冲高至5.37附近优先兑现；强势放量再看5.55；弱于4.73止损,0.697513,0.697513,55.9254,55.9254,0.87938,0.87938,70.4164,70.4164,0.9875651655596085,0.9875651655596085,4.1,-0.15762894420358317,0.11217105781465878,0.0,0.1187042073758651,0.1187042073758651,up,high,False,False,-0.26980000201824195,-1.2697801954041523,-0.14583333333333337,0.14583333333333337,0.26453754070919844,0,否
17,20260609,20260609,20260610,20260611,600226.SH,亨通股份,7.43,市价竞价,≤7.75,冲高至8.20附近优先兑现；强势放量再看8.48；弱于7.32止损,冲高至8.20附近优先兑现；强势放量再看8.48；弱于7.32止损,市价竞价,≤7.75,冲高至8.20附近优先兑现；强势放量再看8.48；弱于7.32止损,冲高至8.20附近优先兑现；强势放量再看8.48；弱于7.32止损,0.678729,0.678729,55.3619,55.3619,0.841749,0.841749,68.5834,68.5834,0.9751096851738668,0.9751096851738668,7.5,0.009377161812597005,0.09809220840778671,0.0,0.10306449223982485,0.10306449223982485,up,high,False,False,-0.0887150465951897,-0.6957691773418997,0.009421265141319024,0.009421265141319024,0.09364322709850582,0,是
18,20260609,20260609,20260610,20260611,002051.SZ,中工国际,12.23,限价竞价,≤12.80,冲高至13.66附近优先兑现；强势放量再看14.13；弱于12.05止损,冲高至13.66附近优先兑现；强势放量再看14.13；弱于12.05止损,限价竞价,≤12.80,冲高至13.66附近优先兑现；强势放量再看14.13；弱于12.05止损,冲高至13.66附近优先兑现；强势放量再看14.13；弱于12.05止损,0.619641,0.619641,53.5892,53.5892,0.874695,0.874695,66.6003,66.6003,0.9865427090378218,0.9865427090378218,11.7,-0.044303107895370696,0.11063772051921879,0.0,0.11699017092596314,0.11699017092596314,up,high,False,False,-0.15494082841458948,-1.9607897904245295,-0.04333605887162728,0.04333605887162728,0.16032622979759042,0,否
19,20260609,20260609,20260610,20260611,600186.SH,莲花控股,11.54,限价竞价,≤12.08,冲高至12.89附近优先兑现；强势放量再看13.33；弱于11.37止损,冲高至12.89附近优先兑现；强势放量再看13.33；弱于11.37止损,限价竞价,≤12.08,冲高至12.89附近优先兑现；强势放量再看13.33；弱于11.37止损,冲高至12.89附近优先兑现；强势放量再看13.33；弱于11.37止损,0.618993,0.618993,53.5698,53.5698,0.874695,0.874695,66.5695,66.5695,0.9865427090378218,0.9865427090378218,12.63,0.09025567528244632,0.11063772051921879,0.0,0.11699017092596314,0.11699017092596314,up,high,True,True,-0.020382045236772464,-0.2600665724856128,0.09445407279029472,0.09445407279029472,0.022536098135668425,1,是
20,20260609,20260609,20260610,20260611,002129.SZ,TCL中环,9.81,限价竞价,≤10.23,冲高至10.82附近优先兑现；强势放量再看11.19；弱于9.66止损,冲高至10.82附近优先兑现；强势放量再看11.19；弱于9.66止损,限价竞价,≤10.23,冲高至10.82附近优先兑现；强势放量再看11.19；弱于9.66止损,冲高至10.82附近优先兑现；强势放量再看11.19；弱于9.66止损,0.633435,0.633435,54.003,54.003,0.841749,0.841749,66.4319,66.4319,0.9751096851738668,0.9751096851738668,10.13,0.032099044683320345,0.09809220840778671,0.0,0.10306449223982485,0.10306449223982485,up,high,True,False,-0.06599316372446637,-0.6910626688726822,0.032619775739041845,0.032619775739041845,0.070444716500783,0,是
