rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
11,20260610,20260610,20260611,20260612,600732.SH,爱旭股份,12.07,TOP20,0,1,TOP20,限价竞价,≤12.62,限价竞价,≤12.62,冲高至13.43附近优先兑现；强势放量再看13.89；弱于11.89止损,冲高至13.43附近优先兑现；强势放量再看13.89；弱于11.89止损,限价竞价,≤12.62,限价竞价,≤12.62,冲高至13.43附近优先兑现；强势放量再看13.89；弱于11.89止损,冲高至13.43附近优先兑现；强势放量再看13.89；弱于11.89止损,0.643004,0.643004,54.2901,54.2901,0.872738,0.872738,67.6611,67.6611,0.643004,54.2901,0.872738,67.6611,,,,,,,,rule_fallback:model_missing,0.0,0.11299706044971972,0.11299706044971972,up,high,1.0,ehx:model_v1,0.024813749927862852,0.07333194367337581,0.10705643118454693,0.14078091869571804,0.18929911244123188,12.373248771631879,12.988378275062825,13.433874519628118,13.894651109415786,14.585416323550739,0.9838681665113802,0.9838681665113802,11,5,5,0.0751596931531262,0.0,0.0,,,,,,,,
12,20260610,20260610,20260611,20260612,002830.SZ,名雕股份,15.97,TOP20,0,1,TOP20,限价竞价,≤16.62,限价竞价,≤16.62,冲高至17.46附近优先兑现；强势放量再看18.06；弱于15.73止损,冲高至17.46附近优先兑现；强势放量再看18.06；弱于15.73止损,限价竞价,≤16.62,限价竞价,≤16.62,冲高至17.46附近优先兑现；强势放量再看18.06；弱于15.73止损,冲高至17.46附近优先兑现；强势放量再看18.06；弱于15.73止损,0.600958,0.600958,53.0287,53.0287,0.828681,0.828681,64.5625,64.5625,0.600958,53.0287,0.828681,64.5625,,,,,,,,rule_fallback:model_missing,0.0,0.09312083210877495,0.09312083210877495,up,high,1.0,ehx:model_v1,0.006794072704615281,0.05531226645012823,0.08903675396129936,0.12276124147247047,0.1712794352179843,16.078870760238967,16.878223296425926,17.457139688777136,18.05591268472026,18.953552812122293,0.9625221302101723,0.9625221302101723,12,17,17,0.2060221876824957,0.0,0.0,,,,,,,,
13,20260610,20260610,20260611,20260612,002636.SZ,金安国纪,77.42,TOP20,0,1,TOP20,限价竞价,≤80.59,限价竞价,≤80.59,冲高至84.67附近优先兑现；强势放量再看87.57；弱于76.26止损,冲高至84.67附近优先兑现；强势放量再看87.57；弱于76.26止损,限价竞价,≤80.59,限价竞价,≤80.59,冲高至84.67附近优先兑现；强势放量再看87.57；弱于76.26止损,冲高至84.67附近优先兑现；强势放量再看87.57；弱于76.26止损,0.561633,0.561633,51.849,51.849,0.832864,0.832864,62.7992,62.7992,0.561633,51.849,0.832864,62.7992,,,,,,,,rule_fallback:model_missing,0.0,0.09361424351864629,0.09361424351864629,up,high,1.0,ehx:model_v1,0.0072453495179287675,0.05576354326344172,0.08948803077461284,0.12321251828578397,0.1717307120312978,77.98297196122215,81.85985407229359,84.6676147332136,87.571680475768,91.9252601475173,0.963253798425501,0.963253798425501,13,16,16,0.1833059033423295,0.0,0.0,,,,,,,,
14,20260610,20260610,20260611,20260612,600500.SH,中化国际,6.55,TOP20,0,1,TOP20,限价竞价,≤6.75,限价竞价,≤6.75,冲高至6.97附近优先兑现；强势放量再看7.21；弱于6.45止损,冲高至6.97附近优先兑现；强势放量再看7.21；弱于6.45止损,限价竞价,≤6.75,限价竞价,≤6.75,冲高至6.97附近优先兑现；强势放量再看7.21；弱于6.45止损,冲高至6.97附近优先兑现；强势放量再看7.21；弱于6.45止损,0.609801,0.609801,53.294,53.294,0.69978,0.69978,61.7601,61.7601,0.609801,53.294,0.69978,61.7601,,,,,,,,rule_fallback:model_missing,0.0,0.06398464262708556,0.06398464262708556,up,high,1.0,ehx:model_v1,-0.020221724062557338,0.028296469682955613,0.06202095719412674,0.09574544470529786,0.1442636384508117,6.418877932674267,6.737989046350601,6.96909940920741,7.208136766224107,7.566485464412051,0.8925897981127546,0.8925897981127546,14,53,53,0.4329366682821547,0.0,0.0,,,,,,,,
15,20260610,20260610,20260611,20260612,603636.SH,南威软件,9.66,TOP20,0,1,TOP20,限价竞价,≤10.06,限价竞价,≤10.06,冲高至10.59附近优先兑现；强势放量再看10.95；弱于9.52止损,冲高至10.59附近优先兑现；强势放量再看10.95；弱于9.52止损,限价竞价,≤10.06,限价竞价,≤10.06,冲高至10.59附近优先兑现；强势放量再看10.95；弱于9.52止损,冲高至10.59附近优先兑现；强势放量再看10.95；弱于9.52止损,0.527952,0.527952,50.8386,50.8386,0.846111,0.846111,61.5305,61.5305,0.527952,50.8386,0.846111,61.5305,,,,,,,,rule_fallback:model_missing,0.0,0.09612300253741024,0.09612300253741024,up,high,1.0,ehx:model_v1,0.00953672956450996,0.05805492331002291,0.09177941082119404,0.12550389833236517,0.174022092077879,9.752565492063434,10.237409115515414,10.588548204511383,10.951731225563762,11.4961907377604,0.9667907093878463,0.9667907093878463,15,11,11,0.1482173726327192,0.0,0.0,,,,,,,,
16,20260610,20260610,20260611,20260612,002585.SZ,双星新材,13.42,TOP20,0,1,TOP20,限价竞价,≤13.98,限价竞价,≤13.98,冲高至14.70附近优先兑现；强势放量再看15.20；弱于13.22止损,冲高至14.70附近优先兑现；强势放量再看15.20；弱于13.22止损,限价竞价,≤13.98,限价竞价,≤13.98,冲高至14.70附近优先兑现；强势放量再看15.20；弱于13.22止损,冲高至14.70附近优先兑现；强势放量再看15.20；弱于13.22止损,0.515462,0.515462,50.4639,50.4639,0.836696,0.836696,60.7019,60.7019,0.515462,50.4639,0.836696,60.7019,,,,,,,,rule_fallback:model_missing,0.0,0.09536113518173993,0.09536113518173993,up,high,1.0,ehx:model_v1,0.00884143145739584,0.05735962520290879,0.09108411271407992,0.12480860022525103,0.17332679397076486,13.539178086244684,14.212271147474427,14.699746434138948,15.203941930588586,15.959797843822809,0.9657483939516428,0.9657483939516428,16,15,15,0.1481706485852963,0.0,0.0,,,,,,,,
17,20260610,20260610,20260611,20260612,600843.SH,上工申贝,8.45,TOP20,0,1,TOP20,限价竞价,≤8.81,限价竞价,≤8.81,冲高至9.30附近优先兑现；强势放量再看9.62；弱于8.32止损,冲高至9.30附近优先兑现；强势放量再看9.62；弱于8.32止损,限价竞价,≤8.81,限价竞价,≤8.81,冲高至9.30附近优先兑现；强势放量再看9.62；弱于8.32止损,冲高至9.30附近优先兑现；强势放量再看9.62；弱于8.32止损,0.500855,0.500855,50.0256,50.0256,0.857879,0.857879,60.5376,60.5376,0.500855,50.0256,0.857879,60.5376,,,,,,,,rule_fallback:model_missing,0.0,0.10057265229972792,0.10057265229972792,up,high,1.0,ehx:model_v1,0.013587956085869254,0.062106149831382206,0.09583063734255333,0.12955512485372445,0.17807331859923828,8.565601846683844,8.991436201733581,9.2998389119327,9.618819713275903,10.097014236236179,0.9723564262943944,0.9723564262943944,17,8,8,0.1015086505270604,0.0,0.0,,,,,,,,
18,20260610,20260610,20260611,20260612,605589.SH,圣泉集团,60.1,TOP20,0,1,TOP20,限价竞价,≤62.06,限价竞价,≤62.06,冲高至64.05附近优先兑现；强势放量再看66.24；弱于59.20止损,冲高至64.05附近优先兑现；强势放量再看66.24；弱于59.20止损,限价竞价,≤62.06,限价竞价,≤62.06,冲高至64.05附近优先兑现；强势放量再看66.24；弱于59.20止损,冲高至64.05附近优先兑现；强势放量再看66.24；弱于59.20止损,0.510174,0.510174,50.3052,50.3052,0.736976,0.736976,57.9577,57.9577,0.510174,50.3052,0.736976,57.9577,,,,,,,,rule_fallback:model_missing,0.0,0.06566248609557888,0.06566248609557888,up,high,1.0,ehx:model_v1,-0.018646022817956978,0.029872170927555973,0.0635966584387271,0.09732114594989821,0.14583933969541205,58.98975700347845,61.92240150152293,64.04631541434429,66.24307873545234,69.53631827830382,0.8983015671815987,0.8983015671815987,18,38,38,0.3725624312058946,0.0,0.0,,,,,,,,
19,20260610,20260610,20260611,20260612,003043.SZ,华亚智能,80.62,TOP20,0,1,TOP20,只观察不追,≤81.43,只观察不追,≤81.43,冲高至88.42附近优先兑现；强势放量再看91.45；弱于79.41止损,冲高至88.42附近优先兑现；强势放量再看91.45；弱于79.41止损,只观察不追,≤81.43,只观察不追,≤81.43,冲高至88.42附近优先兑现；强势放量再看91.45；弱于79.41止损,冲高至88.42附近优先兑现；强势放量再看91.45；弱于79.41止损,0.450423,0.450423,48.5127,48.5127,0.850315,0.850315,57.953,57.953,0.450423,48.5127,0.850315,57.953,,,,,,,,rule_fallback:model_missing,0.0,0.09669979016613951,0.09669979016613951,up,high,1.0,ehx:model_v1,0.010062798195272615,0.058580991940785566,0.09230547945195669,0.12602996696312782,0.17454816070864165,81.43535830328703,85.48387397119075,88.41593708319417,91.448568801806,95.99488592148576,0.9675618525945231,0.9675618525945231,19,10,10,0.1073748510840522,0.0,0.0,,,,,,,,
20,20260610,20260610,20260611,20260612,603886.SH,元祖股份,12.25,TOP20,0,1,TOP20,只观察不追,≤12.37,只观察不追,≤12.37,冲高至13.46附近优先兑现；强势放量再看13.92；弱于12.07止损,冲高至13.46附近优先兑现；强势放量再看13.92；弱于12.07止损,只观察不追,≤12.37,只观察不追,≤12.37,冲高至13.46附近优先兑现；强势放量再看13.92；弱于12.07止损,冲高至13.46附近优先兑现；强势放量再看13.92；弱于12.07止损,0.435626,0.435626,48.0688,48.0688,0.854074,0.854074,57.3441,57.3441,0.435626,48.0688,0.854074,57.3441,,,,,,,,rule_fallback:model_missing,0.0,0.0985350726997656,0.0985350726997656,up,high,1.0,ehx:model_v1,0.011734858886599586,0.06025305263211254,0.09397754014328366,0.1277020276544548,0.17622022139996862,12.394598785179921,13.010789693216436,13.457054640572128,13.918626299352281,14.610583427345306,0.9699153382166914,0.9699153382166914,20,9,9,0.086326516791419,0.0,0.0,,,,,,,,
