rank,trade_date,target_date,ts_code,name,close_T,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260317,20260319,603387.SH,基蛋生物,9.44,0.0,0.01786406177255701,0.01786406177255701,up,high,1.0,ehx:coldstart_v1,-0.06453630664945306,-0.016018112903940115,0.01770637460723101,0.05143086211840213,0.09994905586391596,8.850019598241545,9.28999363103572,9.608636743132937,9.938209188114495,10.432281989503066,1,1,0.5305653779049968,0.0,0.0,,,,,,,,
2,20260317,20260319,001369.SZ,双欣材料,19.18,0.0,0.013945841130472127,0.013945841130472127,up,high,1.0,ehx:coldstart_v1,-0.0683931886280498,-0.019874994882536856,0.01384949262863427,0.04757398013980539,0.09609217388531922,17.912071675562892,18.802560823446996,19.447481232882453,20.11452215762494,21.114504963671685,2,2,0.4388891224333513,0.0,0.0,,,,,,,,
3,20260317,20260319,301680.SZ,固德电材,130.8,0.0,0.010596443934276365,0.010596443934276365,up,high,1.0,ehx:coldstart_v1,-0.07170198615399939,-0.023183792408486448,0.010540695102684678,0.0442651826138558,0.09278337635936963,121.74971886817876,127.8024416002994,132.18601486660336,136.71994296447735,143.51690245159807,3,3,0.3605218682424109,0.0,0.0,,,,,,,,
4,20260317,20260319,603685.SH,晨丰科技,29.65,0.0,0.009837634505089099,0.009837634505089099,up,high,1.0,ehx:coldstart_v1,-0.0724531212422081,-0.02393492749669514,0.009789560014475982,0.04351404752564711,0.09203224127116093,27.57774216847062,28.948755000988065,29.941685863075886,30.968673861536345,32.50826506558919,4,4,0.3427676850457622,0.0,0.0,,,,,,,,
5,20260317,20260319,000533.SZ,顺钠股份,20.53,0.0,0.009009885513707313,0.009009885513707313,up,high,1.0,ehx:coldstart_v1,-0.07327314259553747,-0.024754948850024522,0.008969538661146604,0.042694026172317726,0.09121221991783156,19.079492906420025,20.028019781928123,20.71497294959641,21.425488339576628,22.490645134395628,5,5,0.3234004939322125,0.0,0.0,,,,,,,,
6,20260317,20260319,603992.SH,松霖科技,33.3,0.0,0.006044360636963269,0.006044360636963269,up,high,1.0,ehx:coldstart_v1,-0.07621651449073964,-0.027698320745226688,0.006026166765944435,0.039750654277115556,0.08826884802262938,30.856298119452912,32.39030262306017,33.501277209210876,34.65035778484356,36.37298195342598,6,6,0.2540148617685153,0.0,0.0,,,,,,,,
7,20260317,20260319,002506.SZ,协鑫集成,5.63,0.0,0.004137172239221744,0.004137172239221744,up,high,1.0,ehx:coldstart_v1,-0.07811404358331586,-0.029595849837802914,0.0041286376733682085,0.03785312518453933,0.08637131893005316,5.206955867672847,5.465816918346284,5.653292279706819,5.847197971911273,6.137888319394677,7,7,0.2093915730986674,0.0,0.0,,,,,,,,
8,20260317,20260319,601016.SH,节能风电,4.55,0.0,0.003433216567930883,0.003433216567930883,up,high,1.0,ehx:coldstart_v1,-0.078815344722312,-0.030297150976799043,0.003427336534372082,0.03715182404554321,0.08567001779105703,4.205158089171396,4.414215294355146,4.565621135384085,4.7222201369566426,4.956982807743445,8,8,0.1929208263344844,0.0,0.0,,,,,,,,
9,20260317,20260319,600370.SH,三房巷,3.3,0.0,0.00251982317270587,0.00251982317270587,up,high,1.0,ehx:coldstart_v1,-0.0797260275152347,-0.031207833769721742,0.0025166537414493817,0.036241141252620505,0.08475933499813433,3.047118655395966,3.1986045440242026,3.3083154164699295,3.421789328505932,3.59190177102911,9,9,0.1715497771017373,0.0,0.0,,,,,,,,
10,20260317,20260319,600683.SH,京投发展,10.6,0.0,0.0023355158182954893,0.0023355158182954893,up,high,1.0,ehx:coldstart_v1,-0.0799098885164203,-0.031391694770907336,0.0023327927402637845,0.03605728025143491,0.08457547399694873,9.785915055292145,10.272416634600921,10.624756467673931,10.989181417850913,11.535502746504179,10,10,0.1672374604530152,0.0,0.0,,,,,,,,
11,20260317,20260319,603248.SH,锡华科技,34.12,0.0,0.0013178936308636047,0.0013178936308636047,flat,high,1.0,ehx:coldstart_v1,-0.08092565528539325,-0.0324074615398803,0.001317025971290823,0.03504151348246195,0.08355970722797577,31.46758811398705,33.03198257561829,34.164966530685064,35.33681138789419,37.093562233452595,11,11,0.143427726354177,0.0,0.0,,,,,,,,
12,20260317,20260319,603693.SH,江苏新能,15.88,0.0,0.000692464337725109,0.000692464337725109,flat,high,1.0,ehx:coldstart_v1,-0.08155045656176546,-0.03303226281625251,0.0006922246949186151,0.03441671220608974,0.08293490595160356,14.636376912592587,15.36401663183213,15.890996333683075,16.43605123115621,17.25316080510794,12,12,0.1287942942698862,0.0,0.0,,,,,,,,
13,20260317,20260319,600307.SH,酒钢宏兴,2.2,0.0,-0.00033514452737171336,-0.00033514452737171336,flat,high,1.0,ehx:coldstart_v1,-0.08257788195753407,-0.03405968821202112,-0.0003352007008500001,0.03338928681032113,0.08190748055583495,2.025627397314551,2.1263303895556005,2.1992626820397825,2.2746965233487026,2.387781855155142,13,13,0.1047508976756055,0.0,0.0,,,,,,,,
14,20260317,20260319,600396.SH,华电辽能,4.7,0.0,-0.000402591045592554,-0.000402591045592554,flat,high,1.0,ehx:coldstart_v1,-0.08264535336380878,-0.034127159618295835,-0.00040267210712471103,0.03332181540404641,0.08184000914956024,4.327184741355274,4.542308436864127,4.698107822085715,4.8592510646813265,5.100826155397744,14,14,0.1031728231361899,0.0,0.0,,,,,,,,
15,20260317,20260319,002285.SZ,世联行,3.41,0.0,-0.00046658229787652135,-0.00046658229787652135,flat,high,1.0,ehx:coldstart_v1,-0.08270937243795097,-0.03419117869243802,-0.00046669118126689275,0.03325779632990423,0.08177599007541805,3.1393096493634585,3.2953787643849157,3.408408954364241,3.5253160352141513,3.7005752530802183,15,15,0.1016755929063951,0.0,0.0,,,,,,,,
16,20260317,20260319,301226.SZ,祥明智能,41.74,0.0,-0.0014714294748686275,-0.0014714294748686275,flat,high,1.0,ehx:coldstart_v1,-0.08371519434700872,-0.03519700060149576,-0.0014725130903246414,0.032251974420846485,0.0807701681663603,38.387992189834165,40.29643087148279,41.67858253371898,43.10814145203488,45.25123985202966,16,16,0.0781647610970683,0.0,0.0,,,,,,,,
17,20260317,20260319,605167.SH,利柏特,18.57,0.0,-0.0015967897765177472,-0.0015967897765177472,flat,high,1.0,ehx:coldstart_v1,-0.08384074726075602,-0.03532255351524308,-0.0015980660040719515,0.03212642150709917,0.080644615252613,17.07655769774518,17.925509711140972,18.540347613850066,19.17627421376774,20.12961252066538,17,17,0.0752316534214699,0.0,0.0,,,,,,,,
18,20260317,20260319,603778.SH,国晟科技,24.79,0.0,-0.0018349379254135084,-0.0018349379254135084,flat,high,1.0,ehx:coldstart_v1,-0.08407930474294126,-0.03556111099742831,-0.0018366234862571829,0.03188786402491394,0.08040605777042777,22.79089334098971,23.923930521631615,24.744511888828995,25.59323887280046,26.86559317598961,18,18,0.069659601071031,0.0,0.0,,,,,,,,
19,20260317,20260319,688295.SH,中复神鹰,59.4,0.0,-0.001911088154001085,-0.001911088154001085,flat,high,1.0,ehx:coldstart_v1,-0.08415559786958682,-0.03563740412407387,-0.0019129166129027433,0.03181157089826838,0.0803297646437822,54.60571941738625,57.32041381088436,59.286481363652335,61.31998425690477,64.36847476756385,19,19,0.067877882161372,0.0,0.0,,,,,,,,
20,20260317,20260319,002323.SZ,雅博股份,2.75,0.0,-0.0022410505395623745,-0.0022410505395623745,down,high,1.0,ehx:coldstart_v1,-0.08448624670807243,-0.035968052962559484,-0.002243565451388357,0.031480922059782764,0.07999911580529659,2.527206809460286,2.6528455562811484,2.7438371110162034,2.8379496401379876,2.97903680205641,20,20,0.0601576135195697,0.0,0.0,,,,,,,,
21,20260317,20260319,000020.SZ,深华发Ａ,17.53,0.0,-0.0023760024474411773,-0.0023760024474411773,down,high,1.0,ehx:coldstart_v1,-0.08462151087707476,-0.036103317131561806,-0.0023788296203906844,0.03134565789078044,0.07986385163629427,16.107615749320146,16.90839732740112,17.488348677096358,18.088192129011617,18.98743701187476,21,21,0.0570000870009763,0.0,0.0,,,,,,,,
22,20260317,20260319,600408.SH,安泰集团,4.3,0.0,-0.0024107340829466343,-0.0024107340829466343,down,high,1.0,ehx:coldstart_v1,-0.0846563258376054,-0.03613813209209246,-0.0024136445809213375,0.031310842930249785,0.07982903667576362,3.9509604326425554,4.147380336086087,4.289633843443329,4.436766589914323,4.65733808893326,22,22,0.056187456324861,0.0,0.0,,,,,,,,
23,20260317,20260319,000572.SZ,海马汽车,6.82,0.0,-0.0027515436198822505,-0.0027515436198822505,down,high,1.0,ehx:coldstart_v1,-0.08499801733104582,-0.036479823585532874,-0.002755336074361751,0.030969151436809374,0.0794873451823232,6.2642661995717415,6.5756908728989565,6.801234472512403,7.034514128505302,7.384231269299103,23,23,0.0482133923225189,0.0,0.0,,,,,,,,
24,20260317,20260319,000890.SZ,法尔胜,13.42,0.0,-0.0029283676274292005,-0.0029283676274292005,down,high,1.0,ehx:coldstart_v1,-0.08517534494160095,-0.036657151196088006,-0.00293266368491688,0.030791823826254245,0.07931001757176807,12.324273668149743,12.936968400273534,13.3807013064399,13.839654076018059,14.527685141792421,24,24,0.0440761666861472,0.0,0.0,,,,,,,,
25,20260317,20260319,600227.SH,赤天化,5.29,0.0,-0.0029970087310781466,-0.0029970087310781466,down,high,1.0,ehx:coldstart_v1,-0.08524419001175255,-0.0367259962662396,-0.0030015087550684756,0.030722978756102647,0.07924117250161647,4.857743627167892,5.099243776427441,5.274145823812597,5.45504694233864,5.726241709272173,25,25,0.0424701419293004,0.0,0.0,,,,,,,,
26,20260317,20260319,002629.SZ,仁智股份,6.97,0.0,-0.003362679213457663,-0.003362679213457663,down,high,1.0,ehx:coldstart_v1,-0.08561102698256318,-0.037092833237050225,-0.0033683457258790995,0.030356141785292026,0.07887433553080585,6.398120003693157,6.716199147934295,6.9465621258822,7.1848264629828265,7.542016301802281,26,26,0.0339143959355713,0.0,0.0,,,,,,,,
27,20260317,20260319,002565.SZ,顺灏股份,14.74,0.0,-0.003368219967960293,-0.003368219967960293,down,high,1.0,ehx:coldstart_v1,-0.08561658644716369,-0.03709839270165073,-0.003373905190479608,0.030350582320691516,0.07886877606620533,13.530525760731871,14.203188676185475,14.690352437672265,15.194225723753622,15.949598600915756,27,27,0.0337847565732973,0.0,0.0,,,,,,,,
28,20260317,20260319,000042.SZ,中洲控股,9.5,0.0,-0.0038367035398352875,-0.0038367035398352875,down,high,1.0,ehx:coldstart_v1,-0.08608676382368566,-0.03756857007817271,-0.0038440825670015832,0.02988040494416954,0.07839859868968337,8.716388896552772,9.149719549852193,9.463551316371564,9.788147388522388,10.274759947094319,28,28,0.0228234495049368,0.0,0.0,,,,,,,,
29,20260317,20260319,603929.SH,亚翔集成,170.4,0.0,-0.003987620614941357,-0.003987620614941357,down,high,1.0,ehx:coldstart_v1,-0.08623827362999903,-0.037720079884486085,-0.003995592373314959,0.029728895137856166,0.07824708888337,156.32080543630164,164.09221141048832,169.720509447214,175.54185588348233,184.26882619127431,29,29,0.0192923792574237,0.0,0.0,,,,,,,,
30,20260317,20260319,605277.SH,新亚电子,25.58,0.0,-0.004003629018584262,-0.004003629018584262,down,high,1.0,ehx:coldstart_v1,-0.08625434625381688,-0.03773615250830393,-0.004011664997132805,0.02971282251403832,0.07823101625955214,23.466091163133655,24.632695445570622,25.477587169704613,26.35145834625328,27.66150712862125,30,30,0.018917823907912,0.0,0.0,,,,,,,,
