rank,trade_date,target_date,ts_code,name,close_T,close_T2_actual,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up
1,20260515,20260519,001259.SZ,利仁科技,60.5,73.21,0.19068865862175538,0.023679335291335334,0.0,0.023961916790382676,0.023961916790382676,up,high,False,False,0.16700932333042004,11.260304034181843,0.210082644628099,0.210082644628099,0.18612072783771633,1,是
2,20260515,20260519,603779.SH,威龙股份,9.92,12.0,0.19035372849121893,0.022798435668139008,0.0,0.023060306296189895,0.023060306296189895,up,high,False,False,0.1675552928230799,1.8512417615417966,0.20967741935483875,0.20967741935483875,0.18661711305864886,1,是
3,20260515,20260519,002915.SZ,中欣氟材,23.11,23.44,0.014178540422522555,0.014868389851855745,0.0,0.014979474226020055,0.014979474226020055,up,high,True,True,-0.0006898494293331899,-0.01617564936332272,0.014279532669839945,0.014279532669839945,0.0006999415561801097,1,是
4,20260515,20260519,603677.SH,奇精机械,17.04,16.9,-0.008249899472141949,0.005424234412376336,0.0,0.0054389722068912405,0.0054389722068912405,up,high,True,True,-0.013674133884518285,-0.23268008640542703,-0.008215962441314617,0.008215962441314617,0.013654934648205858,0,否
5,20260515,20260519,300263.SZ,隆华科技,13.74,13.29,-0.03329941406904945,0.004413787553059931,0.0,0.0044235426603849055,0.0044235426603849055,up,high,True,False,-0.03771320162210939,-0.5107794761536901,-0.0327510917030569,0.0327510917030569,0.0371746343634418,0,否
6,20260515,20260519,603598.SH,引力传媒,25.33,24.72,-0.024376831424093828,0.0034254391466458436,0.0,0.0034313126678678857,0.0034313126678678857,up,high,True,True,-0.02780227057073967,-0.6969151498770891,-0.02408211606790367,0.02408211606790367,0.027513428735771554,0,否
7,20260515,20260519,600578.SH,京能电力,7.01,8.27,0.16529680798910126,0.002215146177910684,0.0,0.002217601426782453,0.002217601426782453,up,high,False,False,0.16308166181119058,1.2444546139982542,0.17974322396576325,0.17974322396576325,0.1775256225389808,1,是
8,20260515,20260519,002196.SZ,方正电机,15.36,16.92,0.09672962645855131,0.0021106939383907855,0.0,0.002112923020869301,0.002112923020869301,up,high,False,False,0.09461893252016051,1.5275455023994517,0.10156250000000022,0.10156250000000022,0.09944957697913093,1,是
9,20260515,20260519,601991.SH,大唐发电,7.92,8.38,0.05645670866765728,0.0017809737804030123,0.0,0.0017825606561277746,0.0017825606561277746,flat,high,True,False,0.05467573488725427,0.44588211960346946,0.05808080808080818,0.05808080808080818,0.056298247424680405,1,是
10,20260515,20260519,002181.SZ,粤 传 媒,19.69,15.95,-0.21065206342018075,0.0017772425145728189,0.0,0.001778822746063487,0.001778822746063487,flat,high,False,False,-0.21242930593475357,-3.775025019869993,-0.18994413407821242,0.18994413407821242,0.1917229568242759,0,否
