exec_date,ts_code,target_amount,filled_amount,buy_price,buy_time,fail_reason
20260302,002865.SZ,100000.0,0.0,11.0,,MOCK_NO_LIQUIDITY
20260302,603232.SH,100000.0,60000.0,19.8,09:45:00,
20260302,001209.SZ,100000.0,30000.0,39.46,09:45:00,
20260302,002655.SZ,100000.0,100000.0,13.48,09:45:00,
20260302,002261.SZ,100000.0,90000.0,11.27,09:45:00,
20260302,002378.SZ,100000.0,0.0,18.75,,MOCK_NO_LIQUIDITY
20260302,600549.SH,100000.0,100000.0,34.08,09:45:00,
20260302,002470.SZ,100000.0,100000.0,17.95,09:45:00,
20260302,002350.SZ,100000.0,100000.0,26.78,09:45:00,
20260302,002842.SZ,100000.0,90000.0,33.57,09:45:00,
20260302,001896.SZ,100000.0,0.0,40.35,,MOCK_NO_LIQUIDITY
20260302,000593.SZ,100000.0,30000.0,37.93,09:45:00,
20260302,600821.SH,100000.0,60000.0,21.11,09:45:00,
20260302,000899.SZ,100000.0,30000.0,48.29,09:45:00,
20260302,600744.SH,100000.0,60000.0,14.09,09:45:00,
20260302,002216.SZ,100000.0,90000.0,13.87,09:45:00,
20260302,002155.SZ,100000.0,60000.0,34.15,09:45:00,
20260302,002177.SZ,100000.0,0.0,39.19,,MOCK_NO_LIQUIDITY
20260302,002015.SZ,100000.0,100000.0,14.99,09:45:00,
20260302,603257.SH,100000.0,90000.0,13.15,09:45:00,
20260302,000628.SZ,100000.0,60000.0,43.18,09:45:00,
20260302,600259.SH,100000.0,100000.0,45.42,09:45:00,
20260302,600397.SH,100000.0,60000.0,33.09,09:45:00,
20260302,000035.SZ,100000.0,0.0,11.83,,MOCK_NO_LIQUIDITY
20260302,002980.SZ,100000.0,30000.0,40.92,09:45:00,
20260302,603629.SH,100000.0,0.0,44.21,,MOCK_NO_LIQUIDITY
20260302,001216.SZ,100000.0,0.0,25.21,,MOCK_NO_LIQUIDITY
20260302,600126.SH,100000.0,90000.0,35.43,09:45:00,
20260302,603381.SH,100000.0,60000.0,16.51,09:45:00,
20260302,300830.SZ,100000.0,60000.0,18.38,09:45:00,
20260302,688028.SH,100000.0,60000.0,38.07,09:45:00,
20260302,002843.SZ,100000.0,0.0,34.37,,MOCK_NO_LIQUIDITY
20260302,002167.SZ,100000.0,30000.0,31.37,09:45:00,
20260302,000731.SZ,100000.0,30000.0,16.54,09:45:00,
20260302,603738.SH,100000.0,90000.0,20.8,09:45:00,
20260302,003035.SZ,100000.0,100000.0,18.78,09:45:00,
20260302,603318.SH,100000.0,60000.0,43.71,09:45:00,
20260302,603530.SH,100000.0,0.0,19.16,,MOCK_NO_LIQUIDITY
20260302,002182.SZ,100000.0,0.0,42.2,,MOCK_NO_LIQUIDITY
20260302,002628.SZ,100000.0,90000.0,20.71,09:45:00,
20260302,600230.SH,100000.0,30000.0,46.53,09:45:00,
20260302,600498.SH,100000.0,100000.0,45.05,09:45:00,
20260302,002734.SZ,100000.0,60000.0,18.51,09:45:00,
20260302,600301.SH,100000.0,90000.0,25.83,09:45:00,
20260302,603897.SH,100000.0,90000.0,15.71,09:45:00,
20260302,000510.SZ,100000.0,30000.0,19.87,09:45:00,
20260302,002046.SZ,100000.0,100000.0,31.56,09:45:00,
20260302,600452.SH,100000.0,100000.0,27.14,09:45:00,
20260302,603226.SH,100000.0,100000.0,25.98,09:45:00,
20260302,002973.SZ,100000.0,30000.0,49.89,09:45:00,
20260302,603217.SH,100000.0,30000.0,30.38,09:45:00,
20260302,603618.SH,100000.0,0.0,40.23,,MOCK_NO_LIQUIDITY
20260302,688343.SH,100000.0,0.0,16.11,,MOCK_NO_LIQUIDITY
20260302,002356.SZ,100000.0,30000.0,41.68,09:45:00,
20260302,002756.SZ,100000.0,90000.0,33.86,09:45:00,
20260302,600725.SH,100000.0,90000.0,25.26,09:45:00,
20260302,600456.SH,100000.0,90000.0,31.16,09:45:00,
20260302,000960.SZ,100000.0,100000.0,44.43,09:45:00,
20260302,603950.SH,100000.0,0.0,37.21,,MOCK_NO_LIQUIDITY
20260302,300317.SZ,100000.0,0.0,37.27,,MOCK_NO_LIQUIDITY
20260302,600108.SH,100000.0,100000.0,40.04,09:45:00,
20260302,003018.SZ,100000.0,60000.0,14.46,09:45:00,
20260302,603117.SH,100000.0,90000.0,16.33,09:45:00,
20260302,603578.SH,100000.0,0.0,48.15,,MOCK_NO_LIQUIDITY
20260302,301226.SZ,100000.0,60000.0,48.88,09:45:00,
20260302,002633.SZ,100000.0,30000.0,30.31,09:45:00,
20260302,688118.SH,100000.0,0.0,44.82,,MOCK_NO_LIQUIDITY
20260302,603353.SH,100000.0,60000.0,43.67,09:45:00,
20260302,002394.SZ,100000.0,100000.0,34.36,09:45:00,
20260302,601958.SH,100000.0,30000.0,24.96,09:45:00,
20260302,600459.SH,100000.0,30000.0,31.58,09:45:00,
20260302,605398.SH,100000.0,100000.0,46.74,09:45:00,
20260302,000993.SZ,100000.0,100000.0,22.97,09:45:00,
20260302,603093.SH,100000.0,0.0,14.47,,MOCK_NO_LIQUIDITY
20260302,000657.SZ,100000.0,60000.0,45.15,09:45:00,
