ts_code,trade_date,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
000020.SZ,20260508,深华发A,14.42,-9.9875,4.33,114361992.0,17725251.0,19604309.0,37329560.0,1879058.0,1.64,32.64,2885753778.7,日跌幅偏离值达到7%的前5只证券
000534.SZ,20260508,万泽股份,39.4,-7.9869,6.18,1236603466.0,403172124.53,193259480.71,596431605.24,-209912643.82,-16.97,48.23,19706325315.4,日跌幅偏离值达到7%的前5只证券
000547.SZ,20260508,航天发展,27.59,10.008,15.49,6484442306.0,346095163.27,1067554522.15,1413649685.42,721459358.88,11.13,21.8,43843850100.58,日涨幅偏离值达到7%的前5只证券
000668.SZ,20260508,*ST荣控,18.34,4.98,0.49,119968363.0,26130819.7,29313222.39,55444042.09,3182402.69,2.65,46.22,2693080262.6,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000697.SZ,20260508,炼石航空,12.58,6.9728,8.36,1309709109.0,168076936.03,119678041.0,287754977.03,-48398895.03,-3.7,21.97,8216090437.84,连续三个交易日内，涨幅偏离值累计达到20%的证券
000720.SZ,20260508,新能泰山,5.69,10.058,24.08,2256355313.0,251504903.99,276973597.5,528478501.49,25468693.51,1.13,23.42,7149664638.99,连续三个交易日内，涨幅偏离值累计达到20%的证券
000833.SZ,20260508,粤桂股份,26.51,-2.3213,13.64,7363408522.0,938473017.8,568356625.47,1506829643.27,-370116392.33,-5.03,20.46,12027640709.26,连续三个交易日内，跌幅偏离值累计达到20%的证券
000889.SZ,20260508,中嘉博创,5.41,1.1215,32.48,1568146207.0,155862081.57,136737354.88,292599436.45,-19124726.69,-1.22,18.66,4705862239.86,日换手率达到20%的前5只证券
001267.SZ,20260508,汇绿生态,62.38,9.9982,9.56,3465528735.0,594929826.0,690741398.8,1285671224.8,95811572.8,2.76,37.1,37842284793.04,日涨幅偏离值达到7%的前5只证券
002031.SZ,20260508,巨轮智能,7.06,9.9688,11.86,2353201893.0,295629477.07,576057441.46,871686918.53,280427964.39,11.92,37.04,13510161266.56,连续三个交易日内，涨幅偏离值累计达到20%的证券
002140.SZ,20260508,东华科技,11.7,-8.8075,5.55,465528483.0,81781554.9,51755197.8,133536752.7,-30026357.1,-6.45,28.68,8271886837.5,日跌幅偏离值达到7%的前5只证券
002222.SZ,20260508,福晶科技,108.24,10.0,12.28,5746127489.0,1245442836.86,889584123.29,2135026960.15,-355858713.57,-6.19,37.16,50672741523.36,日振幅值达到15%的前5只证券
002222.SZ,20260508,福晶科技,108.24,10.0,12.28,14508463103.0,2764685383.49,1994195799.82,4758881183.31,-770489583.67,-5.31,32.8,50672741523.36,连续三个交易日内，涨幅偏离值累计达到20%的证券
002281.SZ,20260508,光迅科技,180.72,10.0006,10.54,13761705212.0,2749695021.3,2326539122.9,5076234144.2,-423155898.4,-3.07,36.89,140871018075.84,日涨幅偏离值达到7%的前5只证券
002283.SZ,20260508,天润工业,11.35,-9.2726,8.53,990539742.0,243293853.99,208432036.66,451725890.65,-34861817.33,-3.52,45.6,11382081104.15,日跌幅偏离值达到7%的前5只证券
002297.SZ,20260508,博云新材,25.71,3.8788,29.19,4246807440.0,233765509.12,321760946.75,555526455.87,87995437.63,2.07,13.08,14734524896.49,日换手率达到20%的前5只证券
002342.SZ,20260508,巨力索具,22.11,-0.0452,35.6,7619006550.0,1202037366.2,546390850.53,1748428216.73,-655646515.67,-8.61,22.95,21108195900.0,日换手率达到20%的前5只证券
002361.SZ,20260508,神剑股份,21.9,1.3889,41.63,7547372005.0,1122580565.69,563015693.36,1685596259.05,-559564872.33,-7.41,22.33,17717515859.1,日换手率达到20%的前5只证券
002491.SZ,20260508,通鼎互联,20.66,10.0106,9.8,5868922955.0,599555262.15,934405542.01,1533960804.16,334850279.86,5.71,26.14,24305846874.86,连续三个交易日内，涨幅偏离值累计达到20%的证券
002552.SZ,20260508,宝鼎科技,27.65,9.9841,3.09,947856493.0,169611317.84,208708530.0,378319847.84,39097212.16,4.12,39.91,10189115940.85,连续三个交易日内，涨幅偏离值累计达到20%的证券
002591.SZ,20260508,恒大高新,8.76,0.0,34.47,686963483.0,93182527.48,102309337.0,195491864.48,9126809.52,1.33,28.46,1957969167.12,日换手率达到20%的前5只证券
002655.SZ,20260508,共达电声,39.39,9.9972,12.07,4217798420.0,502013753.82,644843474.22,1146857228.04,142829720.4,3.39,27.19,14301953601.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
002757.SZ,20260508,南兴股份,29.02,4.2385,26.86,5215179016.0,522033953.0,861813955.7,1383847908.7,339780002.7,6.52,26.54,8185184473.42,连续三个交易日内，涨幅偏离值累计达到20%的证券
002865.SZ,20260508,钧达股份,96.53,10.0057,13.9,2869644188.0,384401980.86,514941657.34,899343638.2,130539676.48,4.55,31.34,21577192397.74,日涨幅偏离值达到7%的前5只证券
002903.SZ,20260508,宇环数控,46.34,2.4768,24.77,1995175773.0,232996094.43,402107338.19,635103432.62,169111243.76,8.48,31.83,4942886174.66,连续三个交易日内，涨幅偏离值累计达到20%的证券
003004.SZ,20260508,*ST声迅,38.33,5.0137,0.17,57710861.0,13075712.0,20152905.0,33228617.0,7077193.0,12.26,57.58,2634865144.7,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
003026.SZ,20260508,中晶科技,47.2,-7.3602,20.74,956186861.0,59080478.61,72363892.31,131444370.92,13283413.7,1.39,13.75,4568506880.0,日跌幅偏离值达到7%的前5只证券
