prediction_id,signal_date,expected_buy_date,expected_exit_date,ts_code,name,industry,stage,stage_transition,stage_focus,source_rank,d_close,estimated_up_limit,recommended_max_price,max_auction_change_pct,take_profit_pct,stop_loss_pct,take_profit_price,stop_loss_price,latest_exit_time,exit_policy_version,predicted_net_return,predicted_return_lcb,predicted_return_ucb,predicted_outcome_q10,predicted_outcome_q90,predicted_fill_probability,predicted_exit_probability,predicted_profit_probability,predicted_big_loss_probability,predicted_continuation_limit_up_probability,max_big_loss_probability,big_loss_threshold,min_return_lcb,conservative_ev,selection_score,risk_gate_pass,selected,action,price_action,entry_rule,exit_rule,guidance_only,broker_connected,order_type,market_order_allowed,mechanism_limit_pct,decision_universe_rule,decision_universe_reason,minute_available,model_ready,model_promoted,model_reason,model_version,generated_at_utc,source_snapshot_sha256,feature_contract,observation_max_price,observation_auction_change_pct,observation_price_basis,observation_price_is_formal,observation_rank,stage_watch_rank,observation_pool_size,observation_selected,watch_label,validation_mode,prediction_timing_status,prediction_timing_valid,prediction_deadline_utc,validation_status,actual_buy_date,actual_open_price,actual_t_close,market_daily_return,observation_fill,observation_fill_reason,observation_t_return,continuation_limit_up_hit,actual_exit_date,actual_exit_price,actual_gross_return,actual_net_return,exit_reason,truth_source,truth_generated_at_utc
20260723-603221.SH-auction_v5_manual_guidance_4,20260723,20260724,20260727,603221.SH,爱丽家居,家居用品,3→4,3→4,1.0,6.0,12.73,14.01,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0740661447979453,-0.081644989903513,-0.0664872996923776,-0.1452884717034976,-0.014466126248618,0.0081458498438312,0.9983018867924528,0.1982966359806991,0.7438167127446493,0.2768855541537282,0.15,-0.03,0.0,-0.0007857939003963,0.0005986338703722,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,1.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-23T13:12:33+00:00,3b097d03425c55876e0c42b24f1fefdf96ba6524157f62da6126326f9a16fe1b,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,12.73,0.0,legacy_d_close_cap,False,1,1,12,1,仅观察,public_market_proxy,PREMARKET_VALID,1,2026-07-24T01:25:00+00:00,PENDING_T,,,,,,truth_pending,,,,,,,,pending,2026-07-24T01:43:24+00:00
20260723-002879.SZ-auction_v5_manual_guidance_4,20260723,20260724,20260727,002879.SZ,长缆科技,电网设备,3→4,3→4,1.0,4.0,16.41,18.05,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0645980421013435,-0.0721768872069112,-0.0570191969957758,-0.1358203690068957,-0.0049980235520161,0.0430348660541976,0.9983018867924528,0.2912691206387369,0.7082732108633638,0.2723273498373246,0.15,-0.03,0.0,-0.0036980352756947,-0.0023363985265081,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,1.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-23T13:12:33+00:00,3b097d03425c55876e0c42b24f1fefdf96ba6524157f62da6126326f9a16fe1b,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,16.41,0.0,legacy_d_close_cap,False,2,2,12,1,仅观察,public_market_proxy,PREMARKET_VALID,1,2026-07-24T01:25:00+00:00,PENDING_T,,,,,,truth_pending,,,,,,,,pending,2026-07-24T01:43:24+00:00
20260723-000595.SZ-auction_v5_manual_guidance_4,20260723,20260724,20260727,000595.SZ,新能股份,电力,2→3,2→3,1.0,74.0,5.52,6.07,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0653343251838235,-0.0729131702893912,-0.0577554800782558,-0.1365566520893757,-0.0057343066344961,0.0177171336110881,0.9983018867924528,0.2232332284108998,0.6270247390336519,0.2473061217220378,0.15,-0.03,0.0,-0.0014923136859688,-0.0002557830773586,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-23T13:12:33+00:00,3b097d03425c55876e0c42b24f1fefdf96ba6524157f62da6126326f9a16fe1b,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,5.52,0.0,legacy_d_close_cap,False,3,3,12,1,仅观察,public_market_proxy,PREMARKET_VALID,1,2026-07-24T01:25:00+00:00,PENDING_T,,,,,,truth_pending,,,,,,,,pending,2026-07-24T01:43:24+00:00
20260723-002412.SZ-auction_v5_manual_guidance_4,20260723,20260724,20260727,002412.SZ,汉森制药,中药Ⅱ,2→3,2→3,1.0,41.0,7.38,8.12,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0581435781314897,-0.0657224232370574,-0.050564733025922,-0.1293659050370419,0.0014564404178376,0.0190670867569849,0.9983018867924528,0.2446819825330882,0.5681603815826995,0.2415371644288701,0.15,-0.03,0.0,-0.0014352424508127,-0.0002275566286684,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-23T13:12:33+00:00,3b097d03425c55876e0c42b24f1fefdf96ba6524157f62da6126326f9a16fe1b,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,7.38,0.0,legacy_d_close_cap,False,4,4,12,1,仅观察,public_market_proxy,PREMARKET_VALID,1,2026-07-24T01:25:00+00:00,PENDING_T,,,,,,truth_pending,,,,,,,,pending,2026-07-24T01:43:24+00:00
20260723-002197.SZ-auction_v5_manual_guidance_4,20260723,20260724,20260727,002197.SZ,证通电子,计算机设,3→4,3→4,1.0,47.0,7.67,8.44,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0589684428716388,-0.0665472879772065,-0.0513895977660711,-0.130190769777191,0.0006315756776885,0.1140653694947098,0.9983018867924528,0.341484988025361,0.6824776858319411,0.2298767027306016,0.15,-0.03,0.0,-0.0090713541023937,-0.0079219705887407,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,1.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-23T13:12:33+00:00,3b097d03425c55876e0c42b24f1fefdf96ba6524157f62da6126326f9a16fe1b,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,7.67,0.0,legacy_d_close_cap,False,5,5,12,1,仅观察,public_market_proxy,PREMARKET_VALID,1,2026-07-24T01:25:00+00:00,PENDING_T,,,,,,truth_pending,,,,,,,,pending,2026-07-24T01:43:24+00:00
20260723-000603.SZ-auction_v5_manual_guidance_4,20260723,20260724,20260727,000603.SZ,盛达资源,贵金属,3→4,3→4,1.0,3.0,24.83,27.32,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0650098603586546,-0.0725887054642223,-0.0574310152530869,-0.1362321872642068,-0.0054098418093273,0.0190443281198634,0.9983018867924528,0.2646937862191168,0.720054572574574,0.2118812754004769,0.15,-0.03,0.0,-0.0016510747492817,-0.0005916683722793,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-23T13:12:33+00:00,3b097d03425c55876e0c42b24f1fefdf96ba6524157f62da6126326f9a16fe1b,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,24.83,0.0,legacy_d_close_cap,False,6,6,12,1,仅观察,public_market_proxy,PREMARKET_VALID,1,2026-07-24T01:25:00+00:00,PENDING_T,,,,,,truth_pending,,,,,,,,pending,2026-07-24T01:43:24+00:00
20260723-605162.SH-auction_v5_manual_guidance_4,20260723,20260724,20260727,605162.SH,新中港,电力,2→3,2→3,1.0,89.0,8.45,9.3,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0646202843231534,-0.0721991294287211,-0.0570414392175857,-0.1358426112287056,-0.005020265773826,0.0288955979525625,0.9983018867924528,0.2373029709429804,0.6047518630807732,0.2111452435888112,0.15,-0.03,0.0,-0.0023939351561076,-0.0013382089381635,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-23T13:12:33+00:00,3b097d03425c55876e0c42b24f1fefdf96ba6524157f62da6126326f9a16fe1b,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,8.45,0.0,legacy_d_close_cap,False,7,7,12,1,仅观察,public_market_proxy,PREMARKET_VALID,1,2026-07-24T01:25:00+00:00,PENDING_T,,,,,,truth_pending,,,,,,,,pending,2026-07-24T01:43:24+00:00
20260723-002900.SZ-auction_v5_manual_guidance_4,20260723,20260724,20260727,002900.SZ,哈三联,化学制药,2→3,2→3,1.0,43.0,12.1,13.31,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0607455344601812,-0.0683243795657489,-0.0531666893546135,-0.1319678613657334,-0.0011455159108538,0.0641279561245005,0.9983018867924528,0.2604210994187937,0.5914740183895438,0.182365104213334,0.15,-0.03,0.0,-0.0050388323920872,-0.0041270068710205,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-23T13:12:33+00:00,3b097d03425c55876e0c42b24f1fefdf96ba6524157f62da6126326f9a16fe1b,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,12.1,0.0,legacy_d_close_cap,False,8,8,12,1,仅观察,public_market_proxy,PREMARKET_VALID,1,2026-07-24T01:25:00+00:00,PENDING_T,,,,,,truth_pending,,,,,,,,pending,2026-07-24T01:43:24+00:00
20260723-600722.SH-auction_v5_manual_guidance_4,20260723,20260724,20260727,600722.SH,金牛化工,化学原料,2→3,2→3,1.0,19.0,10.9,11.99,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0495098865576024,-0.0570887316631701,-0.0419310414520347,-0.1207322134631546,0.0100901319917249,0.0628842881087757,0.9983018867924528,0.2917881917992478,0.5462715055096437,0.1532452562718554,0.15,-0.03,0.0,-0.0041492900446728,-0.0033830637633135,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-23T13:12:33+00:00,3b097d03425c55876e0c42b24f1fefdf96ba6524157f62da6126326f9a16fe1b,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,10.9,0.0,legacy_d_close_cap,False,9,9,12,1,仅观察,public_market_proxy,PREMARKET_VALID,1,2026-07-24T01:25:00+00:00,PENDING_T,,,,,,truth_pending,,,,,,,,pending,2026-07-24T01:43:24+00:00
20260723-603988.SH-auction_v5_manual_guidance_4,20260723,20260724,20260727,603988.SH,中电电机,电机Ⅱ,2→3,2→3,1.0,36.0,17.17,18.89,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0657555075576915,-0.0733343526632592,-0.0581766624521238,-0.1369778344632438,-0.0061554890083642,0.0235698635670039,0.9983018867924528,0.2002430158392675,0.627609457581852,0.1507482000734082,0.15,-0.03,0.0,-0.001995629635402,-0.0012418886350349,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-23T13:12:33+00:00,3b097d03425c55876e0c42b24f1fefdf96ba6524157f62da6126326f9a16fe1b,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,17.17,0.0,legacy_d_close_cap,False,10,10,12,1,仅观察,public_market_proxy,PREMARKET_VALID,1,2026-07-24T01:25:00+00:00,PENDING_T,,,,,,truth_pending,,,,,,,,pending,2026-07-24T01:43:24+00:00
