ts_code,time,open,close,high,low,vol,amount
002957.SZ,2026-09-08 09:30:00,41.5,41.72,41.8,41.5,416200.0,17294325.0
002957.SZ,2026-09-08 09:31:00,41.59,41.21,41.59,41.03,914500.0,37835316.0
002957.SZ,2026-09-08 09:32:00,41.18,40.71,41.18,40.71,347900.0,14258041.0
002957.SZ,2026-09-08 09:33:00,40.66,40.7,40.7,40.5,344500.0,13981439.0
002957.SZ,2026-09-08 09:34:00,40.7,40.61,40.72,40.53,259500.0,10540779.0
002957.SZ,2026-09-08 09:35:00,40.62,40.98,41.06,40.62,360600.0,14765565.0
002957.SZ,2026-09-08 09:36:00,40.98,41.22,41.25,40.98,236100.0,9702207.0
002957.SZ,2026-09-08 09:37:00,41.25,41.16,41.25,41.08,483032.0,19851816.84
002957.SZ,2026-09-08 09:38:00,41.15,40.8,41.15,40.8,489168.0,20045824.84
002957.SZ,2026-09-08 09:39:00,40.87,40.99,41.01,40.87,267768.0,10954567.48
002957.SZ,2026-09-08 09:40:00,40.99,41.05,41.09,40.96,240000.0,9844884.0
002957.SZ,2026-09-08 09:41:00,41.08,41.43,41.43,41.08,223000.0,9203244.0
002957.SZ,2026-09-08 09:42:00,41.41,41.1,41.41,41.1,295500.0,12220190.0
002957.SZ,2026-09-08 09:43:00,41.0,41.16,41.22,40.98,213200.0,8768876.0
002957.SZ,2026-09-08 09:44:00,41.16,41.06,41.16,41.03,194500.0,7997404.0
002957.SZ,2026-09-08 09:45:00,41.01,40.89,41.01,40.89,125200.0,5128913.0
002957.SZ,2026-09-08 09:46:00,40.79,40.77,40.87,40.77,147300.0,6013466.0
002957.SZ,2026-09-08 09:47:00,40.77,40.82,40.94,40.77,132000.0,5393214.0
002957.SZ,2026-09-08 09:48:00,40.82,40.87,40.9,40.8,143100.0,5844046.0
002957.SZ,2026-09-08 09:49:00,40.87,40.64,40.87,40.6,214100.0,8711675.0
002957.SZ,2026-09-08 09:50:00,40.62,40.62,40.68,40.58,163200.0,6628693.0
002957.SZ,2026-09-08 09:51:00,40.59,40.35,40.59,40.35,224100.0,9071829.0
002957.SZ,2026-09-08 09:52:00,40.36,40.38,40.44,40.36,140800.0,5691058.0
002957.SZ,2026-09-08 09:53:00,40.37,40.58,40.58,40.37,117600.0,4761397.0
002957.SZ,2026-09-08 09:54:00,40.58,40.66,40.67,40.56,97500.0,3958413.0
002957.SZ,2026-09-08 09:55:00,40.76,40.74,40.78,40.64,129300.0,5264074.0
002957.SZ,2026-09-08 09:56:00,40.74,40.64,40.75,40.56,98300.0,3994676.0
002957.SZ,2026-09-08 09:57:00,40.65,40.59,40.67,40.59,62400.0,2534601.0
002957.SZ,2026-09-08 09:58:00,40.58,40.58,40.59,40.5,58900.0,2387873.0
002957.SZ,2026-09-08 09:59:00,40.59,40.48,40.59,40.48,34000.0,1378272.0
002957.SZ,2026-09-08 10:00:00,40.47,40.35,40.52,40.35,81200.0,3284105.0
002957.SZ,2026-09-08 10:01:00,40.32,40.35,40.35,40.23,162200.0,6536169.0
002957.SZ,2026-09-08 10:02:00,40.35,40.62,40.63,40.34,127700.0,5170142.0
002957.SZ,2026-09-08 10:03:00,40.67,41.03,41.03,40.67,290200.0,11859865.0
002957.SZ,2026-09-08 10:04:00,41.03,40.82,41.03,40.81,136700.0,5597061.0
002957.SZ,2026-09-08 10:05:00,40.82,40.78,40.86,40.75,69800.0,2847763.0
002957.SZ,2026-09-08 10:06:00,40.83,40.98,40.98,40.82,69100.0,2823958.0
002957.SZ,2026-09-08 10:07:00,40.92,40.94,40.95,40.86,76200.0,3117489.0
002957.SZ,2026-09-08 10:08:00,40.96,41.0,41.05,40.96,101500.0,4161547.0
002957.SZ,2026-09-08 10:09:00,41.01,41.26,41.26,40.98,301900.0,12412365.0
002957.SZ,2026-09-08 10:10:00,41.34,41.53,41.53,41.34,243401.0,10079158.4
002957.SZ,2026-09-08 10:11:00,41.55,41.61,41.66,41.53,322300.0,13396660.0
002957.SZ,2026-09-08 10:12:00,41.58,41.78,41.78,41.58,198700.0,8276694.0
002957.SZ,2026-09-08 10:13:00,41.76,41.88,41.89,41.74,300700.0,12569582.0
002957.SZ,2026-09-08 10:14:00,41.8,41.68,41.82,41.68,189300.0,7907314.0
002957.SZ,2026-09-08 10:15:00,41.71,41.54,41.71,41.51,122300.0,5085885.0
002957.SZ,2026-09-08 10:16:00,41.58,41.74,41.74,41.47,109300.0,4545065.0
002957.SZ,2026-09-08 10:17:00,41.78,41.8,41.86,41.78,125100.0,5231805.0
002957.SZ,2026-09-08 10:18:00,41.8,41.7,41.8,41.6,104700.0,4366586.0
002957.SZ,2026-09-08 10:19:00,41.7,41.69,41.7,41.63,94900.0,3952525.0
002957.SZ,2026-09-08 10:20:00,41.69,41.89,41.93,41.65,250300.0,10468076.0
002957.SZ,2026-09-08 10:21:00,42.02,42.0,42.1,41.92,348000.0,14617012.0
002957.SZ,2026-09-08 10:22:00,42.06,42.07,42.14,42.05,224200.0,9435183.0
002957.SZ,2026-09-08 10:23:00,42.13,42.54,42.56,42.1,417300.0,17649021.0
002957.SZ,2026-09-08 10:24:00,42.44,42.37,42.47,42.34,563700.0,23903789.0
002957.SZ,2026-09-08 10:25:00,42.43,42.52,42.57,42.42,273300.0,11615495.0
002957.SZ,2026-09-08 10:26:00,42.5,42.59,42.68,42.5,310200.0,13216565.65
002957.SZ,2026-09-08 10:27:00,42.61,42.42,42.61,42.4,166800.0,7089451.0
002957.SZ,2026-09-08 10:28:00,42.42,42.51,42.52,42.42,195700.0,8304290.0
002957.SZ,2026-09-08 10:29:00,42.51,42.6,42.6,42.5,285900.0,12169880.0
002957.SZ,2026-09-08 10:30:00,42.61,42.62,42.75,42.52,248800.0,10595355.0
