trade_date,ts_code,name,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
20260324,603421.SH,鼎信通讯,U,10.57,10.57,8.65,1,47559503.0,95409,95627,47559503.0
20260324,603527.SH,众源新材,U,10.41,10.41,8.51,0,98511120.0,141335,141335,98511120.0
20260324,603538.SH,美诺华,U,29.44,29.44,24.08,0,105932627.0,94006,94006,105932627.0
20260324,603759.SH,海天股份,U,10.13,10.13,8.29,0,45959536.0,92502,92502,45959536.0
20260324,603808.SH,歌力思,U,9.47,9.47,7.75,1,28855610.0,142042,142403,28855610.0
20260324,603922.SH,金鸿顺,U,20.9,20.9,17.1,5,8044410.0,110306,141724,8044410.0
20260324,603929.SH,亚翔集成,U,191.18,191.18,156.42,0,135801654.0,95233,95233,135801654.0
20260324,603937.SH,丽岛新材,U,12.31,12.31,10.07,0,35998133.0,135909,135909,35998133.0
20260324,605056.SH,咸亨国际,U,23.64,23.64,19.34,2,10470156.0,142803,144857,10470156.0
20260324,605196.SH,华通线缆,U,44.33,44.33,36.27,0,25135110.0,142945,142945,25135110.0
20260324,605299.SH,舒华体育,U,16.13,16.13,13.19,1,10426432.0,102326,131511,10426432.0
20260324,605366.SH,宏柏新材,U,10.19,10.19,8.33,1,25630988.0,133728,141749,25630988.0
20260324,688551.SH,科威尔,U,47.34,47.34,31.56,0,44313695.0,93631,93631,44313695.0
